,family_male,family_female,tuple,dollar_male,dollar_female,stores_male,stores_female,inc_male,inc_female,average_male,average_female,male-female
31,-4.540614,-5.4314904,"('evil', 'good')",-0.5822718,-1.6521233,-1.5510515,-1.5036168,-0.9566688,-0.86934334,-1.9076515,-2.3641436,0.4564921
85,-4.0447264,-4.9624596,"('insignificant', 'prestigious')",-1.374967,-2.7410598,-1.4674636,-1.5515584,0.1355647,0.044001266,-1.687898,-2.3027689,0.6148709
21,3.9703846,4.4111857,"('immoral', 'moral')",0.0010709576,0.9725888,1.1597208,1.0880791,-0.31735295,-0.4580688,1.2034559,1.5034462,-0.2999903
56,3.9583147,4.3790674,"('impractical', 'practical')",2.32673,3.0691216,1.9140835,1.773473,0.18728209,0.021095648,2.0966024,2.3106892,-0.2140868
36,-3.8042662,-4.8586564,"('hostile', 'amicable')",-1.0257794,-2.456314,-1.9764402,-2.1991832,-0.15133715,-0.2074493,-1.7394558,-2.4304006,0.6909448
46,3.7974072,4.5610313,"('uncompetitive', 'competitive')",0.9840879,2.3262768,2.6949,2.7894018,-0.030312106,-0.3597983,1.8615208,2.3292279,-0.4677071
60,3.6108034,4.495628,"('inefficient', 'efficient')",1.0749515,2.2860067,2.816654,2.7748778,0.600513,0.6087902,2.0257306,2.5413256,-0.515595
55,3.5988753,4.4893193,"('incompetent', 'clever')",0.7500605,2.1432414,1.2146417,1.2831209,0.26068425,0.25215533,1.4560654,2.0419593,-0.5858939
35,-3.5579462,-4.132827,"('corrupt', 'incorrupt')",-0.5713936,-1.7817715,-1.6779486,-1.8494238,-0.60986114,-0.60208887,-1.6042874,-2.0915277,0.4872403
43,3.4347556,3.7529402,"('irresponsible', 'responsible')",1.6694814,2.2162933,2.3829067,2.2889569,0.99257153,0.8598271,2.1199288,2.2795043,-0.1595755
10,3.3874657,4.5055356,"('unsympathetic', 'sympathetic')",0.27142757,1.5209153,1.0568416,1.1239303,0.19050027,0.26491016,1.2265588,1.8538229,-0.6272641
14,3.3809085,4.103791,"('antisocial', 'social')",0.65685004,1.7598954,1.1022992,1.088115,-0.4342057,-0.33195165,1.176463,1.6549624,-0.4784994
81,3.3357825,4.4177,"('submissive', 'aggressive')",0.3018195,1.5928196,0.6304586,0.57492644,-0.6334408,-0.65649056,0.908655,1.4822388,-0.5735838
6,-3.2301927,-3.5801523,"('distant', 'open')",-0.30532962,-1.2990459,-0.568592,-0.62806255,0.6275898,0.6356919,-0.8691311,-1.2178922,0.3487611
70,3.2004323,3.8130076,"('lethargic', 'energetic')",0.86467147,1.8793547,1.1252816,1.1165205,1.0437257,0.99950755,1.5585277,1.9520975,-0.3935698
69,-3.0579576,-3.8593597,"('lazy', 'industrious')",-0.78423345,-1.6902281,-0.49572682,-0.5580584,-0.63741726,-0.68046474,-1.2438339,-1.6970277,0.4531938
74,3.0066469,3.3144999,"('undedicated', 'dedicated')",1.0978593,1.3151708,1.1418536,1.2177093,0.43622255,0.22365189,1.4206456,1.5177579,-0.0971123
62,2.9723773,3.6065252,"('incompetent', 'brilliant')",1.1424524,2.0070727,1.6852974,1.50586,0.15041456,0.09208594,1.4876354,1.8028859,-0.3152505
5,-2.9189844,-3.3064716,"('distant', 'outgoing')",-0.13411364,-1.0225905,-0.567163,-0.6160024,-0.18799585,-0.19981158,-0.9520642,-1.286219,0.3341548
65,2.8910437,3.381035,"('insecure', 'secure')",-0.014659759,0.8310662,0.8584577,0.92346525,0.1116829,0.18067527,0.9616312,1.3290606,-0.3674294
23,2.8191364,3.3188918,"('insincere', 'sincere')",1.3642001,1.6842415,1.2376682,1.0590101,6.0431814,6.12017,2.8660464,3.0455785,-0.1795321
80,2.779902,3.561199,"('dominated', 'dominating')",0.37821493,1.3693366,0.8406527,0.8506751,-1.1381745,-1.2588711,0.7151487,1.1305848,-0.4154361
12,2.7355278,3.0163643,"('unsupportive', 'supportive')",1.1485597,1.3850462,1.120846,1.0361369,-1.6451949,-1.7887452,0.8399346,0.9122006,-0.072266
51,2.6344097,2.7516696,"('uneducated', 'educated')",0.44190812,1.1042418,-0.009823054,-0.0074700024,0.13404764,-0.08400996,0.8001356,0.9411079,-0.1409723
0,2.632412,3.2695673,"('unsociable', 'sociable')",0.54959255,1.394866,1.5762521,1.4133215,-0.1058287,-0.163647,1.1631069,1.4785269,-0.31542
32,2.6290023,2.7713082,"('unkind', 'kind')",0.8283247,0.8471536,1.4746753,1.2523813,1.5571349,1.3701355,1.6222842,1.5602446,0.0620396
