,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
85,2.778308,2.8412719,"('insignificant', 'prestigious')",1.8313615,1.9841487,1.1189823,1.1203855,1.9095507,1.9819353,-0.0723846
69,2.4942682,2.6475134,"('lazy', 'industrious')",0.86760783,1.0064596,-0.49431086,-0.46944273,0.9558551,1.0615101,-0.105655
86,-2.3043265,-2.5237951,"('uninfluential', 'influential')",0.0012565628,-0.2373254,0.030484367,-0.034128197,-0.7575285,-0.9317496,0.1742211
55,-2.2876406,-2.4220028,"('incompetent', 'clever')",-0.78474355,-1.0310193,-0.440929,-0.44373423,-1.1711044,-1.2989187,0.1278143
0,-2.2635236,-2.4487371,"('unsociable', 'sociable')",-0.020481221,-0.19482319,-0.54653186,-0.6027561,-0.9435122,-1.0821055,0.1385933
79,2.2582028,2.2967513,"('wavering', 'unwavering')",-0.11972993,0.026844043,0.6011888,0.6488672,0.9132206,0.9908208,-0.0776002
10,-2.175729,-2.4294112,"('unsympathetic', 'sympathetic')",-0.8293025,-1.0888507,-0.35054222,-0.39944267,-1.1185246,-1.3059015,0.1873769
66,2.115728,2.1305087,"('inactive', 'active')",1.5144414,1.5408595,1.7387003,1.6923535,1.7896233,1.7879073,0.001716
45,-1.9949424,-2.2313128,"('incompetent', 'competent')",-1.0349844,-1.2107213,-0.85231405,-0.99152493,-1.2940803,-1.477853,0.1837727
60,-1.9822258,-2.118347,"('inefficient', 'efficient')",0.109106876,-0.07425074,-0.23405053,-0.23298472,-0.7023898,-0.8085275,0.1061377
73,1.8759966,1.9854184,"('helpless', 'self-reliant')",0.9801434,1.0103841,-3.1697226,-3.0538318,-0.1045275,-0.0193431,-0.0851844
48,-1.8676426,-1.9791392,"('unintelligent', 'intelligent')",-0.4632722,-0.544209,0.26370433,0.26786262,-0.6890702,-0.7518286,0.0627584
36,1.8047975,1.7906994,"('hostile', 'amicable')",0.2072295,0.23268294,0.5553153,0.4657111,0.8557808,0.8296978,0.026083
3,-1.7000715,-1.8524522,"('repellent', 'pleasant')",-0.16061106,-0.24862981,0.14606887,0.14027232,-0.5715379,-0.6536032,0.0820653
33,1.6847169,1.7145987,"('wrong', 'right')",1.110033,1.1320473,-0.5690363,-0.59140176,0.7419046,0.751748,-0.0098434
46,-1.6197906,-1.6982179,"('uncompetitive', 'competitive')",0.8749059,0.6946229,-0.61781573,-0.6021392,-0.4542335,-0.5352447,0.0810112
44,1.5538107,1.8392785,"('prejudiced', 'unprejudiced')",-0.32351023,-0.14714651,-1.464492,-1.3844906,-0.0780638,0.1025471,-0.1806109
62,-1.5454347,-1.6687065,"('incompetent', 'brilliant')",0.46543235,0.34879938,-0.13545422,-0.12066045,-0.4051522,-0.4801892,0.075037
81,-1.5382845,-1.5296377,"('submissive', 'aggressive')",0.382312,0.3518656,-0.81205904,-0.74281406,-0.6560105,-0.6401954,-0.0158151
2,1.506499,1.5745428,"('unlikable', 'likable')",2.3631506,2.4939282,0.64624786,0.75643826,1.5052993,1.6083031,-0.1030038
5,1.4978522,1.5130937,"('distant', 'outgoing')",0.6390718,0.752868,0.028306376,0.05705013,0.7217435,0.7743373,-0.0525938
35,1.4884064,1.5543516,"('corrupt', 'incorrupt')",-0.8233631,-0.75325036,0.07168122,-0.010450276,0.2455748,0.2635503,-0.0179755
42,1.48223,1.5341982,"('unreliable', 'reliable')",0.8963525,0.88336295,-2.7143705,-2.5241544,-0.1119293,-0.0355311,-0.0763982
14,-1.4477496,-1.5213236,"('antisocial', 'social')",1.0232638,0.89326847,-1.1769458,-1.169537,-0.5338105,-0.5991973,0.0653868
82,-1.3166193,-1.2511754,"('poor', 'rich')",-0.67918,-0.68832135,5.7808967,5.8047414,1.2616991,1.2884149,-0.0267158
28,-1.3073627,-1.5560744,"('disloyal', 'loyal')",-0.18822867,-0.32253435,0.86235267,0.80053097,-0.2110796,-0.3593593,0.1482797
70,-1.2724652,-1.2621982,"('lethargic', 'energetic')",-0.08726804,-0.02768192,0.34165913,0.5091624,-0.339358,-0.2602392,-0.0791188
57,-1.2192835,-1.4819986,"('unimaginative', 'imaginative')",-0.18446653,-0.34583974,-2.9760864,-2.9843788,-1.4599454,-1.6040724,0.144127
34,1.1889985,1.35468,"('mean', 'honorable')",0.8199761,0.8586958,6.288555,6.2674875,2.7658431,2.8269545,-0.0611114
24,-1.1666055,-1.3047609,"('dishonest', 'honest')",-0.15523428,-0.22264433,0.5346804,0.65348804,-0.2623865,-0.2913057,0.0289192
51,-1.1612765,-1.1193255,"('uneducated', 'educated')",0.098902546,0.025623936,0.8944086,0.82621604,-0.0559884,-0.0891619,0.0331735
71,1.1005896,1.0325378,"('diffident', 'self-confident')",1.9855018,2.0558643,0.8450623,0.7583394,1.3103846,1.2822472,0.0281374
6,1.0814555,1.0693861,"('distant', 'open')",-0.16365725,-0.12680553,0.5112153,0.5192354,0.4763378,0.487272,-0.0109342
80,-1.0701703,-1.0334444,"('dominated', 'dominating')",-0.0885544,-0.17782706,-0.83547103,-0.8073319,-0.6647319,-0.6728678,0.0081359
11,-0.9997946,-1.1181582,"('unhelpful', 'helpful')",0.16693598,0.021950059,1.9727098,1.9203235,0.3799504,0.2747051,0.1052453
65,-0.99225867,-1.0253375,"('insecure', 'secure')",-0.111284286,-0.1753733,-0.46226385,-0.42179155,-0.5219356,-0.5408341,0.0188985
22,-0.98188,-1.1963959,"('untrustworthy', 'trustworthy')",-0.61234057,-0.7666153,-1.0522952,-1.0945613,-0.8821719,-1.0191908,0.1370189
72,-0.9567441,-0.97307754,"('unambitious', 'ambitious')",-0.024291456,0.0056086704,-1.138887,-1.0542834,-0.7066409,-0.6739175,-0.0327234
50,0.95420915,0.98681116,"('clumsy', 'skillful')",0.657431,0.6758724,0.5100418,0.4311713,0.7072273,0.6979516,0.0092757
83,0.93018866,0.905856,"('powerless', 'powerful')",0.7908256,0.8423325,-1.0486417,-1.0396748,0.2241242,0.2361712,-0.012047
54,0.91290987,0.9783949,"('incapable', 'capable')",1.3273526,1.495159,1.523508,1.5833277,1.2545902,1.3522938,-0.0977036
23,-0.9034114,-1.0276129,"('insincere', 'sincere')",0.80735075,0.7398199,6.1120577,6.0917783,2.0053323,1.9346617,0.0706706
63,-0.90284455,-0.966429,"('unperceptive', 'insightful')",1.6118646,1.5359086,1.4590479,1.4832561,0.7226893,0.6842453,0.038444
75,0.8848201,0.99666804,"('meek', 'impulsive')",-0.20998766,-0.026565824,-0.5022261,-0.43122458,0.0575354,0.1796259,-0.1220905
59,0.88068545,0.8582532,"('foolish', 'wise')",0.5462467,0.61577743,0.6166154,0.57819134,0.6811825,0.684074,-0.0028915
84,0.83614105,0.83062184,"('inferior', 'superior')",0.42214423,0.4118403,0.99121916,0.9917884,0.7498349,0.7447502,0.0050847
77,-0.8337,-0.87812877,"('unmotivated', 'motivated')",1.0735542,1.0590537,-1.0358081,-0.97275203,-0.265318,-0.2639424,-0.0013756
13,-0.8321606,-0.81256586,"('impolite', 'polite')",0.19721082,0.1981125,-0.14302635,-0.17055747,-0.2593254,-0.2616703,0.0023449
87,0.7440721,0.7230919,"('unsuccessful', 'successful')",1.3761126,1.3437741,0.9279095,0.9065765,1.0160314,0.9911475,0.0248839
76,-0.7214079,-0.602072,"('anxious', 'daring')",0.17654192,0.1852282,-0.13234966,0.054678924,-0.2257385,-0.1207216,-0.1050169
43,-0.71540207,-0.7711087,"('irresponsible', 'responsible')",0.75067645,0.63747805,0.48965034,0.5718011,0.1749749,0.1460568,0.0289181
26,0.71261626,0.6551079,"('hardhearted', 'benevolent')",1.2004005,1.2057552,1.6295058,1.6940536,1.1808408,1.1849723,-0.0041315
17,0.7063142,0.59597504,"('nasty', 'nice')",-0.2594152,-0.28555363,-0.49953583,-0.57220125,-0.0175456,-0.0872599,0.0697143
39,-0.67944217,-0.82331574,"('exploitative', 'cooperative')",0.71146786,0.68227434,-0.05830089,-0.056057073,-0.0087584,-0.0656995,0.0569411
41,-0.6672678,-0.7725627,"('unforgiving', 'forgiving')",0.89317137,0.8376642,-0.068007566,-0.0023527946,0.052632,0.0209162,0.0317158
7,-0.6262676,-0.7191013,"('insensitive', 'sensitive')",0.71730536,0.67435914,0.96736676,0.97581995,0.3528015,0.3103593,0.0424422
25,0.6138588,0.6680977,"('egoistic', 'altruistic')",0.16112542,0.21484354,1.5283409,1.5374985,0.7677751,0.8068132,-0.0390381
