,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
85,2.6414187,2.6558313,"('insignificant', 'prestigious')",2.9541132,2.8357177,0.7010572,0.45047823,2.098863,1.9806757,0.1181873
70,-2.483343,-2.6807976,"('lethargic', 'energetic')",-2.3590252,-2.2192833,-0.003086891,0.24488589,-1.6151517,-1.5517316,-0.0634201
45,-2.3010607,-2.7835724,"('incompetent', 'competent')",-2.7659247,-2.8506358,-0.8846849,-0.92716885,-1.9838901,-2.1871257,0.2032356
81,-2.177232,-2.3147302,"('submissive', 'aggressive')",-2.7536416,-2.6251535,-0.857502,-0.673743,-1.9294586,-1.8712088,-0.0582498
82,-2.0164192,-2.137528,"('poor', 'rich')",-1.5004728,-1.443081,5.5235834,5.7047424,0.6688972,0.7080445,-0.0391473
63,-1.8043143,-1.977572,"('unperceptive', 'insightful')",-2.2738507,-2.1915867,0.3664875,0.3581932,-1.2372259,-1.2703219,0.033096
64,-1.7960474,-1.7766587,"('shy', 'confident')",-1.2611204,-1.1653552,-6.6099854,-6.633726,-3.2223845,-3.1919133,-0.0304712
76,-1.7669147,-1.7442167,"('anxious', 'daring')",-1.9787891,-1.8033161,0.05276776,0.31587368,-1.2309786,-1.0772197,-0.1537589
71,1.6643134,1.6558769,"('diffident', 'self-confident')",1.417918,1.3722498,0.6921401,0.65424365,1.2581239,1.2274568,0.0306671
46,-1.6544158,-1.909816,"('uncompetitive', 'competitive')",-2.530631,-2.4740934,-0.7880782,-0.74563724,-1.6577085,-1.7098489,0.0521404
42,-1.6488727,-1.8428534,"('unreliable', 'reliable')",-1.8327808,-1.7673465,-3.2183673,-3.2737112,-2.2333403,-2.294637,0.0612967
39,1.6486967,1.5432677,"('exploitative', 'cooperative')",0.49518505,0.6020865,0.33175787,0.46506235,0.8252132,0.8701389,-0.0449257
43,-1.6313782,-1.8217938,"('irresponsible', 'responsible')",-3.4100487,-3.314404,-0.7205821,-0.5170531,-1.9206696,-1.8844171,-0.0362525
51,-1.620619,-1.7203854,"('uneducated', 'educated')",-0.86049,-0.9030702,0.70300454,0.71133804,-0.5927015,-0.6373725,0.044671
56,-1.5535549,-1.7076093,"('impractical', 'practical')",-2.6115808,-2.5002844,-0.6559869,-0.46389893,-1.6070409,-1.5572643,-0.0497766
68,-1.5054088,-1.5281913,"('dependent', 'independent')",-1.298788,-1.3115002,-0.68672293,-0.66097665,-1.1636399,-1.1668894,0.0032495
55,-1.4957027,-1.7244136,"('incompetent', 'clever')",-2.5376828,-2.467275,-0.0076716393,0.13130546,-1.347019,-1.3534609,0.0064419
87,-1.3693246,-1.1983874,"('unsuccessful', 'successful')",-0.3550782,-0.28906274,0.34439874,0.26453856,-0.4600013,-0.4076372,-0.0523641
10,-1.3660741,-1.8532535,"('unsympathetic', 'sympathetic')",-3.8759356,-3.925255,-0.71256,-0.69323295,-1.9848566,-2.1572472,0.1723906
9,1.3587909,0.9902626,"('unaffectionate', 'caring')",0.6310022,0.39251667,0.88870275,0.6821284,0.9594986,0.6883026,0.271196
83,1.3406427,1.4319879,"('powerless', 'powerful')",0.5393338,0.5908661,-0.7296348,-0.6316286,0.3834472,0.4637418,-0.0802946
57,-1.3319312,-1.7469354,"('unimaginative', 'imaginative')",-1.8110943,-1.9954939,-2.4218862,-2.6696713,-1.8549706,-2.1373669,0.2823963
84,1.3164855,1.4535205,"('inferior', 'superior')",1.3488848,1.4150542,0.80272627,0.8203254,1.1560322,1.2296333,-0.0736011
