,integrys_male,integrys_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.3504336,-2.2319715,"('unfriendly', 'friendly')",0.57895774,0.6622974,-0.83268803,-0.40404975,1.707034,1.9514581,-0.2242825,-0.0055664,-0.2187161
86,-2.2766886,-2.1679406,"('uninfluential', 'influential')",0.58694065,0.6869291,-0.41276097,-0.22673436,-0.52225846,-0.46006322,-0.6561919,-0.5419523,-0.1142396
45,-1.8191618,-1.7543769,"('incompetent', 'competent')",-0.25324395,-0.26221567,-0.33442098,-0.059410542,-0.47643465,-0.5335879,-0.7208154,-0.6523978,-0.0684176
0,-1.4773574,-1.454419,"('unsociable', 'sociable')",-0.13487694,-0.15661274,-0.010105461,0.36218745,-1.0028281,-0.883947,-0.656292,-0.5331979,-0.1230941
57,-1.4411205,-1.4026202,"('unimaginative', 'imaginative')",0.71683,0.7169468,-0.38540906,-0.49069065,-2.7874703,-2.5761619,-0.9742925,-0.9381315,-0.036161
82,-1.4015179,-1.3028824,"('poor', 'rich')",-0.36783528,-0.48557514,-0.2030029,-0.2747772,6.451925,6.299862,1.1198921,1.0591568,0.0607353
8,-1.353825,-1.2348722,"('unaffectionate', 'affectionate')",-0.32754382,-0.26821434,-0.38698643,-0.25847834,0.7955345,0.96361953,-0.3182052,-0.1994864,-0.1187188
10,-1.3061018,-1.4934218,"('unsympathetic', 'sympathetic')",-0.42991197,-0.33830634,-0.4781565,-0.23765829,-0.45720032,-0.3982993,-0.6678426,-0.6169214,-0.0509212
48,-1.2500163,-0.97361463,"('unintelligent', 'intelligent')",0.5922618,0.72238714,-0.83692956,-0.6286743,-0.091768935,0.076933414,-0.3966133,-0.2007421,-0.1958712
9,-1.2439958,-1.2623994,"('unaffectionate', 'caring')",0.5637839,0.6498811,-0.37039462,-0.16697687,1.1462679,1.3699106,0.0239154,0.1476039,-0.1236885
28,-1.2077419,-1.0792394,"('disloyal', 'loyal')",0.41729367,0.48098272,0.1949221,0.3527189,0.93821245,1.0508146,0.0856716,0.2013192,-0.1156476
6,-1.1784059,-1.1436924,"('distant', 'open')",-0.3439213,-0.3866184,-2.045264,-1.9088925,0.3642657,0.47924012,-0.8008314,-0.7399908,-0.0608406
31,-1.151782,-0.95644665,"('evil', 'good')",-1.1499407,-1.0965034,-1.62423,-1.4191365,-0.5929769,-0.62872654,-1.1297325,-1.0252032,-0.1045293
55,-1.1264485,-1.1159525,"('incompetent', 'clever')",-0.35929307,-0.3796568,0.64791864,0.7573252,-0.16522393,-0.32306,-0.2507617,-0.265336,0.0145743
63,-1.0877296,-0.834499,"('unperceptive', 'insightful')",0.7755893,0.9018871,0.7591965,1.1793815,0.4407777,0.7243149,0.2219585,0.4927711,-0.2708126
24,-1.0785156,-1.0743966,"('dishonest', 'honest')",0.4019725,0.5950472,-0.5652317,-0.2853857,0.6655978,0.645883,-0.1440443,-0.029713,-0.1143313
53,-1.0544031,-0.88997245,"('uncreative', 'creative')",0.6370763,0.69429845,-0.20493637,-0.009914804,0.9001974,1.195706,0.0694836,0.2475293,-0.1780457
44,1.023044,0.98991305,"('prejudiced', 'unprejudiced')",-0.17695896,-0.26039016,-0.03875072,-0.23741548,-1.3176118,-1.4320796,-0.1275694,-0.234993,0.1074236
88,-1.0086864,-1.0334091,"('low', 'eminent')",-0.099933095,-0.284371,-0.69671303,-1.0716634,0.2059556,0.07752861,-0.3998443,-0.5779787,0.1781344
