,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
52,-2.7200844,-2.8826363,"('irrational', 'rational')",-0.67457914,-0.5798363,-1.6973318,-1.7312363,0.0339045
60,2.5241158,2.8083248,"('inefficient', 'efficient')",0.4895822,0.4921381,1.5068491,1.6502315,-0.1433824
75,-2.1747253,-2.1216958,"('meek', 'impulsive')",-0.6750003,-0.832219,-1.4248629,-1.4769573,0.0520944
56,2.060392,2.2607944,"('impractical', 'practical')",-0.24466918,-0.17640753,0.9078614,1.0421934,-0.134332
23,2.0015354,2.2958124,"('insincere', 'sincere')",5.8077307,6.114672,3.904633,4.2052422,-0.3006092
31,-1.8887968,-2.0429952,"('evil', 'good')",-1.0249459,-1.0899327,-1.4568713,-1.5664639,0.1095926
7,1.7209123,2.1551611,"('insensitive', 'sensitive')",0.94967705,1.2613325,1.3352947,1.7082468,-0.3729521
16,-1.6288879,-1.8694658,"('unpopular', 'popular')",0.016207784,-0.059318025,-0.80634,-0.9643919,0.1580519
48,1.6170493,1.7438656,"('unintelligent', 'intelligent')",1.0827025,1.1331916,1.3498759,1.4385285,-0.0886526
66,-1.535553,-1.6627367,"('inactive', 'active')",0.50109893,0.5152242,-0.5172271,-0.5737562,0.0565291
59,-1.4945282,-1.5169171,"('foolish', 'wise')",0.19747458,0.33045357,-0.6485268,-0.5932318,-0.055295
4,-1.4923257,-1.8090111,"('disliked', 'liked')",-6.2438517,-6.6849303,-3.8680887,-4.2469707,0.378882
24,1.4913822,1.7122403,"('dishonest', 'honest')",0.7532381,0.89850646,1.1223102,1.3053734,-0.1830632
44,-1.4022553,-1.3719171,"('prejudiced', 'unprejudiced')",-1.543921,-1.3968813,-1.4730881,-1.3843992,-0.0886889
72,1.387549,1.3447363,"('unambitious', 'ambitious')",-0.8570298,-0.8739144,0.2652596,0.235411,0.0298486
36,-1.373749,-1.7248125,"('hostile', 'amicable')",-0.1625641,-0.35814887,-0.7681565,-1.0414807,0.2733242
62,1.3705945,1.8211541,"('incompetent', 'brilliant')",0.18320489,0.16939598,0.7768997,0.995275,-0.2183753
64,-1.3114445,-1.2081543,"('shy', 'confident')",-6.409843,-6.66577,-3.8606439,-3.9369621,0.0763182
