,nucor_male,nucor_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.2337153,-1.8246231,"('distant', 'open')",-0.9626788,-1.0331354,-1.598197,-1.4288793,-0.1693177
53,-2.0590239,-1.9720324,"('uncreative', 'creative')",0.5560697,0.63993835,-0.7514771,-0.666047,-0.0854301
1,-2.0519412,-1.7796293,"('unfriendly', 'friendly')",0.97410357,1.0075779,-0.5389188,-0.3860257,-0.1528931
19,-1.9414319,-1.8336537,"('inhospitable', 'hospitable')",-0.5225038,-0.58498275,-1.2319678,-1.2093182,-0.0226496
9,-1.8713441,-1.6571556,"('unaffectionate', 'caring')",0.972015,0.9191742,-0.4496645,-0.3689907,-0.0806738
5,-1.802256,-1.4936473,"('distant', 'outgoing')",-0.8298422,-0.9814849,-1.3160491,-1.2375661,-0.078483
31,-1.7731411,-1.4949163,"('evil', 'good')",-1.1557126,-1.2672443,-1.4644269,-1.3810804,-0.0833465
36,-1.7234322,-1.4887588,"('hostile', 'amicable')",-0.49100298,-0.68982315,-1.1072176,-1.089291,-0.0179266
8,-1.6928493,-1.5751536,"('unaffectionate', 'affectionate')",0.24751022,0.18135884,-0.7226695,-0.6968974,-0.0257721
86,-1.6833626,-1.4731766,"('uninfluential', 'influential')",-0.13529116,0.109006345,-0.9093269,-0.6820852,-0.2272417
66,-1.5609185,-1.1090131,"('inactive', 'active')",0.20812365,0.22125107,-0.6763974,-0.443881,-0.2325164
79,-1.4858015,-1.2510182,"('wavering', 'unwavering')",-0.5408974,-0.7669722,-1.0133494,-1.0089952,-0.0043542
38,-1.3831,-1.1981045,"('untruthful', 'truthful')",0.12421785,-0.18032148,-0.6294411,-0.689213,0.0597719
44,1.3808049,1.264899,"('prejudiced', 'unprejudiced')",-1.4615628,-1.4636996,-0.0403789,-0.0994003,0.0590214
54,-1.3083652,-1.3428032,"('incapable', 'capable')",0.73016083,0.5108483,-0.2891022,-0.4159775,0.1268753
35,-1.2611762,-1.2432982,"('corrupt', 'incorrupt')",-0.7427626,-1.061431,-1.0019695,-1.1523646,0.1503951
51,-1.2208744,-1.2732666,"('uneducated', 'educated')",0.58216757,0.7547725,-0.3193534,-0.259247,-0.0601064
60,1.2076265,1.0117956,"('inefficient', 'efficient')",0.43598646,0.4841998,0.8218064,0.7479977,0.0738087
63,-1.2004809,-1.0388075,"('unperceptive', 'insightful')",0.86801535,1.088485,-0.1662328,0.0248387,-0.1910715
81,1.1469314,1.0216181,"('submissive', 'aggressive')",-0.13881667,-0.310622,0.5040573,0.3554981,0.1485592
57,-1.1200954,-0.8749597,"('unimaginative', 'imaginative')",-2.8733227,-2.535753,-1.9967091,-1.7053564,-0.2913527
71,-1.1042937,-0.8770376,"('diffident', 'self-confident')",0.1403353,0.34163654,-0.4819792,-0.2677005,-0.2142787
85,-1.0619004,-0.7637824,"('insignificant', 'prestigious')",-0.69524723,-0.7622543,-0.8785738,-0.7630184,-0.1155554
25,-1.0532497,-0.8560244,"('egoistic', 'altruistic')",0.56145257,0.5129735,-0.2458986,-0.1715254,-0.0743732
72,-0.9696257,-1.0980954,"('unambitious', 'ambitious')",-0.45441574,-0.67797273,-0.7120208,-0.8880341,0.1760133
80,0.93544304,0.7753194,"('dominated', 'dominating')",-0.8257499,-0.574084,0.0548466,0.1006177,-0.0457711
30,0.9269423,0.9857428,"('intolerant', 'tolerant')",1.0478307,0.9782736,0.9873865,0.9820082,0.0053783
76,0.8988642,0.71348786,"('anxious', 'daring')",0.045522477,0.08948341,0.4721933,0.4014856,0.0707077
12,-0.8805183,-0.78924125,"('unsupportive', 'supportive')",-1.9127808,-1.7259262,-1.3966496,-1.2575837,-0.1390659
0,-0.86252886,-0.6555781,"('unsociable', 'sociable')",-0.15952085,0.098278195,-0.5110248,-0.2786499,-0.2323749
14,0.8568563,0.81545234,"('antisocial', 'social')",-0.094376355,0.11133654,0.38124,0.4633944,-0.0821544
62,0.8493634,0.7137019,"('incompetent', 'brilliant')",0.8568137,0.8138845,0.8530886,0.7637932,0.0892954
59,-0.8361978,-0.86886454,"('foolish', 'wise')",0.06601004,-0.18656439,-0.3850939,-0.5277145,0.1426206
52,-0.81394076,-0.6814487,"('irrational', 'rational')",-0.10460978,-0.39388853,-0.4592753,-0.5376686,0.0783933
18,-0.81088614,-0.84943944,"('disagreeable', 'welcoming')",-0.71636367,-0.77846086,-0.7636249,-0.8139502,0.0503253
48,0.81076276,0.6262423,"('unintelligent', 'intelligent')",1.1674027,1.1782457,0.9890828,0.902244,0.0868388
61,-0.7393334,-0.3341974,"('illogical', 'logical')",0.3235844,0.5882674,-0.2078745,0.127035,-0.3349095
39,0.72824174,0.84118706,"('exploitative', 'cooperative')",0.13858147,0.16286947,0.4334116,0.5020283,-0.0686167
84,0.7015021,0.81215364,"('inferior', 'superior')",1.3006082,1.2029537,1.0010551,1.0075537,-0.0064986
32,-0.6989938,-0.8329475,"('unkind', 'kind')",0.78852636,0.8005755,0.0447663,-0.016186,0.0609523
65,0.6678566,0.5078696,"('insecure', 'secure')",-0.15383655,-0.0874078,0.25701,0.2102309,0.0467791
74,-0.646993,-0.5430184,"('undedicated', 'dedicated')",-0.30755597,-0.10964814,-0.4772745,-0.3263333,-0.1509412
26,-0.6465952,-0.44189277,"('hardhearted', 'benevolent')",1.3081553,1.6441555,0.3307801,0.6011314,-0.2703513
