,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,1.9264619,1.9748414,"('diffident', 'self-confident')",0.32713506,0.43595088,0.68578327,0.7913655,0.24367902,0.38383198,0.7957648,0.8964975,-0.1007327
2,1.873356,1.8989072,"('unlikable', 'likable')",1.1630042,1.1067138,1.535391,1.6830528,1.0012872,1.0462204,1.3932595,1.4337236,-0.0404641
9,1.6854991,1.7679527,"('unaffectionate', 'caring')",-0.65934163,-0.55650765,0.32900962,0.58156234,1.3103032,1.5401275,0.6663675,0.8332837,-0.1669162
34,1.6709882,1.7120377,"('mean', 'honorable')",-0.4884186,-0.46838585,-0.71968484,-0.5060852,5.5837994,5.6502404,1.5116711,1.5969517,-0.0852806
32,1.554724,1.6457793,"('unkind', 'kind')",0.5292896,0.3500015,-0.14950044,0.0946602,1.2467991,1.1272556,0.795328,0.8044242,-0.0090962
68,-1.5492947,-1.4924546,"('dependent', 'independent')",-0.16480443,-0.03859508,0.20314685,0.41299438,-1.2220702,-1.2458487,-0.6832557,-0.590976,-0.0922797
1,1.533991,1.6117768,"('unfriendly', 'friendly')",-1.2022018,-0.79892457,0.121931285,0.42195994,1.3134799,1.5863181,0.4418001,0.7052826,-0.2634825
56,1.5136155,1.4343776,"('impractical', 'practical')",-0.75759876,-0.9746662,-0.25783086,-0.025319465,-0.1647018,-0.23840651,0.083371,0.0489964,0.0343746
83,1.4928224,1.4431281,"('powerless', 'powerful')",1.0819554,1.0102422,-0.3885743,-0.31822702,-0.63304347,-0.52477086,0.38829,0.4025931,-0.0143031
75,-1.3651067,-1.288354,"('meek', 'impulsive')",0.44963694,0.575886,0.81907094,0.58334976,-0.77658784,-0.7657562,-0.2182467,-0.2237186,0.0054719
61,1.3616334,1.2472479,"('illogical', 'logical')",-0.6931914,-0.9406992,-0.024041824,0.09234357,0.49590448,0.38940975,0.2850762,0.1970755,0.0880007
14,1.29337,1.202447,"('antisocial', 'social')",-0.1738342,-0.36782113,-0.47361463,-0.34845996,-0.1093902,-0.35826322,0.1341327,0.0319757,0.102157
26,1.2648562,1.4269867,"('hardhearted', 'benevolent')",0.86148095,1.0483656,1.6749682,1.8205261,2.043312,2.1663804,1.4611543,1.6155647,-0.1544104
13,1.2176776,1.171502,"('impolite', 'polite')",-1.105327,-1.198874,-0.4694698,-0.2608081,-0.8176265,-1.0130463,-0.2936864,-0.3253066,0.0316202
63,1.1917124,1.3599821,"('unperceptive', 'insightful')",-0.35290584,-0.027911227,0.5285091,0.8704492,0.30501416,0.4699832,0.4180824,0.6681258,-0.2500434
23,1.1754929,1.2963732,"('insincere', 'sincere')",-1.4873184,-1.4677643,-0.6557955,-0.27436686,6.38479,6.4875617,1.3542923,1.510451,-0.1561587
12,1.1690416,1.3029305,"('unsupportive', 'supportive')",0.14625776,0.24771369,0.09296524,0.40878183,-2.043281,-1.8757054,-0.1587541,0.0209301,-0.1796842
21,1.1479129,0.9670003,"('immoral', 'moral')",-0.39318743,-0.75656617,-0.1934549,0.06332436,-0.5187203,-0.7767235,0.0106376,-0.1257412,0.1363788
39,1.1448697,1.1565772,"('exploitative', 'cooperative')",-0.17994012,-0.2508666,0.4616486,0.7332569,0.6039924,0.702685,0.5076426,0.5854131,-0.0777705
37,-1.142488,-1.054188,"('fake', 'genuine')",-1.2608328,-0.7895516,-1.2976761,-0.8570905,-0.26428872,0.011898665,-0.9913214,-0.6722328,-0.3190886
42,1.1400806,1.1446427,"('unreliable', 'reliable')",1.6553468,1.7720948,0.855394,1.0599436,-2.9055588,-2.667323,0.1863156,0.3273395,-0.1410239
54,1.1243806,1.1762017,"('incapable', 'capable')",0.11967237,0.09608831,0.62639356,0.6149946,0.8956548,1.0697747,0.6915253,0.7392648,-0.0477395
35,-1.1057956,-1.1353971,"('corrupt', 'incorrupt')",-0.030848801,0.021732032,0.3786023,0.18398769,-0.7300743,-0.6422609,-0.3720291,-0.3929846,0.0209555
50,-1.100724,-0.8540343,"('clumsy', 'skillful')",0.5223858,1.0079075,0.20188421,0.5641905,-0.16462961,0.21120316,-0.1352709,0.2323167,-0.3675876
41,1.0850316,1.074504,"('unforgiving', 'forgiving')",-0.26799864,-0.2778014,-0.5524093,-0.19658995,-0.045613416,-0.21321596,0.0547526,0.0967242,-0.0419716
62,1.0612419,1.2303396,"('incompetent', 'brilliant')",-1.2105513,-1.0770421,-0.40211022,0.035335094,0.30015364,0.488944,-0.0628165,0.1693942,-0.2322107
87,0.99650854,0.92007095,"('unsuccessful', 'successful')",-1.116154,-1.1346632,0.05723531,0.011191372,0.72041553,0.6753773,0.1645014,0.1179941,0.0465073
15,0.93839604,0.86901736,"('boring', 'funny')",0.123695895,0.23058523,0.20674074,0.32910803,0.004431324,0.04884763,0.318316,0.3693896,-0.0510736
31,-0.9337652,-1.0016474,"('evil', 'good')",0.68669665,0.7332833,0.6924881,0.43286273,-1.1024705,-1.1744269,-0.1642627,-0.2524821,0.0882194
40,0.857112,0.98177373,"('stingy', 'generous')",0.76875603,1.0558565,0.38244423,0.4658703,-2.0640306,-1.9271518,-0.0139296,0.1440872,-0.1580168
78,0.8562606,1.0433155,"('nonresilient', 'resilient')",-0.37656507,-0.22128811,-0.20560972,-0.04911311,-0.24873996,-0.13934067,0.0063365,0.1583934,-0.1520569
43,0.8440882,1.0303638,"('irresponsible', 'responsible')",-0.9974341,-0.8251936,-1.1046128,-0.63868254,0.4910672,0.5000141,-0.1917229,0.0166254,-0.2083483
7,0.8248281,0.9110466,"('insensitive', 'sensitive')",-1.0272467,-0.8188825,-0.81816345,-0.37517327,0.59091806,0.70558864,-0.107416,0.1056449,-0.2130609
38,0.7554619,0.8015122,"('untruthful', 'truthful')",-0.28463694,-0.36943072,0.48973125,0.51843977,0.105653465,0.1631288,0.2665524,0.2784125,-0.0118601
28,0.74254876,0.6709016,"('disloyal', 'loyal')",-1.3569341,-1.2030668,-0.242903,0.13426946,1.1538817,1.2835432,0.0741483,0.2214119,-0.1472636
81,0.7171167,0.5514953,"('submissive', 'aggressive')",0.40083367,0.2946396,0.4456042,0.46796674,-0.43854344,-0.5721965,0.2812528,0.1854763,0.0957765
47,0.7038194,0.9184937,"('stupid', 'smart')",-0.27174172,-0.30402008,-1.2471615,-1.1729267,5.5168195,5.52996,1.1754339,1.2428768,-0.0674429
8,0.70089036,0.69520766,"('unaffectionate', 'affectionate')",-0.13819873,0.08094779,0.47393575,0.53143185,0.418893,0.64066076,0.3638801,0.487062,-0.1231819
73,0.688748,0.6650494,"('helpless', 'self-reliant')",1.8296076,2.1074233,0.5940264,0.72182685,-3.4879677,-3.1859517,-0.0938964,0.0770869,-0.1709833
30,0.67750525,0.68770504,"('intolerant', 'tolerant')",0.3776801,0.33724838,-0.034750093,0.2770047,0.6711968,0.54994243,0.422908,0.4629751,-0.0400671
