,disney_male,disney_female,tuple,walt_male,walt_female,co_male,co_female,average_male,average_female,male-female
15,1.6797346,1.6412129,"('boring', 'funny')",1.6972998,1.7545271,0.57995033,0.43732905,1.3189949,1.2776897,0.0413052
9,1.593686,1.9207773,"('unaffectionate', 'caring')",1.6390035,2.0295916,0.87224615,0.9699123,1.3683119,1.6400938,-0.2717819
53,1.5380905,1.7350284,"('uncreative', 'creative')",1.3187246,1.5616211,0.71763486,0.8552965,1.1914833,1.383982,-0.1924987
22,-1.4708351,-1.6885952,"('untrustworthy', 'trustworthy')",-1.6737049,-2.021241,-0.9265236,-0.9995301,-1.3570212,-1.5697886,0.2127674
77,-1.4595971,-1.304557,"('unmotivated', 'motivated')",-1.1354007,-1.2762808,-0.9827524,-1.0689923,-1.1925834,-1.21661,0.0240266
3,-1.4240963,-1.4109914,"('repellent', 'pleasant')",-1.4263908,-1.51053,0.6287973,0.6944512,-0.7405633,-0.7423568,0.0017935
81,-1.3649774,-1.8428465,"('submissive', 'aggressive')",-1.9611777,-2.3860312,-0.42105058,-0.72983134,-1.2490686,-1.6529029,0.4038343
71,1.2747017,1.5121986,"('diffident', 'self-confident')",1.9876295,2.3362296,0.2702036,0.23312575,1.1775116,1.360518,-0.1830064
59,1.1579325,1.1040589,"('foolish', 'wise')",1.434326,1.6646602,-0.13046181,-0.006710425,0.8205989,0.9206696,-0.1000707
8,1.0943147,1.4869145,"('unaffectionate', 'affectionate')",1.9135709,2.281896,0.30782643,0.44716018,1.1052373,1.4053237,-0.3000864
88,1.0924768,1.2757843,"('low', 'eminent')",0.5114492,0.61429626,-0.15286544,-0.12435271,0.4836869,0.5885759,-0.104889
64,-1.0784941,-1.069853,"('shy', 'confident')",-1.1614821,-1.3696189,-6.215148,-6.475971,-2.8183746,-2.9718145,0.1534399
23,1.0399699,0.6051409,"('insincere', 'sincere')",0.30882862,0.16564213,6.2495766,6.2081094,2.5327918,2.3262974,0.2064944
41,-1.0330058,-0.75849015,"('unforgiving', 'forgiving')",-1.0891453,-1.1135195,0.02576877,-0.09788671,-0.6987941,-0.6566321,-0.042162
56,1.0316949,0.6899265,"('impractical', 'practical')",0.33858544,0.039332382,-0.07903721,-0.5576097,0.4304144,0.0572164,0.373198
37,-0.9963983,-1.1443187,"('fake', 'genuine')",-1.7173024,-1.8565534,0.2576842,0.14957242,-0.8186722,-0.9504333,0.1317611
45,-0.9730293,-1.3039325,"('incompetent', 'competent')",-1.5668017,-1.8922602,-0.68958825,-0.91464263,-1.0764731,-1.3702785,0.2938054
32,0.96645504,0.9634554,"('unkind', 'kind')",0.6757792,0.7479535,0.64478666,0.72183186,0.7623403,0.8110802,-0.0487399
2,-0.9550658,-0.8891091,"('unlikable', 'likable')",-0.80355096,-0.96756107,0.35628662,0.30923685,-0.4674433,-0.5158111,0.0483678
46,-0.9443451,-1.2824262,"('uncompetitive', 'competitive')",-1.4556003,-1.7098465,-0.608642,-0.9092829,-1.0028625,-1.3005186,0.2976561
85,0.94025785,1.4265797,"('insignificant', 'prestigious')",1.9254843,2.3953214,-0.44600755,-0.17056878,0.8065782,1.2171108,-0.4105326
14,-0.90306896,-1.0183393,"('antisocial', 'social')",-0.84204394,-1.1264539,-0.37145382,-0.49756622,-0.7055222,-0.8807864,0.1752642
80,-0.87444323,-1.3079718,"('dominated', 'dominating')",-1.8156605,-2.1543267,-0.9180981,-1.1962062,-1.202734,-1.5528348,0.3501008
84,0.8435159,0.7442939,"('inferior', 'superior')",0.906568,0.92216736,0.5642963,0.53779155,0.7714601,0.7347509,0.0367092
75,-0.8347504,-0.82991165,"('meek', 'impulsive')",-0.46687463,-0.41603008,-0.4006106,-0.54197454,-0.5674119,-0.5959721,0.0285602
31,-0.8071961,-0.24179108,"('evil', 'good')",-0.049991608,0.19585317,-1.1816535,-0.8667896,-0.6796137,-0.3042425,-0.3753712
1,0.804286,1.2570037,"('unfriendly', 'friendly')",1.2070646,1.5827619,1.5026228,1.8534201,1.1713245,1.5643953,-0.3930708
72,0.80234855,0.7601402,"('unambitious', 'ambitious')",0.8703956,1.0847124,-0.8431654,-0.7253219,0.2765263,0.3731769,-0.0966506
21,-0.7922841,-0.9177384,"('immoral', 'moral')",-0.9229849,-1.2265608,-0.80094737,-0.99434686,-0.8387388,-1.0462154,0.2074766
11,0.76753294,0.29465693,"('unhelpful', 'helpful')",-0.033101544,-0.2785447,2.1678588,1.7626302,0.9674301,0.5929141,0.374516
50,0.7522522,0.6820489,"('clumsy', 'skillful')",-0.19603084,-0.09901639,-0.28525025,-0.20099196,0.0903237,0.1273469,-0.0370232
26,0.746441,1.038835,"('hardhearted', 'benevolent')",1.8669101,2.0316384,1.0432788,1.1607251,1.2188767,1.4103994,-0.1915227
10,-0.7427412,-1.0084627,"('unsympathetic', 'sympathetic')",-1.3967439,-1.3968877,-0.40193707,-0.54989153,-0.8471407,-0.9850806,0.1379399
16,0.7304713,0.83211803,"('unpopular', 'popular')",1.2191652,1.4886731,-0.068632275,0.023111664,0.6270014,0.7813009,-0.1542995
66,-0.72152835,-0.5397439,"('inactive', 'active')",-0.35049015,0.0022857264,-0.0093680695,0.18440858,-0.3604622,-0.1176832,-0.242779
13,-0.71017367,-0.9050358,"('impolite', 'polite')",-0.85236,-0.90773666,-0.35307753,-0.6209991,-0.638537,-0.8112572,0.1727202
70,-0.6845864,-1.0328667,"('lethargic', 'energetic')",-1.8105955,-1.9788954,0.35780397,0.18010029,-0.7124593,-0.9438873,0.231428
68,-0.68248916,-0.8098962,"('dependent', 'independent')",-1.1085215,-1.1457484,-1.5243411,-1.4314479,-1.1051172,-1.1290309,0.0239137
48,0.6652339,0.38958603,"('unintelligent', 'intelligent')",0.09500583,-0.016237468,-0.084161535,-0.07820015,0.2253594,0.0983828,0.1269766
69,-0.6456656,-0.26770085,"('lazy', 'industrious')",0.10380769,0.23524353,-1.4506314,-1.2730719,-0.6641631,-0.4351764,-0.2289867
44,-0.62013,-0.8524284,"('prejudiced', 'unprejudiced')",-1.44799,-1.5587814,-1.0060968,-1.086957,-1.0247389,-1.1660556,0.1413167
5,0.61950946,1.145674,"('distant', 'outgoing')",0.8444558,1.0316412,-0.83613557,-0.7281413,0.2092765,0.483058,-0.2737815
12,0.612066,0.66747653,"('unsupportive', 'supportive')",0.8289656,0.9560478,-2.1715643,-2.1724916,-0.2435109,-0.1829891,-0.0605218
52,-0.59421873,-0.087963715,"('irrational', 'rational')",0.6717779,0.77293116,-0.29049084,-0.16769081,-0.0709772,0.1724255,-0.2434027
4,-0.5722871,-0.31585675,"('disliked', 'liked')",0.11568093,0.0032974686,-7.506833,-7.7883315,-2.6544797,-2.700297,0.0458173
86,-0.5542285,-0.49071032,"('uninfluential', 'influential')",-0.5402537,-0.60058594,-0.7185395,-0.67465615,-0.6043406,-0.5886508,-0.0156898
36,-0.55194825,0.20646125,"('hostile', 'amicable')",0.5758568,0.9669063,-0.40508106,-0.07912404,-0.1270575,0.3647478,-0.4918053
34,-0.4973145,-0.58213574,"('mean', 'honorable')",0.07922969,-0.020938985,5.4358864,5.443653,1.6726006,1.6135262,0.0590744
24,-0.4951353,-0.6031851,"('dishonest', 'honest')",-0.953614,-1.1706532,0.45980272,0.47560278,-0.3296489,-0.4327452,0.1030963
40,-0.47959015,-0.16717097,"('stingy', 'generous')",-0.47260505,-0.35015923,-2.3019035,-2.0368989,-1.0846996,-0.8514097,-0.2332899
79,-0.4702501,-0.2510842,"('wavering', 'unwavering')",-0.12596995,0.21091644,-0.7811425,-0.7527549,-0.4591208,-0.2643076,-0.1948132
61,0.4448352,0.40055183,"('illogical', 'logical')",0.5548349,0.39674327,-0.18500106,-0.2516461,0.2715563,0.181883,0.0896733
63,0.4262427,0.21656667,"('unperceptive', 'insightful')",0.12749544,0.12706433,0.5387065,0.3845398,0.3641482,0.2427236,0.1214246
39,0.41347778,0.29767305,"('exploitative', 'cooperative')",0.42628092,0.31186858,0.52117634,0.54809934,0.453645,0.3858803,0.0677647
58,-0.40658405,-0.42815384,"('undiscriminating', 'discriminating')",-0.31721613,-0.63541937,-0.12010161,-0.20299906,-0.2813006,-0.4221907,0.1408901
49,0.3836776,0.36886767,"('unable', 'able')",0.12573604,0.10990364,-0.79684097,-0.84232587,-0.0958091,-0.1211849,0.0253758
87,0.37458012,0.15940483,"('unsuccessful', 'successful')",0.34663564,0.27655166,0.31093574,0.23008773,0.3440505,0.2220147,0.1220358
57,-0.30622822,-0.40618023,"('unimaginative', 'imaginative')",-0.80112666,-0.84196496,-3.425559,-3.546725,-1.5109714,-1.5982901,0.0873187
19,-0.29722768,0.015896887,"('inhospitable', 'hospitable')",0.092049874,0.21014902,-0.5411594,-0.4593406,-0.2487791,-0.0777649,-0.1710142
74,0.29460913,0.2572129,"('undedicated', 'dedicated')",0.13133809,0.059144363,0.057207987,0.080264226,0.1610517,0.1322072,0.0288445
33,0.27619156,0.6543385,"('wrong', 'right')",0.7101949,1.0354112,-0.97854984,-0.78132945,0.0026122,0.3028068,-0.3001946
42,0.26378435,0.058465883,"('unreliable', 'reliable')",-0.24919517,-0.48801446,-3.093185,-3.3480556,-1.0261986,-1.2592014,0.2330028
43,0.25913483,-0.009689419,"('irresponsible', 'responsible')",-0.8829158,-0.8636327,0.40217996,0.23360777,-0.073867,-0.2132381,0.1393711
62,0.2576499,-0.19414249,"('incompetent', 'brilliant')",-0.6450291,-0.921892,0.07896803,-0.23286779,-0.1028037,-0.4496341,0.3468304
18,-0.23960036,0.2144241,"('disagreeable', 'welcoming')",0.58733726,0.835604,-1.074587,-0.6458235,-0.2422834,0.1347349,-0.3770183
51,-0.21947797,-0.2625201,"('uneducated', 'educated')",0.07115086,0.0039183646,0.6658374,0.6444642,0.1725034,0.1286208,0.0438826
7,0.21023607,0.14166161,"('insensitive', 'sensitive')",-0.5019214,-0.38921258,0.19655687,0.24983375,-0.0317095,0.0007609,-0.0324704
20,-0.20952192,-0.30392006,"('rough', 'thoughtful')",-0.44887137,-0.5659505,0.39716026,0.45074397,-0.0870777,-0.1397089,0.0526312
29,0.20859692,0.1478136,"('unfair', 'fair')",-0.68419456,-0.7097679,-0.9216867,-0.873377,-0.4657615,-0.4784438,0.0126823
60,0.2083846,-0.2792009,"('inefficient', 'efficient')",-0.63394517,-1.0556686,0.36942628,0.048009355,-0.0187114,-0.4289534,0.410242
35,-0.19277689,0.08473075,"('corrupt', 'incorrupt')",0.05406035,0.24676639,-0.83038324,-0.6608376,-0.3230333,-0.1097802,-0.2132531
0,-0.19199875,-0.252481,"('unsociable', 'sociable')",-0.25961447,-0.27687734,-0.09643609,-0.07028067,-0.1826831,-0.1998797,0.0171966
54,0.1377464,0.3046086,"('incapable', 'capable')",0.45431828,0.7128004,0.6745048,0.7950056,0.4221898,0.6041382,-0.1819484
83,-0.13618243,-0.24061221,"('powerless', 'powerful')",0.011033494,-0.13635328,-1.1284091,-1.2604495,-0.4178527,-0.545805,0.1279523
38,0.13477385,-0.061281767,"('untruthful', 'truthful')",-0.27938485,-0.36377865,-0.12901801,-0.35034913,-0.0912097,-0.2584699,0.1672602
27,0.130352,0.29369155,"('hardhearted', 'softhearted')",-0.18477054,0.15374029,0.6328183,0.9124451,0.1927999,0.4532923,-0.2604924
55,0.10871878,-0.23322476,"('incompetent', 'clever')",-0.59814084,-0.71854484,0.31206295,0.27385572,-0.0591197,-0.2259713,0.1668516
28,0.08281165,0.2444568,"('disloyal', 'loyal')",-0.4051157,-0.23613015,1.010528,0.89843583,0.229408,0.3022542,-0.0728462
25,0.074556865,0.5336385,"('egoistic', 'altruistic')",0.18975487,0.4636576,1.2977941,1.6438626,0.520702,0.8803862,-0.3596842
