,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
55,5.4368434,5.11416,"('incompetent', 'clever')",1.8046796,1.6805248,-1.4672126,-1.3988786,1.92477,1.7986021,0.1261679
31,-5.3552322,-5.147988,"('evil', 'good')",-1.8698316,-1.8215655,0.3755088,0.30151823,-2.283185,-2.2226783,-0.0605067
10,5.132999,4.8561873,"('unsympathetic', 'sympathetic')",1.4701011,1.2304109,-1.7250693,-1.7695824,1.6260103,1.4390054,0.1870049
60,5.0418873,4.7198067,"('inefficient', 'efficient')",2.0999346,2.0483305,-0.54480237,-0.3558876,2.1990066,2.1374165,0.0615901
46,4.90109,4.69844,"('uncompetitive', 'competitive')",1.4281114,1.4070758,-0.91312665,-0.79092467,1.8053584,1.7715305,0.0338279
21,4.7270436,4.553369,"('immoral', 'moral')",1.2961899,1.1496899,-1.24636,-1.1958035,1.5922912,1.5024185,0.0898727
7,4.705124,4.4410586,"('insensitive', 'sensitive')",1.5732365,1.4990249,-0.20119658,-0.22771564,2.0257212,1.9041227,0.1215985
36,-4.6703076,-4.3918295,"('hostile', 'amicable')",-2.044314,-1.983379,1.4202721,1.3466103,-1.7647832,-1.6761993,-0.0885839
35,-4.610149,-4.2475653,"('corrupt', 'incorrupt')",-0.95689124,-0.8816758,0.76607615,0.75864744,-1.6003213,-1.4568645,-0.1434568
62,4.472393,4.30906,"('incompetent', 'brilliant')",1.7844827,1.8367777,-0.09676899,0.10726819,2.053369,2.0843687,-0.0309997
80,4.3600564,4.0759435,"('dominated', 'dominating')",1.7894578,1.6058016,-0.95246446,-0.9906373,1.7323499,1.5637026,0.1686473
85,-4.2145214,-3.9191885,"('insignificant', 'prestigious')",-1.6205263,-1.6090913,0.9289163,0.81213766,-1.6353771,-1.5720474,-0.0633297
79,-3.9902735,-3.8739624,"('wavering', 'unwavering')",-0.5177718,-0.6732981,0.98244804,0.8812772,-1.175199,-1.2219944,0.0467954
23,3.9389148,3.7586198,"('insincere', 'sincere')",2.075321,2.0017614,2.9918942,2.9429004,3.0020434,2.9010938,0.1009496
