,cummins_male,cummins_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.7814171,1.7193662,"('lazy', 'industrious')",-0.21216261,-0.7523322,0.7846273,0.483517,0.3011103
57,-1.5166986,-1.5452194,"('unimaginative', 'imaginative')",-2.3830488,-2.6824975,-1.9498737,-2.1138585,0.1639848
18,-1.4559886,-1.6197331,"('disagreeable', 'welcoming')",-0.72713345,-0.86564606,-1.0915611,-1.2426896,0.1511285
65,-1.4084336,-1.0797985,"('insecure', 'secure')",-1.1591562,-0.49344748,-1.2837949,-0.786623,-0.4971719
73,1.3887028,1.2174208,"('helpless', 'self-reliant')",-3.0332696,-3.4349432,-0.8222834,-1.1087612,0.2864778
72,-1.2906142,-1.4108502,"('unambitious', 'ambitious')",-1.43187,-1.2299355,-1.3612421,-1.3203928,-0.0408493
33,1.2791059,1.0240387,"('wrong', 'right')",-0.28919345,-0.9499398,0.4949562,0.0370494,0.4579068
87,1.2333512,1.3767763,"('unsuccessful', 'successful')",0.9262904,0.95845073,1.0798209,1.1676135,-0.0877926
55,-1.2140944,-0.9977455,"('incompetent', 'clever')",-0.05779443,0.39361608,-0.6359444,-0.3020647,-0.3338797
39,1.1980524,0.9724869,"('exploitative', 'cooperative')",-0.00605274,-0.27046707,0.5959998,0.3510099,0.2449899
8,-1.1936859,-1.5735779,"('unaffectionate', 'affectionate')",0.5605784,-0.018931862,-0.3165537,-0.7962549,0.4797012
84,0.99676156,0.999967,"('inferior', 'superior')",1.0797954,1.1030492,1.0382785,1.0515081,-0.0132296
85,0.98102134,0.5131981,"('insignificant', 'prestigious')",1.0590607,0.06282359,1.020041,0.2880108,0.7320302
71,0.9776053,0.80388224,"('diffident', 'self-confident')",0.78527033,0.46561787,0.8814378,0.6347501,0.2466877
10,-0.94852144,-0.71352404,"('unsympathetic', 'sympathetic')",0.21843898,0.5999123,-0.3650412,-0.0568059,-0.3082353
76,-0.84477574,-0.46994075,"('anxious', 'daring')",0.24455425,0.7820389,-0.3001108,0.1560491,-0.4561599
59,0.82870317,0.73066586,"('foolish', 'wise')",0.51602197,0.07723521,0.6723626,0.4039505,0.2684121
42,-0.7877401,-0.58769083,"('unreliable', 'reliable')",-3.207542,-3.2449784,-1.9976411,-1.9163346,-0.0813065
60,-0.75566983,-0.38005432,"('inefficient', 'efficient')",-0.26500595,0.60323846,-0.5103379,0.1115921,-0.62193
51,-0.73550814,-0.4375039,"('uneducated', 'educated')",1.1052473,1.2303759,0.1848696,0.396436,-0.2115664
67,0.7051418,0.70105064,"('doubtful', 'determined')",-0.64044064,-0.53713757,0.0323506,0.0819565,-0.0496059
82,-0.7002621,-0.11376011,"('poor', 'rich')",5.6194963,6.535444,2.4596171,3.2108419,-0.7512248
48,-0.699904,-0.5836997,"('unintelligent', 'intelligent')",0.63785183,0.91559446,-0.0310261,0.1659474,-0.1969735
49,-0.69259006,-0.5929047,"('unable', 'able')",-0.182078,0.02208358,-0.437334,-0.2854106,-0.1519234
26,0.6544875,0.18024209,"('hardhearted', 'benevolent')",1.4152367,0.72872365,1.034862,0.4544829,0.5803791
17,-0.63978267,-0.8698178,"('nasty', 'nice')",-0.1786482,-0.31029335,-0.4092155,-0.5900556,0.1808401
14,-0.6375829,-0.5878986,"('antisocial', 'social')",-1.1750304,-0.909691,-0.9063066,-0.7487948,-0.1575118
81,-0.6178719,-0.17936951,"('submissive', 'aggressive')",-0.9338655,-0.17122138,-0.7758687,-0.1752954,-0.6005733
45,-0.59261936,-0.39036533,"('incompetent', 'competent')",-0.25634128,0.22560859,-0.4244803,-0.0823784,-0.3421019
68,-0.5618513,-0.57461625,"('dependent', 'independent')",0.086365364,0.19808203,-0.237743,-0.1882671,-0.0494759
74,0.561271,0.5657438,"('undedicated', 'dedicated')",0.17203839,0.12907493,0.3666547,0.3474094,0.0192453
77,-0.5374613,-0.30673832,"('unmotivated', 'motivated')",-0.90779436,-0.5975096,-0.7226278,-0.452124,-0.2705038
27,-0.5243257,-0.72923,"('hardhearted', 'softhearted')",1.6491724,1.3340756,0.5624233,0.3024228,0.2600005
15,-0.51920706,-0.796707,"('boring', 'funny')",0.14484525,-0.009820892,-0.1871809,-0.4032639,0.216083
5,0.518577,0.13270432,"('distant', 'outgoing')",-0.07685047,-0.52783716,0.2208633,-0.1975664,0.4184297
7,-0.51278096,-0.34767038,"('insensitive', 'sensitive')",0.6961702,0.9198863,0.0916946,0.286108,-0.1944134
30,-0.49486256,-0.5961416,"('intolerant', 'tolerant')",0.6646922,0.86420584,0.0849148,0.1340321,-0.0491173
43,-0.4901927,-0.5083719,"('irresponsible', 'responsible')",0.52876556,0.62156963,0.0192864,0.0565989,-0.0373125
3,-0.47985846,-0.35900065,"('repellent', 'pleasant')",0.114703864,0.22291403,-0.1825773,-0.0680433,-0.114534
63,0.4780236,0.5957316,"('unperceptive', 'insightful')",1.5344753,1.8191941,1.0062494,1.2074628,-0.2012134
28,-0.47160342,-0.68642545,"('disloyal', 'loyal')",0.65333074,0.8076504,0.0908637,0.0606125,0.0302512
0,-0.45513052,-0.48750782,"('unsociable', 'sociable')",-0.5522854,-0.23544963,-0.5037079,-0.3614787,-0.1422292
83,0.45274085,0.116095096,"('powerless', 'powerful')",-0.7393407,-0.69732374,-0.1432999,-0.2906143,0.1473144
37,0.4489661,0.42389286,"('fake', 'genuine')",0.5523715,0.59939784,0.5006688,0.5116453,-0.0109765
50,0.44189343,0.71082443,"('clumsy', 'skillful')",0.7133473,0.5654623,0.5776204,0.6381434,-0.060523
52,-0.43660662,-0.94164884,"('irrational', 'rational')",-0.33856392,-1.0104069,-0.3875853,-0.9760278,0.5884425
75,0.43353003,0.45156026,"('meek', 'impulsive')",-0.20548856,-0.31501514,0.1140207,0.0682726,0.0457481
86,-0.42515647,-0.40332103,"('uninfluential', 'influential')",0.26399258,0.4254353,-0.0805819,0.0110571,-0.091639
70,-0.4196075,-0.11275461,"('lethargic', 'energetic')",0.44727904,1.0803854,0.0138358,0.4838154,-0.4699796
16,-0.417903,-0.24275793,"('unpopular', 'popular')",0.6773592,0.7000308,0.1297281,0.2286364,-0.0989083
53,-0.4081185,-0.49655545,"('uncreative', 'creative')",0.7375982,0.62116486,0.1647398,0.0623047,0.1024351
1,0.40454108,0.08339365,"('unfriendly', 'friendly')",1.8678697,1.3020391,1.1362054,0.6927164,0.443489
19,-0.38037086,-0.6536245,"('inhospitable', 'hospitable')",0.2774291,-0.0025407504,-0.0514709,-0.3280826,0.2766117
21,-0.3799351,-0.37701905,"('immoral', 'moral')",-0.58853567,-0.24897826,-0.4842354,-0.3129987,-0.1712367
62,-0.37540793,0.009227894,"('incompetent', 'brilliant')",0.23197377,0.8967881,-0.0717171,0.453008,-0.5247251
6,-0.37356943,-0.7438974,"('distant', 'open')",0.48505974,-0.07903688,0.0557452,-0.4114671,0.4672123
41,-0.3705364,-0.68346345,"('unforgiving', 'forgiving')",-0.3815524,-0.5641695,-0.3760444,-0.6238165,0.2477721
78,0.34617236,0.7595902,"('nonresilient', 'resilient')",1.3120699,1.3231915,0.8291211,1.0413909,-0.2122698
20,-0.33722532,-0.50457597,"('rough', 'thoughtful')",1.460267,1.1368177,0.5615208,0.3161209,0.2453999
61,0.3359626,0.23349902,"('illogical', 'logical')",0.33891237,0.33628812,0.3374375,0.2848936,0.0525439
29,0.2851419,0.31325737,"('unfair', 'fair')",-0.56719756,-0.8046976,-0.1410278,-0.2457201,0.1046923
11,-0.27625763,0.08632576,"('unhelpful', 'helpful')",2.0426772,2.4023125,0.8832098,1.2443191,-0.3611093
35,0.2737288,-0.04526679,"('corrupt', 'incorrupt')",0.051711567,-0.63003474,0.1627202,-0.3376508,0.500371
4,0.26713526,0.09275681,"('disliked', 'liked')",-5.8162766,-6.4019732,-2.7745707,-3.1546082,0.3800375
58,0.24422795,-0.0045589204,"('undiscriminating', 'discriminating')",0.06773077,0.06088772,0.1559794,0.0281644,0.127815
36,-0.2377524,-0.86502576,"('hostile', 'amicable')",-0.12347907,-0.71268636,-0.1806157,-0.788856,0.6082403
47,-0.2146345,-0.1514278,"('stupid', 'smart')",4.900079,5.4464407,2.3427222,2.6475065,-0.3047843
79,0.21292725,0.27960032,"('wavering', 'unwavering')",0.4277532,0.35666978,0.3203402,0.3181351,0.0022051
9,-0.18729633,-0.37770146,"('unaffectionate', 'caring')",1.1242391,0.8124874,0.4684714,0.217393,0.2510784
22,-0.1751789,-0.19614922,"('untrustworthy', 'trustworthy')",-1.3991311,-1.2395636,-0.787155,-0.7178564,-0.0692986
56,0.15742679,0.5064989,"('impractical', 'practical')",-0.36076686,0.23220985,-0.10167,0.3693544,-0.4710244
24,0.13360977,0.050678518,"('dishonest', 'honest')",0.5631268,0.8307014,0.3483683,0.44069,-0.0923217
25,-0.129148,-0.30324593,"('egoistic', 'altruistic')",1.0853869,0.8366689,0.4781194,0.2667115,0.2114079
38,0.12365328,0.17372058,"('untruthful', 'truthful')",0.42049024,0.5730169,0.2720717,0.3733687,-0.101297
12,-0.121512294,-0.03969185,"('unsupportive', 'supportive')",-1.3923054,-1.5655211,-0.7569088,-0.8026065,0.0456977
31,-0.09777688,-0.6290219,"('evil', 'good')",-0.9617107,-1.4633713,-0.5297438,-1.0461966,0.5164528
64,-0.07236267,-0.11518155,"('shy', 'confident')",-6.990468,-7.0511484,-3.5314155,-3.5831649,0.0517494
88,-0.064479016,-0.33661905,"('low', 'eminent')",0.2602529,0.19399688,0.0978869,-0.0713111,0.169198
66,0.063821025,0.11940727,"('inactive', 'active')",1.1706831,0.8850287,0.6172521,0.502218,0.1150341
54,-0.05693408,-0.026582167,"('incapable', 'capable')",0.92631733,0.9028645,0.4346916,0.4381412,-0.0034496
23,-0.05308586,0.19928217,"('insincere', 'sincere')",5.6388373,6.464908,2.7928758,3.3320951,-0.5392193
2,0.05048345,0.10443239,"('unlikable', 'likable')",0.10984765,-0.015305713,0.0801656,0.0445633,0.0356023
46,0.050461553,0.38573936,"('uncompetitive', 'competitive')",-0.031304155,0.32329077,0.0095787,0.3545151,-0.3449364
40,-0.04604883,-0.09976313,"('stingy', 'generous')",-1.1214267,-1.4196922,-0.5837378,-0.7597277,0.1759899
80,-0.043487847,0.20524529,"('dominated', 'dominating')",-0.7332304,-0.6640991,-0.3883591,-0.2294269,-0.1589322
34,-0.02840104,-0.054653224,"('mean', 'honorable')",5.9941945,6.5985827,2.9828968,3.2719648,-0.289068
44,-0.024548503,0.003705415,"('prejudiced', 'unprejudiced')",-1.7172893,-1.9201554,-0.8709189,-0.958225,0.0873061
13,-0.010569572,0.023015738,"('impolite', 'polite')",-0.19787319,0.16899692,-0.1042214,0.0960063,-0.2002277
32,-0.004611913,0.07279973,"('unkind', 'kind')",0.7931202,0.91068184,0.3942541,0.4917408,-0.0974867
