,colgate_male,colgate_female,tuple,palmolive_male,palmolive_female,co_male,co_female,average_male,average_female,male-female
86,-2.270159,-2.4324288,"('uninfluential', 'influential')",-1.5042063,-1.5503887,-0.4434357,-0.56413096,-1.4059337,-1.5156495,0.1097158
10,-2.2409327,-2.4449227,"('unsympathetic', 'sympathetic')",-1.8950865,-1.8545675,0.095222786,-0.057406653,-1.3469321,-1.4522988,0.1053667
23,-1.6301646,-1.7468315,"('insincere', 'sincere')",-1.862672,-1.8098575,5.933694,5.458833,0.8136191,0.6340481,0.179571
35,1.6158749,1.7143011,"('corrupt', 'incorrupt')",1.8823107,1.6763612,-0.57831997,-0.68511087,0.9732885,0.9018505,0.071438
69,1.5784006,1.8906646,"('lazy', 'industrious')",2.9114776,2.934287,-0.94936585,-0.6457138,1.1801708,1.3930793,-0.2129085
28,-1.5682446,-1.7344561,"('disloyal', 'loyal')",-0.5234754,-0.77345973,0.9709932,0.826574,-0.3735756,-0.5604472,0.1868716
0,-1.5320699,-1.7461017,"('unsociable', 'sociable')",-1.1147686,-1.2956895,0.03625448,-0.068423755,-0.8701948,-1.0367383,0.1665435
63,-1.5014545,-1.7066823,"('unperceptive', 'insightful')",-1.5813272,-1.7065334,0.25957292,0.13209642,-0.9410696,-1.0937064,0.1526368
44,1.426642,1.4112495,"('prejudiced', 'unprejudiced')",1.0581737,1.0778604,-1.2155315,-1.1636345,0.4230947,0.4418252,-0.0187305
48,-1.3970718,-1.4568822,"('unintelligent', 'intelligent')",-1.4057114,-1.4030879,-0.07903595,-0.124831095,-0.9606064,-0.9949338,0.0343274
57,-1.3535054,-1.6919271,"('unimaginative', 'imaginative')",-1.1744155,-1.3604387,-3.1108048,-3.0395248,-1.8795751,-2.0306301,0.151055
43,-1.3238099,-1.4913632,"('irresponsible', 'responsible')",-2.054933,-2.0393972,0.5698939,0.5462344,-0.936283,-0.994842,0.058559
1,-1.2608438,-1.1632481,"('unfriendly', 'friendly')",-0.2846126,-0.43547487,1.5558814,1.4973872,0.003475,-0.0337786,0.0372536
46,-1.2254729,-1.3998563,"('uncompetitive', 'competitive')",-1.8235282,-1.8024255,-0.75097615,-0.70107156,-1.2666591,-1.3011178,0.0344587
41,-1.2159711,-1.5382937,"('unforgiving', 'forgiving')",-1.0193483,-1.0602525,0.0070115253,-0.054235045,-0.7427693,-0.8842604,0.1414911
9,-1.1587088,-1.1639266,"('unaffectionate', 'caring')",-0.8295488,-0.8982304,0.86884695,0.83745253,-0.3731369,-0.4082348,0.0350979
38,-1.1450315,-1.2351921,"('untruthful', 'truthful')",-0.6328142,-0.699009,-0.13374773,-0.25560626,-0.6371978,-0.7299357,0.0927379
13,-1.1405377,-1.1961744,"('impolite', 'polite')",-0.86907,-0.8955427,-0.1498779,-0.14192542,-0.7198286,-0.7445474,0.0247188
11,-1.1061306,-1.3049743,"('unhelpful', 'helpful')",-2.1480389,-2.261717,1.9724065,1.7778858,-0.4272543,-0.5962685,0.1690142
70,-1.0394201,-1.3734736,"('lethargic', 'energetic')",-0.7773964,-0.82902366,0.70581007,0.50795645,-0.3703355,-0.5648469,0.1945114
45,-1.0245047,-1.6131663,"('incompetent', 'competent')",-0.4829219,-0.7544155,-0.1815155,-0.5089689,-0.5629807,-0.9588502,0.3958695
66,1.0145652,1.107175,"('inactive', 'active')",0.49195224,0.38346675,0.5025357,0.35545096,0.6696844,0.6153642,0.0543202
21,-1.0075275,-0.97714627,"('immoral', 'moral')",-0.9147016,-0.87175524,-0.65024686,-0.6204557,-0.857492,-0.8231191,-0.0343729
12,-0.9988718,-1.0997397,"('unsupportive', 'supportive')",-1.348936,-1.2383777,-2.0211253,-1.8367378,-1.4563111,-1.3916184,-0.0646927
51,-0.9520083,-0.9602854,"('uneducated', 'educated')",-0.86396754,-0.88218135,0.63347113,0.52484024,-0.3941683,-0.4392089,0.0450406
