,merck_male,merck_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.7380607,2.6514754,"('lazy', 'industrious')",0.7902287,0.6905401,2.418098,2.3062372,-0.053612173,0.0073526353,1.4731938,1.4139013,0.0592925
35,2.4387734,2.4541361,"('corrupt', 'incorrupt')",0.38281974,0.34002227,1.1928254,1.0933586,0.6217785,0.6862084,1.1590493,1.1434313,0.015618
85,2.168342,2.081616,"('insignificant', 'prestigious')",1.8781829,1.7336144,1.8803889,1.7183088,1.7288979,1.7525251,1.9139529,1.821516,0.0924369
33,1.9966745,1.8876852,"('wrong', 'right')",0.5899805,0.5201731,0.60611457,0.53185505,-0.024680987,0.057722867,0.7920222,0.7493591,0.0426631
3,-1.7819958,-1.7183609,"('repellent', 'pleasant')",-0.63733816,-0.5984069,0.056782108,0.09669874,-0.19323277,-0.24774094,-0.6389462,-0.6169525,-0.0219937
72,-1.773574,-1.6758636,"('unambitious', 'ambitious')",-0.8481538,-0.8158098,-0.55666107,-0.4874879,-0.8968707,-0.83315694,-1.0188149,-0.9530796,-0.0657353
46,-1.7196814,-1.7894174,"('uncompetitive', 'competitive')",-0.02747916,-0.026996795,-0.7218025,-0.56823146,-0.8780676,-1.020379,-0.8367577,-0.8512561,0.0144984
82,-1.6076647,-1.3808148,"('poor', 'rich')",-0.6444428,-0.49205083,-1.6262193,-1.4155495,5.7902117,5.8581257,0.4779712,0.6424276,-0.1644564
59,1.5370939,1.5214558,"('foolish', 'wise')",1.101467,1.0215654,0.065367766,0.016131148,0.7064015,0.7182313,0.8525825,0.819346,0.0332365
5,1.5182374,1.4353213,"('distant', 'outgoing')",0.23584883,0.11766576,0.41431245,0.35558698,0.23904371,0.3601611,0.6018606,0.5671838,0.0346768
6,1.5155226,1.4193851,"('distant', 'open')",0.47133577,0.29095978,0.18682674,0.0682232,0.9568643,1.0327084,0.7826374,0.7028191,0.0798183
71,1.397787,1.2758948,"('diffident', 'self-confident')",0.15953657,0.054519698,-0.10677974,-0.1524078,0.99697196,0.94633174,0.611879,0.5310846,0.0807944
10,-1.3911523,-1.4762092,"('unsympathetic', 'sympathetic')",-0.17876172,-0.18904631,-1.5371884,-1.4566405,-0.52220756,-0.69172657,-0.9073275,-0.9534056,0.0460781
86,-1.3819326,-1.4996606,"('uninfluential', 'influential')",-0.069835775,-0.2811552,-1.4320772,-1.5211118,0.45754236,0.37596443,-0.6065758,-0.7314908,0.124915
11,-1.3692871,-1.3528129,"('unhelpful', 'helpful')",-1.0517888,-0.9969375,-1.1586536,-1.1030271,1.5296719,1.4348247,-0.5125144,-0.5044882,-0.0080262
66,1.3196636,1.2014121,"('inactive', 'active')",1.484646,1.2627105,1.4797723,1.3159281,1.6797092,1.6366153,1.4909477,1.3541665,0.1367812
70,-1.281544,-1.4079994,"('lethargic', 'energetic')",0.36910746,0.44596836,-1.5450741,-1.4495438,0.4310912,0.33395928,-0.5066048,-0.5194039,0.0127991
15,1.2804997,1.2609209,"('boring', 'funny')",0.35821447,0.45325568,-0.12909706,-0.10234448,0.64324385,0.7556903,0.5382152,0.5918806,-0.0536654
23,-1.2681775,-1.2285154,"('insincere', 'sincere')",-0.53863335,-0.50957495,-1.8990684,-1.7699425,5.536713,5.417863,0.4577085,0.4774575,-0.019749
57,-1.2330674,-1.093719,"('unimaginative', 'imaginative')",-0.4275443,-0.29005325,-0.7452128,-0.59273624,-2.5440812,-2.508077,-1.2374763,-1.1211463,-0.11633
22,-1.2149502,-1.1256899,"('untrustworthy', 'trustworthy')",-0.4584588,-0.35987136,-1.2496428,-1.0575273,-1.2419382,-1.1890959,-1.0412475,-0.9330461,-0.1082014
2,1.1891576,1.1877842,"('unlikable', 'likable')",1.445774,1.3633201,1.5445701,1.5381671,0.7065109,0.75780576,1.2215031,1.2117693,0.0097338
45,-1.1653479,-1.1011026,"('incompetent', 'competent')",-0.32574204,-0.18552613,-2.0981445,-1.9360057,-0.47765654,-0.51698136,-1.0167227,-0.9349039,-0.0818188
60,-1.1608776,-1.223073,"('inefficient', 'efficient')",-0.18210262,-0.05439587,-1.5100768,-1.3706815,-0.37983328,-0.40124086,-0.8082225,-0.7623478,-0.0458747
36,1.1590513,1.0795592,"('hostile', 'amicable')",-0.04052879,-0.21177022,0.8812343,0.81593925,1.087536,1.1287234,0.7718232,0.7031129,0.0687103
19,1.139125,0.9206374,"('inhospitable', 'hospitable')",-0.60268617,-0.7045383,-0.45148438,-0.6502306,0.22666214,0.16571526,0.0779041,-0.067104,0.1450081
73,1.0515792,1.0645071,"('helpless', 'self-reliant')",-0.4075308,-0.3424455,1.2353482,1.2348168,-3.202376,-3.1041963,-0.3307448,-0.2868295,-0.0439153
63,-1.0480492,-1.1843655,"('unperceptive', 'insightful')",0.8682865,0.6958547,-1.1563886,-1.1675129,1.2128258,1.0361854,-0.0308314,-0.1549596,0.1241282
51,-1.045195,-1.1129104,"('uneducated', 'educated')",0.6270101,0.50764763,-0.9273859,-1.0186213,0.7483788,0.6458138,-0.149298,-0.2445176,0.0952196
13,-0.99203384,-1.0209724,"('impolite', 'polite')",-0.60905683,-0.53538483,-0.7970174,-0.7311443,-0.8659118,-0.9538678,-0.8160049,-0.8103423,-0.0056626
