,exxon_male,exxon_female,tuple,mobil_male,mobil_female,corp_male,corp_female,average_male,average_female,male-female
57,-1.8139349,-1.6215028,"('unimaginative', 'imaginative')",-2.5324557,-2.267277,-3.3067057,-3.1354544,-2.5510321,-2.3414113,-0.2096208
0,-1.760483,-1.6727529,"('unsociable', 'sociable')",-2.0925286,-2.062401,-0.17919426,-0.3262584,-1.3440687,-1.3538041,0.0097354
55,-1.6056361,-1.5336632,"('incompetent', 'clever')",-3.0314274,-2.9985347,0.5033333,0.3993009,-1.3779101,-1.3776323,-0.0002778
30,-1.5996555,-1.4421942,"('intolerant', 'tolerant')",-1.8736556,-1.8049978,0.23821619,0.22056402,-1.0783649,-1.0088759,-0.069489
8,-1.5748682,-1.6050643,"('unaffectionate', 'affectionate')",-2.1518474,-2.2265246,-0.51589775,-0.32096815,-1.4142044,-1.3841856,-0.0300188
65,-1.5707895,-1.5305709,"('insecure', 'secure')",-1.9121431,-1.9423232,-0.06298382,-0.22475728,-1.1819721,-1.2325505,0.0505784
14,-1.4947939,-1.2934566,"('antisocial', 'social')",-1.771481,-1.5976077,-0.086412534,0.037111666,-1.1175625,-0.9513175,-0.166245
70,-1.4486557,-1.4035981,"('lethargic', 'energetic')",-1.978274,-1.8659332,0.336296,0.23130016,-1.0302112,-1.0127437,-0.0174675
10,-1.4373733,-1.2633499,"('unsympathetic', 'sympathetic')",-3.070596,-2.9786541,-0.3791087,-0.37925616,-1.6290261,-1.5404201,-0.088606
43,-1.4266534,-1.2940086,"('irresponsible', 'responsible')",-2.7967477,-2.7420948,-0.13318248,-0.06230818,-1.4521945,-1.3661372,-0.0860573
86,-1.3882308,-1.2543944,"('uninfluential', 'influential')",-2.7435415,-2.593822,-0.35071698,-0.36845368,-1.494163,-1.4055567,-0.0886063
11,-1.3386279,-1.3906746,"('unhelpful', 'helpful')",-2.0280411,-2.0757456,1.8828173,1.592876,-0.4946173,-0.6245147,0.1298974
63,-1.2843238,-1.310129,"('unperceptive', 'insightful')",-1.8492668,-1.7922796,0.68167627,0.5188909,-0.8173048,-0.8611726,0.0438678
45,-1.2747443,-1.2239258,"('incompetent', 'competent')",-1.925384,-1.8621467,-0.053573623,-0.19660509,-1.0845673,-1.0942259,0.0096586
73,1.1898652,1.2290024,"('helpless', 'self-reliant')",0.7074041,0.7216313,-3.3887815,-3.2166913,-0.4971708,-0.4220192,-0.0751516
46,-1.1489891,-1.0158502,"('uncompetitive', 'competitive')",-1.5013312,-1.2590991,-0.32475007,-0.47374466,-0.9916902,-0.9162313,-0.0754589
21,-1.1460304,-0.977813,"('immoral', 'moral')",-1.8982399,-1.7821293,-0.51217884,-0.6715369,-1.1854831,-1.1438264,-0.0416567
18,-1.1126655,-0.9941366,"('disagreeable', 'welcoming')",-0.34863237,-0.26278684,-1.1621196,-0.84725386,-0.8744725,-0.7013924,-0.1730801
60,-1.0815971,-1.0491824,"('inefficient', 'efficient')",-2.1931164,-2.249166,0.24098082,-0.026660452,-1.0112442,-1.1083363,0.0970921
52,-1.0613699,-1.0623608,"('irrational', 'rational')",-0.04247047,-0.061723925,-0.82726985,-0.6340043,-0.6437034,-0.5860297,-0.0576737
48,-1.0447527,-1.0415578,"('unintelligent', 'intelligent')",-1.7978173,-1.9477229,0.8763202,0.51048917,-0.6554166,-0.8262638,0.1708472
69,1.0132169,1.0643121,"('lazy', 'industrious')",3.428477,3.53513,-0.658175,-0.34821826,1.2611729,1.4170745,-0.1559016
41,-0.9806001,-0.8202141,"('unforgiving', 'forgiving')",-2.0307379,-2.0564613,-0.9017109,-0.7323321,-1.3043497,-1.2030025,-0.1013472
81,-0.95375425,-0.8954384,"('submissive', 'aggressive')",-1.0975779,-0.9822403,-0.09867864,-0.081167236,-0.7166703,-0.6529486,-0.0637217
22,-0.924944,-0.8182566,"('untrustworthy', 'trustworthy')",-1.8991789,-1.7311249,-1.5672685,-1.4934402,-1.4637971,-1.3476073,-0.1161898
53,-0.9151059,-0.75840527,"('uncreative', 'creative')",-1.6396031,-1.3714206,-0.11380077,-0.005928226,-0.8895032,-0.711918,-0.1775852
58,-0.91326857,-0.67844754,"('undiscriminating', 'discriminating')",-0.61749125,-0.467266,0.12104185,0.15811822,-0.469906,-0.3291984,-0.1407076
54,-0.8952528,-0.76398945,"('incapable', 'capable')",-0.030210994,0.14365378,0.23088315,0.35032457,-0.2315269,-0.0900037,-0.1415232
28,-0.8747991,-0.7477109,"('disloyal', 'loyal')",-2.084743,-2.013127,0.54341197,0.42365944,-0.8053767,-0.7790596,-0.0263171
19,-0.86685425,-0.90755206,"('inhospitable', 'hospitable')",-0.3557312,-0.16914958,-0.7947733,-0.7697447,-0.6724529,-0.6154821,-0.0569708
17,-0.84788823,-0.78997475,"('nasty', 'nice')",-0.27971596,-0.2946748,-0.72830695,-0.81355333,-0.6186371,-0.6327343,0.0140972
23,-0.83988917,-0.87516725,"('insincere', 'sincere')",-1.8174665,-1.9217058,4.9539223,4.3477316,0.7655222,0.5169528,0.2485694
13,-0.83384866,-0.96374613,"('impolite', 'polite')",-1.4005892,-1.5161519,-0.4242387,-0.61563694,-0.8862255,-1.0318449,0.1456194
9,-0.7582071,-0.7978984,"('unaffectionate', 'caring')",-1.6802014,-1.7637606,0.31762096,0.33769184,-0.7069291,-0.7413224,0.0343933
77,-0.73344547,-0.61318773,"('unmotivated', 'motivated')",-0.230196,0.004730474,-0.423909,-0.6069925,-0.4625168,-0.4051499,-0.0573669
12,-0.7110453,-0.61676633,"('unsupportive', 'supportive')",-1.5345849,-1.4658085,-1.9823667,-1.8251727,-1.4093323,-1.3025825,-0.1067498
47,-0.70081663,-0.6770281,"('stupid', 'smart')",-0.57390076,-0.61794394,4.601932,4.3428407,1.1090716,1.0159562,0.0931154
1,-0.6590139,-0.5869216,"('unfriendly', 'friendly')",-1.5235331,-1.4843699,0.20239362,0.27657294,-0.6600511,-0.5982395,-0.0618116
82,-0.6438086,-0.7996934,"('poor', 'rich')",-1.6816396,-1.7543647,5.8800116,5.2879763,1.1848545,0.9113061,0.2735484
76,-0.6412615,-0.5843039,"('anxious', 'daring')",-0.72152054,-0.67243546,0.11487987,0.047517516,-0.4159674,-0.4030739,-0.0128935
31,-0.63954115,-0.5271187,"('evil', 'good')",0.71308756,0.79382795,-1.6142267,-1.4369719,-0.5135601,-0.3900875,-0.1234726
7,-0.63888943,-0.4516982,"('insensitive', 'sensitive')",-1.673292,-1.5400351,0.15172094,0.2415317,-0.7201535,-0.5834005,-0.136753
39,-0.62584764,-0.43076462,"('exploitative', 'cooperative')",-0.58112717,-0.525993,-0.25139302,-0.078726694,-0.4861226,-0.3451614,-0.1409612
72,0.6248889,0.60924363,"('unambitious', 'ambitious')",-1.7065088,-1.7549913,-0.864018,-0.9713505,-0.648546,-0.7056994,0.0571534
62,-0.6041778,-0.62539685,"('incompetent', 'brilliant')",-1.3917233,-1.4065096,0.7803174,0.56117094,-0.4051946,-0.4902452,0.0850506
38,-0.56495804,-0.5661937,"('untruthful', 'truthful')",-1.1357081,-1.2111014,-0.35156906,-0.3967455,-0.6840784,-0.7246802,0.0406018
34,-0.5595921,-0.43536448,"('mean', 'honorable')",-1.0295074,-1.0260046,5.091849,4.8250976,1.1675831,1.1212428,0.0463403
15,-0.52973497,-0.649006,"('boring', 'funny')",0.03226859,-0.034237303,-0.5071788,-0.5778476,-0.3348817,-0.4203637,0.085482
84,0.51985234,0.63144755,"('inferior', 'superior')",1.2706643,1.3090664,1.3991574,1.3252454,1.0632246,1.0885865,-0.0253619
49,-0.50473547,-0.4786299,"('unable', 'able')",-0.49895293,-0.39284158,-0.42157352,-0.52383965,-0.4750873,-0.4651037,-0.0099836
2,0.4972045,0.734699,"('unlikable', 'likable')",0.3628172,0.585609,0.091967754,0.51124007,0.3173298,0.610516,-0.2931862
36,0.4861036,0.70266086,"('hostile', 'amicable')",0.53794754,0.6991687,-1.0163846,-0.65947217,0.0025555,0.2474524,-0.2448969
80,0.46868938,0.49309754,"('dominated', 'dominating')",-0.515114,-0.53019977,0.017654225,-0.048004836,-0.0095901,-0.028369,0.0187789
35,0.45484555,0.4397542,"('corrupt', 'incorrupt')",1.4801235,1.5641253,-0.96182525,-0.75057703,0.3243813,0.4177675,-0.0933862
59,0.4387965,0.37329814,"('foolish', 'wise')",1.0065448,0.9637424,-0.5569123,-0.4443728,0.296143,0.2975559,-0.0014129
61,-0.42295945,-0.3869857,"('illogical', 'logical')",-0.044321276,0.067860276,0.4532596,0.53041816,-0.0046737,0.0704309,-0.0751046
20,-0.3983813,-0.390279,"('rough', 'thoughtful')",-0.82561475,-0.7758128,0.70685655,0.47751468,-0.1723798,-0.2295257,0.0571459
83,-0.39373374,-0.22849339,"('powerless', 'powerful')",0.29364458,0.39092508,-0.40732092,-0.48287252,-0.1691367,-0.1068136,-0.0623231
78,-0.39357522,-0.40077507,"('nonresilient', 'resilient')",0.043651067,0.09876013,0.82408834,0.55728763,0.1580547,0.0850909,0.0729638
66,0.3661222,0.50868106,"('inactive', 'active')",1.2713732,1.4365644,0.62070155,0.97021884,0.7527323,0.9718215,-0.2190892
75,0.3634974,0.27023268,"('meek', 'impulsive')",0.51529944,0.47163075,-0.49703315,-0.50278115,0.1272546,0.0796941,0.0475605
88,-0.347986,-0.27107206,"('low', 'eminent')",-0.3163939,-0.34421366,-0.57693416,-0.59529305,-0.4137714,-0.4035263,-0.0102451
44,0.3439154,0.32962742,"('prejudiced', 'unprejudiced')",0.993401,1.0093246,-1.4366534,-1.3583701,-0.0331123,-0.0064727,-0.0266396
3,-0.33955026,-0.29346147,"('repellent', 'pleasant')",-1.1177361,-1.1558517,0.68997616,0.66447544,-0.2557701,-0.2616126,0.0058425
56,-0.3356596,-0.31989622,"('impractical', 'practical')",-0.80714285,-0.7679868,-0.39002442,-0.6499831,-0.5109423,-0.5792887,0.0683464
24,0.32793164,0.34819937,"('dishonest', 'honest')",-1.7787006,-1.8738488,0.022494089,0.083372705,-0.4760916,-0.4807589,0.0046673
29,-0.31019235,-0.3735802,"('unfair', 'fair')",0.32099113,0.36601245,-0.34622324,-0.38172466,-0.1118082,-0.1297641,0.0179559
37,-0.29933587,-0.2339221,"('fake', 'genuine')",-0.66209006,-0.62447226,-0.12518145,-0.17054486,-0.3622024,-0.3429797,-0.0192227
26,-0.2828055,-0.10447728,"('hardhearted', 'benevolent')",-0.37880835,-0.27863553,0.6516995,0.9277202,-0.0033048,0.1815358,-0.1848406
74,-0.25570554,-0.16051453,"('undedicated', 'dedicated')",-1.0002797,-0.8651953,-0.50966716,-0.35321632,-0.5885508,-0.4596421,-0.1289087
51,-0.2498768,-0.42360422,"('uneducated', 'educated')",-0.91189706,-0.9109231,1.0938671,0.86670476,-0.0226356,-0.1559409,0.1333053
85,-0.2451232,-0.08721946,"('insignificant', 'prestigious')",1.5656664,1.6301503,-0.83190656,-0.37521848,0.1628789,0.3892374,-0.2263585
68,-0.24372393,-0.28341413,"('dependent', 'independent')",-0.4318966,-0.4082722,-0.36239678,-0.50350946,-0.3460058,-0.3983986,0.0523928
42,-0.2170219,-0.040395208,"('unreliable', 'reliable')",-0.49586642,-0.28126976,-2.8434448,-2.4115434,-1.1854444,-0.9110695,-0.2743749
4,0.17455459,0.07816041,"('disliked', 'liked')",0.211925,0.27363864,-5.954813,-5.55503,-1.8561112,-1.7344103,-0.1217009
67,0.16959554,0.13350603,"('doubtful', 'determined')",1.0085281,1.0135803,-0.23414256,-0.1014701,0.3146604,0.3485388,-0.0338784
27,-0.15808907,-0.21680067,"('hardhearted', 'softhearted')",-1.4773598,-1.5447445,0.54765075,0.6071397,-0.3625994,-0.3848018,0.0222024
16,-0.14536038,-0.24415404,"('unpopular', 'popular')",1.1598217,1.1456888,0.2416595,0.1524472,0.418707,0.3513273,0.0673797
40,-0.13855565,-0.13228238,"('stingy', 'generous')",-0.7997189,-0.77177584,-1.989046,-1.8851326,-0.9757735,-0.9297303,-0.0460432
33,0.10573214,0.021017075,"('wrong', 'right')",1.6715031,1.7059312,-0.88698536,-0.8553801,0.29675,0.2905227,0.0062273
25,-0.10000841,-0.09817133,"('egoistic', 'altruistic')",0.76789045,0.68067753,0.85629296,1.0619853,0.5080583,0.5481638,-0.0401055
71,0.09242615,0.10648965,"('diffident', 'self-confident')",0.67922693,0.8818329,0.39010385,0.3345019,0.3872523,0.4409415,-0.0536892
5,0.09154554,0.06977761,"('distant', 'outgoing')",1.2722583,1.4160213,-0.91396725,-0.8698488,0.1499455,0.2053167,-0.0553712
50,-0.09010414,-0.138887,"('clumsy', 'skillful')",1.221681,1.2157214,0.28268433,0.06054677,0.4714204,0.379127,0.0922934
87,-0.070178926,0.03463919,"('unsuccessful', 'successful')",0.9889603,1.1507757,1.2221473,1.2564898,0.7136429,0.8139682,-0.1003253
32,-0.054713257,-0.090259194,"('unkind', 'kind')",-1.3270547,-1.311439,0.23259002,0.2127485,-0.3830593,-0.3963166,0.0132573
6,-0.045873664,-0.025770063,"('distant', 'open')",0.6286225,0.76698774,-1.1759988,-0.94336474,-0.19775,-0.0673824,-0.1303676
64,0.03240045,0.25623974,"('shy', 'confident')",0.008831464,0.31327546,-5.596472,-5.136057,-1.8517466,-1.5221806,-0.329566
79,-0.0050041582,0.0357747,"('wavering', 'unwavering')",1.1266665,1.1414005,-0.65511006,-0.71709114,0.1555174,0.1533613,0.0021561
