,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.8652192,-1.7506404,"('hostile', 'amicable')",-2.087617,-2.1196647,0.27099264,0.2869156,-1.2272811,-1.1944632,-0.0328179
16,-1.8436774,-1.5617342,"('unpopular', 'popular')",0.047314644,-0.022628121,0.54386973,0.54495585,-0.4174977,-0.3464688,-0.0710289
6,-1.8252631,-1.7575319,"('distant', 'open')",-1.2543753,-1.3834958,0.19606093,0.18401591,-0.9611925,-0.9856706,0.0244781
39,1.7517773,1.6635535,"('exploitative', 'cooperative')",-0.03832206,0.0662739,0.049849004,0.1571162,0.5877681,0.6289812,-0.0412131
60,1.7476251,1.5126766,"('inefficient', 'efficient')",1.1153449,1.332868,-0.17211503,-0.051561043,0.8969516,0.9313278,-0.0343762
4,-1.6277827,-1.169324,"('disliked', 'liked')",-0.43127272,-0.5368756,-6.7510304,-5.865414,-2.9366951,-2.5238713,-0.4128238
62,1.6030824,1.5681014,"('incompetent', 'brilliant')",0.5190229,0.5143904,-0.15494573,-0.062275298,0.6557199,0.6734055,-0.0176856
56,1.5273237,1.5396203,"('impractical', 'practical')",0.82581735,0.8322725,-0.5086357,-0.44321528,0.6148351,0.6428926,-0.0280575
76,1.4674764,1.1340007,"('anxious', 'daring')",0.52996325,0.5118705,0.49868482,0.27769548,0.8320415,0.6411889,0.1908526
80,1.2705946,0.94129485,"('dominated', 'dominating')",0.51542807,0.33174515,-1.0101391,-1.1550256,0.2586279,0.0393382,0.2192897
31,-1.2595423,-1.0258495,"('evil', 'good')",-1.2999171,-1.292163,-1.1774579,-1.1226804,-1.2456392,-1.1468976,-0.0987416
5,-1.2349253,-1.0675094,"('distant', 'outgoing')",-0.847872,-0.9062644,-0.47030485,-0.26343387,-0.851034,-0.7457359,-0.1052981
81,1.2136062,0.981992,"('submissive', 'aggressive')",1.5541332,1.474318,-0.66493255,-0.66140914,0.7009356,0.5983003,0.1026353
24,1.1718682,1.2689658,"('dishonest', 'honest')",0.19576046,0.40805465,0.5143808,0.55304164,0.6273365,0.7433541,-0.1160176
85,-1.1561419,-0.75098914,"('insignificant', 'prestigious')",0.23122057,0.281083,0.39339608,0.784662,-0.1771751,0.1049186,-0.2820937
19,-1.1379752,-0.84355855,"('inhospitable', 'hospitable')",-1.6155233,-1.4853997,-0.4132201,-0.213978,-1.0555729,-0.8476454,-0.2079275
0,-1.1274482,-1.0883114,"('unsociable', 'sociable')",0.044863656,0.119669735,-0.77083164,-0.596928,-0.6178054,-0.5218565,-0.0959489
73,1.1085621,1.1895648,"('helpless', 'self-reliant')",0.7265714,0.6941424,-3.167268,-2.7690294,-0.4440448,-0.2951074,-0.1489374
65,1.0502387,0.7660781,"('insecure', 'secure')",0.27118123,0.32312027,-0.326977,-0.424244,0.331481,0.2216515,0.1098295
74,1.0421255,0.9715852,"('undedicated', 'dedicated')",0.8066133,0.72277844,-0.24853283,-0.13897933,0.533402,0.5184614,0.0149406
41,-0.9958354,-0.93900937,"('unforgiving', 'forgiving')",-0.2737619,-0.28298897,-0.1231849,0.044527106,-0.4642607,-0.3924904,-0.0717703
30,0.9539086,0.9849152,"('intolerant', 'tolerant')",1.3525265,1.5427989,0.8220371,0.98288536,1.0428241,1.1701998,-0.1273757
21,0.9436632,0.9621042,"('immoral', 'moral')",1.3467376,1.4406976,-0.4414629,-0.46283028,0.6163126,0.6466571,-0.0303445
11,0.91981083,0.7102146,"('unhelpful', 'helpful')",1.0188498,1.0212905,1.6680248,1.6520816,1.2022285,1.1278623,0.0743662
12,0.91028833,1.0069096,"('unsupportive', 'supportive')",0.9362668,0.9543333,-1.9907541,-1.550203,-0.0480663,0.1370133,-0.1850796
