,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.3255134,2.256243,"('exploitative', 'cooperative')",0.51779205,0.2792925,1.4216527,1.2677678,0.1538849
61,2.1588483,2.1336443,"('illogical', 'logical')",1.0147215,1.0788776,1.5867848,1.606261,-0.0194762
53,2.1058373,2.1174183,"('uncreative', 'creative')",0.90499514,0.8901781,1.5054163,1.5037982,0.0016181
23,1.7196225,1.718235,"('insincere', 'sincere')",5.6393056,5.722594,3.6794641,3.7204144,-0.0409503
85,1.6033385,1.6124407,"('insignificant', 'prestigious')",-0.9029844,-0.7437213,0.350177,0.4343597,-0.0841827
9,1.6022614,1.6361791,"('unaffectionate', 'caring')",0.3561399,0.5092659,0.9792007,1.0727224,-0.0935217
54,1.5374273,1.6523672,"('incapable', 'capable')",0.66164035,0.7205982,1.0995338,1.1864827,-0.0869489
26,1.5164566,1.5680109,"('hardhearted', 'benevolent')",0.9134061,0.9382965,1.2149314,1.2531537,-0.0382223
1,1.4962157,1.6007444,"('unfriendly', 'friendly')",0.48788434,0.8214609,0.9920501,1.2111026,-0.2190525
84,1.3840725,1.4279975,"('inferior', 'superior')",1.4585109,1.4170649,1.4212917,1.4225311,-0.0012394
6,1.3302293,1.4798583,"('distant', 'open')",-1.7731266,-1.3465049,-0.2214487,0.0666767,-0.2881254
44,-1.2892203,-1.3283132,"('prejudiced', 'unprejudiced')",-1.4253811,-1.456973,-1.3573008,-1.3926431,0.0353423
4,-1.2876405,-1.3037916,"('disliked', 'liked')",-5.894944,-5.9667306,-3.5912924,-3.6352611,0.0439687
81,-1.2590067,-1.3180636,"('submissive', 'aggressive')",0.07646015,-0.008949488,-0.5912733,-0.6635066,0.0722333
71,1.2239745,1.3250778,"('diffident', 'self-confident')",-0.032036673,0.20930381,0.5959689,0.7671908,-0.1712219
5,1.1601669,1.2785141,"('distant', 'outgoing')",-1.4457998,-1.1665862,-0.1428165,0.055964,-0.1987805
24,1.0778329,1.1307135,"('dishonest', 'honest')",1.0537518,1.0864908,1.0657923,1.108602,-0.0428097
12,1.0733532,1.1904165,"('unsupportive', 'supportive')",-1.5132782,-1.4268296,-0.2199625,-0.1182066,-0.1017559
62,1.027406,1.1628935,"('incompetent', 'brilliant')",0.9424068,0.91958475,0.9849064,1.0412391,-0.0563327
0,-1.0075557,-0.91599405,"('unsociable', 'sociable')",0.27250502,0.27179492,-0.3675253,-0.3220996,-0.0454257
25,0.99638635,0.980695,"('egoistic', 'altruistic')",0.5628371,0.70461404,0.7796117,0.8426545,-0.0630428
37,-0.99329114,-0.7440288,"('fake', 'genuine')",-0.21338034,0.052691396,-0.6033357,-0.3456687,-0.257667
