,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
53,-2.0162728,-2.116114,"('uncreative', 'creative')",0.7617983,0.5243852,-0.6272372,-0.7958643,0.1686271
1,-1.9636759,-2.2255507,"('unfriendly', 'friendly')",2.0205193,1.6616915,0.0284217,-0.2819296,0.3103513
86,-1.850553,-2.1193178,"('uninfluential', 'influential')",0.26420864,0.030854627,-0.7931722,-1.0442315,0.2510593
10,-1.7840614,-1.860549,"('unsympathetic', 'sympathetic')",-0.20355038,-0.32178605,-0.9938059,-1.0911674,0.0973615
63,-1.5586191,-1.5159146,"('unperceptive', 'insightful')",1.1716026,0.93143904,-0.1935083,-0.2922378,0.0987295
23,-1.3947706,-1.5726902,"('insincere', 'sincere')",4.089785,3.7712805,1.3475072,1.0992951,0.2482121
21,-1.3874762,-1.226763,"('immoral', 'moral')",-1.1904064,-1.2435238,-1.2889414,-1.2351434,-0.053798
48,-1.3170899,-1.3044839,"('unintelligent', 'intelligent')",0.016360614,0.058689445,-0.6503646,-0.6228972,-0.0274674
69,1.3105782,1.379345,"('lazy', 'industrious')",0.29743505,0.34423912,0.8040066,0.8617921,-0.0577855
51,-1.3098031,-1.278711,"('uneducated', 'educated')",-0.28355694,-0.23667699,-0.79668,-0.757694,-0.038986
44,1.30672,1.5174524,"('prejudiced', 'unprejudiced')",-1.614287,-1.2789118,-0.1537835,0.1192703,-0.2730538
11,-1.2954259,-1.152757,"('unhelpful', 'helpful')",1.1202528,0.9276634,-0.0875865,-0.1125468,0.0249603
77,-1.2637938,-1.310022,"('unmotivated', 'motivated')",-0.84812367,-1.0907483,-1.0559587,-1.2003851,0.1444264
19,-1.1583252,-1.1274161,"('inhospitable', 'hospitable')",-0.66882324,-0.6235096,-0.9135742,-0.8754629,-0.0381113
57,-1.1295699,-1.4290525,"('unimaginative', 'imaginative')",-1.1782811,-1.4382441,-1.1539254,-1.4336483,0.2797229
82,-1.0885786,-1.0474751,"('poor', 'rich')",4.1057234,4.2428827,1.5085723,1.5977038,-0.0891315
0,-1.0351962,-1.2417065,"('unsociable', 'sociable')",-0.43025225,-0.52984864,-0.7327242,-0.8857776,0.1530534
20,-1.0277747,-0.7865206,"('rough', 'thoughtful')",1.2743809,1.2203975,0.1233031,0.2169384,-0.0936353
73,0.999305,1.1281774,"('helpless', 'self-reliant')",-1.8137829,-1.6280596,-0.407239,-0.2499411,-0.1572979
27,-0.9729055,-0.9898114,"('hardhearted', 'softhearted')",0.36973238,0.32908487,-0.3015866,-0.3303633,0.0287767
80,0.96549577,0.74406064,"('dominated', 'dominating')",0.3444962,0.16151868,0.654996,0.4527897,0.2022063
78,-0.9239978,-1.1105051,"('nonresilient', 'resilient')",0.9077192,0.5013943,-0.0081393,-0.3045554,0.2964161
61,-0.9225601,-0.92889994,"('illogical', 'logical')",0.9633786,0.88438445,0.0204093,-0.0222577,0.042667
24,-0.894445,-0.94963557,"('dishonest', 'honest')",0.61258984,0.64768744,-0.1409276,-0.1509741,0.0100465
13,-0.8734606,-0.8244429,"('impolite', 'polite')",-0.61224264,-0.6263061,-0.7428516,-0.7253745,-0.0174771
9,-0.8338706,-0.98389363,"('unaffectionate', 'caring')",1.2149482,1.0660259,0.1905388,0.0410661,0.1494727
37,0.82865924,0.763082,"('fake', 'genuine')",0.7289909,0.64229405,0.778825,0.702688,0.076137
