,ust_male,ust_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.3148239,-2.0828555,"('distant', 'open')",-0.24285261,-0.520088,-1.2788383,-1.3014717,0.0226334
36,-2.0650315,-1.7867192,"('hostile', 'amicable')",0.08775592,-0.13189417,-0.9886378,-0.9593067,-0.0293311
8,-1.9207933,-1.649852,"('unaffectionate', 'affectionate')",0.4059787,0.38339162,-0.7574073,-0.6332302,-0.1241771
5,-1.9148883,-1.5944129,"('distant', 'outgoing')",-0.68031484,-0.75156236,-1.2976016,-1.1729877,-0.1246139
81,1.7758267,1.7254307,"('submissive', 'aggressive')",-0.5632018,-0.26283228,0.6063125,0.7312992,-0.1249867
60,1.6933347,1.405804,"('inefficient', 'efficient')",0.205475,0.4654175,0.9494048,0.9356108,0.013794
53,-1.5621183,-1.2510499,"('uncreative', 'creative')",0.9038838,0.78209794,-0.3291172,-0.234476,-0.0946412
66,-1.5466287,-1.4082466,"('inactive', 'active')",0.6043711,0.41504252,-0.4711288,-0.4966021,0.0254733
1,-1.4398994,-1.2663006,"('unfriendly', 'friendly')",1.6785914,1.4342738,0.119346,0.0839866,0.0353594
31,-1.4337953,-1.285956,"('evil', 'good')",-1.1097573,-1.3189399,-1.2717763,-1.302448,0.0306717
9,-1.3634381,-1.2723311,"('unaffectionate', 'caring')",0.8222266,0.71084607,-0.2706058,-0.2807425,0.0101367
35,-1.3143514,-1.1287535,"('corrupt', 'incorrupt')",-0.4874304,-0.6987493,-0.9008909,-0.9137514,0.0128605
39,1.277219,1.092308,"('exploitative', 'cooperative')",0.18140155,0.22405049,0.7293103,0.6581793,0.071131
79,-1.2666467,-1.0799139,"('wavering', 'unwavering')",-0.299298,-0.29011962,-0.7829723,-0.6850168,-0.0979555
19,-1.2243588,-1.0978239,"('inhospitable', 'hospitable')",-0.26641145,-0.3681305,-0.7453851,-0.7329772,-0.0124079
62,1.1932518,1.1501514,"('incompetent', 'brilliant')",0.2687133,0.5977168,0.7309825,0.8739341,-0.1429516
21,1.1870335,1.2411895,"('immoral', 'moral')",-0.16209316,0.04774259,0.5124702,0.644466,-0.1319958
76,1.169847,0.9980498,"('anxious', 'daring')",0.21185613,0.49250296,0.6908516,0.7452764,-0.0544248
85,-1.1617998,-0.6824324,"('insignificant', 'prestigious')",0.73986214,0.6883116,-0.2109688,0.0029396,-0.2139084
65,1.1287605,0.79566514,"('insecure', 'secure')",-0.30832207,-0.036618132,0.4102192,0.3795235,0.0306957
30,1.0142455,0.9422156,"('intolerant', 'tolerant')",1.4606608,1.580215,1.2374532,1.2612153,-0.0237621
86,-0.9938699,-1.1979097,"('uninfluential', 'influential')",-0.006569147,-0.123629354,-0.5002195,-0.6607695,0.16055
80,0.9385706,0.6623699,"('dominated', 'dominating')",-1.0787555,-0.9288504,-0.0700924,-0.1332403,0.0631479
14,0.9012606,0.89524907,"('antisocial', 'social')",-0.3411826,-0.020543722,0.280039,0.4373527,-0.1573137
56,0.8663618,0.854948,"('impractical', 'practical')",-0.35676396,-0.04312239,0.2547989,0.4059128,-0.1511139
82,-0.78753394,-0.41528016,"('poor', 'rich')",5.8494945,6.0122237,2.5309803,2.7984717,-0.2674914
44,0.7777188,0.6811749,"('prejudiced', 'unprejudiced')",-1.393736,-1.397006,-0.3080086,-0.3579156,0.049907
75,-0.7744615,-0.25960782,"('meek', 'impulsive')",-0.6855873,-0.47698432,-0.7300244,-0.3682961,-0.3617283
67,0.7446999,0.9031504,"('doubtful', 'determined')",-0.5978648,-0.2769287,0.0734175,0.3131108,-0.2396933
78,-0.7152448,-0.6083159,"('nonresilient', 'resilient')",0.085196644,0.084484875,-0.3150241,-0.2619155,-0.0531086
87,0.6880513,0.8200948,"('unsuccessful', 'successful')",0.8829267,1.1845675,0.785489,1.0023311,-0.2168421
57,-0.68009555,-0.7057849,"('unimaginative', 'imaginative')",-2.4731994,-2.4503984,-1.5766475,-1.5780916,0.0014441
52,-0.6766344,-0.6336413,"('irrational', 'rational')",0.27032015,0.09043721,-0.2031571,-0.271602,0.0684449
29,-0.6468187,-0.7533084,"('unfair', 'fair')",-0.42788637,-0.7667389,-0.5373526,-0.7600237,0.2226711
38,-0.6326508,-0.44526622,"('untruthful', 'truthful')",-0.33833626,-0.31630123,-0.4854935,-0.3807837,-0.1047098
18,-0.6290361,-0.6579795,"('disagreeable', 'welcoming')",-0.23778641,-0.39279714,-0.4334113,-0.5253883,0.091977
58,-0.6086485,-0.709219,"('undiscriminating', 'discriminating')",0.3087746,0.15508267,-0.1499369,-0.2770681,0.1271312
25,-0.60080856,-0.53517854,"('egoistic', 'altruistic')",1.5108857,1.3694116,0.4550386,0.4171165,0.0379221
51,0.5985018,0.47345933,"('uneducated', 'educated')",0.9840763,0.81231385,0.7912891,0.6428866,0.1484025
71,-0.59431666,-0.43608525,"('diffident', 'self-confident')",0.44640088,0.39443782,-0.0739579,-0.0208237,-0.0531342
16,-0.5604884,-0.24310756,"('unpopular', 'popular')",0.5867781,0.68650264,0.0131449,0.2216975,-0.2085526
73,0.5535523,0.44414434,"('helpless', 'self-reliant')",-3.051542,-2.9598904,-1.2489948,-1.2578731,0.0088783
20,0.54647326,0.4330128,"('rough', 'thoughtful')",1.3898978,1.411415,0.9681855,0.9222139,0.0459716
70,0.5412772,0.4357296,"('lethargic', 'energetic')",0.69957775,0.8311695,0.6204275,0.6334496,-0.0130221
55,0.5246783,0.26180202,"('incompetent', 'clever')",0.44727188,0.6441208,0.4859751,0.4529614,0.0330137
64,0.49272722,0.28541952,"('shy', 'confident')",-6.670808,-6.4456797,-3.0890403,-3.0801301,-0.0089102
61,0.49149975,0.30128017,"('illogical', 'logical')",0.52199733,0.37460306,0.5067486,0.3379416,0.168807
42,0.48427832,0.49240214,"('unreliable', 'reliable')",-3.2490737,-3.0947697,-1.3823977,-1.3011838,-0.0812139
88,-0.47213367,-0.29299542,"('low', 'eminent')",0.4373601,0.67707884,-0.0173868,0.1920417,-0.2094285
3,0.45989528,0.31635866,"('repellent', 'pleasant')",0.26337427,0.32314888,0.3616348,0.3197538,0.041881
54,-0.45330572,-0.24921392,"('incapable', 'capable')",0.96480715,1.0985965,0.2557507,0.4246913,-0.1689406
4,-0.42732283,-0.22352229,"('disliked', 'liked')",-6.324903,-6.312685,-3.3761129,-3.2681036,-0.1080093
68,-0.3639565,-0.59893835,"('dependent', 'independent')",-0.25382948,-0.50541574,-0.308893,-0.5521771,0.2432841
13,0.34948978,0.31410357,"('impolite', 'polite')",-0.39270818,-0.32441244,-0.0216092,-0.0051544,-0.0164548
26,-0.34797612,-0.2871337,"('hardhearted', 'benevolent')",1.8363042,1.9345974,0.744164,0.8237318,-0.0795678
69,-0.3378162,-0.30735677,"('lazy', 'industrious')",-0.63841844,-0.70325387,-0.4881173,-0.5053053,0.017188
12,-0.3368546,-0.27164644,"('unsupportive', 'supportive')",-1.9073328,-1.8395449,-1.1220937,-1.0555956,-0.0664981
48,0.32907432,0.077555686,"('unintelligent', 'intelligent')",0.94669026,0.9611909,0.6378823,0.5193733,0.118509
15,-0.32000422,-0.1807291,"('boring', 'funny')",0.32258245,0.42507398,0.0012891,0.1221724,-0.1208833
10,0.31780067,0.07898358,"('unsympathetic', 'sympathetic')",-0.38464725,-0.30536547,-0.0334233,-0.1131909,0.0797676
2,0.3123116,0.65513176,"('unlikable', 'likable')",0.40104648,0.5544475,0.356679,0.6047896,-0.2481106
27,-0.25231972,-0.34678924,"('hardhearted', 'softhearted')",1.362075,1.0933609,0.5548776,0.3732858,0.1815918
32,0.24639273,0.42033756,"('unkind', 'kind')",0.98532885,1.132591,0.6158608,0.7764643,-0.1606035
28,-0.23134968,-0.40199012,"('disloyal', 'loyal')",1.0267564,0.89532864,0.3977033,0.2466693,0.151034
