,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.17971,-2.0247715,"('unfriendly', 'friendly')",0.9376319,0.979076,-0.621039,-0.5228477,-0.0981913
6,-1.925339,-2.178299,"('distant', 'open')",-0.8145364,-1.1074989,-1.3699377,-1.6428989,0.2729612
5,-1.7739877,-1.9792079,"('distant', 'outgoing')",-0.9843174,-1.1771212,-1.3791525,-1.5781646,0.1990121
36,-1.7610447,-1.4771631,"('hostile', 'amicable')",-0.5857421,-0.25723377,-1.1733935,-0.8671984,-0.3061951
31,-1.7403772,-1.5802042,"('evil', 'good')",-1.315876,-1.5000352,-1.5281266,-1.5401196,0.011993
60,1.7029338,1.4803226,"('inefficient', 'efficient')",0.33962265,0.23274131,1.0212783,0.856532,0.1647463
79,-1.6140056,-1.5562837,"('wavering', 'unwavering')",-0.83678246,-0.8109064,-1.225394,-1.1835951,-0.0417989
19,-1.3598336,-1.2048626,"('inhospitable', 'hospitable')",-0.8164591,-0.78951305,-1.0881463,-0.9971879,-0.0909584
53,-1.346333,-1.2965503,"('uncreative', 'creative')",0.3871258,0.31102157,-0.4796036,-0.4927644,0.0131608
8,-1.3365047,-1.2231402,"('unaffectionate', 'affectionate')",0.38313523,0.18184036,-0.4766847,-0.5206499,0.0439652
29,-1.2793567,-1.6573812,"('unfair', 'fair')",-0.58108413,-0.9213602,-0.9302204,-1.2893707,0.3591503
18,-1.2423059,-0.7931761,"('disagreeable', 'welcoming')",-0.72671825,-0.53375155,-0.9845121,-0.6634638,-0.3210483
9,-1.1549379,-1.1748413,"('unaffectionate', 'caring')",1.0500214,0.8307805,-0.0524582,-0.1720304,0.1195722
54,-1.1048676,-1.0174217,"('incapable', 'capable')",0.79612046,0.8522091,-0.1543736,-0.0826063,-0.0717673
52,-1.0940789,-0.84948987,"('irrational', 'rational')",-0.58330184,-0.3007686,-0.8386904,-0.5751293,-0.2635611
66,-1.0656223,-1.364366,"('inactive', 'active')",0.44479722,-0.012438662,-0.3104126,-0.6884024,0.3779898
81,1.0468884,0.890818,"('submissive', 'aggressive')",-0.4750614,-0.38878724,0.2859135,0.2510154,0.0348981
85,-1.035902,-0.6922539,"('insignificant', 'prestigious')",-0.5660966,-0.32450938,-0.8009993,-0.5083816,-0.2926177
71,-0.9838119,-0.92496055,"('diffident', 'self-confident')",0.36445436,0.50154227,-0.3096788,-0.2117091,-0.0979697
