,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.5663033,-3.5553064,"('unsympathetic', 'sympathetic')",-0.41942906,-0.6168531,-1.9928662,-2.0860798,0.0932136
86,-2.672431,-2.7543397,"('uninfluential', 'influential')",-0.30201584,-0.31007895,-1.4872234,-1.5322093,0.0449859
28,-2.5130105,-2.584947,"('disloyal', 'loyal')",1.413888,1.1982412,-0.5495613,-0.6933529,0.1437916
24,-2.2400312,-2.312598,"('dishonest', 'honest')",0.846379,0.5856717,-0.6968261,-0.8634632,0.1666371
13,-2.2132573,-2.0080748,"('impolite', 'polite')",-0.62047017,-0.7512341,-1.4168637,-1.3796544,-0.0372093
45,-2.0042162,-2.1126053,"('incompetent', 'competent')",-0.06188804,-0.1336177,-1.0330521,-1.1231115,0.0900594
43,-1.9569261,-1.9613768,"('irresponsible', 'responsible')",0.6473125,0.5019547,-0.6548068,-0.7297111,0.0749043
0,-1.8493445,-1.8581753,"('unsociable', 'sociable')",-0.11843811,-0.27132827,-0.9838913,-1.0647517,0.0808604
30,-1.8437573,-1.6429983,"('intolerant', 'tolerant')",0.64819807,0.6902597,-0.5977796,-0.4763693,-0.1214103
12,-1.796141,-1.7686121,"('unsupportive', 'supportive')",-1.8977976,-1.8681933,-1.8469694,-1.8184028,-0.0285666
55,-1.7955866,-1.7719676,"('incompetent', 'clever')",0.53071624,0.3988077,-0.6324352,-0.6865799,0.0541447
81,-1.7727762,-1.7858137,"('submissive', 'aggressive')",-0.7446858,-0.84251755,-1.258731,-1.3141656,0.0554346
46,-1.748527,-1.7105526,"('uncompetitive', 'competitive')",-0.8568641,-0.99149907,-1.3026955,-1.3510258,0.0483303
11,-1.6550766,-1.7101654,"('unhelpful', 'helpful')",1.8225822,1.7742708,0.0837528,0.0320527,0.0517001
48,-1.6135138,-1.743203,"('unintelligent', 'intelligent')",0.8393535,0.7664988,-0.3870802,-0.4883521,0.1012719
23,-1.6043149,-1.7062413,"('insincere', 'sincere')",6.736182,6.364466,2.5659337,2.3291125,0.2368212
70,-1.5336432,-1.5431085,"('lethargic', 'energetic')",0.27607107,0.14347409,-0.6287861,-0.6998172,0.0710311
57,-1.5193243,-1.6502498,"('unimaginative', 'imaginative')",-3.2287223,-3.2215552,-2.3740234,-2.4359026,0.0618792
21,-1.4222457,-1.4361367,"('immoral', 'moral')",-0.38865328,-0.54295653,-0.9054495,-0.9895467,0.0840972
35,1.4155263,1.4844763,"('corrupt', 'incorrupt')",-0.66624606,-0.5350104,0.3746401,0.474733,-0.1000929
7,-1.4012492,-1.3538951,"('insensitive', 'sensitive')",0.8766099,0.7901194,-0.2623196,-0.2818878,0.0195682
62,-1.3883283,-1.3978683,"('incompetent', 'brilliant')",0.86152804,0.6545985,-0.2634001,-0.3716349,0.1082348
60,-1.3636234,-1.3457335,"('inefficient', 'efficient')",0.38329342,0.2847008,-0.490165,-0.5305164,0.0403514
73,1.3287084,1.4353293,"('helpless', 'self-reliant')",-2.8205087,-2.7534397,-0.7459002,-0.6590552,-0.086845
14,-1.3132082,-1.1939182,"('antisocial', 'social')",-0.33929276,-0.39013416,-0.8262505,-0.7920262,-0.0342243
