,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
60,3.7970634,3.107634,"('inefficient', 'efficient')",2.2756171,1.9695251,0.3062845,-0.039052233,2.1263216,1.679369,0.4469526
56,3.620646,3.3598306,"('impractical', 'practical')",1.9675941,1.75168,0.2634205,0.14533512,1.9505536,1.752282,0.1982716
36,-3.4657893,-2.7778072,"('hostile', 'amicable')",-2.9320436,-2.6900063,-0.32534987,0.046071168,-2.2410609,-1.8072475,-0.4338134
14,3.428834,2.864634,"('antisocial', 'social')",1.8541526,1.3322215,-0.38467672,-0.8694548,1.6327699,1.1091336,0.5236363
10,3.2553802,2.6475785,"('unsympathetic', 'sympathetic')",1.4102265,1.1055948,0.3980633,0.18786432,1.6878899,1.3136792,0.3742107
52,-3.1562276,-2.6139278,"('irrational', 'rational')",-1.425782,-0.9753035,-0.37227494,0.06707865,-1.6514281,-1.1740509,-0.4773772
85,-3.034264,-2.1241875,"('insignificant', 'prestigious')",-0.6908561,-0.4314633,0.11992973,0.66825175,-1.2017301,-0.629133,-0.5725971
16,-3.029043,-2.880079,"('unpopular', 'popular')",-1.1137666,-1.0382305,0.48518133,0.5598673,-1.2192094,-1.1194808,-0.0997286
55,3.0201905,2.3475275,"('incompetent', 'clever')",1.8699436,1.576211,0.27398714,-0.009533161,1.7213737,1.3047351,0.4166386
70,2.9783528,2.5145552,"('lethargic', 'energetic')",1.8510278,1.6225888,1.2681427,0.9696472,2.0325077,1.7022638,0.3302439
31,-2.898172,-1.8256471,"('evil', 'good')",-1.467786,-1.0661838,-1.1800933,-0.85532457,-1.8486837,-1.2490518,-0.5996319
35,-2.8707936,-2.2473207,"('corrupt', 'incorrupt')",-2.6140912,-2.4594672,-0.6947644,-0.46031985,-2.0598831,-1.7223694,-0.3375137
81,2.858912,2.0761883,"('submissive', 'aggressive')",1.8683069,1.3750519,-0.29644328,-0.5858331,1.4769251,0.9551357,0.5217894
46,2.7703052,1.8496536,"('uncompetitive', 'competitive')",2.6974468,2.4045143,-0.3180046,-0.4617891,1.7165825,1.2641263,0.4524562
6,-2.6929033,-1.9952677,"('distant', 'open')",-1.9514345,-1.5873592,0.4216181,0.8513753,-1.4075732,-0.9104172,-0.497156
5,-2.6043162,-2.0415733,"('distant', 'outgoing')",-1.369516,-1.0771002,-0.30581543,0.040987954,-1.4265491,-1.0258951,-0.400654
12,2.5915923,2.723036,"('unsupportive', 'supportive')",1.8538349,1.9174812,-1.1805446,-0.99662215,1.0882941,1.2146317,-0.1263376
86,2.5777948,1.9924918,"('uninfluential', 'influential')",0.97539705,0.5091174,0.44149685,0.25425285,1.3315629,0.9186207,0.4129422
51,2.4084547,1.6927826,"('uneducated', 'educated')",0.77957165,0.29447988,0.19048092,-0.006793618,1.1261691,0.6601563,0.4660128
21,2.4035165,1.9724253,"('immoral', 'moral')",1.45092,1.1921068,-0.58162916,-0.7269803,1.0909357,0.8125173,0.2784184
59,-2.346934,-1.4741538,"('foolish', 'wise')",-0.8615802,-0.4883397,-0.028171703,0.31825125,-1.0788953,-0.5480807,-0.5308146
44,-2.317373,-2.325959,"('prejudiced', 'unprejudiced')",-1.3431778,-1.2972311,-1.4879143,-1.5200906,-1.7161551,-1.7144268,-0.0017283
43,2.2351325,2.0753994,"('irresponsible', 'responsible')",1.4668559,1.4776064,0.97915816,0.88981795,1.5603822,1.4809411,0.0794411
76,2.2159574,1.5329349,"('anxious', 'daring')",1.4313753,1.1520422,0.3530828,0.16771638,1.3334718,0.9508979,0.3825739
69,-2.1551607,-1.6547489,"('lazy', 'industrious')",-0.16705361,-0.046538133,-0.6819712,-0.48635095,-1.0013952,-0.7292127,-0.2721825
0,2.1320736,1.6324115,"('unsociable', 'sociable')",0.8823075,0.45645237,-0.3593389,-0.64604217,0.8850141,0.4809406,0.4040735
80,2.1182265,1.3976909,"('dominated', 'dominating')",1.211295,0.8568533,-0.7690996,-1.0507635,0.853474,0.4012603,0.4522137
4,-2.1022592,-1.8045044,"('disliked', 'liked')",-0.46202183,-0.47139382,-6.4443374,-6.20901,-3.0028728,-2.8283027,-0.1745701
74,2.0939484,2.1744049,"('undedicated', 'dedicated')",1.4075752,1.3915684,0.5817744,0.90940636,1.3610992,1.4917932,-0.130694
7,2.0702305,1.9271735,"('insensitive', 'sensitive')",1.0550742,1.0537825,1.3643061,1.3079883,1.4965369,1.4296481,0.0668888
75,-1.9555719,-1.8524396,"('meek', 'impulsive')",-0.9160575,-0.8705624,-0.6459717,-0.68099123,-1.1725338,-1.1346644,-0.0378694
