,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-2.2869296,-2.0730503,"('evil', 'good')",-1.332281,-1.4196945,-1.8096054,-1.7463725,-0.0632329
1,-2.2297704,-2.1096034,"('unfriendly', 'friendly')",1.0683073,1.0924218,-0.5807316,-0.5085908,-0.0721408
73,2.110454,2.290913,"('helpless', 'self-reliant')",-3.21287,-3.2305832,-0.5512079,-0.469835,-0.0813729
8,-1.697442,-1.4136281,"('unaffectionate', 'affectionate')",0.22267103,0.35976806,-0.7373855,-0.52693,-0.2104555
36,-1.5940006,-1.3310326,"('hostile', 'amicable')",-0.72773755,-0.67240673,-1.1608691,-1.0017197,-0.1591494
86,-1.5501014,-1.5562891,"('uninfluential', 'influential')",-0.015928023,-0.13448098,-0.7830147,-0.845385,0.0623703
76,1.5029931,1.351313,"('anxious', 'daring')",0.29879722,0.46705133,0.9008952,0.9091822,-0.008287
42,1.4321748,1.3985113,"('unreliable', 'reliable')",-2.659675,-2.5640564,-0.61375,-0.5827726,-0.0309774
25,-1.4002973,-1.1870471,"('egoistic', 'altruistic')",0.6074884,0.69694024,-0.3964044,-0.2450534,-0.151351
85,-1.3656687,-1.1019738,"('insignificant', 'prestigious')",-1.2525473,-1.23328,-1.309108,-1.1676269,-0.1414811
26,-1.3463652,-1.3953834,"('hardhearted', 'benevolent')",1.4361979,1.2754414,0.0449163,-0.059971,0.1048873
53,-1.2905653,-1.0241151,"('uncreative', 'creative')",0.43370086,0.5198597,-0.4284322,-0.2521277,-0.1763045
52,-1.1696998,-0.90368724,"('irrational', 'rational')",-0.35048208,-0.19959694,-0.7600909,-0.5516421,-0.2084488
88,-1.1632781,-1.1976464,"('low', 'eminent')",-0.42341056,-0.45848787,-0.7933443,-0.8280671,0.0347228
56,1.1469411,0.89720106,"('impractical', 'practical')",0.2472326,0.1807354,0.6970868,0.5389682,0.1581186
9,-1.140796,-0.8891771,"('unaffectionate', 'caring')",1.0711814,1.1630375,-0.0348073,0.1369302,-0.1717375
27,-1.1137741,-1.1608639,"('hardhearted', 'softhearted')",0.9097121,0.8830545,-0.102031,-0.1389047,0.0368737
6,-1.0458612,-0.8873655,"('distant', 'open')",-0.8126777,-0.72889555,-0.9292694,-0.8081305,-0.1211389
81,1.0421076,0.69396704,"('submissive', 'aggressive')",0.19451402,0.13632718,0.6183108,0.4151471,0.2031637
80,1.0393431,0.7161428,"('dominated', 'dominating')",-0.2826663,-0.41517377,0.3783384,0.1504845,0.2278539
15,-1.0138102,-1.0806094,"('boring', 'funny')",0.0155356955,0.021411188,-0.4991372,-0.5295991,0.0304619
16,-0.9821854,-0.6026856,"('unpopular', 'popular')",-0.21656738,-0.10081829,-0.5993764,-0.3517519,-0.2476245
77,-0.91206896,-0.90992475,"('unmotivated', 'motivated')",-0.7838153,-0.8904395,-0.8479421,-0.9001821,0.05224
19,-0.90353197,-0.7834658,"('inhospitable', 'hospitable')",-0.79597276,-0.66611713,-0.8497524,-0.7247915,-0.1249609
37,0.8819947,0.61083835,"('fake', 'genuine')",0.6393014,0.56375474,0.7606481,0.5872965,0.1733516
32,-0.86032546,-0.96350056,"('unkind', 'kind')",0.88847554,0.95115185,0.014075,-0.0061744,0.0202494
14,0.8540738,0.7923429,"('antisocial', 'social')",0.23964679,0.08533046,0.5468603,0.4388367,0.1080236
57,-0.840245,-0.814579,"('unimaginative', 'imaginative')",-2.83494,-2.9150834,-1.8375925,-1.8648312,0.0272387
41,-0.83409214,-0.55270225,"('unforgiving', 'forgiving')",-0.15241677,-0.16588518,-0.4932545,-0.3592937,-0.1339608
35,-0.8207325,-0.53316176,"('corrupt', 'incorrupt')",-1.0472385,-1.0922973,-0.9339855,-0.8127295,-0.121256
78,-0.79655707,-0.5534845,"('nonresilient', 'resilient')",0.36547032,0.43456832,-0.2155434,-0.0594581,-0.1560853
79,-0.7828945,-0.7748879,"('wavering', 'unwavering')",-0.6944469,-0.6386448,-0.7386707,-0.7067664,-0.0319043
44,0.78110266,0.67626053,"('prejudiced', 'unprejudiced')",-1.6246123,-1.7645648,-0.4217548,-0.5441521,0.1223973
0,-0.7715192,-0.985364,"('unsociable', 'sociable')",0.06445623,-0.05143824,-0.3535315,-0.5184011,0.1648696
18,-0.76313466,-0.3128089,"('disagreeable', 'welcoming')",-0.8776546,-0.7865181,-0.8203946,-0.5496635,-0.2707311
60,0.75788575,0.57474256,"('inefficient', 'efficient')",0.67112106,0.52007806,0.7145034,0.5474103,0.1670931
70,0.73615396,0.55170226,"('lethargic', 'energetic')",0.649354,0.7691166,0.692754,0.6604095,0.0323445
4,-0.71539193,-0.3291005,"('disliked', 'liked')",-6.980101,-7.1321673,-3.8477466,-3.730634,-0.1171126
48,-0.6559511,-0.9098021,"('unintelligent', 'intelligent')",1.1760292,1.1402662,0.2600391,0.1152321,0.144807
28,-0.6398141,-0.40929997,"('disloyal', 'loyal')",1.1951826,1.3394729,0.2776842,0.4650865,-0.1874023
64,0.6368796,0.55316293,"('shy', 'confident')",-5.703096,-5.935216,-2.5331082,-2.6910264,0.1579182
84,0.59840405,0.5013357,"('inferior', 'superior')",1.1793654,1.0391158,0.8888847,0.7702258,0.1186589
67,0.5892575,0.64098644,"('doubtful', 'determined')",-0.02690832,-0.09923018,0.2811746,0.2708781,0.0102965
71,0.58529633,0.7292663,"('diffident', 'self-confident')",0.27322304,0.25065395,0.4292597,0.4899601,-0.0607004
68,0.543836,0.39064977,"('dependent', 'independent')",-0.548328,-0.6809374,-0.002246,-0.1451438,0.1428978
62,0.45806515,0.5221478,"('incompetent', 'brilliant')",0.9623022,0.8625063,0.7101837,0.692327,0.0178567
45,-0.45111233,-0.5659777,"('incompetent', 'competent')",0.35127634,0.19048947,-0.049918,-0.1877441,0.1378261
49,-0.4399154,-0.3943124,"('unable', 'able')",-0.06142412,0.10466176,-0.2506697,-0.1448253,-0.1058444
72,-0.43098274,-0.17974195,"('unambitious', 'ambitious')",-0.28884187,-0.26905087,-0.3599123,-0.2243964,-0.1355159
50,0.42538315,0.52635324,"('clumsy', 'skillful')",0.03356327,0.21154925,0.2294732,0.3689513,-0.1394781
30,0.42247707,0.3979016,"('intolerant', 'tolerant')",0.9768955,0.94841826,0.6996863,0.67316,0.0265263
69,-0.42182696,-0.38176924,"('lazy', 'industrious')",-1.0248561,-1.2211617,-0.7233415,-0.8014655,0.078124
54,-0.4196069,-0.27099544,"('incapable', 'capable')",0.684453,0.8267296,0.1324231,0.2778671,-0.145444
63,-0.40425974,-0.46042538,"('unperceptive', 'insightful')",1.0465355,0.9931546,0.3211379,0.2663646,0.0547733
17,-0.3933371,-0.2913246,"('nasty', 'nice')",-0.79962975,-0.71852964,-0.5964834,-0.5049271,-0.0915563
13,0.39219198,0.33150807,"('impolite', 'polite')",-0.29484367,-0.31201965,0.0486742,0.0097442,0.03893
46,0.36238,0.13489112,"('uncompetitive', 'competitive')",-0.2490023,-0.33785832,0.0566889,-0.1014836,0.1581725
5,-0.36118492,-0.17765294,"('distant', 'outgoing')",-0.78863496,-0.7840569,-0.5749099,-0.4808549,-0.094055
75,-0.33593094,-0.13439763,"('meek', 'impulsive')",-1.1942286,-1.1752099,-0.7650798,-0.6548038,-0.110276
74,-0.33027554,-0.3856343,"('undedicated', 'dedicated')",-0.24730057,-0.26298591,-0.2887881,-0.3243101,0.035522
61,-0.30209917,-0.3395328,"('illogical', 'logical')",0.7078845,0.682203,0.2028927,0.1713351,0.0315576
39,0.2958685,0.23490983,"('exploitative', 'cooperative')",0.042835265,0.027211767,0.1693519,0.1310608,0.0382911
55,0.29524958,0.22843808,"('incompetent', 'clever')",0.80285686,0.6554684,0.5490532,0.4419532,0.1071
38,-0.28140232,-0.24133039,"('untruthful', 'truthful')",0.044230007,0.010267088,-0.1185862,-0.1155316,-0.0030546
65,0.27429175,0.07446299,"('insecure', 'secure')",0.3585434,0.48008087,0.3164176,0.2772719,0.0391457
87,0.26632756,0.27566075,"('unsuccessful', 'successful')",0.86659145,0.83139,0.5664595,0.5535254,0.0129341
47,-0.26204678,-0.3787227,"('stupid', 'smart')",5.35892,5.5734715,2.5484366,2.5973744,-0.0489378
21,0.25958464,0.13461362,"('immoral', 'moral')",-0.0013049245,0.041249853,0.1291399,0.0879317,0.0412082
23,0.25669974,0.043232985,"('insincere', 'sincere')",5.9748507,6.0200768,3.1157751,3.0316548,0.0841203
24,0.2328924,-0.017501272,"('dishonest', 'honest')",0.93968236,0.92656064,0.5862874,0.4545297,0.1317577
3,-0.23049606,-0.22250399,"('repellent', 'pleasant')",0.7091589,0.756687,0.2393314,0.2670915,-0.0277601
83,-0.22578287,-0.24482827,"('powerless', 'powerful')",-0.524594,-0.5206702,-0.3751884,-0.3827492,0.0075608
82,0.21298352,0.20589158,"('poor', 'rich')",6.46018,6.6438465,3.3365817,3.4248691,-0.0882874
7,0.21281144,0.12286384,"('insensitive', 'sensitive')",0.5999154,0.58809507,0.4063634,0.3554794,0.050884
43,0.21277007,0.008681214,"('irresponsible', 'responsible')",0.7001255,0.5872105,0.4564478,0.2979459,0.1585019
22,0.20090243,0.07638033,"('untrustworthy', 'trustworthy')",-0.7044287,-0.8024204,-0.2517631,-0.36302,0.1112569
29,-0.19846548,-0.34984604,"('unfair', 'fair')",-0.065680645,-0.23465088,-0.1320731,-0.2922485,0.1601754
33,-0.19654067,0.045052268,"('wrong', 'right')",-0.98415756,-0.90154934,-0.5903491,-0.4282485,-0.1621006
40,0.14116561,0.17542978,"('stingy', 'generous')",-1.9198267,-2.1471822,-0.8893306,-0.9858762,0.0965456
11,0.13700575,0.05922249,"('unhelpful', 'helpful')",2.188013,2.157319,1.1625094,1.1082708,0.0542386
51,0.12095333,0.16138764,"('uneducated', 'educated')",0.61028194,0.5436212,0.3656176,0.3525044,0.0131132
2,-0.094517596,0.01148713,"('unlikable', 'likable')",0.69050866,0.7442058,0.2979955,0.3778464,-0.0798509
58,-0.09323533,-0.06915291,"('undiscriminating', 'discriminating')",0.40149832,0.22411713,0.1541315,0.0774821,0.0766494
59,-0.08521186,0.1756457,"('foolish', 'wise')",-0.06618045,0.04728987,-0.0756962,0.1114678,-0.187164
20,0.083269626,0.07554373,"('rough', 'thoughtful')",0.8394816,0.6914269,0.4613756,0.3834853,0.0778903
66,-0.07624299,-0.1360238,"('inactive', 'active')",0.1856308,0.14045589,0.0546939,0.002216,0.0524779
10,-0.051865898,-0.37575102,"('unsympathetic', 'sympathetic')",0.2488229,0.17835365,0.0984785,-0.0986987,0.1971772
12,-0.024336684,0.017394792,"('unsupportive', 'supportive')",-1.74019,-1.9149933,-0.8822634,-0.9487993,0.0665359
34,-0.0015165135,-0.1587047,"('mean', 'honorable')",5.8868093,5.918658,2.9426465,2.8799765,0.06267
