,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.3184958,-2.3735614,"('unsympathetic', 'sympathetic')",-1.2660941,-1.1959592,-0.8015148,-0.8145749,-1.4620349,-1.4613651,-0.0006698
45,-2.0752068,-2.0534856,"('incompetent', 'competent')",-1.2122453,-1.1868354,-0.8502995,-0.84882385,-1.3792505,-1.3630484,-0.0162021
69,1.8923008,1.8239454,"('lazy', 'industrious')",1.4199338,1.1886055,-0.089092925,-0.1818088,1.0743806,0.9435807,0.1307999
86,-1.8813258,-1.7700295,"('uninfluential', 'influential')",-0.6449965,-0.57752407,-0.5017125,-0.42069054,-1.009345,-0.9227481,-0.0865969
55,-1.7808199,-1.6940794,"('incompetent', 'clever')",-0.57388484,-0.38564706,-0.56430167,-0.59082645,-0.9730022,-0.8901843,-0.0828179
24,-1.7675686,-1.7996061,"('dishonest', 'honest')",-2.3197658,-2.2558835,0.5001237,0.4797305,-1.195737,-1.1919196,-0.0038174
82,-1.7117335,-1.6640174,"('poor', 'rich')",-0.32242048,-0.2981832,6.082603,5.9474154,1.349483,1.3284049,0.0210781
81,-1.6905394,-1.581093,"('submissive', 'aggressive')",-0.09894252,0.015439384,-1.3472793,-1.3317834,-1.0455871,-0.9658124,-0.0797747
3,-1.6179293,-1.6608603,"('repellent', 'pleasant')",0.31451783,0.21792282,0.10751206,0.0007960759,-0.3986332,-0.4807138,0.0820806
14,-1.5649813,-1.5310911,"('antisocial', 'social')",-0.1136976,-0.12130217,-1.2404685,-1.3652027,-0.9730492,-1.0058653,0.0328161
5,1.498207,1.4709495,"('distant', 'outgoing')",0.013653673,-0.06178058,0.18163562,0.29847187,0.5644987,0.5692136,-0.0047149
51,-1.4956424,-1.3245094,"('uneducated', 'educated')",-0.4587801,-0.29661328,0.05973702,0.17383388,-0.6315618,-0.4824296,-0.1491322
76,-1.4589386,-1.4180757,"('anxious', 'daring')",-0.051391438,0.057544813,-0.36928615,-0.34648177,-0.6265388,-0.5690042,-0.0575346
