,suntrust_male,suntrust_female,tuple,banks_male,banks_female,inc_male,inc_female,average_male,average_female,male-female
42,1.403693,1.4272114,"('unreliable', 'reliable')",0.91477007,1.0171715,-2.407691,-2.3388689,-0.0297426,0.0351713,-0.0649139
39,1.2535335,0.53070015,"('exploitative', 'cooperative')",1.623157,1.3622887,0.1284603,-0.07116706,1.0017169,0.6072739,0.394443
2,1.2491151,1.0716548,"('unlikable', 'likable')",1.9425504,1.822139,0.71378154,0.6821793,1.3018157,1.191991,0.1098247
73,1.1718925,1.4048436,"('helpless', 'self-reliant')",0.40866205,0.4272353,-3.168208,-3.2972908,-0.5292178,-0.488404,-0.0408138
68,-1.1300267,-1.1829146,"('dependent', 'independent')",-1.5691363,-1.6540612,-0.68790513,-0.7619419,-1.1290227,-1.1996392,0.0706165
53,-1.1068782,-1.2771727,"('uncreative', 'creative')",0.7773762,0.6077525,0.66964287,0.7009351,0.1133803,0.010505,0.1028753
82,-1.0980706,-0.7319969,"('poor', 'rich')",-0.3585397,-0.23270276,5.471808,5.8975496,1.3383993,1.6442833,-0.305884
1,-1.0962502,-1.2201533,"('unfriendly', 'friendly')",1.3968312,1.3660951,1.2715704,1.3541125,0.5240505,0.5000181,0.0240324
45,-1.0281938,-0.8965347,"('incompetent', 'competent')",0.2442657,0.5152868,-0.64325094,-0.41965315,-0.4757264,-0.266967,-0.2087594
30,0.998944,0.55260545,"('intolerant', 'tolerant')",1.7187798,1.693458,0.9252006,0.91681504,1.2143081,1.0542928,0.1600153
29,-0.8754959,-0.6985188,"('unfair', 'fair')",-0.6048282,-0.5416011,-0.85450196,-0.8265269,-0.7782753,-0.6888823,-0.089393
35,-0.85843647,-0.478161,"('corrupt', 'incorrupt')",-1.8660842,-1.9927852,-0.61951953,-0.70138294,-1.1146801,-1.0574431,-0.057237
31,-0.84164363,-0.1622314,"('evil', 'good')",-0.75009066,-0.51124644,-1.7926741,-1.4711089,-1.1281362,-0.7148623,-0.4132739
85,0.8253791,0.7193739,"('insignificant', 'prestigious')",0.9116788,0.59515196,0.34490588,0.1960229,0.6939879,0.5035162,0.1904717
34,0.8054828,0.53978455,"('mean', 'honorable')",1.3324301,1.4174112,6.025156,6.307135,2.7210229,2.754777,-0.0337541
16,-0.7973868,-0.62342757,"('unpopular', 'popular')",-0.9459511,-0.98180234,-0.03328321,0.016421214,-0.592207,-0.5296029,-0.0626041
67,0.79652864,0.77721995,"('doubtful', 'determined')",-0.28920832,-0.4074326,-0.5834218,-0.4811544,-0.0253672,-0.0371223,0.0117551
78,-0.7828433,-0.64411426,"('nonresilient', 'resilient')",0.47301596,0.6271266,0.11861372,0.111603886,-0.0637379,0.0315387,-0.0952766
6,-0.7728545,-0.5079076,"('distant', 'open')",-0.35858947,-0.3174269,0.0876973,0.09349627,-0.3479156,-0.2439461,-0.1039695
77,-0.7724032,-1.3911924,"('unmotivated', 'motivated')",0.13598615,-0.08726354,-1.0331824,-1.2282757,-0.5565331,-0.9022439,0.3457108
37,-0.7711071,-0.5051747,"('fake', 'genuine')",-0.83160526,-0.7089186,0.029773373,0.30266193,-0.524313,-0.3038104,-0.2205026
19,-0.7475538,-0.49380213,"('inhospitable', 'hospitable')",-0.30338535,-0.46425664,-0.50381774,-0.3975252,-0.5182523,-0.4518613,-0.066391
22,-0.72988385,-0.764769,"('untrustworthy', 'trustworthy')",-0.0089351125,-0.14027886,-1.060749,-1.1352884,-0.599856,-0.680112,0.080256
83,0.70447236,0.19265598,"('powerless', 'powerful')",1.3600342,1.0447259,-0.62594676,-0.68598974,0.4795199,0.1837974,0.2957225
26,0.6903918,0.47446176,"('hardhearted', 'benevolent')",1.781096,1.8260034,1.7314155,1.6364517,1.4009678,1.3123056,0.0886622
49,-0.68248045,-0.83978593,"('unable', 'able')",-0.87685406,-0.97857106,-0.4709645,-0.3801277,-0.6767663,-0.7328282,0.0560619
86,-0.6690581,-1.2893407,"('uninfluential', 'influential')",0.7826189,0.5587607,0.046041604,0.07509207,0.0532008,-0.218496,0.2716968
57,-0.667103,-0.9440024,"('unimaginative', 'imaginative')",-0.08074364,-0.06546048,-2.2727053,-2.4131458,-1.0068506,-1.1408695,0.1340189
48,-0.6653489,-1.2221504,"('unintelligent', 'intelligent')",-0.8142246,-0.7431391,0.14494525,0.12079158,-0.4448761,-0.6148327,0.1699566
74,0.6281833,0.62051475,"('undedicated', 'dedicated')",1.1000838,1.1513287,0.7412988,0.8022426,0.8231886,0.8580287,-0.0348401
55,-0.6261678,-1.3702389,"('incompetent', 'clever')",0.38918388,0.26157045,-0.010367766,-0.12234443,-0.0824506,-0.4103376,0.327887
5,-0.6198274,-0.36335993,"('distant', 'outgoing')",0.17706701,0.25004965,-0.72563374,-0.7514046,-0.3894647,-0.2882383,-0.1012264
12,0.6030282,0.6750651,"('unsupportive', 'supportive')",1.5371083,1.6598189,-1.7482649,-1.5634656,0.1306239,0.2571394,-0.1265155
46,-0.5980909,-0.8824991,"('uncompetitive', 'competitive')",0.3325844,0.43305674,-0.48340324,-0.60160416,-0.2496366,-0.3503488,0.1007122
61,-0.5941277,-0.9715384,"('illogical', 'logical')",1.4963388,1.3336227,-0.09935025,-0.12978235,0.2676203,0.077434,0.1901863
66,0.55663645,0.6951183,"('inactive', 'active')",0.6342399,0.58811474,1.1506081,1.0410888,0.7804948,0.7747739,0.0057209
25,-0.54006314,-0.8278288,"('egoistic', 'altruistic')",0.07579123,0.020640654,1.1506864,1.1005384,0.2288048,0.0977834,0.1310214
8,-0.52739596,-0.48568636,"('unaffectionate', 'affectionate')",0.54840463,0.48497477,-0.031199038,0.09735386,-0.0033968,0.0322141,-0.0356109
32,0.48463887,0.055023402,"('unkind', 'kind')",1.452969,1.4487053,1.3230699,1.4053047,1.0868926,0.9696778,0.1172148
