,suntrust_male,suntrust_female,tuple,banks_male,banks_female,inc_male,inc_female,average_male,average_female,male-female
42,1.5359391,1.1862088,"('unreliable', 'reliable')",1.1218914,1.0440158,-2.0004725,-1.927985,0.2191193,0.1007466,0.1183727
77,-1.368448,-1.3456497,"('unmotivated', 'motivated')",-0.07508164,0.114807114,-0.81156653,-0.7962058,-0.7516987,-0.6756828,-0.0760159
53,-1.2498815,-1.3635982,"('uncreative', 'creative')",0.5355701,0.33271298,0.6873399,0.632607,-0.0089905,-0.1327594,0.1237689
73,1.2149533,1.2242079,"('helpless', 'self-reliant')",0.23132281,0.1217552,-3.302805,-3.2734413,-0.618843,-0.6424927,0.0236497
55,-1.105625,-1.1753789,"('incompetent', 'clever')",0.4140958,0.5272797,0.259139,0.33133993,-0.1441301,-0.1055864,-0.0385437
2,1.0663589,1.1498696,"('unlikable', 'likable')",1.8033538,1.7973553,0.34654102,0.52466,1.0720846,1.1572949,-0.0852103
1,-1.0039407,-0.96831596,"('unfriendly', 'friendly')",1.2060976,1.0198133,0.80938494,0.72546756,0.3371806,0.2589883,0.0781923
0,-1.0035497,-1.1076318,"('unsociable', 'sociable')",0.9977887,1.0912994,-0.24716477,-0.36794686,-0.0843086,-0.1280931,0.0437845
78,-1.0001402,-0.81230426,"('nonresilient', 'resilient')",0.44150272,0.60711855,0.19148159,0.2501893,-0.1223853,0.0150012,-0.1373865
68,-0.9748155,-0.81697553,"('dependent', 'independent')",-1.396593,-1.2374135,-0.68308944,-0.59725845,-1.018166,-0.8838825,-0.1342835
82,-0.9113947,-0.66954195,"('poor', 'rich')",-0.23706654,-0.080906406,5.7742233,5.871503,1.5419207,1.7070182,-0.1650975
85,0.90344346,1.1252403,"('insignificant', 'prestigious')",0.63699985,0.5026277,-0.6265987,-0.6597328,0.3046149,0.3227117,-0.0180968
45,-0.8917456,-0.89580774,"('incompetent', 'competent')",0.575219,0.72495645,-0.20106818,-0.16524173,-0.1725316,-0.112031,-0.0605006
66,0.8746027,0.72503424,"('inactive', 'active')",0.8327644,0.7870685,1.1255401,0.965789,0.9443024,0.8259639,0.1183385
16,-0.8701446,-0.712823,"('unpopular', 'popular')",-0.84893864,-0.75192547,-0.07376774,-0.058929518,-0.597617,-0.5078926,-0.0897244
46,-0.857204,-1.0864087,"('uncompetitive', 'competitive')",0.56933844,0.534715,0.12595345,0.20535307,-0.0539707,-0.1154469,0.0614762
86,-0.8462967,-1.0811368,"('uninfluential', 'influential')",0.7273236,0.6352583,0.3640694,0.29109523,0.0816988,-0.0515944,0.1332932
48,-0.8454912,-0.8713395,"('unintelligent', 'intelligent')",-0.8140102,-0.70798045,0.22055547,0.22073402,-0.4796486,-0.452862,-0.0267866
61,-0.8356009,-0.7233988,"('illogical', 'logical')",1.392122,1.4576167,-0.30012664,-0.3028577,0.0854648,0.1437867,-0.0583219
67,0.8230478,0.8907513,"('doubtful', 'determined')",-0.124214835,-0.11724507,-0.3838698,-0.26733038,0.1049877,0.1687253,-0.0637376
57,-0.80305344,-1.0935268,"('unimaginative', 'imaginative')",-0.082739905,-0.20659028,-2.0317588,-2.093477,-0.9725173,-1.1311981,0.1586808
30,0.7801979,0.7926773,"('intolerant', 'tolerant')",1.922499,1.862377,0.9295119,1.0773313,1.2107363,1.2441285,-0.0333922
49,-0.7777554,-0.5924342,"('unable', 'able')",-0.73834556,-0.6405536,-0.5009452,-0.3338904,-0.6723487,-0.5222928,-0.1500559
21,-0.74158925,-0.7118285,"('immoral', 'moral')",0.6728476,0.7937103,-0.7754145,-0.58195454,-0.2813854,-0.1666909,-0.1146945
25,-0.6894396,-0.7264027,"('egoistic', 'altruistic')",-0.19639093,-0.25459898,0.6763431,0.64200574,-0.0698291,-0.1129986,0.0431695
74,0.6838194,0.55926776,"('undedicated', 'dedicated')",1.0995479,1.0114714,0.77766436,0.6400253,0.8536772,0.7369215,0.1167557
10,-0.67415947,-0.8376461,"('unsympathetic', 'sympathetic')",0.1893526,0.20247953,0.61526316,0.60094506,0.0434854,-0.0114072,0.0548926
28,-0.67259574,-0.69658697,"('disloyal', 'loyal')",0.12844187,0.18964925,1.067825,1.0456012,0.174557,0.1795545,-0.0049975
3,-0.65847766,-0.9198109,"('repellent', 'pleasant')",0.15041237,0.16655418,0.6246872,0.51047266,0.038874,-0.080928,0.119802
60,-0.63043946,-0.5303224,"('inefficient', 'efficient')",1.3037199,1.4841036,0.60227484,0.7895955,0.4251851,0.5811256,-0.1559405
75,0.62108785,0.77507806,"('meek', 'impulsive')",-1.1720656,-1.1898211,-0.45835093,-0.37301886,-0.3364429,-0.2625873,-0.0738556
22,-0.6174175,-0.75058526,"('untrustworthy', 'trustworthy')",-0.0626291,0.009082004,-0.97197443,-0.8684127,-0.5506737,-0.5366387,-0.014035
39,0.61357,0.5589541,"('exploitative', 'cooperative')",1.3218026,1.3783678,-0.20195626,-0.06389564,0.5778054,0.6244754,-0.04667
26,0.5990382,0.4277649,"('hardhearted', 'benevolent')",1.698177,1.4679382,1.3060917,1.0860596,1.2011023,0.9939209,0.2071814
34,0.5855823,0.6091463,"('mean', 'honorable')",1.3789128,1.2673321,6.004598,6.024555,2.6563644,2.6336778,0.0226866
14,-0.56232405,-0.52725387,"('antisocial', 'social')",1.8439171,1.998546,-0.6974919,-0.53126824,0.1947004,0.3133413,-0.1186409
40,0.5198347,0.34158918,"('stingy', 'generous')",1.1300092,1.0605758,-1.2521157,-1.2152237,0.1325761,0.0623138,0.0702623
33,0.51001644,0.5796382,"('wrong', 'right')",0.70713747,0.66817415,-1.1895478,-1.2744167,0.009202,-0.0088681,0.0180701
83,0.48918012,0.60661876,"('powerless', 'powerful')",1.2850969,1.3295724,-0.48756185,-0.4329852,0.428905,0.5010687,-0.0721637
43,-0.4403683,-0.4487696,"('irresponsible', 'responsible')",0.7424628,0.8400295,0.3228551,0.34353176,0.2083165,0.2449305,-0.036614
65,-0.43769696,-0.6050013,"('insecure', 'secure')",0.56127554,0.5652062,0.17418794,0.29569635,0.0992555,0.0853004,0.0139551
69,0.4308941,0.44233692,"('lazy', 'industrious')",0.2361058,0.13836035,-1.0459753,-1.0331241,-0.1263251,-0.1508089,0.0244838
79,0.4301886,0.505705,"('wavering', 'unwavering')",-0.52763265,-0.5077958,0.08411367,0.02625978,-0.0044435,0.0080563,-0.0124998
12,0.383601,0.26969278,"('unsupportive', 'supportive')",1.5204809,1.5820882,-1.6583287,-1.6661892,0.0819177,0.0618639,0.0200538
20,-0.36915255,-0.31966847,"('rough', 'thoughtful')",-0.7009932,-0.5834275,0.595877,0.55989844,-0.1580896,-0.1143992,-0.0436904
29,-0.365187,-0.31252915,"('unfair', 'fair')",-0.30438125,-0.15706679,-0.961393,-1.0350373,-0.5436537,-0.5015444,-0.0421093
6,-0.35964257,-0.16800144,"('distant', 'open')",-0.43808588,-0.4153412,-0.16873023,-0.2743029,-0.3221529,-0.2858819,-0.036271
59,0.35590732,0.2905434,"('foolish', 'wise')",0.39381424,0.31282276,-0.8585229,-0.82293797,-0.0362671,-0.0731906,0.0369235
37,-0.34592268,-0.32519633,"('fake', 'genuine')",-0.6733869,-0.74475425,0.22515959,0.3034154,-0.2647166,-0.2555117,-0.0092049
71,0.34240684,0.34773502,"('diffident', 'self-confident')",2.2491317,2.175474,0.26951686,0.20893972,0.9536851,0.9107162,0.0429689
38,0.33059177,0.5715966,"('untruthful', 'truthful')",1.1690763,1.1980919,-0.23779468,-0.08160384,0.4206245,0.5626949,-0.1420704
13,-0.32226098,-0.2859069,"('impolite', 'polite')",1.1128694,1.1500489,0.063235424,0.2657704,0.2846146,0.3766375,-0.0920229
81,-0.31195927,-0.44836017,"('submissive', 'aggressive')",0.55113596,0.5521017,0.3671431,0.58004904,0.2021066,0.2279302,-0.0258236
84,0.30266717,0.24453293,"('inferior', 'superior')",-0.86748743,-0.7569737,0.47306168,0.5475392,-0.0305862,0.0116995,-0.0422857
