,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.0108368,-1.912223,"('uninfluential', 'influential')",-0.34069788,0.17579386,-1.1757674,-0.8682145,-0.3075529
79,-1.6680844,-1.5518131,"('wavering', 'unwavering')",-0.5070147,-0.51043534,-1.0875496,-1.0311242,-0.0564254
58,-1.4057482,-0.6730664,"('undiscriminating', 'discriminating')",-0.16613653,-0.17912489,-0.7859424,-0.4260956,-0.3598468
41,-1.3875825,-0.2542812,"('unforgiving', 'forgiving')",-0.4067642,-0.35310495,-0.8971734,-0.3036931,-0.5934803
13,-1.373251,-1.31129,"('impolite', 'polite')",-0.8933269,-0.3310294,-1.1332889,-0.8211597,-0.3121292
57,-1.3650068,-0.92325187,"('unimaginative', 'imaginative')",-3.5051973,-3.2320216,-2.435102,-2.0776367,-0.3574653
36,-1.3474212,-0.6291045,"('hostile', 'amicable')",-0.43321565,-0.8793255,-0.8903184,-0.754215,-0.1361034
63,-1.2715701,-0.6096297,"('unperceptive', 'insightful')",0.8719563,1.2199255,-0.1998069,0.3051479,-0.5049548
53,-1.2283045,-0.8493356,"('uncreative', 'creative')",0.20182055,0.26677424,-0.513242,-0.2912807,-0.2219613
1,-1.2173412,-0.8905862,"('unfriendly', 'friendly')",1.4168203,0.9626793,0.0997396,0.0360466,0.063693
10,-1.1997913,-1.070535,"('unsympathetic', 'sympathetic')",-0.09776123,0.7160739,-0.6487763,-0.1772305,-0.4715458
45,-1.1687472,-0.67188513,"('incompetent', 'competent')",0.01727252,0.33260524,-0.5757374,-0.1696399,-0.4060975
76,-1.1598146,-1.186482,"('anxious', 'daring')",-0.19782005,0.46115148,-0.6788173,-0.3626652,-0.3161521
26,-1.1568475,-0.9171135,"('hardhearted', 'benevolent')",0.75838536,0.31307653,-0.1992311,-0.3020185,0.1027874
43,-1.1077226,-1.2366586,"('irresponsible', 'responsible')",0.23647574,0.6518392,-0.4356235,-0.2924097,-0.1432138
17,-1.1052166,-0.3919313,"('nasty', 'nice')",-0.9149319,-0.61679024,-1.0100743,-0.5043608,-0.5057135
16,-1.0869447,-0.9106364,"('unpopular', 'popular')",0.043944925,-0.16977763,-0.5214999,-0.540207,0.0187071
18,-1.0493941,-0.6842819,"('disagreeable', 'welcoming')",-0.3386726,-0.474478,-0.6940334,-0.5793799,-0.1146535
85,-1.0492473,-0.80323637,"('insignificant', 'prestigious')",-0.69785714,-1.4075807,-0.8735522,-1.1054085,0.2318563
88,-1.0109934,-1.161858,"('low', 'eminent')",-0.15682761,-0.12543811,-0.5839105,-0.643648,0.0597375
8,-1.0091566,-0.60634,"('unaffectionate', 'affectionate')",0.7596751,0.5609558,-0.1247407,-0.0226921,-0.1020486
84,1.0006765,0.78574514,"('inferior', 'superior')",1.318405,0.8108119,1.1595408,0.7982785,0.3612623
6,-0.96465147,-0.95730567,"('distant', 'open')",-0.5906191,-0.83744204,-0.7776353,-0.8973739,0.1197386
66,-0.9455166,-1.2689356,"('inactive', 'active')",0.26962784,0.22899973,-0.3379444,-0.5199679,0.1820235
75,-0.93607855,-0.7520424,"('meek', 'impulsive')",-1.3311929,-1.4445448,-1.1336358,-1.0982935,-0.0353423
83,-0.8445238,-0.41879624,"('powerless', 'powerful')",-1.0242375,-0.74819285,-0.9343807,-0.5834945,-0.3508862
15,-0.8289145,-0.34011427,"('boring', 'funny')",-0.12093285,0.23695064,-0.4749237,-0.0515818,-0.4233419
46,-0.80397856,-0.77829576,"('uncompetitive', 'competitive')",-0.5647535,-0.19834512,-0.684366,-0.4883204,-0.1960456
