,western_male,western_female,tuple,union_male,union_female,co_male,co_female,average_male,average_female,male-female
35,-1.973019,-1.9881562,"('corrupt', 'incorrupt')",-0.36425057,-0.30691072,-0.92836004,-0.8070335,-1.0885432,-1.0340335,-0.0545097
36,-1.8160177,-1.7080396,"('hostile', 'amicable')",0.5815558,0.53635675,-0.38235086,-0.20685051,-0.5389376,-0.4595111,-0.0794265
16,-1.733637,-1.4422364,"('unpopular', 'popular')",-0.876263,-0.687403,-0.1876733,-0.08883463,-0.9325244,-0.7394913,-0.1930331
39,1.7189467,1.7923715,"('exploitative', 'cooperative')",0.25873965,0.40391,0.41547015,0.4989686,0.7977188,0.8984167,-0.1006979
85,-1.7058144,-1.1360407,"('insignificant', 'prestigious')",-0.18810013,0.013428882,-1.1532875,-0.8776191,-1.015734,-0.6667436,-0.3489904
6,-1.6877952,-1.4389478,"('distant', 'open')",0.737462,0.7316844,-0.3137423,-0.089469194,-0.4213585,-0.2655775,-0.155781
14,1.5870962,1.0355446,"('antisocial', 'social')",0.8506958,0.58500624,-0.0115767345,-0.13177103,0.8087385,0.4962599,0.3124786
56,1.5645534,0.9237684,"('impractical', 'practical')",1.2707982,0.84618294,0.047987103,-0.24898832,0.9611128,0.5069877,0.4541251
5,-1.5548775,-1.5013183,"('distant', 'outgoing')",0.39842665,0.32423154,-0.5833259,-0.46065015,-0.5799256,-0.5459123,-0.0340133
80,1.5525177,1.2148693,"('dominated', 'dominating')",-0.07510384,-0.121534124,-0.48926145,-0.61773694,0.3293841,0.1585327,0.1708514
31,-1.5267632,-1.4059579,"('evil', 'good')",0.3862489,0.37944853,-0.9463826,-0.94984406,-0.6956323,-0.6587845,-0.0368478
62,1.487388,1.0183951,"('incompetent', 'brilliant')",-0.49009615,-0.69863534,0.15727134,-0.084589675,0.3848544,0.07839,0.3064644
42,1.3575598,1.2550086,"('unreliable', 'reliable')",0.1497459,0.19238667,-2.6734831,-2.6983943,-0.3887258,-0.4169997,0.0282739
70,1.2028272,0.65708745,"('lethargic', 'energetic')",-0.5994544,-0.76199573,0.6860814,0.39690727,0.4298181,0.097333,0.3324851
45,1.185147,0.49844784,"('incompetent', 'competent')",0.3828913,-0.07822906,-0.15541096,-0.36312497,0.4708758,0.0190313,0.4518445
37,1.1467869,0.864617,"('fake', 'genuine')",-0.26138437,-0.38902146,0.13618153,0.115479395,0.340528,0.197025,0.143503
65,1.1337764,0.6680699,"('insecure', 'secure')",-0.3952948,-0.6194596,0.42731202,0.13138163,0.3885979,0.0599973,0.3286006
58,1.0716549,0.6622768,"('undiscriminating', 'discriminating')",0.3206323,0.1477474,-0.08326212,-0.012872048,0.4363417,0.2657174,0.1706243
76,1.0608011,0.86534506,"('anxious', 'daring')",-1.0536772,-1.0779738,0.09890549,-0.067408055,0.0353431,-0.0933456,0.1286887
8,-1.0516042,-0.89123285,"('unaffectionate', 'affectionate')",-0.20647623,-0.23791236,0.6106294,0.6414135,-0.215817,-0.1625772,-0.0532398
18,-1.0210015,-0.69079894,"('disagreeable', 'welcoming')",-0.7675228,-0.6063562,-1.0510622,-0.89261985,-0.9465288,-0.729925,-0.2166038
7,1.0010291,0.87451214,"('insensitive', 'sensitive')",-0.30818552,-0.3747106,0.4737732,0.44215927,0.3888723,0.3139869,0.0748854
2,0.93729895,0.7326268,"('unlikable', 'likable')",0.39577612,0.28731668,0.57904685,0.72697145,0.637374,0.582305,0.055069
77,-0.90862954,-0.8908305,"('unmotivated', 'motivated')",-1.4441276,-1.2497796,-1.1554402,-1.1072338,-1.1693991,-1.0826147,-0.0867844
23,0.9082115,0.6999203,"('insincere', 'sincere')",-0.45288658,-0.5919453,6.2541394,6.0590534,2.2364882,2.0556761,0.1808121
30,0.90018135,0.6721021,"('intolerant', 'tolerant')",-0.19556367,-0.38574266,0.5643454,0.5792921,0.4229877,0.2885505,0.1344372
49,-0.8447222,-1.0196769,"('unable', 'able')",-0.70691365,-0.82425547,-0.7928041,-0.9692348,-0.78148,-0.9377224,0.1562424
60,0.8227707,0.45443642,"('inefficient', 'efficient')",-1.0604717,-1.1991721,0.034329668,-0.14955834,-0.0677904,-0.298098,0.2303076
26,0.81746256,0.98075956,"('hardhearted', 'benevolent')",2.5904255,2.4956653,1.703817,1.850767,1.7039016,1.7757306,-0.071829
