,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
19,-1.8769405,-1.6806064,"('inhospitable', 'hospitable')",-0.49481672,-0.46731576,-1.1858786,-1.073961,-0.1119176
6,-1.812935,-1.9317377,"('distant', 'open')",-0.700664,-0.735484,-1.2567995,-1.3336108,0.0768113
8,-1.5769461,-1.4605688,"('unaffectionate', 'affectionate')",0.48206005,0.5561514,-0.547443,-0.4522087,-0.0952343
86,-1.4380324,-1.399725,"('uninfluential', 'influential')",-0.15159187,-0.30958542,-0.7948121,-0.8546552,0.0598431
9,-1.428374,-1.3163754,"('unaffectionate', 'caring')",1.0989426,1.1453522,-0.1647157,-0.0855116,-0.0792041
53,-1.3787792,-1.3490024,"('uncreative', 'creative')",0.55711645,0.52964455,-0.4108314,-0.4096789,-0.0011525
31,-1.3211429,-1.4470916,"('evil', 'good')",-0.9793734,-1.0640639,-1.1502582,-1.2555778,0.1053196
79,-1.3026854,-1.1507683,"('wavering', 'unwavering')",-0.573662,-0.3965362,-0.9381737,-0.7736523,-0.1645214
1,-1.2412436,-1.3120404,"('unfriendly', 'friendly')",1.3101629,1.2603409,0.0344597,-0.0258498,0.0603095
52,-1.2116076,-1.2682548,"('irrational', 'rational')",-0.26971677,-0.15498403,-0.7406622,-0.7116194,-0.0290428
57,-1.1673629,-1.1913062,"('unimaginative', 'imaginative')",-3.169874,-3.196877,-2.1686184,-2.1940916,0.0254732
5,-1.1279141,-1.1759197,"('distant', 'outgoing')",-0.53473943,-0.5362112,-0.8313267,-0.8560654,0.0247387
30,1.0666723,1.1717118,"('intolerant', 'tolerant')",0.86673564,0.8669,0.966704,1.0193059,-0.0526019
60,1.039943,1.220832,"('inefficient', 'efficient')",0.46989945,0.47383723,0.7549212,0.8473346,-0.0924134
81,1.0002483,1.0546016,"('submissive', 'aggressive')",-0.18894604,-0.049569964,0.4056512,0.5025158,-0.0968646
28,-0.98397803,-0.9412166,"('disloyal', 'loyal')",1.1054052,1.1203445,0.0607136,0.089564,-0.0288504
36,-0.9767721,-1.3116333,"('hostile', 'amicable')",-0.45366418,-0.5290115,-0.7152182,-0.9203224,0.2051042
43,-0.97318816,-0.5944926,"('irresponsible', 'responsible')",0.4250594,0.34755492,-0.2740644,-0.1234688,-0.1505956
62,0.9359048,1.2956916,"('incompetent', 'brilliant')",0.8579732,0.9948673,0.896939,1.1452794,-0.2483404
11,-0.8946044,-0.48575914,"('unhelpful', 'helpful')",2.101123,2.3089728,0.6032593,0.9116068,-0.3083475
66,-0.8522203,-1.0303271,"('inactive', 'active')",0.41174933,0.27034187,-0.2202355,-0.3799926,0.1597571
44,0.81986654,0.7398112,"('prejudiced', 'unprejudiced')",-1.5887626,-1.4547949,-0.3844481,-0.3574919,-0.0269562
87,0.792926,0.9344613,"('unsuccessful', 'successful')",0.7601488,0.83737993,0.7765374,0.8859206,-0.1093832
23,-0.7928074,-0.47555596,"('insincere', 'sincere')",5.91472,5.984867,2.5609562,2.7546556,-0.1936994
35,-0.78934234,-0.89119864,"('corrupt', 'incorrupt')",-0.67756855,-0.64296407,-0.7334554,-0.7670814,0.033626
58,-0.76866525,-1.0381861,"('undiscriminating', 'discriminating')",0.6656021,0.4125939,-0.0515316,-0.3127961,0.2612645
7,-0.7637686,-0.7750596,"('insensitive', 'sensitive')",0.2600464,0.08255165,-0.2518611,-0.346254,0.0943929
18,-0.76035416,-0.9030056,"('disagreeable', 'welcoming')",-0.50652575,-0.7676417,-0.63344,-0.8353237,0.2018837
84,0.75602555,0.6172275,"('inferior', 'superior')",1.2663319,1.1549553,1.0111787,0.8860914,0.1250873
85,-0.75339025,-0.84000146,"('insignificant', 'prestigious')",-0.63710237,-0.69925445,-0.6952463,-0.7696279,0.0743816
76,0.72167975,0.7057905,"('anxious', 'daring')",-0.06458579,-0.10696605,0.328547,0.2994123,0.0291347
42,0.6799096,0.6248587,"('unreliable', 'reliable')",-3.0345118,-3.1324656,-1.1773012,-1.2538035,0.0765023
80,0.6701391,0.5772804,"('dominated', 'dominating')",-0.87476635,-0.7437084,-0.1023136,-0.083214,-0.0190996
73,0.65640545,0.6804777,"('helpless', 'self-reliant')",-3.4667454,-3.4046428,-1.40517,-1.3620826,-0.0430874
38,-0.64895326,-0.2810322,"('untruthful', 'truthful')",0.117220715,0.44157425,-0.2658663,0.080271,-0.3461373
12,-0.62795496,-0.35545823,"('unsupportive', 'supportive')",-1.8749268,-1.8742368,-1.2514409,-1.1148475,-0.1365934
41,-0.6019419,-0.5302839,"('unforgiving', 'forgiving')",-0.08666535,-0.23791957,-0.3443036,-0.3841017,0.0397981
64,0.5718941,0.4907741,"('shy', 'confident')",-6.1666107,-6.0983076,-2.7973583,-2.8037667,0.0064084
2,0.5647333,0.7119347,"('unlikable', 'likable')",0.6460961,0.7000226,0.6054147,0.7059786,-0.1005639
71,-0.53225666,-0.54274184,"('diffident', 'self-confident')",0.16937366,0.085001774,-0.1814415,-0.22887,0.0474285
39,0.5298824,0.6003178,"('exploitative', 'cooperative')",-0.38150695,-0.20068276,0.0741877,0.1998175,-0.1256298
63,-0.5286371,-0.19285554,"('unperceptive', 'insightful')",0.99685323,0.92892975,0.2341081,0.3680371,-0.133929
33,-0.5267484,-0.6624942,"('wrong', 'right')",-0.967071,-0.9659534,-0.7469097,-0.8142238,0.0673141
37,-0.5190028,-0.45408994,"('fake', 'genuine')",0.41231298,0.40522566,-0.0533449,-0.0244321,-0.0289128
10,-0.50416684,-0.3425627,"('unsympathetic', 'sympathetic')",-0.14540307,-0.19072346,-0.324785,-0.2666431,-0.0581419
14,0.5037937,0.48068663,"('antisocial', 'social')",-0.23713082,-0.29586267,0.1333314,0.092412,0.0409194
55,0.4978137,0.44763002,"('incompetent', 'clever')",0.48217702,0.26256964,0.4899954,0.3550998,0.1348956
16,-0.49198002,-0.40667954,"('unpopular', 'popular')",0.23955235,0.28107595,-0.1262138,-0.0628018,-0.063412
51,-0.48355597,-0.47988418,"('uneducated', 'educated')",0.68740356,0.528481,0.1019238,0.0242984,0.0776254
82,-0.47549418,-0.17866147,"('poor', 'rich')",6.796837,6.79438,3.1606712,3.3078594,-0.1471882
56,0.45237917,0.7912422,"('impractical', 'practical')",-0.25173482,-0.11528405,0.1003222,0.3379791,-0.2376569
48,0.42279172,0.35484698,"('unintelligent', 'intelligent')",1.2007177,1.0796423,0.8117547,0.7172446,0.0945101
78,-0.42224988,-0.35229158,"('nonresilient', 'resilient')",0.42229062,0.40162286,2.04e-05,0.0246656,-0.0246452
54,-0.41852656,-0.39321244,"('incapable', 'capable')",0.82100326,0.95200473,0.2012383,0.2793961,-0.0781578
59,-0.41231245,-0.338722,"('foolish', 'wise')",-0.09389404,-0.04119096,-0.2531033,-0.1899565,-0.0631468
27,-0.40665057,-0.50137854,"('hardhearted', 'softhearted')",1.107868,0.8681232,0.3506087,0.1833723,0.1672364
67,0.39474693,0.4542551,"('doubtful', 'determined')",-0.42910868,-0.40487418,-0.0171809,0.0246905,-0.0418714
70,-0.38158822,-0.31369656,"('lethargic', 'energetic')",0.48838848,0.3476336,0.0534001,0.0169685,0.0364316
50,-0.37188542,-0.32555273,"('clumsy', 'skillful')",0.2237324,0.27012444,-0.0740765,-0.0277141,-0.0463624
88,-0.36218145,-0.441138,"('low', 'eminent')",-0.1901302,-0.2048291,-0.2761558,-0.3229836,0.0468278
