,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.2297425,-3.0170712,"('unsympathetic', 'sympathetic')",0.010475676,-0.39427274,-1.6096334,-1.705672,0.0960386
69,2.439717,2.1891131,"('lazy', 'industrious')",-1.0198418,-0.8451868,0.7099376,0.6719632,0.0379744
45,-2.2997358,-1.9085699,"('incompetent', 'competent')",-0.05729358,-0.01642746,-1.1785147,-0.9624987,-0.216016
23,-2.2894623,-1.905915,"('insincere', 'sincere')",6.723764,6.148013,2.2171507,2.1210489,0.0961018
13,-2.1393213,-1.6404699,"('impolite', 'polite')",-0.58229655,-0.5272369,-1.360809,-1.0838534,-0.2769556
3,-2.0891886,-1.55042,"('repellent', 'pleasant')",0.7240191,0.81067526,-0.6825848,-0.3698724,-0.3127124
65,-2.0448074,-2.1785848,"('insecure', 'secure')",-0.1511573,-0.4135531,-1.0979824,-1.2960689,0.1980865
57,-1.8738585,-1.5807574,"('unimaginative', 'imaginative')",-3.530605,-3.319666,-2.7022319,-2.4502115,-0.2520204
14,-1.7917818,-1.7129531,"('antisocial', 'social')",-0.79406947,-0.43361467,-1.2929256,-1.0732839,-0.2196417
0,-1.7530514,-1.7648274,"('unsociable', 'sociable')",-0.40780044,-0.3772838,-1.080426,-1.0710557,-0.0093703
7,-1.7328213,-1.4985583,"('insensitive', 'sensitive')",0.5108317,0.25136736,-0.6109948,-0.6235955,0.0126007
43,-1.7166636,-1.7312924,"('irresponsible', 'responsible')",0.44727644,0.20692861,-0.6346936,-0.7621819,0.1274883
11,-1.6798304,-1.3221922,"('unhelpful', 'helpful')",2.0275953,2.0947998,0.1738824,0.3863038,-0.2124214
24,-1.6668088,-1.6935842,"('dishonest', 'honest')",1.0061432,0.6367997,-0.3303328,-0.5283923,0.1980595
35,1.6377423,1.5086908,"('corrupt', 'incorrupt')",-0.5038558,-0.67449564,0.5669432,0.4170976,0.1498456
86,-1.6337098,-1.4733951,"('uninfluential', 'influential')",-0.38807315,-0.58102953,-1.0108914,-1.0272124,0.016321
70,-1.5550902,-1.304812,"('lethargic', 'energetic')",0.3790969,0.16389677,-0.5879967,-0.5704576,-0.0175391
46,-1.5322473,-1.4109255,"('uncompetitive', 'competitive')",-0.84526086,-0.61270136,-1.1887541,-1.0118134,-0.1769407
21,-1.5283389,-1.2157116,"('immoral', 'moral')",-0.66132027,-0.5266957,-1.0948296,-0.8712037,-0.2236259
85,1.5000814,1.5804032,"('insignificant', 'prestigious')",-0.3323134,3.247708e-05,0.583884,0.7902178,-0.2063338
22,-1.4509685,-1.4954426,"('untrustworthy', 'trustworthy')",-1.1818551,-1.3887206,-1.3164117,-1.4420817,0.12567
55,-1.4452842,-1.3040508,"('incompetent', 'clever')",0.4210282,0.367151,-0.512128,-0.4684499,-0.0436781
72,-1.4384167,-1.5956992,"('unambitious', 'ambitious')",0.22514413,-0.6087234,-0.6066363,-1.1022112,0.4955749
30,-1.4193938,-1.1228625,"('intolerant', 'tolerant')",0.5749148,0.67174375,-0.4222395,-0.2255594,-0.1966801
6,1.3797145,1.2598933,"('distant', 'open')",0.030286357,-0.65653944,0.7050004,0.3016769,0.4033235
5,1.3473462,1.2754532,"('distant', 'outgoing')",-0.19521539,-0.7167039,0.5760654,0.2793747,0.2966907
28,-1.3093916,-1.1394379,"('disloyal', 'loyal')",1.240971,1.4669815,-0.0342103,0.1637718,-0.1979821
76,-1.2600133,-1.1442823,"('anxious', 'daring')",-0.06066986,-0.24946868,-0.6603416,-0.6968755,0.0365339
38,-1.1707575,-1.290876,"('untruthful', 'truthful')",0.09124747,-0.047185738,-0.539755,-0.6690309,0.1292759
41,-1.1575999,-0.96365166,"('unforgiving', 'forgiving')",-0.25193852,-0.051385462,-0.7047693,-0.5075185,-0.1972508
62,-1.1489352,-1.1446,"('incompetent', 'brilliant')",0.8014245,0.38110474,-0.1737553,-0.3817477,0.2079924
58,-1.1360593,-1.2077667,"('undiscriminating', 'discriminating')",0.1130653,0.07831902,-0.511497,-0.5647238,0.0532268
81,-1.1336632,-1.0115515,"('submissive', 'aggressive')",-0.57806253,-0.5538219,-0.8558629,-0.7826867,-0.0731762
60,-1.1310912,-0.8410697,"('inefficient', 'efficient')",0.25681043,0.13225657,-0.4371404,-0.3544066,-0.0827338
63,-1.1282647,-1.0182743,"('unperceptive', 'insightful')",0.7137668,0.22039992,-0.2072489,-0.3989372,0.1916883
53,-1.0812833,-0.9904498,"('uncreative', 'creative')",0.68190396,0.6591947,-0.1996897,-0.1656275,-0.0340622
12,-1.0737922,-1.0189066,"('unsupportive', 'supportive')",-1.990744,-2.3825712,-1.532268,-1.7007389,0.1684709
73,1.0415931,1.1063308,"('helpless', 'self-reliant')",-3.4830053,-3.6857078,-1.2207061,-1.2896886,0.0689825
56,-1.0321264,-0.7026497,"('impractical', 'practical')",-0.40275896,-0.30398643,-0.7174427,-0.5033181,-0.2141246
9,-1.0161107,-0.9121646,"('unaffectionate', 'caring')",1.7580348,1.0668415,0.3709621,0.0773384,0.2936237
51,-1.015482,-0.94198984,"('uneducated', 'educated')",0.34882715,0.21806394,-0.3333274,-0.3619629,0.0286355
71,1.0086209,0.9763928,"('diffident', 'self-confident')",0.62422884,0.32648426,0.8164248,0.6514385,0.1649863
59,1.0013349,0.75067484,"('foolish', 'wise')",0.4185746,-0.19427171,0.7099547,0.2782016,0.4317531
33,0.935251,0.56675076,"('wrong', 'right')",-0.71621966,-1.0269406,0.1095157,-0.2300949,0.3396106
74,-0.8309973,-0.61440414,"('undedicated', 'dedicated')",-0.52746624,-0.5863223,-0.6792318,-0.6003633,-0.0788685
75,0.81989366,1.061843,"('meek', 'impulsive')",-0.66930085,-0.5947754,0.0752964,0.2335338,-0.1582374
44,0.81297046,0.654485,"('prejudiced', 'unprejudiced')",-1.5259904,-1.3109381,-0.35651,-0.3282266,-0.0282834
25,0.80882096,0.73569304,"('egoistic', 'altruistic')",0.83280396,1.087712,0.8208125,0.9117025,-0.09089
36,0.7694185,0.93378454,"('hostile', 'amicable')",-0.107919276,-0.19502519,0.3307496,0.3693797,-0.0386301
