,burlington_male,burlington_female,tuple,northern_male,northern_female,santa_male,santa_female,fe_male,fe_female,cp_male,cp_female,average_male,average_female,male-female
36,-4.3559794,-3.1488209,"('hostile', 'amicable')",-0.75293666,-0.6743445,0.35956404,0.2067035,0.5749075,0.6894167,0.09900992,-0.114354715,-0.815087,-0.60828,-0.206807
85,-4.253126,-2.7311525,"('insignificant', 'prestigious')",-0.83896345,-0.41880316,1.2799785,1.3305247,1.5806845,1.6902026,-0.4216528,-0.49147525,-0.5306159,-0.1241407,-0.4064752
31,-4.2078567,-3.016596,"('evil', 'good')",-0.9492245,-0.6929775,0.53535503,0.5625271,0.6997833,0.8428136,-0.6233599,-0.6529577,-0.9090605,-0.5914381,-0.3176224
35,-4.089536,-2.7838714,"('corrupt', 'incorrupt')",-0.7435279,-0.65195215,2.0097394,1.88295,0.90600336,0.85864,-0.5515417,-0.68199486,-0.4937726,-0.2752457,-0.2185269
80,3.973575,3.0466144,"('dominated', 'dominating')",0.434296,0.414685,-1.0137527,-0.8620274,-1.0261644,-0.9805777,-1.2099698,-1.1258339,0.2315969,0.0985721,0.1330248
60,3.2351584,2.046788,"('inefficient', 'efficient')",0.68044984,0.42003238,-2.3549063,-2.2393658,-1.1518767,-1.2115827,-0.15792032,0.22860512,0.050181,-0.1511046,0.2012856
79,-3.2310326,-2.1803544,"('wavering', 'unwavering')",-0.64501977,-0.34270468,0.8013746,0.8604072,0.38373053,0.5973018,-0.0063581904,0.119812906,-0.539461,-0.1891075,-0.3503535
52,-3.1348553,-1.8678796,"('irrational', 'rational')",0.08372464,0.19154043,1.6303102,1.6841441,1.120952,1.2242432,0.52521205,0.27012283,0.0450687,0.3004342,-0.2553655
69,-2.9949753,-1.911747,"('lazy', 'industrious')",0.4413053,0.4305625,0.5756409,0.40787378,1.2389919,1.2028545,-0.8710991,-0.9498476,-0.3220273,-0.1640608,-0.1579665
75,-2.9488626,-2.1343946,"('meek', 'impulsive')",-0.3534373,-0.13679396,1.1875575,1.2428486,0.24840912,0.3256525,-0.6375957,-0.44229817,-0.5007858,-0.2289971,-0.2717887
70,2.9332917,2.0852964,"('lethargic', 'energetic')",0.35112107,0.14226039,-1.1120543,-1.1503255,-0.539801,-0.6030263,0.008913152,0.24772997,0.3282941,0.144387,0.1839071
56,2.918894,2.1603153,"('impractical', 'practical')",0.5614613,0.2764999,-1.5985919,-1.5500175,-0.9103967,-1.0480368,-0.08103047,-0.019312836,0.1780672,-0.0361104,0.2141776
6,-2.9169161,-1.6785543,"('distant', 'open')",-0.6672789,-0.47172505,1.3475542,1.2952738,1.3197922,1.4677507,0.88585466,0.79136723,-0.0061988,0.2808225,-0.2870213
5,-2.8816578,-1.5012954,"('distant', 'outgoing')",-0.9013093,-0.65440166,0.85437053,0.83044666,0.67839366,0.7645077,-0.0075143315,-0.026597232,-0.4515434,-0.117468,-0.3340754
55,2.873345,1.789164,"('incompetent', 'clever')",-0.09910763,-0.37342897,-2.1861877,-2.069322,-1.4659824,-1.564468,-0.077761054,-0.047452055,-0.1911388,-0.4531014,0.2619626
10,2.805576,1.7076838,"('unsympathetic', 'sympathetic')",-0.092042685,-0.3997377,-2.119008,-2.2001572,-1.6271676,-1.734911,0.096692786,0.21764015,-0.1871899,-0.4818964,0.2947065
81,2.6651878,1.4968302,"('submissive', 'aggressive')",0.028857276,-0.43305114,-1.6336046,-1.77349,-1.3179626,-1.5686369,-1.1033146,-0.982092,-0.2721674,-0.652088,0.3799206
1,-2.622831,-1.6794428,"('unfriendly', 'friendly')",-0.698746,-0.60097414,-0.49185365,-0.31565472,0.8854239,0.9760683,1.9474678,1.6517794,-0.1961078,0.0063552,-0.202463
62,2.6054945,1.6907245,"('incompetent', 'brilliant')",0.014822565,-0.091227934,-1.683042,-1.607057,-1.0375563,-0.99977136,0.21412502,0.41334552,0.0227687,-0.1187972,0.1415659
51,2.3907602,1.8152646,"('uneducated', 'educated')",-0.14730638,-0.25441653,-1.0991116,-1.2669677,-0.35247445,-0.53385705,-0.4565084,-0.34863225,0.0670719,-0.1177218,0.1847937
63,2.3367906,1.8895777,"('unperceptive', 'insightful')",0.21484536,0.05023721,-1.1710782,-1.1703802,0.046666402,-0.045805775,0.031565007,0.114629105,0.2917578,0.1676516,0.1241062
7,2.3224032,1.4822601,"('insensitive', 'sensitive')",0.17178158,-0.040235013,-0.8769645,-0.9670702,-0.63093626,-0.7900939,0.6146194,0.70117295,0.3201807,0.0772068,0.2429739
46,2.2495832,1.1429206,"('uncompetitive', 'competitive')",1.0274853,0.8494927,-2.0443938,-1.9580784,-0.6167028,-0.5707091,-1.256454,-1.203279,-0.1280964,-0.3479306,0.2198342
8,-2.2225711,-1.8186741,"('unaffectionate', 'affectionate')",-0.09162289,-0.26464134,-0.36457992,-0.303928,0.6221733,0.67834985,1.3991616,1.1768838,-0.1314878,-0.1064019,-0.0250859
43,2.21041,1.7895125,"('irresponsible', 'responsible')",-0.15503688,-0.41540414,-1.4712981,-1.3117638,-0.714539,-0.79645634,0.70335585,0.77634925,0.1145784,0.0084475,0.1061309
65,2.0237677,1.2481347,"('insecure', 'secure')",0.22345406,0.09578046,-1.6001425,-1.5792838,-1.6504462,-1.705493,-0.12453502,0.13187936,-0.2255804,-0.3617965,0.1362161
76,2.0060303,1.1747972,"('anxious', 'daring')",-0.24026762,-0.39319834,-0.11043245,-0.06759781,-0.5679843,-0.6234605,-0.05930914,0.12616423,0.2056073,0.043341,0.1622663
19,-1.99181,-1.367308,"('inhospitable', 'hospitable')",-1.0520316,-0.93397933,-0.414163,-0.47352767,-0.26318005,-0.25673237,-0.62169135,-0.4692679,-0.8685752,-0.7001631,-0.1684121
13,1.9854573,1.4439555,"('impolite', 'polite')",-0.23783205,-0.42622054,-1.1804887,-1.033064,-1.37325,-1.4097002,-0.58131427,-0.42939717,-0.2774856,-0.3708853,0.0933997
86,1.8075516,1.1468887,"('uninfluential', 'influential')",-0.24144763,-0.5774405,-2.1505072,-2.1755633,-0.9888075,-1.0571944,-0.046199586,-0.0027916916,-0.3238821,-0.5332202,0.2093381
14,1.7898774,0.6779138,"('antisocial', 'social')",-0.06418757,-0.4218845,-2.679861,-2.5800555,-1.3779981,-1.5330954,-0.77266777,-0.69695926,-0.6209674,-0.9108162,0.2898488
18,-1.7745419,-1.7166812,"('disagreeable', 'welcoming')",0.0053239763,-0.09089891,0.79982775,0.8155075,0.33505324,0.2775772,-0.15997952,-0.27620083,-0.1588633,-0.1981393,0.039276
32,1.6888976,1.1766012,"('unkind', 'kind')",0.09969317,-0.2970111,-0.38680786,-0.62295496,-0.49914086,-0.764919,1.1146785,1.0744033,0.4034641,0.1132239,0.2902402
21,1.6867963,1.1163925,"('immoral', 'moral')",0.5958962,0.39395246,-1.6510408,-1.6179905,-1.1741844,-1.2263637,-0.8445175,-0.7259911,-0.2774101,-0.412,0.1345899
16,-1.6649585,-1.0135181,"('unpopular', 'popular')",0.17780818,0.47390836,1.1641245,1.290459,0.9408101,1.0875125,0.2328523,0.2728625,0.1701273,0.4222448,-0.2521175
25,-1.66066,-1.0300902,"('egoistic', 'altruistic')",1.3475413,1.268769,1.5162641,1.3851272,1.8903322,1.8197472,1.2715353,1.1100076,0.8730026,0.9107121,-0.0377095
12,1.6598698,1.5677607,"('unsupportive', 'supportive')",0.42385206,0.29129136,-0.8142237,-0.84935224,-0.6823991,-0.78367054,-1.7067641,-1.6867754,-0.223933,-0.2921492,0.0682162
33,-1.6053057,-0.9211797,"('wrong', 'right')",0.77578014,0.710967,1.1035568,0.9152889,1.1458465,1.0583127,0.39391485,0.1613921,0.3627585,0.3849562,-0.0221977
54,-1.5564883,-1.3565855,"('incapable', 'capable')",-1.1962125,-1.3674247,0.04503768,-0.19038023,-0.492928,-0.72645783,0.9787759,0.9242571,-0.444363,-0.5433183,0.0989553
