,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.9162097,-1.7836554,"('uninfluential', 'influential')",0.08722779,0.11642093,-0.18807061,-0.31958258,-0.6723508,-0.6622723,-0.0100785
8,-1.5606562,-1.5916421,"('unaffectionate', 'affectionate')",-0.52966154,-0.50154716,0.7987615,0.808142,-0.4305187,-0.4283491,-0.0021696
73,1.5437179,1.401624,"('helpless', 'self-reliant')",0.12591004,0.09369075,-3.0353894,-3.0310636,-0.4552538,-0.5119163,0.0566625
1,-1.5418098,-1.689141,"('unfriendly', 'friendly')",-0.6278367,-0.7273731,1.6443224,1.5984164,-0.175108,-0.2726992,0.0975912
42,1.4044279,1.4765304,"('unreliable', 'reliable')",1.7600722,1.7944603,-2.4516115,-2.5479374,0.2376296,0.2410178,-0.0033882
2,1.3513253,1.5965809,"('unlikable', 'likable')",1.5539789,1.8622755,0.61904067,1.0099423,1.1747816,1.4895995,-0.3148179
79,-1.3260546,-1.3287634,"('wavering', 'unwavering')",-2.200649,-2.0830321,-0.2763293,-0.19906,-1.2676776,-1.2036185,-0.0640591
9,-1.2141662,-1.2281336,"('unaffectionate', 'caring')",-0.16690534,-0.21859634,1.3102202,1.2081273,-0.0236171,-0.0795342,0.0559171
53,-1.207296,-1.0284021,"('uncreative', 'creative')",-0.2122019,0.07528639,1.0850292,1.0709164,-0.1114896,0.0392669,-0.1507565
18,-1.1926482,-0.7729126,"('disagreeable', 'welcoming')",-1.0707501,-0.7298974,-0.4458936,-0.22028497,-0.9030972,-0.574365,-0.3287322
76,1.1037692,1.2907586,"('anxious', 'daring')",1.0488232,1.3547022,0.35911888,0.45085263,0.8372371,1.0321045,-0.1948674
67,1.0851663,1.1159813,"('doubtful', 'determined')",0.99561054,0.8440043,-0.6066224,-0.4463485,0.4913848,0.5045457,-0.0131609
62,1.0706676,1.0308032,"('incompetent', 'brilliant')",1.6055669,1.5501311,0.67925423,0.42556316,1.1184963,1.0021658,0.1163305
23,-1.0703053,-0.93448853,"('insincere', 'sincere')",0.43697953,0.56578714,6.106686,5.9134235,1.8244534,1.8482407,-0.0237873
39,1.019819,1.548278,"('exploitative', 'cooperative')",1.5688957,1.7983196,-0.037600383,0.20701982,0.8503714,1.1845392,-0.3341678
60,0.9765015,0.87715983,"('inefficient', 'efficient')",2.3514104,2.1841547,0.2827935,-0.025182467,1.2035685,1.012044,0.1915245
