,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,male-female
26,1.9425696,1.932093,"('hardhearted', 'benevolent')",3.9436162,3.722233,1.7695291,1.6963835,2.551905,2.4502365,0.1016685
39,1.9050187,1.8897823,"('exploitative', 'cooperative')",-0.08028932,-0.08829227,0.18636881,0.19121216,0.670366,0.6642341,0.0061319
49,-1.7616053,-1.5180559,"('unable', 'able')",-1.0101016,-0.8031478,-0.75890094,-0.60764533,-1.1768692,-0.976283,-0.2005862
71,1.4250717,1.3432419,"('diffident', 'self-confident')",0.8005174,0.7430135,0.56806195,0.49568382,0.931217,0.8606465,0.0705705
45,-1.3517599,-1.4539955,"('incompetent', 'competent')",-0.93328667,-1.0304488,-0.38387713,-0.20259915,-0.8896412,-0.8956811,0.0060399
82,-1.3363556,-1.3050419,"('poor', 'rich')",-0.6634498,-0.5620465,6.1038737,6.1626663,1.3680228,1.4318593,-0.0638365
67,1.2660115,1.2988665,"('doubtful', 'determined')",-0.40098444,-0.35979754,-0.8071193,-0.6727944,0.0193026,0.0887582,-0.0694556
73,1.2552512,1.4195535,"('helpless', 'self-reliant')",0.78508013,0.8810381,-3.2794805,-3.0335555,-0.4130497,-0.2443213,-0.1687284
44,-1.1922486,-1.1637732,"('prejudiced', 'unprejudiced')",-0.78894883,-0.8426655,-1.6894302,-1.656229,-1.2235425,-1.2208893,-0.0026532
55,-1.1720902,-1.3014709,"('incompetent', 'clever')",-0.7864376,-0.6754817,-0.030201819,0.13521726,-0.6629099,-0.6139117,-0.0489982
40,1.1575562,1.1375896,"('stingy', 'generous')",0.6767536,0.48684043,-1.4548957,-1.5302567,0.1264714,0.0313911,0.0950803
76,-1.1284047,-1.0270132,"('anxious', 'daring')",-1.4644818,-1.3410832,0.0320531,0.24028233,-0.8536112,-0.7092714,-0.1443398
12,1.1010038,0.9891671,"('unsupportive', 'supportive')",0.284747,0.25374016,-1.6073794,-1.5414177,-0.0738762,-0.0995035,0.0256273
60,-0.9989944,-1.0259906,"('inefficient', 'efficient')",-0.67201436,-0.29418674,-0.21182564,0.1980891,-0.6276115,-0.3740294,-0.2535821
0,-0.9812747,-1.1974055,"('unsociable', 'sociable')",-1.2836906,-1.1604085,-0.61050403,-0.43201724,-0.9584897,-0.9299437,-0.028546
16,-0.89559776,-0.7351634,"('unpopular', 'popular')",-0.5645442,-0.6791029,0.1987323,0.09200403,-0.4204699,-0.4407541,0.0202842
20,-0.8808385,-1.1504828,"('rough', 'thoughtful')",-0.90300125,-0.864092,1.3409524,1.3672613,-0.1476291,-0.2157712,0.0681421
68,-0.81429327,-1.002383,"('dependent', 'independent')",-1.1262043,-1.2471157,-0.38933027,-0.54297537,-0.7766093,-0.9308248,0.1542155
59,0.8132613,1.0272522,"('foolish', 'wise')",0.4513429,0.47327107,0.097593896,0.2348142,0.454066,0.5784458,-0.1243798
13,-0.79914623,-0.48912656,"('impolite', 'polite')",-0.81640464,-0.45419502,-0.3606946,-0.23254317,-0.6587485,-0.3919549,-0.2667936
42,0.7922591,0.7400126,"('unreliable', 'reliable')",-0.5479165,-0.5870627,-2.7645059,-2.6706016,-0.8400544,-0.8392173,-0.0008371
84,0.76135546,0.67968524,"('inferior', 'superior')",0.2634258,0.28143296,0.47430614,0.53563046,0.4996958,0.4989162,0.0007796
65,-0.7285402,-0.7314607,"('insecure', 'secure')",-0.8818608,-0.740801,-0.6922463,-0.5849877,-0.767549,-0.6857498,-0.0817992
1,-0.7247484,-0.46273845,"('unfriendly', 'friendly')",1.1640321,1.159846,1.5938652,1.6261151,0.6777163,0.7744075,-0.0966912
43,-0.72277224,-0.7241174,"('irresponsible', 'responsible')",-0.81990117,-0.54788816,0.4328248,0.7431571,-0.3699495,-0.1762828,-0.1936667
72,0.71736395,0.93936986,"('unambitious', 'ambitious')",0.3729322,0.6514803,-0.8368179,-0.5867396,0.0844927,0.3347035,-0.2502108
61,-0.7122742,-0.8049387,"('illogical', 'logical')",-0.44358513,-0.34424376,0.04470159,-0.051954668,-0.3703859,-0.400379,0.0299931
78,-0.7083233,-0.8834687,"('nonresilient', 'resilient')",-0.03223701,-0.29438627,0.5747095,0.37330982,-0.0552836,-0.2681817,0.2128981
19,0.7062508,0.912923,"('inhospitable', 'hospitable')",-0.38741696,-0.37349316,0.21893707,0.1976072,0.179257,0.245679,-0.066422
30,0.70125115,0.60149294,"('intolerant', 'tolerant')",-0.3372702,-0.012644105,1.0368226,1.2628229,0.4669345,0.6172239,-0.1502894
48,-0.6981729,-0.71937096,"('unintelligent', 'intelligent')",0.09102224,0.14677012,0.40536875,0.53143877,-0.0672606,-0.0137207,-0.0535399
29,-0.69168806,-0.62991846,"('unfair', 'fair')",-1.3902199,-1.4304888,-0.6615882,-0.56708294,-0.9144987,-0.87583,-0.0386687
10,-0.6698177,-0.9890311,"('unsympathetic', 'sympathetic')",-1.3492569,-1.178081,0.20532717,0.15841366,-0.6045824,-0.6695662,0.0649838
38,0.6637509,0.7397401,"('untruthful', 'truthful')",-0.022095785,0.10213308,-0.037831023,0.0760389,0.2012747,0.3059707,-0.104696
47,-0.6496525,-0.78136396,"('stupid', 'smart')",-0.23599401,-0.058881156,5.470138,5.6164827,1.5281639,1.5920792,-0.0639153
3,-0.6286982,-0.87596536,"('repellent', 'pleasant')",-1.4652244,-1.5782487,0.274902,0.26164088,-0.6063402,-0.7308578,0.1245176
57,-0.61348724,-0.7982047,"('unimaginative', 'imaginative')",-0.0071405396,-0.050382927,-2.533213,-2.5002105,-1.0512802,-1.1162661,0.0649859
54,-0.6126889,-0.440186,"('incapable', 'capable')",-0.94088423,-0.9101547,0.8106791,1.0028746,-0.2476314,-0.115822,-0.1318094
33,0.60690343,0.7787066,"('wrong', 'right')",1.3623768,1.2894127,-0.3167795,-0.39350772,0.5508336,0.5582039,-0.0073703
75,-0.5508097,-0.44862148,"('meek', 'impulsive')",-0.26968354,-0.2846749,-0.3811418,-0.257707,-0.400545,-0.3303345,-0.0702105
88,0.5496967,0.5079603,"('low', 'eminent')",0.22509,0.2898503,0.34230116,0.4356012,0.3723626,0.4111373,-0.0387747
79,0.5445808,0.6449961,"('wavering', 'unwavering')",0.284332,0.024636205,0.13472079,-0.04467406,0.3212112,0.2083194,0.1128918
58,0.54044807,0.37922323,"('undiscriminating', 'discriminating')",0.8175532,0.5788506,0.32703853,0.18168199,0.5616799,0.3799186,0.1817613
15,0.54001004,0.81042844,"('boring', 'funny')",1.1725042,1.2676588,0.3310712,0.42563546,0.6811951,0.8345742,-0.1533791
87,-0.53544056,-0.27708232,"('unsuccessful', 'successful')",0.013680512,0.14094253,0.515114,0.4653309,-0.0022153,0.1097304,-0.1119457
