,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,male-female
44,-2.3277586,-2.4590666,"('prejudiced', 'unprejudiced')",-1.6636285,-1.579275,-1.9956934,-2.0191708,0.0234774
60,2.311466,2.4260476,"('inefficient', 'efficient')",0.24836391,0.250665,1.279915,1.3383563,-0.0584413
48,2.0627756,1.7780952,"('unintelligent', 'intelligent')",1.0320879,0.8310184,1.5474317,1.3045568,0.2428749
52,-2.0565357,-2.0283186,"('irrational', 'rational')",-0.16670956,-0.13224655,-1.1116227,-1.0802826,-0.0313401
16,-2.0564234,-2.0284908,"('unpopular', 'popular')",0.42215055,0.41612703,-0.8171364,-0.8061819,-0.0109545
66,-1.8835721,-1.6472774,"('inactive', 'active')",0.06626538,0.1510084,-0.9086534,-0.7481345,-0.1605189
75,-1.7674565,-1.7932903,"('meek', 'impulsive')",-0.8087537,-0.6791036,-1.2881051,-1.236197,-0.0519081
6,-1.6770272,-1.6910143,"('distant', 'open')",-0.9402058,-0.8856605,-1.3086165,-1.2883375,-0.020279
4,-1.6291783,-1.5643837,"('disliked', 'liked')",-6.680591,-6.8319407,-4.1548848,-4.1981621,0.0432773
31,-1.6233591,-1.6174183,"('evil', 'good')",-0.9309861,-0.9942172,-1.2771726,-1.3058177,0.0286451
69,-1.544395,-1.6546607,"('lazy', 'industrious')",-0.6468677,-0.6043075,-1.0956314,-1.1294841,0.0338527
12,1.5320814,1.5985713,"('unsupportive', 'supportive')",-1.704339,-1.717208,-0.0861288,-0.0593184,-0.0268104
17,-1.4969037,-1.4798325,"('nasty', 'nice')",-0.7858598,-0.8912297,-1.1413817,-1.1855311,0.0441494
36,-1.4870803,-1.7001715,"('hostile', 'amicable')",-0.1981312,-0.31164595,-0.8426058,-1.0059087,0.1633029
79,-1.4406729,-1.4155855,"('wavering', 'unwavering')",-0.3803331,-0.27866024,-0.910503,-0.8471229,-0.0633801
42,-1.4319489,-1.2345885,"('unreliable', 'reliable')",-3.768648,-3.636465,-2.6002984,-2.4355268,-0.1647716
71,1.317987,0.9896958,"('diffident', 'self-confident')",0.5864789,0.42298478,0.952233,0.7063403,0.2458927
23,1.3014275,1.3808476,"('insincere', 'sincere')",5.942397,5.899141,3.6219122,3.6399941,-0.0180819
78,1.2225176,1.0521675,"('nonresilient', 'resilient')",0.61812884,0.4986595,0.9203233,0.7754135,0.1449098
28,1.166716,1.0160997,"('disloyal', 'loyal')",1.3215647,1.2307892,1.2441404,1.1234444,0.120696
74,1.136302,1.2828059,"('undedicated', 'dedicated')",-0.13545634,-0.08914956,0.5004228,0.5968282,-0.0964054
81,1.0902277,1.1502411,"('submissive', 'aggressive')",-0.46194965,-0.46901572,0.314139,0.3406127,-0.0264737
9,1.0566102,1.3127859,"('unaffectionate', 'caring')",1.057274,1.1752533,1.0569421,1.2440195,-0.1870774
21,1.0301561,1.0241196,"('immoral', 'moral')",-0.38304204,-0.36619592,0.323557,0.3289618,-0.0054048
5,-1.0116181,-1.2065902,"('distant', 'outgoing')",-0.689606,-0.746054,-0.850612,-0.9763221,0.1257101
11,0.97694635,1.0070653,"('unhelpful', 'helpful')",2.1560607,2.1729565,1.5665035,1.5900109,-0.0235074
55,0.94608986,0.98223543,"('incompetent', 'clever')",0.32227775,0.29077214,0.6341838,0.6365038,-0.00232
56,0.94273555,1.0820614,"('impractical', 'practical')",-0.6421994,-0.6040191,0.1502681,0.2390212,-0.0887531
45,-0.9344183,-0.69656825,"('incompetent', 'competent')",-0.20338932,-0.2836769,-0.5689038,-0.4901226,-0.0787812
84,0.91826445,0.8007872,"('inferior', 'superior')",1.1376984,1.0889621,1.0279814,0.9448746,0.0831068
26,0.90064263,0.72179925,"('hardhearted', 'benevolent')",1.6605885,1.485877,1.2806156,1.1038382,0.1767774
86,0.8909144,0.87949705,"('uninfluential', 'influential')",-0.22536007,-0.39799497,0.3327771,0.240751,0.0920261
29,-0.84494025,-1.0473297,"('unfair', 'fair')",-0.3450697,-0.46783683,-0.595005,-0.7575833,0.1625783
19,-0.82881916,-0.88907254,"('inhospitable', 'hospitable')",-0.41362485,-0.46279603,-0.621222,-0.6759343,0.0547123
67,0.79632115,0.7458583,"('doubtful', 'determined')",-0.5590424,-0.49931908,0.1186394,0.1232696,-0.0046302
61,0.7886741,0.531759,"('illogical', 'logical')",0.5092074,0.36966753,0.6489408,0.4507133,0.1982275
