,danaher_male,danaher_female,tuple,corp_male,corp_female,average_male,average_female,male-female
36,-3.3062232,-3.2697709,"('hostile', 'amicable')",-0.43258458,-0.67492366,-1.8694038,-1.9723473,0.1029435
6,-3.0496955,-2.8381937,"('distant', 'open')",-0.58638066,-0.679967,-1.8180381,-1.7590803,-0.0589578
60,3.034043,2.8944783,"('inefficient', 'efficient')",0.25903678,0.3343541,1.6465399,1.6144162,0.0321237
31,-3.010106,-2.9213495,"('evil', 'good')",-0.9726144,-1.1249163,-1.9913602,-2.0231328,0.0317726
81,2.731702,2.5344846,"('submissive', 'aggressive')",-0.27562237,-0.114416525,1.2280399,1.210034,0.0180059
85,-2.6668909,-2.6193032,"('insignificant', 'prestigious')",-0.15059337,-0.26200086,-1.4087421,-1.440652,0.0319099
5,-2.5540764,-2.3775752,"('distant', 'outgoing')",-0.5213797,-0.6057789,-1.5377281,-1.491677,-0.0460511
8,-2.4587495,-2.1805956,"('unaffectionate', 'affectionate')",0.52154946,0.5041427,-0.9686,-0.8382264,-0.1303736
62,2.3200095,2.3660905,"('incompetent', 'brilliant')",0.6937985,0.78506774,1.506904,1.5755792,-0.0686752
79,-2.3001182,-2.1161394,"('wavering', 'unwavering')",-0.30942586,-0.42575228,-1.304772,-1.2709458,-0.0338262
1,-2.2948098,-2.1135516,"('unfriendly', 'friendly')",1.1485959,1.0000434,-0.5731069,-0.5567541,-0.0163528
76,2.1142335,2.0541613,"('anxious', 'daring')",-0.0100816265,-0.004701443,1.052076,1.02473,0.027346
56,1.9891454,2.0383158,"('impractical', 'practical')",-0.20576124,-0.20591171,0.8916921,0.916202,-0.0245099
80,1.9576725,1.8000416,"('dominated', 'dominating')",-0.7080033,-0.67282015,0.6248346,0.5636107,0.0612239
55,1.9556631,1.8949771,"('incompetent', 'clever')",0.22127837,0.10638165,1.0884707,1.0006794,0.0877913
21,1.9515194,1.9565603,"('immoral', 'moral')",-0.30606243,-0.39903265,0.8227285,0.7787638,0.0439647
35,-1.9400578,-1.8296102,"('corrupt', 'incorrupt')",-0.42170537,-0.4691361,-1.1808815,-1.1493732,-0.0315083
19,-1.9083816,-1.5856605,"('inhospitable', 'hospitable')",-0.5244665,-0.5068945,-1.216424,-1.0462775,-0.1701465
52,-1.9065869,-1.8988026,"('irrational', 'rational')",-0.09106907,-0.20146437,-0.998828,-1.0501335,0.0513055
9,-1.8869343,-1.7236389,"('unaffectionate', 'caring')",0.9780854,0.91035396,-0.4544244,-0.4066425,-0.0477819
46,1.8846296,1.8250132,"('uncompetitive', 'competitive')",-0.72065485,-0.88173527,0.5819874,0.4716389,0.1103485
14,1.7942127,1.4136947,"('antisocial', 'social')",-0.028767753,-0.26335317,0.8827225,0.5751708,0.3075517
66,-1.6492221,-1.5677983,"('inactive', 'active')",0.3070441,0.20668164,-0.6710891,-0.6805583,0.0094692
39,1.6081557,1.5945503,"('exploitative', 'cooperative')",0.21051735,0.37907666,0.9093366,0.9868134,-0.0774768
70,1.539866,1.3791496,"('lethargic', 'energetic')",0.06542885,0.070235506,0.8026474,0.7246925,0.0779549
67,1.4005746,1.5538918,"('doubtful', 'determined')",-0.124992505,-0.043523468,0.637791,0.7551842,-0.1173932
16,-1.3990531,-1.3557123,"('unpopular', 'popular')",0.10812977,0.07675948,-0.6454617,-0.6394764,-0.0059853
53,-1.3755444,-1.2787806,"('uncreative', 'creative')",0.24538718,0.065553114,-0.5650786,-0.6066138,0.0415352
65,1.353534,1.1638091,"('insecure', 'secure')",-0.44142467,-0.3783382,0.4560547,0.3927354,0.0633193
54,-1.3053658,-1.1796592,"('incapable', 'capable')",0.5988451,0.68466216,-0.3532603,-0.2474985,-0.1057618
13,1.2294685,1.2767069,"('impolite', 'polite')",-0.38890523,-0.4512499,0.4202816,0.4127285,0.0075531
4,-1.1999458,-1.2104903,"('disliked', 'liked')",-6.6299505,-6.7129006,-3.9149482,-3.9616954,0.0467472
75,-1.1470634,-1.0654049,"('meek', 'impulsive')",-0.7574421,-0.688424,-0.9522527,-0.8769144,-0.0753383
11,1.1442909,1.1133801,"('unhelpful', 'helpful')",1.7823037,1.7258329,1.4632974,1.4196064,0.043691
45,1.1234285,1.0927118,"('incompetent', 'competent')",0.1082392,-0.09094226,0.6158338,0.5008848,0.114949
22,1.0917801,0.9771595,"('untrustworthy', 'trustworthy')",-1.1320431,-1.2779541,-0.0201315,-0.1503973,0.1302658
63,1.073652,1.0254409,"('unperceptive', 'insightful')",0.9347141,0.7444624,1.0041831,0.8849517,0.1192314
25,-1.0463828,-0.97830606,"('egoistic', 'altruistic')",1.0269065,1.0173601,-0.0097381,0.019527,-0.0292651
30,1.0351855,1.042346,"('intolerant', 'tolerant')",0.90811026,0.9626686,0.9716479,1.0025073,-0.0308594
26,-1.021377,-1.0638518,"('hardhearted', 'benevolent')",1.350446,1.3114423,0.1645345,0.1237952,0.0407393
10,0.98527896,1.0146874,"('unsympathetic', 'sympathetic')",-0.37072054,-0.45840096,0.3072792,0.2781432,0.029136
37,0.9696536,0.9836404,"('fake', 'genuine')",0.095255405,-0.02481254,0.5324545,0.4794139,0.0530406
18,-0.91419905,-0.95920134,"('disagreeable', 'welcoming')",-0.519026,-0.6652437,-0.7166125,-0.8122225,0.09561
71,-0.85766435,-0.8240254,"('diffident', 'self-confident')",0.41198233,0.30126628,-0.222841,-0.2613795,0.0385385
72,-0.8568343,-0.80485564,"('unambitious', 'ambitious')",-0.70565695,-0.56938314,-0.7812456,-0.6871194,-0.0941262
59,-0.85519254,-0.75167334,"('foolish', 'wise')",0.13677111,0.13384426,-0.3592107,-0.3089145,-0.0502962
42,0.84643096,0.97753525,"('unreliable', 'reliable')",-3.0228949,-2.9080234,-1.0882319,-0.9652441,-0.1229878
82,-0.8352119,-0.6641778,"('poor', 'rich')",5.599589,5.6003766,2.3821886,2.4680994,-0.0859108
0,0.8096875,0.71230334,"('unsociable', 'sociable')",-0.13883737,-0.33791783,0.3354251,0.1871928,0.1482323
17,-0.8090513,-0.6455178,"('nasty', 'nice')",-0.7851393,-0.61386806,-0.7970953,-0.6296929,-0.1674024
43,0.77680683,0.8482533,"('irresponsible', 'responsible')",0.4250549,0.3470719,0.6009309,0.5976626,0.0032683
38,-0.7763188,-0.54096764,"('untruthful', 'truthful')",-0.16420189,-0.10142259,-0.4702603,-0.3211951,-0.1490652
84,0.7749548,0.62930995,"('inferior', 'superior')",1.1482668,0.9980145,0.9616108,0.8136622,0.1479486
74,0.7043026,0.74527776,"('undedicated', 'dedicated')",-0.3093708,-0.47452736,0.1974659,0.1353752,0.0620907
64,0.7015417,0.5364379,"('shy', 'confident')",-6.190997,-6.157844,-2.7447276,-2.810703,0.0659754
87,0.6990062,0.52225053,"('unsuccessful', 'successful')",0.9735135,0.8430643,0.8362598,0.6826574,0.1536024
7,0.68912745,0.58227146,"('insensitive', 'sensitive')",0.3091523,0.12424987,0.4991399,0.3532607,0.1458792
51,0.6608784,0.6074713,"('uneducated', 'educated')",0.29759797,0.2291184,0.4792382,0.4182948,0.0609434
48,0.66064584,0.53189975,"('unintelligent', 'intelligent')",0.8070133,0.85707664,0.7338296,0.6944882,0.0393414
28,-0.6563766,-0.63785815,"('disloyal', 'loyal')",0.7435007,0.6637702,0.0435621,0.012956,0.0306061
40,-0.64430153,-0.79885685,"('stingy', 'generous')",-1.9129894,-2.1618197,-1.2786455,-1.4803383,0.2016928
88,-0.6336225,-0.55637056,"('low', 'eminent')",-0.42759797,-0.44697726,-0.5306103,-0.5016739,-0.0289364
69,-0.5587089,-0.5585267,"('lazy', 'industrious')",-0.30398822,-0.29861462,-0.4313486,-0.4285707,-0.0027779
23,0.518385,0.47210306,"('insincere', 'sincere')",5.435283,5.259115,2.9768341,2.8656092,0.1112249
33,-0.5009451,-0.42302278,"('wrong', 'right')",-0.5837004,-0.53812885,-0.5423228,-0.4805758,-0.061747
34,-0.4772488,-0.46992016,"('mean', 'honorable')",5.53031,5.3224525,2.5265307,2.4262662,0.1002645
47,0.45564812,0.40273428,"('stupid', 'smart')",5.126986,4.9445567,2.791317,2.6736455,0.1176715
77,0.37861013,0.29828638,"('unmotivated', 'motivated')",-0.8836427,-0.8370183,-0.2525163,-0.269366,0.0168497
29,-0.3573176,-0.4393214,"('unfair', 'fair')",-0.48199368,-0.63767767,-0.4196556,-0.5384995,0.1188439
24,0.31788406,0.33980605,"('dishonest', 'honest')",0.40693313,0.3861941,0.3624086,0.3630001,-0.0005915
58,-0.31684896,-0.33020216,"('undiscriminating', 'discriminating')",0.24009073,-0.011171509,-0.0383791,-0.1706868,0.1323077
27,-0.3061951,-0.30833298,"('hardhearted', 'softhearted')",0.9528583,0.8685805,0.3233316,0.2801238,0.0432078
68,0.27447405,0.22787578,"('dependent', 'independent')",-0.6000502,-0.7251222,-0.1627881,-0.2486232,0.0858351
57,-0.24956793,-0.44760463,"('unimaginative', 'imaginative')",-3.1844532,-3.32315,-1.7170106,-1.8853773,0.1683667
3,0.23015198,0.11660901,"('repellent', 'pleasant')",0.4158288,0.31152922,0.3229904,0.2140691,0.1089213
41,0.22605905,0.14836921,"('unforgiving', 'forgiving')",-0.03415952,-0.2161,0.0959498,-0.0338654,0.1298152
2,0.19973433,0.29219243,"('unlikable', 'likable')",0.42958382,0.47312787,0.3146591,0.3826602,-0.0680011
49,0.19858181,0.11543514,"('unable', 'able')",-0.17815569,-0.2227295,0.0102131,-0.0536472,0.0638603
78,-0.14249058,-0.219996,"('nonresilient', 'resilient')",0.30303854,0.12865537,0.080274,-0.0456703,0.1259443
20,0.12027257,0.112250045,"('rough', 'thoughtful')",0.7986248,0.78602684,0.4594487,0.4491384,0.0103103
15,-0.11314614,-0.0161533,"('boring', 'funny')",-0.053025037,-0.03430085,-0.0830856,-0.0252271,-0.0578585
83,0.10030235,0.0062591024,"('powerless', 'powerful')",-0.85656714,-0.9271714,-0.3781324,-0.4604562,0.0823238
61,0.10026443,-0.022983193,"('illogical', 'logical')",0.50173706,0.3867216,0.3010007,0.1818692,0.1191315
32,0.08273418,0.11792023,"('unkind', 'kind')",0.39076582,0.34351867,0.23675,0.2307194,0.0060306
73,0.06865436,0.11649239,"('helpless', 'self-reliant')",-3.0171416,-2.9554095,-1.4742436,-1.4194586,-0.054785
44,0.049241703,0.0049346555,"('prejudiced', 'unprejudiced')",-1.4045632,-1.2649328,-0.6776608,-0.629999,-0.0476618
50,0.03060469,0.07615112,"('clumsy', 'skillful')",0.021227203,-0.0010530166,0.0259159,0.037549,-0.0116331
86,0.018336512,-0.13441509,"('uninfluential', 'influential')",-0.3570136,-0.59549266,-0.1693386,-0.3649539,0.1956153
12,-0.0020990525,0.0783886,"('unsupportive', 'supportive')",-1.9099003,-1.9943206,-0.9559997,-0.957966,0.0019663
