,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
85,2.5898132,1.8221397,"('insignificant', 'prestigious')",1.689026,1.2979349,0.76179844,0.09695876,1.6802125,1.0723445,0.607868
69,2.3400087,1.9459286,"('lazy', 'industrious')",0.82152426,0.63979924,-0.5454841,-0.92537314,0.8720163,0.5534515,0.3185648
86,-2.2280436,-2.2767553,"('uninfluential', 'influential')",-0.04883025,-0.15965675,0.13062468,0.010713261,-0.7154164,-0.8085663,0.0931499
79,2.2116537,1.7221476,"('wavering', 'unwavering')",-0.0873785,-0.12548444,0.5439893,0.18701048,0.8894215,0.5945579,0.2948636
10,-2.119607,-1.8376498,"('unsympathetic', 'sympathetic')",-0.84423196,-0.73476005,-0.45276207,-0.19602852,-1.1388671,-0.9228128,-0.2160543
0,-2.114544,-2.1036615,"('unsociable', 'sociable')",0.066222064,0.042592853,-0.8639614,-0.66334796,-0.9707611,-0.9081389,-0.0626222
60,-1.9599429,-1.4211627,"('inefficient', 'efficient')",0.0034130588,0.24111181,-0.48157924,0.20051226,-0.8127031,-0.3265129,-0.4861902
48,-1.8527205,-1.8440576,"('unintelligent', 'intelligent')",-0.516538,-0.53681654,0.1070593,0.2033522,-0.7540664,-0.7258406,-0.0282258
66,1.8476185,1.5388346,"('inactive', 'active')",1.3379027,1.2079159,1.4789649,0.9967648,1.5548286,1.2478383,0.3069903
55,-1.8240106,-1.4530144,"('incompetent', 'clever')",-0.91004133,-0.79410416,-0.4376567,-0.17943123,-1.0572362,-0.8088499,-0.2483863
3,-1.7967114,-1.7113769,"('repellent', 'pleasant')",-0.093421444,-0.068217605,0.3066177,0.46297216,-0.5278384,-0.4388741,-0.0889643
73,1.7714158,1.7166122,"('helpless', 'self-reliant')",0.9302999,0.87487704,-3.164517,-3.1874166,-0.1542671,-0.1986424,0.0443753
36,1.7413648,0.840115,"('hostile', 'amicable')",0.10148091,-0.23175412,0.54251194,-0.15597703,0.7951193,0.1507946,0.6443247
45,-1.6743388,-1.2684036,"('incompetent', 'competent')",-0.82728726,-0.60804343,-0.74154514,-0.5615011,-1.0810571,-0.8126494,-0.2684077
33,1.6280082,1.2783502,"('wrong', 'right')",1.16947,1.0737437,-0.45728597,-0.6496908,0.7800641,0.5674677,0.2125964
