,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.1205862,-1.8632287,"('unfriendly', 'friendly')",1.7154278,1.9216251,-0.2025792,0.0291982,-0.2317774
86,-2.072978,-2.0647569,"('uninfluential', 'influential')",-0.28442556,-0.4433813,-1.1787018,-1.2540691,0.0753673
53,-1.9112239,-1.6686276,"('uncreative', 'creative')",0.44982198,0.6052309,-0.730701,-0.5316983,-0.1990027
10,-1.8595592,-1.9458379,"('unsympathetic', 'sympathetic')",-0.19689734,-0.4093633,-1.0282283,-1.1776006,0.1493723
9,-1.821321,-1.7827599,"('unaffectionate', 'caring')",0.87117267,0.97142446,-0.4750742,-0.4056677,-0.0694065
23,-1.5108123,-1.5755445,"('insincere', 'sincere')",5.561226,5.4319696,2.0252068,1.9282126,0.0969942
19,-1.4547393,-1.0067234,"('inhospitable', 'hospitable')",-0.40615973,-0.14411241,-0.9304495,-0.5754179,-0.3550316
6,-1.4163455,-1.0083717,"('distant', 'open')",-0.013180658,0.15797944,-0.714763,-0.4251961,-0.2895669
28,-1.3890389,-1.6053296,"('disloyal', 'loyal')",0.70744216,0.67188287,-0.3407984,-0.4667234,0.125925
57,-1.3808693,-1.4828644,"('unimaginative', 'imaginative')",-2.5373502,-2.640258,-1.9591098,-2.0615611,0.1024513
38,-1.3772079,-1.2844859,"('untruthful', 'truthful')",-0.47403285,-0.2792994,-0.9256204,-0.7818927,-0.1437277
44,1.3502932,1.3722049,"('prejudiced', 'unprejudiced')",-1.0924553,-1.1216269,0.1289189,0.125289,0.0036299
45,-1.3149723,-1.3327262,"('incompetent', 'competent')",-0.077343725,-0.17614608,-0.696158,-0.7544361,0.0582781
46,-1.2265507,-1.4388807,"('uncompetitive', 'competitive')",-0.2518404,-0.55308056,-0.7391956,-0.9959806,0.256785
54,-1.2232057,-1.0023357,"('incapable', 'capable')",1.1004113,1.3396227,-0.0613972,0.1686435,-0.2300407
61,-1.1854573,-1.15348,"('illogical', 'logical')",0.3252526,0.25865817,-0.4301024,-0.4474109,0.0173085
24,-1.185102,-1.1475811,"('dishonest', 'honest')",0.5419455,0.563159,-0.3215782,-0.2922111,-0.0293671
73,1.1630489,1.4021704,"('helpless', 'self-reliant')",-2.9146392,-2.7070363,-0.8757952,-0.6524329,-0.2233623
