,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,co_male,co_female,average_male,average_female,male-female
73,2.2379138,2.1027658,"('helpless', 'self-reliant')",1.218715,1.2710677,1.3504262,1.2849029,-2.8942387,-2.980581,0.4782041,0.4195389,0.0586652
71,1.9348004,2.1981955,"('diffident', 'self-confident')",1.0751861,1.270937,1.8539877,1.9997553,0.45692202,0.56783354,1.330224,1.5091803,-0.1789563
42,1.8035742,1.7744656,"('unreliable', 'reliable')",1.5932094,1.5781667,0.87995994,1.0455805,-2.1911435,-2.0641646,0.5214,0.5835121,-0.0621121
14,1.5078223,1.3751638,"('antisocial', 'social')",0.9100564,0.6372736,1.6848557,1.6795144,0.0061838776,-0.067477345,1.0272297,0.9061186,0.1211111
43,1.4483262,1.4458226,"('irresponsible', 'responsible')",0.6097561,0.4625023,0.7777604,0.7430702,0.9294888,1.0623642,0.9413328,0.9284399,0.0128929
1,1.3605059,1.5015478,"('unfriendly', 'friendly')",0.03429105,0.24323222,0.9406047,0.92440796,1.5385375,1.65202,0.9684848,1.080302,-0.1118172
56,1.3559155,1.4381258,"('impractical', 'practical')",0.4074448,0.25014663,1.5529279,1.6019961,0.121555984,0.16011392,0.8594611,0.8625956,-0.0031345
49,-1.3458158,-1.1820378,"('unable', 'able')",-0.36114672,-0.13758498,0.13085592,0.32194382,-0.42688334,-0.21993175,-0.5007474,-0.3044027,-0.1963447
33,1.2266251,1.3512287,"('wrong', 'right')",-0.13783261,0.03161712,1.0100726,1.0792372,-0.7971946,-0.8440763,0.3254176,0.4045017,-0.0790841
26,1.2108154,1.2220901,"('hardhearted', 'benevolent')",1.2874315,1.3394369,1.1572413,1.0645741,1.6438253,1.6218596,1.3248284,1.3119901,0.0128383
2,1.2051258,1.1269679,"('unlikable', 'likable')",1.5472212,1.4348164,1.2475016,1.2309076,1.0601375,1.0390162,1.2649965,1.207927,0.0570695
30,1.1805753,0.9788376,"('intolerant', 'tolerant')",0.17484887,0.02992225,1.0154172,0.84729016,0.53225654,0.43021974,0.7257745,0.5715674,0.1542071
58,1.1614411,1.2058944,"('undiscriminating', 'discriminating')",0.0893094,0.22929433,1.2340552,1.2267671,0.39314735,0.39101884,0.7194883,0.7632437,-0.0437554
51,-1.1162788,-1.1759717,"('uneducated', 'educated')",0.7403332,0.44209856,-0.17636439,-0.08203242,-0.11381391,-0.16976804,-0.166531,-0.2464184,0.0798874
12,1.0647367,1.2491682,"('unsupportive', 'supportive')",0.63252705,0.6655434,1.467257,1.6199754,-1.7916356,-1.6339699,0.3432213,0.4751793,-0.131958
9,1.0629781,1.1365244,"('unaffectionate', 'caring')",-0.54773474,-0.46585408,1.3495313,1.3351654,0.864702,1.0378038,0.6823692,0.7609099,-0.0785407
31,-1.0548633,-0.83873177,"('evil', 'good')",-0.35817248,0.27189794,-0.38048434,-0.29138145,-0.952978,-0.7811263,-0.6866245,-0.4098354,-0.2767891
87,1.0094681,1.0193559,"('unsuccessful', 'successful')",0.7317753,0.45856026,1.3483782,1.4395376,0.6643128,0.78447735,0.9384836,0.9254827,0.0130009
18,-0.9662333,-1.0138466,"('disagreeable', 'welcoming')",0.41366124,0.44027886,-0.07425369,-0.15003173,-1.057191,-1.0607175,-0.4210042,-0.4460793,0.0250751
0,0.9581649,0.83494294,"('unsociable', 'sociable')",0.1236354,-0.14847447,1.2414974,1.1514355,0.111597106,0.0815569,0.6087236,0.4798652,0.1288584
68,-0.95779294,-1.1678901,"('dependent', 'independent')",-0.08510867,-0.070221014,-0.44160178,-0.5726338,-1.317505,-1.2381159,-0.7005021,-0.7622153,0.0617132
50,0.9335821,0.85740316,"('clumsy', 'skillful')",1.1189382,1.0318726,1.1627392,1.2472731,-0.28117257,-0.21279326,0.7335218,0.7309389,0.0025829
85,0.9156588,0.9096541,"('insignificant', 'prestigious')",0.5437682,0.6242904,1.8553945,1.86322,-0.44550574,-0.48391688,0.7173289,0.7283119,-0.010983
16,0.8341496,0.8749734,"('unpopular', 'popular')",-0.08323622,0.06516782,1.8734603,2.0374327,0.1464524,0.31166124,0.6927065,0.8223088,-0.1296023
5,0.8123821,1.017496,"('distant', 'outgoing')",0.7669077,1.14825,1.5259894,1.6075103,-0.3343793,-0.17300645,0.692725,0.9000624,-0.2073374
27,-0.7424135,-0.60952276,"('hardhearted', 'softhearted')",-0.6363958,-0.35090822,-0.5033667,-0.52814305,0.3091439,0.42312565,-0.393258,-0.2663621,-0.1268959
