,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
85,2.2069132,2.7995565,"('insignificant', 'prestigious')",-1.0171652,0.09633049,0.594874,1.4479434,-0.8530694
16,-1.905388,-1.799261,"('unpopular', 'popular')",-0.3321573,-0.12952098,-1.1187726,-0.964391,-0.1543816
66,1.7448405,1.8809979,"('inactive', 'active')",-0.1843578,0.09498207,0.7802414,0.98799,-0.2077486
9,1.7386736,1.8811283,"('unaffectionate', 'caring')",0.7605639,1.0356843,1.2496188,1.4584063,-0.2087875
39,1.7290391,2.0621595,"('exploitative', 'cooperative')",-0.09033406,0.1231649,0.8193525,1.0926622,-0.2733097
12,1.7206166,1.7366369,"('unsupportive', 'supportive')",-1.0616539,-1.1763358,0.3294814,0.2801505,0.0493309
74,1.7075288,1.68311,"('undedicated', 'dedicated')",-0.35782105,-0.40795648,0.6748539,0.6375768,0.0372771
29,-1.5919065,-1.6244082,"('unfair', 'fair')",-1.0146767,-0.8940167,-1.3032916,-1.2592125,-0.0440791
72,1.3222725,1.4326369,"('unambitious', 'ambitious')",-0.7468761,-0.8196595,0.2876982,0.3064887,-0.0187905
0,-1.3090125,-1.2350674,"('unsociable', 'sociable')",-0.50272983,-0.61380327,-0.9058712,-0.9244353,0.0185641
40,1.2958832,1.1405551,"('stingy', 'generous')",-2.0202608,-1.7914369,-0.3621888,-0.3254409,-0.0367479
45,-1.2948309,-1.6723853,"('incompetent', 'competent')",-0.41177332,-0.5545374,-0.8533021,-1.1134614,0.2601593
63,1.2488571,1.0884743,"('unperceptive', 'insightful')",0.8706264,0.4140394,1.0597417,0.7512568,0.3084849
65,-1.233634,-1.2463937,"('insecure', 'secure')",0.010187121,-0.27129292,-0.6117234,-0.7588433,0.1471199
53,1.2065483,1.3766026,"('uncreative', 'creative')",0.10548021,0.21849535,0.6560143,0.797549,-0.1415347
71,1.1920853,1.4361984,"('diffident', 'self-confident')",0.30078033,0.48349664,0.7464328,0.9598475,-0.2134147
84,1.1348672,1.3484142,"('inferior', 'superior')",0.1097687,0.46149814,0.622318,0.9049562,-0.2826382
8,1.1079216,1.3510529,"('unaffectionate', 'affectionate')",-0.20928553,0.2840627,0.4493181,0.8175578,-0.3682397
3,-1.0787095,-1.0965124,"('repellent', 'pleasant')",0.4683645,0.15706287,-0.3051725,-0.4697248,0.1645523
55,-1.0301418,-1.1102102,"('incompetent', 'clever')",0.75726503,0.24891537,-0.1364384,-0.4306474,0.294209
33,1.0245788,1.2257909,"('wrong', 'right')",-0.2619849,0.21926267,0.3812969,0.7225268,-0.3412299
