,comerica_male,comerica_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.8088721,-1.8375404,"('distant', 'open')",0.60475063,0.60974324,-0.6020607,-0.6138986,0.0118379
86,-1.5654215,-1.6116046,"('uninfluential', 'influential')",-0.050967634,-0.051113404,-0.8081945,-0.831359,0.0231645
31,-1.5323104,-1.4603672,"('evil', 'good')",-0.5555503,-0.6789168,-1.0439303,-1.0696421,0.0257118
5,-1.2964981,-1.2287054,"('distant', 'outgoing')",-0.0025814027,0.026661562,-0.6495397,-0.6010219,-0.0485178
57,-1.176969,-0.9987967,"('unimaginative', 'imaginative')",-2.76934,-2.6957204,-1.9731545,-1.8472586,-0.1258959
79,-1.1714388,-1.097697,"('wavering', 'unwavering')",0.016705014,0.050982714,-0.5773669,-0.5233572,-0.0540097
39,1.1331418,1.031926,"('exploitative', 'cooperative')",0.16766898,0.17256394,0.6504053,0.602245,0.0481603
80,1.0354302,1.1321174,"('dominated', 'dominating')",-1.4165303,-1.3759679,-0.19055,-0.1219252,-0.0686248
72,-1.0247372,-1.1979034,"('unambitious', 'ambitious')",-0.3145652,-0.36946866,-0.6696512,-0.783686,0.1140348
16,-0.9664524,-1.0402458,"('unpopular', 'popular')",0.32758427,0.368534,-0.3194341,-0.3358559,0.0164218
60,0.9457089,1.0291951,"('inefficient', 'efficient')",0.10827693,0.24588999,0.5269929,0.6375425,-0.1105496
36,-0.93305415,-1.1629027,"('hostile', 'amicable')",0.33333656,0.16593862,-0.2998588,-0.498482,0.1986232
30,0.91346186,1.0881153,"('intolerant', 'tolerant')",1.0764486,1.1754022,0.9949552,1.1317587,-0.1368035
53,-0.8633267,-0.8884599,"('uncreative', 'creative')",0.9155581,0.96369106,0.0261157,0.0376156,-0.0114999
9,-0.85138285,-0.95083445,"('unaffectionate', 'caring')",1.4127543,1.3821471,0.2806857,0.2156563,0.0650294
75,-0.8316542,-0.63656884,"('meek', 'impulsive')",-0.49278057,-0.41066563,-0.6622174,-0.5236173,-0.1386001
1,-0.7931508,-0.8842073,"('unfriendly', 'friendly')",1.916676,1.8324957,0.5617626,0.4741442,0.0876184
82,-0.791389,-0.8064542,"('poor', 'rich')",6.4896235,6.606255,2.8491173,2.8999004,-0.0507831
11,0.78526264,0.9422399,"('unhelpful', 'helpful')",1.6110811,1.692707,1.1981719,1.3174734,-0.1193015
14,0.7832487,0.7682202,"('antisocial', 'social')",-0.6433158,-0.673016,0.0699665,0.0476021,0.0223644
76,0.7700285,0.7682259,"('anxious', 'daring')",0.25220168,0.3068297,0.5111151,0.5375278,-0.0264127
69,0.7081937,0.6242907,"('lazy', 'industrious')",-0.54693633,-0.5152366,0.0806287,0.054527,0.0261017
84,0.70766497,0.7450868,"('inferior', 'superior')",0.7976508,0.778209,0.7526579,0.7616479,-0.00899
8,-0.6962003,-0.94605,"('unaffectionate', 'affectionate')",1.2254443,1.0566605,0.264622,0.0553053,0.2093167
77,-0.68625766,-0.700208,"('unmotivated', 'motivated')",-1.2954683,-1.239457,-0.990863,-0.9698325,-0.0210305
42,0.6809939,0.723555,"('unreliable', 'reliable')",-2.750774,-2.700507,-1.0348899,-0.9884759,-0.046414
81,0.6663074,0.66062546,"('submissive', 'aggressive')",-0.8703468,-0.71178764,-0.1020197,-0.0255811,-0.0764386
48,0.60305744,0.31804177,"('unintelligent', 'intelligent')",0.78907865,0.7743916,0.696068,0.5462167,0.1498513
62,0.59457564,0.9333662,"('incompetent', 'brilliant')",0.34599665,0.53853947,0.4702861,0.7359529,-0.2656668
37,0.5806644,0.6714854,"('fake', 'genuine')",0.6993184,0.7132292,0.6399914,0.6923573,-0.0523659
10,-0.57752967,-0.39032888,"('unsympathetic', 'sympathetic')",-0.2277176,-0.12695263,-0.4026236,-0.2586408,-0.1439828
67,0.57372534,0.7242552,"('doubtful', 'determined')",-0.6773577,-0.6183408,-0.0518162,0.0529572,-0.1047734
2,0.568649,0.46886674,"('unlikable', 'likable')",0.6587692,0.64999545,0.6137091,0.5594311,0.054278
44,0.56835854,0.425084,"('prejudiced', 'unprejudiced')",-1.2151246,-1.3730359,-0.323383,-0.473976,0.150593
19,-0.56756884,-0.4107485,"('inhospitable', 'hospitable')",-0.049307443,0.06431456,-0.3084382,-0.173217,-0.1352212
47,0.56214523,0.5741322,"('stupid', 'smart')",5.8593416,5.930432,3.2107434,3.2522821,-0.0415387
21,0.55634254,0.56516784,"('immoral', 'moral')",-0.60175484,-0.50922894,-0.0227062,0.0279694,-0.0506756
28,-0.5366221,-0.5005259,"('disloyal', 'loyal')",0.8828008,0.849092,0.1730894,0.1742831,-0.0011937
35,-0.5275474,-0.672959,"('corrupt', 'incorrupt')",-0.083408825,-0.15471311,-0.3054781,-0.4138361,0.108358
