,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
69,1.8384695,1.939986,"('lazy', 'industrious')",1.3663019,1.5699298,-0.8684644,-0.95076543,-0.21090981,-0.024916824,0.5313493,0.6335584,-0.1022091
8,-1.7727426,-2.0254607,"('unaffectionate', 'affectionate')",-1.5624694,-1.5959905,-3.077602,-3.145612,0.25340378,0.07001455,-1.5398526,-1.6742622,0.1344096
53,-1.764037,-1.7671461,"('uncreative', 'creative')",-0.35482138,-0.19160777,-0.18210506,-0.07215417,0.80957747,0.7708153,-0.3728465,-0.3150232,-0.0578233
56,1.7437316,1.599289,"('impractical', 'practical')",1.9312925,1.9569397,2.5049052,2.8202662,0.3003897,0.3724972,1.6200798,1.687248,-0.0671682
1,-1.6548305,-1.8784893,"('unfriendly', 'friendly')",-0.98388535,-0.8885102,-0.5320402,-0.6663581,1.4658996,1.1909186,-0.4262141,-0.5606098,0.1343957
67,1.6375029,1.6045132,"('doubtful', 'determined')",0.51064074,0.48123333,-0.16196683,-0.18860069,-0.43042707,-0.43228894,0.3889375,0.3662142,0.0227233
73,1.6139703,1.6340765,"('helpless', 'self-reliant')",-0.076733395,-0.02131369,-1.1124064,-1.0031873,-3.4446766,-3.3828535,-0.7549615,-0.6933195,-0.061642
64,1.5931276,1.545475,"('shy', 'confident')",0.57862854,0.4632107,-0.40808934,-0.42056334,-6.1632013,-6.1082,-1.0998836,-1.1300194,0.0301358
60,1.4484327,1.445965,"('inefficient', 'efficient')",1.9902096,1.8616284,3.0541596,3.2525494,0.63134325,0.7455429,1.7810363,1.8264214,-0.0453851
44,1.4076223,1.3560948,"('prejudiced', 'unprejudiced')",0.65130275,0.37741196,-0.9303246,-1.1558555,-1.2341393,-1.1831074,-0.0263847,-0.151364,0.1249793
55,-1.3386197,-1.2784078,"('incompetent', 'clever')",-0.08160432,-0.12626718,1.9094852,2.1737874,-0.03085269,-0.035505265,0.1146021,0.1834018,-0.0687997
86,-1.2773234,-1.5398363,"('uninfluential', 'influential')",0.28180423,0.2242268,1.1954399,1.1143094,-0.29673013,-0.62706727,-0.0242023,-0.2070918,0.1828895
9,-1.1858732,-1.346092,"('unaffectionate', 'caring')",-0.33145812,-0.26187807,-0.7457495,-0.6377995,1.1521416,1.2260954,-0.2777348,-0.2549185,-0.0228163
48,-1.1681898,-1.16677,"('unintelligent', 'intelligent')",-0.26419476,-0.23632936,0.20162918,0.30260468,0.5445047,0.3985325,-0.1715627,-0.1754905,0.0039278
46,-1.1433599,-1.1524707,"('uncompetitive', 'competitive')",1.3356544,1.3561422,2.0048795,2.1231155,-0.4063378,-0.26317942,0.4477091,0.5159019,-0.0681928
78,-1.140642,-0.9990814,"('nonresilient', 'resilient')",0.50349903,0.8140218,-0.36645383,-0.18463941,0.51234347,0.8690993,-0.1228133,0.1248501,-0.2476634
82,-1.1319597,-0.94525903,"('poor', 'rich')",-0.30599156,-0.123848744,0.7427976,0.8133409,6.027193,6.3229704,1.3330098,1.5168009,-0.1837911
36,-1.1021829,-1.0486869,"('hostile', 'amicable')",-0.68057775,-0.63828737,-3.3682568,-3.7183845,-0.36665642,-0.6377651,-1.3794184,-1.5107809,0.1313625
16,-1.0220026,-0.80745786,"('unpopular', 'popular')",-0.30867127,-0.08245437,-0.9485175,-0.90644705,0.5496372,0.70736474,-0.4323885,-0.2722486,-0.1601399
31,-1.0198174,-1.1661988,"('evil', 'good')",-1.2491279,-1.357473,-2.1296072,-2.2446406,-1.2039825,-1.2392454,-1.4006337,-1.5018895,0.1012558
28,-1.002817,-0.94620615,"('disloyal', 'loyal')",-0.47717482,-0.43023074,0.35370106,0.4676283,0.88553554,0.8203842,-0.0601888,-0.0221061,-0.0380827
81,0.93065697,0.8678694,"('submissive', 'aggressive')",1.1239547,0.9119459,1.6252573,1.7546628,-0.70294714,-0.6250367,0.7442304,0.7273603,0.0168701
40,-0.9270472,-0.88078576,"('stingy', 'generous')",-0.06623988,0.08092477,-0.2098189,-0.2725409,-1.382051,-1.3601375,-0.6462892,-0.6081349,-0.0381543
10,-0.90203285,-1.3359054,"('unsympathetic', 'sympathetic')",-0.043126196,-0.3020048,1.5879703,1.6428993,-0.07824643,-0.11242044,0.1411412,-0.0268579,0.1679991
42,0.89856005,0.6756482,"('unreliable', 'reliable')",0.76694286,0.5343379,0.81261224,0.7491049,-2.8418922,-2.7925947,-0.0909443,-0.2083759,0.1174316
