,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.6128376,-2.874606,"('unsympathetic', 'sympathetic')",-3.1939843,-3.3630173,-0.37127858,-0.27582428,-2.0593669,-2.1711491,0.1117822
46,-1.8609533,-2.0910497,"('uncompetitive', 'competitive')",-2.1568413,-2.2058873,-1.1388277,-1.171997,-1.7188741,-1.822978,0.1041039
3,-1.842138,-1.9951262,"('repellent', 'pleasant')",-1.3853256,-1.405968,0.6624009,0.5679835,-0.8550209,-0.9443703,0.0893494
1,-1.753827,-1.601146,"('unfriendly', 'friendly')",-1.6122594,-1.7089448,1.8254256,1.7070526,-0.5135536,-0.5343461,0.0207925
23,-1.630898,-1.9307344,"('insincere', 'sincere')",-1.7336448,-1.8774053,6.775308,6.602011,1.1369217,0.9312905,0.2056312
28,-1.6039933,-1.616988,"('disloyal', 'loyal')",-1.2611967,-1.4022697,1.2293428,1.1606219,-0.5452824,-0.6195452,0.0742628
41,-1.5567652,-1.2178966,"('unforgiving', 'forgiving')",-1.166835,-1.113084,-0.23921137,-0.34063134,-0.9876038,-0.8905373,-0.0970665
11,-1.5496517,-1.5438714,"('unhelpful', 'helpful')",-1.9880278,-1.9237714,1.9817473,2.0559452,-0.5186441,-0.4705659,-0.0480782
86,-1.5054264,-1.5182978,"('uninfluential', 'influential')",-2.1193638,-2.1847727,-0.37499753,-0.58097166,-1.3332626,-1.4280141,0.0947515
63,-1.4994057,-1.5600144,"('unperceptive', 'insightful')",-1.4790922,-1.5426131,0.7811187,0.68532157,-0.7324598,-0.8057686,0.0733088
0,-1.4852661,-1.5614299,"('unsociable', 'sociable')",-1.5679965,-1.7943407,-0.14784713,-0.17073978,-1.0670366,-1.1755035,0.1084669
57,-1.4640312,-1.5951279,"('unimaginative', 'imaginative')",-1.8456081,-1.8843794,-3.5342948,-3.6870472,-2.2813114,-2.3888515,0.1075401
73,1.366377,1.5517817,"('helpless', 'self-reliant')",1.2463973,1.5042845,-3.4291112,-3.2797985,-0.2721123,-0.0745775,-0.1975348
35,1.3632734,1.6422207,"('corrupt', 'incorrupt')",1.8640476,1.9290174,-0.40285206,-0.40429348,0.9414897,1.0556482,-0.1141585
45,-1.3551241,-1.397623,"('incompetent', 'competent')",-1.0675082,-1.2238139,-0.25346464,-0.27997178,-0.8920323,-0.9671362,0.0751039
72,-1.2988217,-1.3126246,"('unambitious', 'ambitious')",-1.3456595,-1.2539557,-0.344505,-0.1995705,-0.9963288,-0.9220502,-0.0742786
49,-1.2482331,-1.1600664,"('unable', 'able')",-0.79579,-0.80434394,0.12779531,0.16424352,-0.6387426,-0.6000556,-0.038687
53,-1.2317363,-1.1848588,"('uncreative', 'creative')",-1.4543228,-1.3840289,0.38002843,0.3911606,-0.7686768,-0.7259091,-0.0427677
17,-1.2295665,-1.2557815,"('nasty', 'nice')",-0.3986129,-0.44129825,-0.5778087,-0.61747974,-0.7353293,-0.7715198,0.0361905
48,-1.221832,-1.1840637,"('unintelligent', 'intelligent')",-1.7359049,-1.7970064,0.5137521,0.5493635,-0.8146617,-0.8105688,-0.0040929
81,-1.2166663,-1.0439606,"('submissive', 'aggressive')",-1.9529912,-1.7935272,-1.037396,-0.8864902,-1.4023512,-1.241326,-0.1610252
32,-1.2034701,-1.2586511,"('unkind', 'kind')",-1.6642926,-1.7588766,1.1139104,0.94757426,-0.5846174,-0.6899845,0.1053671
62,-1.1930759,-1.0952774,"('incompetent', 'brilliant')",-1.6376983,-1.4117231,0.18178791,0.3842324,-0.8829954,-0.7075893,-0.1754061
43,-1.1596354,-1.4953206,"('irresponsible', 'responsible')",-1.7159089,-1.8840365,0.52815557,0.38223737,-0.7824629,-0.9990399,0.216577
88,-1.1295242,-1.0529794,"('low', 'eminent')",-2.01424,-1.9475423,-0.38705373,-0.4421667,-1.1769393,-1.1475628,-0.0293765
65,-1.0771036,-1.4250054,"('insecure', 'secure')",-1.37396,-1.5054978,-0.19928056,-0.17025788,-0.883448,-1.0335871,0.1501391
24,-1.0635148,-1.0435731,"('dishonest', 'honest')",-1.2164209,-1.267895,0.6946881,0.79271686,-0.5284159,-0.5062504,-0.0221655
22,-1.0396956,-1.0752283,"('untrustworthy', 'trustworthy')",-1.1835619,-1.1960454,-0.7555457,-0.70937824,-0.9929344,-0.9935506,0.0006162
21,-0.96757597,-1.1576809,"('immoral', 'moral')",-1.4920243,-1.515385,-0.6217684,-0.64819026,-1.0271229,-1.1070854,0.0799625
77,-0.96420556,-1.0786088,"('unmotivated', 'motivated')",-1.1570858,-1.1877459,-1.3399825,-1.4516816,-1.153758,-1.2393454,0.0855874
33,0.9599538,0.9979614,"('wrong', 'right')",1.1831133,1.218591,-0.49023682,-0.5337908,0.5509435,0.5609205,-0.009977
34,-0.94078004,-1.1337575,"('mean', 'honorable')",-0.7954037,-0.9738344,6.3124275,6.130423,1.5254146,1.3409437,0.1844709
12,-0.9088162,-0.95896006,"('unsupportive', 'supportive')",-0.8009643,-0.8692381,-1.9953551,-1.9883361,-1.2350452,-1.2721781,0.0371329
82,-0.85851616,-0.87464577,"('poor', 'rich')",-1.4224799,-1.5023323,6.940319,6.9550185,1.5531076,1.5260134,0.0270942
85,0.7900187,0.73480564,"('insignificant', 'prestigious')",0.5423501,0.41155952,0.004704794,-0.38435426,0.4456912,0.2540036,0.1916876
54,-0.7849369,-0.9397005,"('incapable', 'capable')",-0.78119344,-0.9625518,1.3024626,1.0534427,-0.0878893,-0.2829365,0.1950472
18,-0.7667534,-0.71492356,"('disagreeable', 'welcoming')",-1.0871739,-0.9344546,-0.40554515,-0.5210552,-0.7531575,-0.7234778,-0.0296797
61,-0.7623574,-0.8202881,"('illogical', 'logical')",-0.99167293,-1.1140174,0.5666591,0.46746904,-0.3957904,-0.4889455,0.0931551
60,-0.7217067,-0.77444303,"('inefficient', 'efficient')",-1.2883745,-1.1628845,-0.22146422,-0.02622877,-0.7438485,-0.6545188,-0.0893297
76,-0.7157465,-0.84354043,"('anxious', 'daring')",-1.2536931,-1.273904,-0.22838119,-0.29285252,-0.732607,-0.8034323,0.0708253
59,0.71499836,0.68153226,"('foolish', 'wise')",0.8277474,0.80018497,0.46167573,0.3443334,0.6681405,0.6086835,0.059457
38,-0.7119494,-0.5461122,"('untruthful', 'truthful')",-0.5863427,-0.52508074,-0.13166492,0.059311382,-0.4766523,-0.3372939,-0.1393584
70,-0.7101407,-0.9007139,"('lethargic', 'energetic')",-1.3213934,-1.4286721,0.25330064,0.20574199,-0.5927445,-0.7078814,0.1151369
9,-0.7047101,-0.73230684,"('unaffectionate', 'caring')",-0.9198902,-1.1089628,1.9125894,1.8183904,0.0959963,-0.0076264,0.1036227
40,-0.703364,-0.6510607,"('stingy', 'generous')",-0.26828095,-0.26897898,-2.1149352,-2.186056,-1.0288601,-1.0353652,0.0065051
13,-0.6972384,-0.8088826,"('impolite', 'polite')",-0.73937565,-0.78213,-0.5002351,-0.35907793,-0.6456164,-0.6500302,0.0044138
69,0.6915533,0.6663897,"('lazy', 'industrious')",2.3672261,2.1962013,-0.97443247,-1.1348827,0.6947823,0.5759028,0.1188795
7,-0.64782846,-0.82826424,"('insensitive', 'sensitive')",-0.9513906,-1.073761,0.7607429,0.6984778,-0.2794921,-0.4011825,0.1216904
8,-0.62578195,-0.84814227,"('unaffectionate', 'affectionate')",-0.43272713,-0.71413106,1.4940535,1.2531064,0.1451815,-0.1030556,0.2482371
30,-0.57152534,-0.51476705,"('intolerant', 'tolerant')",-1.2847897,-1.1483219,0.33539104,0.5236577,-0.5069747,-0.3798104,-0.1271643
79,-0.5659492,-0.74029016,"('wavering', 'unwavering')",-0.055822015,-0.21531889,-0.20276497,-0.32196334,-0.2748454,-0.4258575,0.1510121
66,-0.52998525,-0.9071973,"('inactive', 'active')",0.18902959,-0.24416241,0.477877,0.22851524,0.0456404,-0.3076148,0.3532552
16,-0.48864445,-0.5611121,"('unpopular', 'popular')",-0.54839027,-0.56811994,0.25400516,0.075273804,-0.2610099,-0.3513194,0.0903095
14,-0.46458584,-0.62622523,"('antisocial', 'social')",-0.90600115,-1.007011,-0.5740649,-0.5140025,-0.6482173,-0.7157462,0.0675289
25,0.45915005,0.44955266,"('egoistic', 'altruistic')",1.1145203,0.93257624,1.4946887,1.3388133,1.0227864,0.9069808,0.1158056
58,-0.45407116,-0.64247143,"('undiscriminating', 'discriminating')",-0.9043855,-1.1332846,-0.2719864,-0.33708274,-0.543481,-0.7042796,0.1607986
15,0.45370737,0.44330722,"('boring', 'funny')",0.41791806,0.4082615,0.10525275,0.034830183,0.3256261,0.2954663,0.0301598
67,0.44621623,0.6689358,"('doubtful', 'determined')",0.7714137,0.8965578,-0.66415274,-0.5597914,0.1844924,0.3352341,-0.1507417
2,-0.42303997,-0.5216516,"('unlikable', 'likable')",-0.504279,-0.70641154,0.376015,0.22854285,-0.183768,-0.3331734,0.1494054
78,-0.40151775,-0.56796443,"('nonresilient', 'resilient')",-0.06148933,-0.20430265,0.7520544,0.6438817,0.0963491,-0.0427951,0.1391442
42,0.39050373,0.17965345,"('unreliable', 'reliable')",-0.07911837,-0.13871896,-3.5490332,-3.6531744,-1.0792159,-1.2040799,0.124864
19,-0.38804317,-0.41839924,"('inhospitable', 'hospitable')",-0.30813918,-0.3312803,-0.011110535,-0.04465012,-0.2357643,-0.2647766,0.0290123
47,-0.3579656,-0.50148827,"('stupid', 'smart')",-0.37955612,-0.5265634,6.0766077,5.915608,1.7796954,1.6291854,0.15051
68,-0.35136455,-0.26433566,"('dependent', 'independent')",-0.52415526,-0.34360495,-0.59502333,-0.59099156,-0.490181,-0.3996441,-0.0905369
55,-0.32887393,-0.4081207,"('incompetent', 'clever')",-1.4500276,-1.4096955,0.12817186,0.15723452,-0.5502432,-0.5535272,0.003284
39,0.32601804,0.078154385,"('exploitative', 'cooperative')",0.3309492,0.33286905,0.23449647,0.118254885,0.2971546,0.1764261,0.1207285
29,-0.32457137,-0.23599482,"('unfair', 'fair')",0.21719849,0.1567092,-0.33829483,-0.6008432,-0.1485559,-0.2267096,0.0781537
64,-0.29174104,-0.31356722,"('shy', 'confident')",-0.12960415,-0.2068625,-7.1935163,-7.1905293,-2.5382872,-2.5703197,0.0320325
56,-0.2823435,-0.06622957,"('impractical', 'practical')",-0.46342614,-0.30494988,-0.88463855,-0.5309891,-0.5434694,-0.3007229,-0.2427465
37,-0.2817271,-0.4358549,"('fake', 'genuine')",-0.28706053,-0.38001385,0.42579585,0.34473032,-0.0476639,-0.1570461,0.1093822
75,0.2643734,0.5285725,"('meek', 'impulsive')",0.58325195,0.7870154,-0.91756237,-0.9132434,-0.0233123,0.1341148,-0.1574271
80,0.25794274,0.10616291,"('dominated', 'dominating')",-0.0053660125,-0.02351008,-0.75608766,-0.61667013,-0.167837,-0.1780058,0.0101688
52,0.2329634,0.2070493,"('irrational', 'rational')",-0.041540712,-0.076746136,0.39919654,0.22312984,0.1968731,0.117811,0.0790621
74,0.22887948,0.06976756,"('undedicated', 'dedicated')",-0.020999365,-0.1388639,-0.2887801,-0.4132272,-0.0269667,-0.1607745,0.1338078
4,-0.20949398,-0.01793561,"('disliked', 'liked')",0.65146095,0.7172365,-7.948778,-7.9247108,-2.5022704,-2.40847,-0.0938004
6,-0.1679346,-0.12343565,"('distant', 'open')",0.14142838,0.13287428,0.0025571082,-0.118787386,-0.007983,-0.0364496,0.0284666
50,-0.0991112,-0.31767237,"('clumsy', 'skillful')",0.13242799,0.021190101,0.5289562,0.26260924,0.1874243,-0.011291,0.1987153
5,0.09858361,0.14600046,"('distant', 'outgoing')",0.38964632,0.3862159,-0.12111476,-0.18079016,0.1223717,0.1171421,0.0052296
27,0.08474475,-0.13104074,"('hardhearted', 'softhearted')",-0.21717748,-0.305568,1.5967098,1.4969207,0.4880924,0.3534373,0.1346551
20,-0.0815317,-0.1657619,"('rough', 'thoughtful')",-0.3767452,-0.35594508,0.7019935,0.6386614,0.0812389,0.0389848,0.0422541
71,-0.07845758,0.02129587,"('diffident', 'self-confident')",0.89461803,0.81699514,0.72397846,0.6280994,0.5133797,0.4887968,0.0245829
31,0.07385224,0.24704242,"('evil', 'good')",0.6618649,0.6404723,-0.9878503,-1.0947666,-0.0840444,-0.069084,-0.0149604
36,-0.067464694,-0.26217455,"('hostile', 'amicable')",0.4784423,0.21543905,-0.19512543,-0.47074088,0.0719507,-0.1724921,0.2444428
87,0.055157267,-0.27191442,"('unsuccessful', 'successful')",0.13606256,-0.30009887,1.1894004,1.0931655,0.4602067,0.1737174,0.2864893
83,-0.041165527,0.037705906,"('powerless', 'powerful')",-0.52704614,-0.35219568,-1.2448483,-1.0951235,-0.6043533,-0.4698711,-0.1344822
