,american_male,american_female,tuple,capital_male,capital_female,ltd_male,ltd_female,average_male,average_female,male-female
16,-2.1709979,-2.0613549,"('unpopular', 'popular')",-0.048324384,-0.09277691,-0.29302335,-0.13238707,-0.8374485,-0.762173,-0.0752755
73,1.5342625,1.5388036,"('helpless', 'self-reliant')",0.9952269,1.1545975,-3.4333072,-3.221851,-0.3012726,-0.17615,-0.1251226
39,1.4476805,1.4345238,"('exploitative', 'cooperative')",0.5440493,0.42577782,0.48726636,0.22507755,0.826332,0.6951264,0.1312056
36,-1.3413411,-1.2584524,"('hostile', 'amicable')",-0.24909738,-0.18116479,0.35175058,0.42155904,-0.412896,-0.3393527,-0.0735433
47,-1.2686496,-1.0688851,"('stupid', 'smart')",0.23852162,0.12728058,5.8553267,5.5702124,1.6083996,1.5428692,0.0655304
24,1.1735467,1.0964262,"('dishonest', 'honest')",-0.44648367,-0.54597986,0.4414025,0.34360364,0.3894885,0.2980167,0.0914718
42,1.1069784,1.0835538,"('unreliable', 'reliable')",1.0946428,0.90150625,-2.9568686,-2.9639726,-0.2517492,-0.3263042,0.074555
29,-1.0896478,-1.1592401,"('unfair', 'fair')",-0.23167437,-0.29537812,-0.26758105,-0.3604033,-0.5296344,-0.6050072,0.0753728
31,-1.079226,-1.165955,"('evil', 'good')",-0.5335078,-0.3123757,-0.86054397,-0.5835032,-0.8244259,-0.687278,-0.1371479
82,-1.0737557,-0.8600601,"('poor', 'rich')",-0.106335185,-0.17844455,6.298859,6.1470404,1.7062561,1.7028453,0.0034108
12,0.9617787,0.7472092,"('unsupportive', 'supportive')",1.7508696,1.4545245,-1.6580328,-1.7589704,0.3515385,0.1475877,0.2039508
40,0.9568529,0.78651893,"('stingy', 'generous')",1.136156,1.0758741,-1.7563187,-1.56468,0.1122301,0.0992377,0.0129924
48,0.9470663,0.52423394,"('unintelligent', 'intelligent')",-0.02907952,-0.31049818,0.43487245,0.23555395,0.4509531,0.1497632,0.3011899
51,0.93941516,0.8767717,"('uneducated', 'educated')",0.40125895,0.38345346,0.41023725,0.30565563,0.5836372,0.5219603,0.0616769
78,-0.91390234,-1.2146003,"('nonresilient', 'resilient')",1.0803831,0.82862496,0.43427098,0.2605071,0.2002506,-0.0418228,0.2420734
43,0.8808972,0.71382654,"('irresponsible', 'responsible')",0.8341048,0.47331232,0.9591065,0.9250171,0.8913695,0.704052,0.1873175
18,0.8678487,0.81821537,"('disagreeable', 'welcoming')",0.55088234,0.5116719,-0.7248874,-0.7239617,0.2312812,0.2019752,0.029306
34,-0.8376229,-0.9340808,"('mean', 'honorable')",0.31102845,0.19075578,5.4775496,5.3049374,1.6503185,1.5205374,0.1297811
53,-0.8291553,-1.0621359,"('uncreative', 'creative')",0.98307216,0.5356264,0.8609258,0.7373606,0.3382809,0.0702837,0.2679972
76,0.8283597,0.9242877,"('anxious', 'daring')",1.1978235,0.86248904,0.35879642,0.328509,0.7949932,0.7050953,0.0898979
77,-0.8254068,-1.1909854,"('unmotivated', 'motivated')",1.5931047,1.0780715,-0.9778242,-1.20151,-0.0700421,-0.4381413,0.3680992
72,0.8036889,0.7131471,"('unambitious', 'ambitious')",1.0598334,1.0916535,-0.08010358,-0.036651593,0.5944729,0.589383,0.0050899
49,-0.8005632,-0.9094273,"('unable', 'able')",-0.2788021,-0.57178164,-0.061971027,-0.23620535,-0.3804454,-0.5724714,0.192026
70,0.77550113,0.842782,"('lethargic', 'energetic')",0.8636895,0.551301,0.7072788,0.6226392,0.7821565,0.6722407,0.1099158
26,0.7653129,0.87280965,"('hardhearted', 'benevolent')",1.7646586,2.0768843,2.0404644,2.324528,1.5234787,1.758074,-0.2345953
45,-0.75723267,-0.6250709,"('incompetent', 'competent')",-0.36810076,-0.24398184,0.47018155,0.69230723,-0.2183839,-0.0589152,-0.1594687
28,0.71724546,0.4794485,"('disloyal', 'loyal')",-0.068830535,-0.11645701,1.2541946,1.2901597,0.6342032,0.5510504,0.0831528
27,0.68829864,0.43098158,"('hardhearted', 'softhearted')",0.59407455,0.4861343,1.0712287,0.9426411,0.784534,0.619919,0.164615
9,0.6861158,0.30753976,"('unaffectionate', 'caring')",1.2053937,0.939837,1.3785315,1.072796,1.0900137,0.7733909,0.3166228
4,-0.66517574,-0.5933872,"('disliked', 'liked')",-0.31885818,-0.1428888,-6.748757,-6.318021,-2.577597,-2.3514323,-0.2261647
64,0.64958125,0.58758193,"('shy', 'confident')",0.41242287,0.2726007,-6.447732,-6.666395,-1.7952426,-1.9354041,0.1401615
81,0.6421174,0.8283911,"('submissive', 'aggressive')",1.2882853,1.1716548,-0.51655763,-0.5498214,0.4712817,0.4834081,-0.0121264
66,0.62483335,0.6642746,"('inactive', 'active')",1.7316645,1.569188,1.148206,1.17856,1.1682346,1.1373409,0.0308937
88,0.62247604,0.79648757,"('low', 'eminent')",-0.18482792,-0.18590294,-0.09616828,0.0089437645,0.1138266,0.2065095,-0.0926829
0,-0.6160519,-0.7354975,"('unsociable', 'sociable')",0.21165246,0.11187068,-0.356232,-0.51636034,-0.2535438,-0.3799957,0.1264519
74,0.59824413,0.6419906,"('undedicated', 'dedicated')",0.8954784,0.9613934,0.22031333,0.48005655,0.5713453,0.6944802,-0.1231349
65,0.5891938,0.53011817,"('insecure', 'secure')",0.11483898,-0.010278627,0.71140236,0.49787083,0.4718117,0.3392368,0.1325749
10,0.5879686,0.28587937,"('unsympathetic', 'sympathetic')",0.002340272,-0.2805453,0.33397284,0.27924156,0.3080939,0.0948585,0.2132354
5,-0.57963794,-0.580771,"('distant', 'outgoing')",0.9015784,0.8345131,-0.18773884,-0.15721396,0.0447339,0.032176,0.0125579
79,0.52666,0.56730133,"('wavering', 'unwavering')",0.32600147,0.35427237,-0.12306958,0.016613806,0.2431973,0.3127292,-0.0695319
1,-0.514058,-0.7867333,"('unfriendly', 'friendly')",0.5119869,0.37045702,1.967658,1.9717575,0.6551956,0.5184937,0.1367019
