,ameriprise_male,ameriprise_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.791678,-2.7012873,"('unfriendly', 'friendly')",1.0320859,1.0806404,2.204567,2.3213546,0.148325,0.2335693,-0.0852443
8,-2.480803,-2.4663868,"('unaffectionate', 'affectionate')",-0.3064541,-0.25700915,0.67621624,0.8572341,-0.7036804,-0.6220539,-0.0816265
9,-2.191285,-2.1696613,"('unaffectionate', 'caring')",1.1736004,1.219809,1.2949395,1.471353,0.0924184,0.1738336,-0.0814152
53,-2.084142,-1.9017262,"('uncreative', 'creative')",0.9115725,1.0278676,0.7010509,0.7825798,-0.1571729,-0.0304263,-0.1267466
86,-1.971068,-2.0331388,"('uninfluential', 'influential')",0.08043036,-0.05883998,0.12905772,-0.06414977,-0.5871933,-0.7187095,0.1315162
44,1.566317,1.5102371,"('prejudiced', 'unprejudiced')",-0.5562969,-0.5257136,-1.8156241,-1.8805544,-0.2685347,-0.298677,0.0301423
12,-1.517671,-1.5791923,"('unsupportive', 'supportive')",1.3721907,1.332295,-1.406988,-1.4940679,-0.5174894,-0.5803217,0.0628323
57,-1.4926618,-1.4425051,"('unimaginative', 'imaginative')",-0.24943852,-0.31925812,-2.5056543,-2.7057686,-1.4159182,-1.4891772,0.073259
31,-1.4747536,-1.4076085,"('evil', 'good')",-1.0224432,-0.98131704,-0.8346267,-0.7317985,-1.1106078,-1.0402414,-0.0703664
77,-1.2807723,-1.2431941,"('unmotivated', 'motivated')",0.81394523,0.84044427,-1.3208675,-1.3730375,-0.5958982,-0.5919291,-0.0039691
28,-1.2768117,-1.2480607,"('disloyal', 'loyal')",0.103877984,0.110647015,0.7746241,0.7904387,-0.1327699,-0.1156583,-0.0171116
73,1.2464014,1.297455,"('helpless', 'self-reliant')",0.5535274,0.56899905,-2.7326024,-2.63105,-0.3108912,-0.2548654,-0.0560258
85,-1.2334566,-1.2367737,"('insignificant', 'prestigious')",0.70695716,0.6785642,0.2730756,0.35157743,-0.0844746,-0.0688774,-0.0155972
42,1.2281164,1.1607538,"('unreliable', 'reliable')",0.2658602,0.2147907,-2.888697,-2.898949,-0.4649068,-0.5078015,0.0428947
0,-1.2178396,-1.3812943,"('unsociable', 'sociable')",0.6861133,0.61694384,-0.4115931,-0.5912981,-0.3144398,-0.4518828,0.137443
78,-1.1974436,-1.1771566,"('nonresilient', 'resilient')",1.163114,1.1596519,0.4134414,0.3390318,0.1263706,0.1071757,0.0191949
19,-1.1752394,-1.0625378,"('inhospitable', 'hospitable')",-0.47211844,-0.42051634,0.25029045,0.46620476,-0.4656892,-0.3389498,-0.1267394
10,-1.1621867,-1.2688668,"('unsympathetic', 'sympathetic')",-0.62595934,-0.73499346,-0.2891544,-0.5244871,-0.6924335,-0.8427824,0.1503489
71,-1.1587341,-1.0244652,"('diffident', 'self-confident')",1.6950461,1.7750067,0.43890184,0.55221325,0.3250713,0.4342515,-0.1091802
48,-1.1486266,-1.1626337,"('unintelligent', 'intelligent')",-0.65425116,-0.6257824,0.301417,0.28062654,-0.5004869,-0.5025965,0.0021096
36,-1.0775832,-1.0476036,"('hostile', 'amicable')",-0.5092274,-0.50444925,-0.100329354,-0.017511658,-0.56238,-0.5231882,-0.0391918
58,-1.0570452,-0.8880538,"('undiscriminating', 'discriminating')",1.258669,1.2278104,0.16611399,0.15118632,0.1225793,0.1636476,-0.0410683
25,-1.0272961,-0.9574698,"('egoistic', 'altruistic')",-0.16180252,-0.006819498,1.5460434,1.6914731,0.1189816,0.2423946,-0.123413
69,1.0084679,0.95429033,"('lazy', 'industrious')",0.54577565,0.5448469,-0.5258006,-0.6249647,0.3428143,0.2913908,0.0514235
46,-0.99804264,-1.0567673,"('uncompetitive', 'competitive')",0.8909614,0.80704546,-0.5654602,-0.75507486,-0.2241805,-0.3349322,0.1107517
52,-0.9926631,-1.1341412,"('irrational', 'rational')",-0.23874682,-0.30145323,-0.21947879,-0.14878948,-0.4836295,-0.528128,0.0444985
16,-0.9863699,-1.0034386,"('unpopular', 'popular')",-0.5410587,-0.5883204,0.23222008,0.21863447,-0.4317362,-0.4577082,0.025972
80,0.95265836,0.81881124,"('dominated', 'dominating')",0.30359018,0.17815077,-0.8486903,-1.0815533,0.1358527,-0.0281971,0.1640498
38,-0.9469169,-0.91678643,"('untruthful', 'truthful')",0.53859043,0.59857374,0.24531291,0.35159054,-0.0543378,0.011126,-0.0654638
63,-0.91140956,-0.97832364,"('unperceptive', 'insightful')",1.4140599,1.3554299,1.2718501,1.2926244,0.5915001,0.5565769,0.0349232
72,-0.9097186,-0.92941064,"('unambitious', 'ambitious')",-0.037013553,0.006751891,-0.91183114,-0.7513047,-0.6195211,-0.5579878,-0.0615333
54,-0.8859642,-0.90842515,"('incapable', 'capable')",0.67754364,0.6421236,1.0786182,1.2413912,0.2900659,0.3250299,-0.034964
11,-0.8554009,-0.9114791,"('unhelpful', 'helpful')",0.68487763,0.6358866,1.9806007,1.959665,0.6033591,0.5613575,0.0420016
6,-0.84923273,-0.68900996,"('distant', 'open')",-0.66143703,-0.5453055,0.3506614,0.6002513,-0.3866694,-0.2113547,-0.1753147
43,-0.8148325,-0.9223533,"('irresponsible', 'responsible')",0.9551929,0.858486,0.5417612,0.3723346,0.2273739,0.1028224,0.1245515
55,-0.79784334,-0.8300166,"('incompetent', 'clever')",-0.23298265,-0.29370564,-0.1317378,-0.26925975,-0.3875213,-0.4643273,0.076806
5,-0.7957285,-0.68476826,"('distant', 'outgoing')",0.39235944,0.47175756,0.034589402,0.32201168,-0.1229266,0.0363337,-0.1592603
30,0.7887642,0.6877496,"('intolerant', 'tolerant')",0.90399253,0.8136818,1.3689088,1.2055681,1.0205552,0.9023332,0.118222
76,0.733358,0.7181182,"('anxious', 'daring')",0.05387119,0.029485408,-0.02403272,-0.041897334,0.2543988,0.2352354,0.0191634
61,-0.65768415,-0.6921844,"('illogical', 'logical')",1.363156,1.3520987,0.17552245,0.14920919,0.2936648,0.2697078,0.023957
45,-0.6509543,-0.6677427,"('incompetent', 'competent')",-0.12564899,-0.1737169,-0.46735227,-0.5347189,-0.4146519,-0.4587262,0.0440743
24,-0.64885575,-0.75660807,"('dishonest', 'honest')",0.0051093586,0.040938072,0.8762539,0.9467509,0.0775025,0.077027,0.0004755
37,0.6396341,0.56816757,"('fake', 'genuine')",-0.86828756,-0.8669107,0.5912165,0.53897274,0.1208543,0.0800765,0.0407778
64,0.6376957,0.5140539,"('shy', 'confident')",0.5293811,0.45335138,-6.4994893,-6.73349,-1.7774709,-1.9220282,0.1445573
50,0.62731004,0.5104064,"('clumsy', 'skillful')",0.27014175,0.19640222,0.14831814,0.17774478,0.34859,0.2948511,0.0537389
56,0.618169,0.7475633,"('impractical', 'practical')",0.8485787,0.90827584,-0.19878323,-0.2505721,0.4226548,0.4684224,-0.0457676
23,-0.6141468,-0.6508249,"('insincere', 'sincere')",1.1264191,1.056798,6.00715,6.0783496,2.1731408,2.1614408,0.0117
2,0.6004879,0.43490037,"('unlikable', 'likable')",2.1658118,2.0798097,0.4757784,0.43496427,1.0806927,0.9832247,0.097468
81,0.5936878,0.4619737,"('submissive', 'aggressive')",1.0054014,0.86666036,-0.41252375,-0.57248974,0.3955218,0.2520481,0.1434737
67,0.53819793,0.47603023,"('doubtful', 'determined')",0.19013971,0.15526555,-0.66377443,-0.6757727,0.0215211,-0.0148256,0.0363467
3,-0.53426784,-0.56432426,"('repellent', 'pleasant')",0.16460557,0.12304122,0.16396058,0.061394155,-0.0685672,-0.1266296,0.0580624
83,-0.5264274,-0.46876147,"('powerless', 'powerful')",0.47693938,0.51157427,-1.3116593,-1.3539476,-0.4537158,-0.4370449,-0.0166709
27,-0.47704917,-0.5405849,"('hardhearted', 'softhearted')",-0.34695643,-0.39971644,1.5489838,1.5904355,0.2416594,0.2167114,0.024948
41,-0.4686976,-0.6142588,"('unforgiving', 'forgiving')",1.2026242,1.0777584,0.06624267,-0.13651775,0.2667231,0.1089939,0.1577292
26,-0.4631656,-0.4629652,"('hardhearted', 'benevolent')",1.0383517,0.9479262,1.3776021,1.2788987,0.6509294,0.5879532,0.0629762
60,0.4504905,0.5117951,"('inefficient', 'efficient')",0.7186283,0.7207173,-0.026646199,-0.046693653,0.3808242,0.3952729,-0.0144487
18,-0.4401174,-0.5438477,"('disagreeable', 'welcoming')",-0.49767062,-0.53120726,0.06904416,0.033713073,-0.2895813,-0.3471139,0.0575326
15,0.41434354,0.4128185,"('boring', 'funny')",0.12328522,0.14859095,0.60592693,0.64425045,0.3811852,0.4018866,-0.0207014
59,-0.33587745,-0.41679204,"('foolish', 'wise')",0.3623313,0.33877018,0.504182,0.6057071,0.1768786,0.1758951,0.0009835
74,-0.3297049,-0.34549895,"('undedicated', 'dedicated')",0.7291205,0.667818,0.2900887,0.15883142,0.2298348,0.1603835,0.0694513
87,0.31556916,0.23145398,"('unsuccessful', 'successful')",1.4727106,1.4281864,0.93446076,0.97360986,0.9075802,0.8777501,0.0298301
4,-0.2921308,-0.2587078,"('disliked', 'liked')",-0.1658934,-0.10277508,-5.777049,-5.969142,-2.0783577,-2.1102082,0.0318505
7,-0.27578852,-0.3604734,"('insensitive', 'sensitive')",0.8714014,0.79448116,1.2951471,1.1955677,0.6302533,0.5431918,0.0870615
66,0.2429749,0.15034425,"('inactive', 'active')",0.5840149,0.6157905,0.89725643,0.78962123,0.5747488,0.5185853,0.0561635
79,-0.23651093,-0.26464948,"('wavering', 'unwavering')",-0.7699192,-0.75268084,0.14177391,0.16061398,-0.2882187,-0.2855721,-0.0026466
33,-0.2360603,-0.2411874,"('wrong', 'right')",0.9166495,0.8889089,-0.5342904,-0.4806849,0.0487663,0.0556789,-0.0069126
39,-0.23053896,-0.16657074,"('exploitative', 'cooperative')",0.7805986,0.8134804,0.06629076,0.07180939,0.2054501,0.239573,-0.0341229
88,-0.22773506,-0.33854887,"('low', 'eminent')",-0.7966062,-0.86758566,0.3562501,0.27910474,-0.222697,-0.3090099,0.0863129
