,mattel_male,mattel_female,tuple,inc_male,inc_female,average_male,average_female,male-female
56,1.3041239,1.1208196,"('impractical', 'practical')",-0.045535624,-0.16690618,0.6292942,0.4769567,0.1523375
69,1.2558486,1.1256499,"('lazy', 'industrious')",-0.77193785,-0.46917862,0.2419554,0.3282357,-0.0862803
67,1.2392166,1.1927451,"('doubtful', 'determined')",-0.32971358,-0.33921412,0.4547515,0.4267655,0.027986
60,1.0449803,1.252308,"('inefficient', 'efficient')",0.25431606,0.074892096,0.6496482,0.6636,-0.0139518
31,-1.0251385,-0.94326013,"('evil', 'good')",-1.1574628,-0.9135839,-1.0913007,-0.928422,-0.1628787
10,-1.0188304,-1.1080074,"('unsympathetic', 'sympathetic')",-0.15738106,-0.37071463,-0.5881057,-0.739361,0.1512553
39,1.0100186,1.1746523,"('exploitative', 'cooperative')",0.25243786,0.28905088,0.6312282,0.7318516,-0.1006234
3,-1.0094055,-0.88015896,"('repellent', 'pleasant')",0.53330153,0.260898,-0.238052,-0.3096305,0.0715785
6,-0.97813237,-1.1769762,"('distant', 'open')",0.13043214,0.43878472,-0.4238501,-0.3690957,-0.0547544
52,-0.9151404,-0.78905404,"('irrational', 'rational')",-0.073055744,0.21018451,-0.4940981,-0.2894348,-0.2046633
64,-0.9098275,-0.68240297,"('shy', 'confident')",-6.629307,-6.502556,-3.769567,-3.5924795,-0.1770875
18,-0.8986516,-0.7908919,"('disagreeable', 'welcoming')",-0.4283615,-0.27409098,-0.6635066,-0.5324914,-0.1310152
5,-0.8902206,-1.1030209,"('distant', 'outgoing')",-0.5091504,-0.09063089,-0.6996855,-0.5968259,-0.1028596
71,0.8377044,0.52421683,"('diffident', 'self-confident')",0.5343956,0.7105308,0.68605,0.6173738,0.0686762
4,-0.83643126,-0.75885683,"('disliked', 'liked')",-6.7650356,-6.3817983,-3.8007336,-3.5703275,-0.2304061
16,-0.80869806,-0.70090795,"('unpopular', 'popular')",0.4635394,0.6066215,-0.1725793,-0.0471432,-0.1254361
66,-0.8021221,-1.0897717,"('inactive', 'active')",0.6873806,0.7658251,-0.0573708,-0.1619733,0.1046025
45,-0.7804384,-0.56419706,"('incompetent', 'competent')",-0.024712302,-0.04202591,-0.4025754,-0.3031115,-0.0994639
29,-0.7766388,-0.7335355,"('unfair', 'fair')",-0.46108615,-0.39187723,-0.6188625,-0.5627064,-0.0561561
70,-0.7512477,-0.64201343,"('lethargic', 'energetic')",0.781599,0.62792283,0.0151756,-0.0070453,0.0222209
68,-0.7502563,-0.7891058,"('dependent', 'independent')",-0.34526938,-0.49213886,-0.5477629,-0.6406223,0.0928594
