,millipore_male,millipore_female,tuple,corp_male,corp_female,average_male,average_female,male-female
19,-1.7184701,-1.5185596,"('inhospitable', 'hospitable')",-0.8043423,-0.5971119,-1.2614062,-1.0578357,-0.2035705
86,-1.6845968,-1.9651111,"('uninfluential', 'influential')",-0.17162146,-0.49469113,-0.9281091,-1.2299011,0.301792
1,-1.6591238,-1.8425326,"('unfriendly', 'friendly')",1.1016736,0.8203814,-0.2787251,-0.5110756,0.2323505
85,-1.6490692,-1.354998,"('insignificant', 'prestigious')",-1.0565889,-1.0237045,-1.352829,-1.1893513,-0.1634777
6,-1.5980387,-1.352304,"('distant', 'open')",-0.9159804,-0.98057556,-1.2570095,-1.1664398,-0.0905697
9,-1.5730855,-1.846186,"('unaffectionate', 'caring')",1.1342351,0.8338777,-0.2194252,-0.5061542,0.286729
8,-1.5430393,-1.7236804,"('unaffectionate', 'affectionate')",0.45141575,0.26094136,-0.5458118,-0.7313695,0.1855577
52,-1.5098354,-1.5784345,"('irrational', 'rational')",-0.25432023,-0.46984842,-0.8820778,-1.0241414,0.1420636
10,-1.3631468,-1.3504891,"('unsympathetic', 'sympathetic')",0.10292527,0.11690801,-0.6301107,-0.6167906,-0.0133201
36,-1.3578541,-1.1603562,"('hostile', 'amicable')",-0.7769339,-0.70909995,-1.067394,-0.934728,-0.132666
12,-1.3043408,-1.1843507,"('unsupportive', 'supportive')",-1.9784393,-2.1162288,-1.6413901,-1.6502898,0.0088997
16,-1.2872467,-0.98297656,"('unpopular', 'popular')",-0.14039344,0.01676061,-0.7138201,-0.483108,-0.2307121
79,-1.2551583,-0.88847923,"('wavering', 'unwavering')",-0.70348,-0.44149637,-0.9793192,-0.6649878,-0.3143314
53,-1.2402903,-1.1807365,"('uncreative', 'creative')",0.5205888,0.44491723,-0.3598507,-0.3679097,0.008059
60,1.1914883,1.0841614,"('inefficient', 'efficient')",0.788218,0.7291051,0.9898531,0.9066333,0.0832198
38,-1.1514922,-0.94182426,"('untruthful', 'truthful')",0.13660721,0.14718887,-0.5074425,-0.3973177,-0.1101248
66,-1.1126926,-1.0946647,"('inactive', 'active')",-0.09763679,-0.32945192,-0.6051647,-0.7120583,0.1068936
31,-1.1070337,-1.0359495,"('evil', 'good')",-1.4001547,-1.5269804,-1.2535942,-1.2814649,0.0278707
63,-1.0806291,-0.9613174,"('unperceptive', 'insightful')",0.7829476,0.604041,-0.1488408,-0.1786382,0.0297974
73,1.0690943,1.0578563,"('helpless', 'self-reliant')",-3.3604004,-3.393874,-1.145653,-1.1680088,0.0223558
45,-1.0689876,-1.0668328,"('incompetent', 'competent')",0.04116027,-0.10769535,-0.5139137,-0.5872641,0.0733504
39,1.0528767,0.81879336,"('exploitative', 'cooperative')",0.28354064,0.15076175,0.6682087,0.4847776,0.1834311
0,-1.041701,-1.0174773,"('unsociable', 'sociable')",-0.16278759,-0.43489793,-0.6022443,-0.7261876,0.1239433
56,1.026569,1.1362611,"('impractical', 'practical')",0.232784,0.28670922,0.6296765,0.7114851,-0.0818086
5,-1.01011,-0.77412033,"('distant', 'outgoing')",-0.93224394,-0.89581126,-0.971177,-0.8349658,-0.1362112
71,-0.980208,-0.9093794,"('diffident', 'self-confident')",0.27858943,0.1388999,-0.3508093,-0.3852398,0.0344305
81,0.97029305,0.75164664,"('submissive', 'aggressive')",0.21788158,0.11548647,0.5940873,0.4335666,0.1605207
61,-0.85560405,-0.79505485,"('illogical', 'logical')",0.14629698,0.042419884,-0.3546535,-0.3763175,0.021664
54,-0.85402465,-0.6205453,"('incapable', 'capable')",0.6843179,0.9824655,-0.0848534,0.1809601,-0.2658135
44,0.81369543,1.0486189,"('prejudiced', 'unprejudiced')",-1.4341968,-1.2569098,-0.3102507,-0.1041455,-0.2061052
78,-0.7694929,-0.6221201,"('nonresilient', 'resilient')",0.16417125,0.20011236,-0.3026608,-0.2110039,-0.0916569
42,0.7426575,1.0520915,"('unreliable', 'reliable')",-3.09547,-2.8783128,-1.1764063,-0.9131107,-0.2632956
43,-0.73211616,-0.48080766,"('irresponsible', 'responsible')",0.67284805,0.8357925,-0.0296341,0.1774924,-0.2071265
25,-0.73036444,-0.66318864,"('egoistic', 'altruistic')",0.6838553,0.5992312,-0.0232546,-0.0319787,0.0087241
14,0.723667,0.9497522,"('antisocial', 'social')",0.047666818,-0.018531814,0.3856669,0.4656102,-0.0799433
21,0.67111593,0.8784775,"('immoral', 'moral')",-0.15322855,-0.0096127875,0.2589437,0.4344324,-0.1754887
3,-0.6399453,-0.5645836,"('repellent', 'pleasant')",0.7926034,0.92671365,0.076329,0.181065,-0.104736
27,-0.6059354,-0.7531331,"('hardhearted', 'softhearted')",0.94909394,0.74464643,0.1715793,-0.0042433,0.1758226
33,-0.59945476,-0.53758085,"('wrong', 'right')",-0.9944381,-1.1703511,-0.7969464,-0.853966,0.0570196
24,-0.5957276,-0.758562,"('dishonest', 'honest')",0.90617263,0.7680231,0.1552225,0.0047305,0.150492
46,-0.58702016,-0.62036395,"('uncompetitive', 'competitive')",-0.62122226,-0.77928764,-0.6041212,-0.6998258,0.0957046
80,0.58261156,0.29830602,"('dominated', 'dominating')",-0.6317843,-0.7766286,-0.0245864,-0.2391613,0.2145749
23,-0.5821785,-0.7483669,"('insincere', 'sincere')",6.253618,6.3586464,2.8357196,2.8051398,0.0305798
57,-0.56358707,-0.5902668,"('unimaginative', 'imaginative')",-2.8785977,-3.0543075,-1.7210925,-1.8222871,0.1011946
70,-0.5547808,-0.42124137,"('lethargic', 'energetic')",0.49023387,0.5650664,-0.0322735,0.0719125,-0.104186
11,-0.5495387,-0.4947839,"('unhelpful', 'helpful')",2.3308814,2.3724656,0.8906714,0.9388409,-0.0481695
30,0.5451653,0.527968,"('intolerant', 'tolerant')",1.1381752,1.3478538,0.8416703,0.9379109,-0.0962406
76,0.5167424,0.8942318,"('anxious', 'daring')",0.07479794,0.40198874,0.2957702,0.6481103,-0.3523401
18,-0.511845,-0.51162314,"('disagreeable', 'welcoming')",-0.73558646,-0.91086197,-0.6237158,-0.7112426,0.0875268
37,0.5118175,0.3980411,"('fake', 'genuine')",0.5388586,0.2810676,0.5253381,0.3395544,0.1857837
65,0.4975127,0.4171705,"('insecure', 'secure')",0.21237707,0.4209093,0.3549449,0.4190399,-0.064095
17,-0.4923226,-0.4387475,"('nasty', 'nice')",-0.6909897,-0.50387615,-0.5916561,-0.4713118,-0.1203443
4,-0.48162788,-0.43361956,"('disliked', 'liked')",-7.2630444,-7.4209766,-3.8723361,-3.9272981,0.054962
40,-0.4444626,-0.7233686,"('stingy', 'generous')",-2.1508532,-2.7323048,-1.2976578,-1.7278367,0.4301789
41,-0.43173847,-0.29550588,"('unforgiving', 'forgiving')",-0.071571544,-0.13807829,-0.251655,-0.2167921,-0.0348629
28,-0.42020383,-0.95997244,"('disloyal', 'loyal')",1.3491578,0.98842424,0.464477,0.0142259,0.4502511
50,-0.40703884,-0.34504437,"('clumsy', 'skillful')",-0.0039283037,0.16275907,-0.2054836,-0.0911427,-0.1143409
72,-0.37885115,-0.29619536,"('unambitious', 'ambitious')",0.03521789,0.04427048,-0.1718166,-0.1259624,-0.0458542
59,-0.37033948,-0.4432288,"('foolish', 'wise')",0.04623143,0.047867257,-0.162054,-0.1976808,0.0356268
29,-0.32847324,-0.06896049,"('unfair', 'fair')",-0.52917045,-0.3446201,-0.4288219,-0.2067903,-0.2220316
69,0.3170692,0.34206343,"('lazy', 'industrious')",-1.058914,-1.2143018,-0.3709224,-0.4361192,0.0651968
68,-0.30582458,-0.2398441,"('dependent', 'independent')",-0.7493543,-0.73698676,-0.5275894,-0.4884154,-0.039174
13,-0.29240498,-0.28026345,"('impolite', 'polite')",-0.50527716,-0.50045407,-0.3988411,-0.3903587,-0.0084824
47,-0.2882384,-0.10839008,"('stupid', 'smart')",5.697403,5.8182616,2.7045822,2.8549359,-0.1503537
58,-0.26841134,-0.12685788,"('undiscriminating', 'discriminating')",0.13435122,-0.063993715,-0.0670301,-0.0954258,0.0283957
64,0.24046326,0.23265907,"('shy', 'confident')",-6.247012,-6.372812,-3.0032744,-3.0700765,0.0668021
49,0.22564316,0.4042793,"('unable', 'able')",0.062095094,0.30657876,0.1438691,0.355429,-0.2115599
62,0.2174691,0.19337758,"('incompetent', 'brilliant')",0.9286764,0.8859387,0.5730728,0.5396581,0.0334147
82,-0.21542108,0.054951172,"('poor', 'rich')",6.685563,6.9367437,3.2350709,3.4958475,-0.2607766
35,-0.19572994,-0.018719472,"('corrupt', 'incorrupt')",-0.9395488,-0.9634959,-0.5676394,-0.4911077,-0.0765317
77,-0.19007218,-0.40758282,"('unmotivated', 'motivated')",-0.84500515,-1.0210128,-0.5175387,-0.7142978,0.1967591
34,-0.17007744,-0.012146072,"('mean', 'honorable')",5.950273,6.097461,2.8900979,3.0426576,-0.1525597
2,-0.16729549,0.3583882,"('unlikable', 'likable')",0.49480394,0.6862721,0.1637542,0.5223302,-0.358576
7,-0.14423478,-0.30824903,"('insensitive', 'sensitive')",0.5530845,0.3743243,0.2044249,0.0330376,0.1713873
48,-0.14028355,-0.3281412,"('unintelligent', 'intelligent')",1.1788951,1.1390665,0.5193058,0.4054626,0.1138432
32,0.13922168,0.35691205,"('unkind', 'kind')",0.890862,0.98280984,0.5150418,0.669861,-0.1548192
83,-0.08063577,-0.09787233,"('powerless', 'powerful')",-0.6038468,-0.729956,-0.3422413,-0.4139141,0.0716728
88,-0.078169726,-0.0143880965,"('low', 'eminent')",-0.18116283,-0.07478646,-0.1296663,-0.0445873,-0.085079
15,0.07245384,0.17412764,"('boring', 'funny')",0.22256851,0.2594244,0.1475112,0.216776,-0.0692648
51,-0.060674485,0.25443095,"('uneducated', 'educated')",0.29466188,0.49868894,0.1169937,0.3765599,-0.2595662
