,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.156666,-2.0120733,"('unfriendly', 'friendly')",-1.0589421,-0.95545626,0.8674171,0.99033874,-0.7827303,-0.6590636,-0.1236667
38,-1.9179692,-1.8916179,"('untruthful', 'truthful')",-0.71530944,-0.7215735,0.03006087,0.17860699,-0.8677393,-0.8115281,-0.0562112
10,-1.6646744,-1.7349132,"('unsympathetic', 'sympathetic')",-0.94778264,-0.92206466,-0.2971091,-0.07016383,-0.9698554,-0.9090472,-0.0608082
32,-1.5270469,-1.3609508,"('unkind', 'kind')",-0.011845376,0.10231381,0.22585842,0.5122225,-0.4376779,-0.2488048,-0.1888731
43,-1.51738,-1.3717909,"('irresponsible', 'responsible')",-0.96053076,-0.8539012,-0.31206614,-0.015561044,-0.9299923,-0.7470844,-0.1829079
86,-1.4632031,-1.5312504,"('uninfluential', 'influential')",-0.19983006,-0.26948664,-0.13469936,-0.08737008,-0.5992442,-0.629369,0.0301248
19,-1.4619968,-1.3286597,"('inhospitable', 'hospitable')",-1.1683267,-1.0918534,-0.17758237,-0.21512862,-0.9359686,-0.8785473,-0.0574213
9,-1.4380834,-1.1744883,"('unaffectionate', 'caring')",0.0038876124,0.11259312,0.49079266,0.698763,-0.3144677,-0.121044,-0.1934237
69,1.3609723,1.5163242,"('lazy', 'industrious')",0.7952528,0.974123,-0.16928285,-0.20019394,0.6623141,0.7634177,-0.1011036
11,-1.3358301,-1.292067,"('unhelpful', 'helpful')",0.06907542,0.13252884,1.6906109,1.9249599,0.1412854,0.2551405,-0.1138551
23,-1.3269789,-1.3382034,"('insincere', 'sincere')",-0.7105588,-0.7378167,5.096406,5.141783,1.0196228,1.021921,-0.0022982
53,-1.3167973,-1.0340855,"('uncreative', 'creative')",-0.42871618,-0.24394721,0.3925792,0.58940625,-0.4509781,-0.2295422,-0.2214359
63,-1.2132965,-1.2203032,"('unperceptive', 'insightful')",-0.006086331,9.674579e-05,1.0431552,1.2642716,-0.0587426,0.0146884,-0.073431
5,-1.1880586,-1.0915384,"('distant', 'outgoing')",-1.1268153,-1.0645093,-0.22600631,-0.2658279,-0.8469601,-0.8072919,-0.0396682
31,-1.1391563,-1.1009928,"('evil', 'good')",-0.69847155,-0.68338346,-1.1666163,-1.2354796,-1.0014148,-1.0066187,0.0052039
