,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.126063,-1.9563848,"('distant', 'open')",-0.8149161,-0.46056718,-1.4704896,-1.2084759,-0.2620137
19,-1.8727814,-1.8224399,"('inhospitable', 'hospitable')",-0.54905564,-0.4728832,-1.2109185,-1.1476616,-0.0632569
8,-1.6181781,-1.6143198,"('unaffectionate', 'affectionate')",0.20753925,0.3450147,-0.7053195,-0.6346526,-0.0706669
31,-1.5261196,-1.3829111,"('evil', 'good')",-0.8916365,-0.7656314,-1.208878,-1.0742712,-0.1346068
60,1.4288231,1.2875413,"('inefficient', 'efficient')",0.38938475,0.17314874,0.9091039,0.730345,0.1787589
5,-1.339064,-1.1635314,"('distant', 'outgoing')",-0.34487557,-0.09975754,-0.8419698,-0.6316445,-0.2103253
9,-1.3195994,-1.2882727,"('unaffectionate', 'caring')",0.8698541,1.0197409,-0.2248726,-0.1342659,-0.0906067
79,-1.3114997,-1.3573658,"('wavering', 'unwavering')",-0.455364,-0.33589002,-0.8834319,-0.846628,-0.0368039
53,-1.3060075,-1.3292376,"('uncreative', 'creative')",0.4897237,0.5735821,-0.4081419,-0.3778277,-0.0303142
62,1.2974523,1.2623854,"('incompetent', 'brilliant')",0.99588037,0.89906305,1.1466663,1.0807242,0.0659421
30,1.290993,1.1271839,"('intolerant', 'tolerant')",0.9848378,0.78926885,1.1379154,0.9582264,0.179689
1,-1.2635127,-1.2898263,"('unfriendly', 'friendly')",1.1195117,1.2605549,-0.0720005,-0.0146357,-0.0573648
36,-1.2553318,-1.2071966,"('hostile', 'amicable')",-0.44609597,-0.41253018,-0.8507138,-0.8098634,-0.0408504
52,-1.2254004,-1.161576,"('irrational', 'rational')",-0.16866405,-0.010553047,-0.6970323,-0.5860645,-0.1109678
81,1.1707556,0.94443643,"('submissive', 'aggressive')",-0.17918561,-0.33913583,0.495785,0.3026503,0.1931347
86,-1.1703874,-1.2964125,"('uninfluential', 'influential')",-0.3754124,-0.48235232,-0.7728999,-0.8893824,0.1164825
28,-0.96945,-0.96831864,"('disloyal', 'loyal')",0.6303684,0.69874424,-0.1695408,-0.1347872,-0.0347536
14,0.9663698,0.7990775,"('antisocial', 'social')",0.10245382,-0.18859966,0.5344118,0.3052389,0.2291729
35,-0.9649254,-0.7361596,"('corrupt', 'incorrupt')",-0.5442661,-0.41169217,-0.7545958,-0.5739259,-0.1806699
57,-0.96247965,-1.1863875,"('unimaginative', 'imaginative')",-3.146431,-3.3023963,-2.0544553,-2.2443919,0.1899366
85,-0.9491374,-0.90109533,"('insignificant', 'prestigious')",-0.5307044,-0.35515788,-0.7399209,-0.6281266,-0.1117943
56,0.9374713,0.74938977,"('impractical', 'practical')",-0.07651229,-0.2755179,0.4304795,0.2369359,0.1935436
80,0.9270942,0.90395653,"('dominated', 'dominating')",-0.6170232,-0.6749069,0.1550355,0.1145248,0.0405107
58,-0.90842956,-0.87213683,"('undiscriminating', 'discriminating')",0.36542824,0.26801652,-0.2715006,-0.3020602,0.0305596
66,-0.9031173,-0.83067286,"('inactive', 'active')",0.36608043,0.49325588,-0.2685184,-0.1687085,-0.0998099
87,0.85315037,0.952306,"('unsuccessful', 'successful')",1.1267271,1.108248,0.9899387,1.030277,-0.0403383
76,0.83183336,0.7541876,"('anxious', 'daring')",-0.089497566,-0.16760759,0.3711679,0.29329,0.0778779
55,0.7698837,0.6710288,"('incompetent', 'clever')",0.34062862,0.11616562,0.5552561,0.3935972,0.1616589
2,0.74579966,0.7258409,"('unlikable', 'likable')",0.768028,0.6956539,0.7569138,0.7107474,0.0461664
43,-0.698215,-0.7814209,"('irresponsible', 'responsible')",0.0684118,-0.021379527,-0.3149016,-0.4014002,0.0864986
18,-0.6790733,-0.7466402,"('disagreeable', 'welcoming')",-0.47631514,-0.460967,-0.5776942,-0.6038036,0.0261094
73,0.6755128,0.7531746,"('helpless', 'self-reliant')",-3.164622,-3.2231264,-1.2445546,-1.2349759,-0.0095787
59,-0.65288377,-0.5551062,"('foolish', 'wise')",-0.13186362,0.09229767,-0.3923737,-0.2314043,-0.1609694
33,-0.6429156,-0.49229637,"('wrong', 'right')",-0.7990984,-0.63062257,-0.721007,-0.5614595,-0.1595475
13,0.6426521,0.35416985,"('impolite', 'polite')",-0.33414987,-0.6501968,0.1542511,-0.1480135,0.3022646
44,0.6424283,0.67058885,"('prejudiced', 'unprejudiced')",-1.5566113,-1.581856,-0.4570915,-0.4556336,-0.0014579
64,0.63206726,0.49306366,"('shy', 'confident')",-5.611194,-5.8661094,-2.4895635,-2.686523,0.1969595
16,-0.6052941,-0.5111642,"('unpopular', 'popular')",0.36372918,0.38877156,-0.1207825,-0.0611963,-0.0595862
