,advanced_male,advanced_female,tuple,micro_male,micro_female,devices_male,devices_female,inc_male,inc_female,average_male,average_female,male-female
48,2.1638844,2.103408,"('unintelligent', 'intelligent')",0.5433706,0.55988383,0.7322388,0.90108734,0.84999734,0.92456514,1.0723728,1.1222361,-0.0498633
12,1.6804633,1.5324174,"('unsupportive', 'supportive')",0.2563239,0.1988687,-0.1898531,-0.28035784,-1.7975498,-1.7014018,-0.0126539,-0.0626184,0.0499645
31,-1.5907993,-1.640168,"('evil', 'good')",0.63803995,0.30368418,0.067201294,-0.33025953,-1.0062022,-0.9700445,-0.4729401,-0.659197,0.1862569
39,1.5124007,1.6897216,"('exploitative', 'cooperative')",1.7470992,1.8660167,0.6426613,0.86034125,0.45514148,0.4665107,1.0893257,1.2206476,-0.1313219
6,-1.4994161,-1.3999653,"('distant', 'open')",-0.39301288,-0.5522895,-0.43807742,-0.8418413,0.24774721,0.2995705,-0.5206898,-0.6236314,0.1029416
55,1.4138387,1.223947,"('incompetent', 'clever')",-0.10657424,-0.016207328,-0.054023094,0.28240594,0.08657242,0.14900787,0.3349535,0.4097884,-0.0748349
79,-1.3049572,-1.2258104,"('wavering', 'unwavering')",-0.70931023,-0.83753234,-1.2792934,-1.5762023,-0.41666773,-0.3411295,-0.9275572,-0.9951686,0.0676114
5,-1.268279,-0.998424,"('distant', 'outgoing')",-0.043137923,-0.035951696,-0.69114274,-0.8677387,-0.23413357,-0.10992056,-0.5591733,-0.5030087,-0.0561646
40,1.2584416,0.90291715,"('stingy', 'generous')",0.5716329,0.3303921,0.70440704,0.3119778,-1.293652,-1.3632288,0.3102074,0.0455146,0.2646928
80,1.2495819,0.86556673,"('dominated', 'dominating')",-0.6707485,-0.7018456,-0.5697808,-0.5875038,-1.3700329,-1.4919211,-0.3402451,-0.4789259,0.1386808
67,1.2225624,1.2894762,"('doubtful', 'determined')",0.0939177,0.33899164,-0.4213403,-0.018737257,-0.775353,-0.41153842,0.0299467,0.299548,-0.2696013
82,-1.1992202,-1.1049598,"('poor', 'rich')",-1.0494024,-0.96916884,0.1148697,0.4054275,5.8518248,5.996543,0.929518,1.0819604,-0.1524424
60,1.1970218,1.0497483,"('inefficient', 'efficient')",0.076904885,0.26397166,-0.05578644,0.5102216,0.0904252,0.09980592,0.3271414,0.4809369,-0.1537955
73,1.1538069,1.1858531,"('helpless', 'self-reliant')",1.6179953,1.565128,0.64240944,0.38939196,-2.9274895,-3.0107179,0.1216806,0.0324138,0.0892668
84,1.0667356,1.2392715,"('inferior', 'superior')",0.61705774,0.65957385,-0.20211737,-0.0355219,0.8295486,0.8909289,0.5778061,0.6885631,-0.110757
1,-1.0641981,-1.070624,"('unfriendly', 'friendly')",0.40283352,0.19595455,-0.034323968,-0.058031715,1.7104045,1.8478354,0.253679,0.2287836,0.0248954
19,-1.0639251,-0.84726167,"('inhospitable', 'hospitable')",-0.75360286,-0.7488011,-0.5625971,-0.78682584,-0.20850345,-0.16734007,-0.6471571,-0.6375571,-0.0096
81,1.0289574,1.2797607,"('submissive', 'aggressive')",-0.7236055,-0.28832075,-0.41349906,0.2082139,-0.7244694,-0.43967527,-0.2081542,0.1899946,-0.3981488
32,-1.0045742,-0.8509927,"('unkind', 'kind')",-0.81386095,-0.6233085,-0.48218882,-0.059442587,0.7962102,1.0688888,-0.3761034,-0.1162137,-0.2598897
83,0.9852291,0.9699618,"('powerless', 'powerful')",-0.09563347,-0.11494286,-0.8201682,-0.8014078,-1.1653143,-1.2915562,-0.2739717,-0.3094863,0.0355146
42,-0.9163613,-0.9542516,"('unreliable', 'reliable')",-1.1118659,-1.0178342,-1.7894222,-1.8628353,-3.1764195,-3.3071868,-1.7485173,-1.785527,0.0370097
72,0.8943439,0.9445204,"('unambitious', 'ambitious')",-0.18835396,-0.20804909,-1.1225753,-0.8756651,-1.3248138,-1.2856374,-0.4353498,-0.3562078,-0.079142
29,-0.8451765,-0.8188716,"('unfair', 'fair')",-0.61598617,-0.6501497,-1.3965492,-1.3392106,-0.7188144,-0.8484204,-0.8941315,-0.9141631,0.0200316
7,0.8203051,0.8585423,"('insensitive', 'sensitive')",-0.11298756,-0.01981812,-0.1865839,-0.01216194,0.28363374,0.43654677,0.2010918,0.3157773,-0.1146855
38,-0.81868464,-0.6340196,"('untruthful', 'truthful')",-0.82346517,-0.7483011,-0.8222723,-0.6576254,-0.19602656,-0.054298267,-0.6651122,-0.5235611,-0.1415511
20,0.81165296,0.6692084,"('rough', 'thoughtful')",0.49922502,0.43603995,0.46918404,0.40399635,1.2677572,1.1012212,0.7619548,0.6526165,0.1093383
77,0.8092055,0.5789538,"('unmotivated', 'motivated')",-0.30977884,-0.5041253,0.15477481,-0.092038244,-0.8182241,-0.991702,-0.0410057,-0.2522279,0.2112222
69,0.7886863,1.0134566,"('lazy', 'industrious')",1.5136076,1.6197948,1.1063752,0.9831166,-0.15794434,-0.00018846896,0.8126811,0.9040449,-0.0913638
86,0.76132834,0.47968972,"('uninfluential', 'influential')",-0.32594877,-0.42438984,-0.6952835,-0.735281,-0.28729337,-0.37705028,-0.1367993,-0.2642578,0.1274585
14,0.70071596,0.6132456,"('antisocial', 'social')",0.26775852,0.5642812,0.18807723,0.46168652,-0.6119065,-0.36148563,0.1361613,0.3194319,-0.1832706
36,-0.6645194,-0.5653178,"('hostile', 'amicable')",0.5466017,0.26978457,0.02930808,-0.3982734,0.38820902,0.3527381,0.0748998,-0.0852671,0.1601669
53,-0.6314956,-0.61799085,"('uncreative', 'creative')",0.35239843,0.30132166,0.4244378,0.26604432,1.0319667,1.0405967,0.2943268,0.247493,0.0468338
85,-0.6254634,-0.25267205,"('insignificant', 'prestigious')",0.5680921,0.37859625,0.6958532,0.33766115,0.31444824,0.6283687,0.2382325,0.2729885,-0.034756
16,-0.6144691,-0.47364426,"('unpopular', 'popular')",-0.17921913,-0.34166938,0.38358107,0.17320946,0.7644129,0.7637097,0.0885764,0.0304014,0.058175
4,-0.6002452,-0.47351348,"('disliked', 'liked')",0.061558917,-0.12190767,0.74639976,0.46312216,-5.693913,-5.4809837,-1.3715498,-1.4033207,0.0317709
46,0.59826255,0.24571896,"('uncompetitive', 'competitive')",-1.0951134,-1.2119014,-0.05362561,-0.27595782,-0.24812368,-0.51160634,-0.19965,-0.4384367,0.2387867
59,-0.5903796,-0.41029757,"('foolish', 'wise')",0.27894482,0.28930277,-0.5092054,-0.48817703,0.085067965,0.22068484,-0.1838931,-0.0971218,-0.0867713
11,0.5868441,0.5190013,"('unhelpful', 'helpful')",0.39616072,0.49925193,0.00611382,0.23692659,1.939903,1.9995763,0.7322554,0.813689,-0.0814336
58,-0.56537336,-0.7249386,"('undiscriminating', 'discriminating')",-0.48497427,-0.63618046,0.3846436,0.027786756,-0.2664862,-0.33514023,-0.2330475,-0.4171181,0.1840706
62,0.5652113,0.5340253,"('incompetent', 'brilliant')",-0.63408613,-0.4810159,-0.94421774,-0.5375868,-0.3146901,-0.17334247,-0.3319457,-0.16448,-0.1674657
37,0.54501253,0.45087352,"('fake', 'genuine')",-0.28520048,-0.38780048,-0.28608596,-0.38150907,0.14841126,0.034479745,0.0305343,-0.0709891,0.1015234
2,0.49971405,0.65645075,"('unlikable', 'likable')",-0.21780759,0.025511835,-0.6147663,-0.26417917,0.4279834,0.61654794,0.0237809,0.2585828,-0.2348019
74,0.46222925,0.39782703,"('undedicated', 'dedicated')",0.23335496,0.41423038,0.115308575,0.13618815,-0.04160013,0.044455424,0.1923232,0.2481752,-0.055852
71,0.45589098,0.49571127,"('diffident', 'self-confident')",1.0032567,1.0173534,0.9391645,0.940547,0.4098769,0.4379175,0.7020472,0.7228823,-0.0208351
23,-0.42140263,-0.3740656,"('insincere', 'sincere')",-1.0496491,-0.73009783,-1.4995279,-0.9244598,4.962295,5.1917014,0.4979289,0.7907696,-0.2928407
57,0.40012032,0.13067909,"('unimaginative', 'imaginative')",0.2722613,0.23136121,0.04683315,-0.13308674,-2.1469631,-2.2350442,-0.3569371,-0.5015227,0.1445856
54,-0.38341287,-0.11528901,"('incapable', 'capable')",0.12595963,0.35852027,-1.3421347,-0.92190725,0.7145964,0.9880064,-0.2212479,0.0773326,-0.2985805
70,0.38111845,0.22301914,"('lethargic', 'energetic')",-1.4814125,-1.3112458,-1.2000978,-0.9513967,0.17471121,0.18750395,-0.5314202,-0.4630298,-0.0683904
41,-0.38007623,-0.49624994,"('unforgiving', 'forgiving')",-0.18245271,-0.35581574,-1.0054847,-0.80128014,0.37854433,0.24722433,-0.2973673,-0.3515304,0.0541631
64,0.37995964,0.43883795,"('shy', 'confident')",-0.4419046,-0.2524393,-0.74613106,-0.57752043,-5.9481406,-6.049519,-1.6890541,-1.6101602,-0.0788939
