,vornado_male,vornado_female,tuple,realty_male,realty_female,trust_male,trust_female,average_male,average_female,male-female
86,-1.8135446,-2.1076708,"('uninfluential', 'influential')",-2.1874542,-2.127628,0.110612616,0.12488052,-1.2967954,-1.3701396,0.0733442
88,-1.6960834,-1.6706848,"('low', 'eminent')",-1.1888154,-1.2812551,-0.16881685,-0.18847667,-1.0179052,-1.0468055,0.0289003
1,-1.5258522,-1.5315461,"('unfriendly', 'friendly')",0.46869656,0.21301985,1.6387016,1.3645904,0.1938486,0.0153547,0.1784939
28,-1.3473772,-1.4705611,"('disloyal', 'loyal')",-0.7053584,-0.71846366,1.093355,1.1439345,-0.3197935,-0.3483635,0.02857
53,-1.2572109,-1.3070824,"('uncreative', 'creative')",0.095535,-0.05859463,-0.3363239,-0.540476,-0.4993332,-0.6353843,0.1360511
83,-1.2468959,-1.2649608,"('powerless', 'powerful')",0.09767762,0.14053085,-0.5696227,-0.3937717,-0.572947,-0.5060672,-0.0668798
8,-1.2191231,-1.4577358,"('unaffectionate', 'affectionate')",0.38916025,0.33934274,1.263466,0.8888446,0.1445011,-0.0765162,0.2210173
58,-1.1975654,-1.1941102,"('undiscriminating', 'discriminating')",-0.5048523,-0.61380666,-0.58869696,-0.50857216,-0.7637049,-0.772163,0.0084581
9,-1.1805668,-1.436515,"('unaffectionate', 'caring')",0.63074076,0.43132335,2.1550953,1.9154873,0.5350898,0.3034319,0.2316579
19,-1.1250142,-1.0169436,"('inhospitable', 'hospitable')",-0.4106218,-0.35082233,-0.7524366,-0.93789446,-0.7626909,-0.7685534,0.0058625
0,-1.1205392,-1.2660987,"('unsociable', 'sociable')",-0.8153073,-0.7053699,0.329598,0.57939374,-0.5354162,-0.464025,-0.0713912
26,-1.0809444,-1.1443889,"('hardhearted', 'benevolent')",1.3769914,1.4262084,1.36544,1.4145473,0.553829,0.5654556,-0.0116266
