,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,male-female
19,-1.7880836,-1.5822246,"('inhospitable', 'hospitable')",0.34293967,0.34445626,0.03244582,0.25756317,-0.4708994,-0.3267351,-0.1441643
1,-1.7449436,-1.5279486,"('unfriendly', 'friendly')",-1.4342239,-1.134463,1.9983689,2.141214,-0.3935995,-0.1737326,-0.2198669
36,-1.7100375,-1.5471151,"('hostile', 'amicable')",0.44928113,0.34371382,0.3967511,0.4277318,-0.2880018,-0.2585565,-0.0294453
31,-1.6652967,-1.2099863,"('evil', 'good')",0.5873872,0.64519805,-0.92898333,-0.7283803,-0.6689642,-0.4310562,-0.237908
16,-1.5858653,-1.5281805,"('unpopular', 'popular')",-0.396864,-0.5323042,0.15746036,0.046987057,-0.608423,-0.6711659,0.0627429
8,-1.574618,-1.2847594,"('unaffectionate', 'affectionate')",-0.98811007,-0.62736744,0.94843817,1.3406862,-0.5380966,-0.1904802,-0.3476164
53,-1.4860914,-1.4872991,"('uncreative', 'creative')",-1.0786428,-0.8967749,1.180412,1.1654356,-0.4614407,-0.4062128,-0.0552279
85,-1.4506652,-1.1648536,"('insignificant', 'prestigious')",0.7772139,0.81102026,0.5452981,0.7944862,-0.0427178,0.1468843,-0.1896021
5,-1.4106729,-1.1278485,"('distant', 'outgoing')",0.49108288,0.59427726,-0.14455701,0.08018729,-0.3547157,-0.151128,-0.2035877
42,1.3934911,1.2062428,"('unreliable', 'reliable')",0.8042123,0.73562443,-2.5415013,-2.7372305,-0.1145993,-0.2651211,0.1505218
80,1.3787484,1.2085391,"('dominated', 'dominating')",-0.86926675,-0.8649139,-1.3275552,-1.4904847,-0.2726912,-0.3822865,0.1095953
6,-1.3681649,-1.1708297,"('distant', 'open')",0.3218821,0.36278123,0.55146885,0.723614,-0.164938,-0.0281448,-0.1367932
35,-1.3510174,-0.9952809,"('corrupt', 'incorrupt')",1.7026124,1.513662,-0.19741176,-0.02010316,0.0513944,0.1660926,-0.1146982
14,1.2320204,0.9487501,"('antisocial', 'social')",-1.3789722,-1.2387564,-0.545599,-0.7036872,-0.2308503,-0.3312312,0.1003809
