,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
49,-1.5629307,-1.2025896,"('unable', 'able')",-1.0948669,-1.0645595,-0.4486742,-0.33203682,-1.0354906,-0.8663952,-0.1690954
73,1.5209969,1.599399,"('helpless', 'self-reliant')",0.51356846,0.5450711,-3.333478,-3.4064333,-0.4329708,-0.4206544,-0.0123164
67,1.2126756,1.0983549,"('doubtful', 'determined')",0.83611506,1.0491601,-0.7109289,-0.6630639,0.4459539,0.4948171,-0.0488632
68,-1.1147683,-1.2627205,"('dependent', 'independent')",-0.83312887,-0.9945081,-0.8501078,-1.0216134,-0.9326684,-1.0929473,0.1602789
33,1.0750443,0.95446795,"('wrong', 'right')",0.47806573,0.22054607,-0.5023863,-0.7299374,0.3502413,0.1483589,0.2018824
36,-1.0553325,-0.9048435,"('hostile', 'amicable')",-1.3597509,-1.7332221,-0.1360655,-0.24186152,-0.850383,-0.9599757,0.1095927
53,-1.022409,-0.8599401,"('uncreative', 'creative')",-0.9493729,-1.1926482,1.1220882,1.0545938,-0.2832312,-0.3326648,0.0494336
59,1.0007824,0.8752143,"('foolish', 'wise')",0.059358962,-0.063850686,0.30479926,0.25968048,0.4549802,0.3570147,0.0979655
34,-0.96328604,-0.55415726,"('mean', 'honorable')",0.098979786,0.3245595,5.6362624,5.830352,1.590652,1.8669181,-0.2762661
77,-0.9596909,-1.4038235,"('unmotivated', 'motivated')",0.57227075,0.14851402,-1.2273138,-1.253479,-0.5382446,-0.8362629,0.2980183
40,0.9396816,0.7910968,"('stingy', 'generous')",0.19777438,-0.08373032,-1.7023453,-1.9437513,-0.1882964,-0.4121283,0.2238319
42,0.933598,1.2917451,"('unreliable', 'reliable')",0.2371917,0.4836443,-2.4992929,-2.5072074,-0.4428344,-0.2439393,-0.1988951
39,0.9100992,0.8356022,"('exploitative', 'cooperative')",0.9919093,1.0918332,0.3027234,0.25969276,0.7349106,0.7290427,0.0058679
