,pinnacle_male,pinnacle_female,tuple,west_male,west_female,capital_male,capital_female,corp_male,corp_female,average_male,average_female,male-female
36,-4.2485805,-2.0806024,"('hostile', 'amicable')",-1.8860749,-1.4076085,0.16807659,0.3803183,-0.040439807,0.0033653174,-1.5017546,-0.7761318,-0.7256228
31,-4.2279124,-2.5632567,"('evil', 'good')",-2.2851994,-1.9511102,-0.26877213,-0.03820385,-1.2829303,-1.1479309,-2.0162036,-1.4251254,-0.5910782
60,4.164493,1.8671596,"('inefficient', 'efficient')",1.5819602,1.2917973,-0.10373802,-0.17748053,-0.25465706,-0.2290949,1.3470145,0.6880954,0.6589191
85,-4.0853934,-1.2062466,"('insignificant', 'prestigious')",-1.5047338,-0.9742957,1.984372,2.194059,-0.22132505,0.149384,-0.95677,0.0407252,-0.9974952
35,-3.8816457,-1.6429843,"('corrupt', 'incorrupt')",-1.5394751,-1.1760122,-0.28771254,-0.13032903,-0.6201979,-0.5974298,-1.5822577,-0.8866888,-0.6955689
56,3.676737,2.0675805,"('impractical', 'practical')",1.2737492,1.3789592,0.39113787,0.39405996,-0.79193807,-0.7210284,1.1374216,0.7798928,0.3575288
46,3.6474915,1.6246109,"('uncompetitive', 'competitive')",1.4889393,1.1992618,-0.057500504,-0.15711018,-0.697557,-0.70836973,1.0953434,0.4895982,0.6057452
6,-3.6206744,-1.6733848,"('distant', 'open')",-1.8727845,-1.2364045,0.69833773,0.98927736,-0.29000068,-0.09219465,-1.2712805,-0.5031766,-0.7681039
62,3.546438,2.0068707,"('incompetent', 'brilliant')",1.0269532,1.1211137,0.29493257,0.29485884,0.1203972,0.24710083,1.2471801,0.9174861,0.329694
10,3.4967706,1.6499428,"('unsympathetic', 'sympathetic')",0.87274224,0.6942934,-0.7742903,-1.0494045,-0.2122637,-0.25817874,0.8457397,0.2591632,0.5865765
69,-3.4936137,-1.318281,"('lazy', 'industrious')",-0.5156458,-0.2017784,2.3509667,2.5069578,-0.5109082,-0.3052704,-0.5423003,0.170407,-0.7127073
