,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.7039905,-1.939895,"('unfriendly', 'friendly')",1.3135332,1.0316607,-0.1952286,-0.4541172,0.2588886
6,-1.5978733,-1.7623047,"('distant', 'open')",-0.65229857,-0.90573865,-1.1250859,-1.3340217,0.2089358
5,-1.5215886,-1.6103799,"('distant', 'outgoing')",-0.85054994,-0.9557109,-1.1860693,-1.2830454,0.0969761
36,-1.3386976,-1.1759763,"('hostile', 'amicable')",-0.3805348,-0.5937214,-0.8596162,-0.8848488,0.0252326
79,-1.3280214,-1.5139636,"('wavering', 'unwavering')",-0.5680652,-0.9215519,-0.9480433,-1.2177577,0.2697144
53,-1.3183818,-1.2594693,"('uncreative', 'creative')",0.50200737,0.3215982,-0.4081872,-0.4689355,0.0607483
60,1.2685184,1.244102,"('inefficient', 'efficient')",0.29666924,0.41256082,0.7825938,0.8283314,-0.0457376
18,-1.1272913,-0.9635206,"('disagreeable', 'welcoming')",-0.47314358,-0.62102896,-0.8002174,-0.7922748,-0.0079426
39,1.0991051,1.0064671,"('exploitative', 'cooperative')",0.31921384,0.4477026,0.7091595,0.7270849,-0.0179254
29,-1.0704894,-1.2923745,"('unfair', 'fair')",-0.6309234,-0.7789994,-0.8507064,-1.035687,0.1849806
19,-1.0585487,-1.137403,"('inhospitable', 'hospitable')",-0.4608085,-0.63868725,-0.7596786,-0.8880451,0.1283665
8,-1.0514576,-1.0693012,"('unaffectionate', 'affectionate')",0.3858517,0.29258686,-0.332803,-0.3883572,0.0555542
54,-1.0150988,-1.0151546,"('incapable', 'capable')",0.7597101,0.7948423,-0.1276944,-0.1101561,-0.0175383
9,-0.95427185,-1.2019031,"('unaffectionate', 'caring')",1.0898248,0.9735795,0.0677765,-0.1141618,0.1819383
57,-0.95047325,-1.1653552,"('unimaginative', 'imaginative')",-2.8489275,-2.7618043,-1.8997004,-1.9635798,0.0638794
31,-0.90937555,-1.145927,"('evil', 'good')",-1.0075208,-1.1431566,-0.9584482,-1.1445417,0.1860935
66,-0.88804376,-1.1479943,"('inactive', 'active')",0.79089075,0.53804874,-0.0485765,-0.3049728,0.2563963
86,-0.8839403,-1.204336,"('uninfluential', 'influential')",0.13916244,-0.2328243,-0.3723889,-0.7185802,0.3461913
38,-0.86512953,-1.0320929,"('untruthful', 'truthful')",-0.023543665,-0.08626225,-0.4443366,-0.5591776,0.114841
52,-0.80461836,-0.7764568,"('irrational', 'rational')",-0.58884794,-0.69109076,-0.6967331,-0.7337738,0.0370407
73,0.8009773,0.74493414,"('helpless', 'self-reliant')",-3.4039788,-3.087224,-1.3015008,-1.171145,-0.1303558
0,-0.74029225,-1.1253217,"('unsociable', 'sociable')",0.23731336,0.033473518,-0.2514895,-0.5459241,0.2944346
