,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-1.9937298,-1.9581426,"('hostile', 'amicable')",-0.56289005,-0.71264076,-1.2783099,-1.3353918,0.0570819
31,-1.8803871,-1.6385155,"('evil', 'good')",-1.4748851,-1.4977014,-1.6776361,-1.5681084,-0.1095277
6,-1.6758268,-1.5869856,"('distant', 'open')",-0.39678103,-0.32305562,-1.0363039,-0.9550206,-0.0812833
81,1.555646,1.473655,"('submissive', 'aggressive')",0.11471248,0.07448648,0.8351792,0.7740707,0.0611085
5,-1.4617735,-1.4091364,"('distant', 'outgoing')",-0.62406474,-0.5329098,-1.0429192,-0.9710231,-0.0718961
53,-1.4326355,-1.4220188,"('uncreative', 'creative')",0.5250218,0.53267056,-0.4538069,-0.4446741,-0.0091328
56,1.4011948,1.6503017,"('impractical', 'practical')",0.35517123,0.52111465,0.878183,1.0857081,-0.2075251
1,-1.3802723,-1.2936618,"('unfriendly', 'friendly')",1.0440698,1.1629225,-0.1681013,-0.0653697,-0.1027316
79,-1.3212967,-1.2514169,"('wavering', 'unwavering')",-0.25254184,-0.2717582,-0.7869192,-0.7615876,-0.0253316
62,1.3047876,1.5120726,"('incompetent', 'brilliant')",0.82971513,1.0384934,1.0672514,1.275283,-0.2080316
60,1.0610526,1.1218798,"('inefficient', 'efficient')",0.7642931,0.97385764,0.9126728,1.0478687,-0.1351959
30,1.034018,1.1396816,"('intolerant', 'tolerant')",1.7170548,1.7712698,1.3755364,1.4554757,-0.0799393
88,-1.0072708,-1.0470557,"('low', 'eminent')",0.19687481,0.2693958,-0.405198,-0.3888299,-0.0163681
8,-0.96599394,-0.969705,"('unaffectionate', 'affectionate')",0.14983654,0.23167786,-0.4080787,-0.3690135,-0.0390652
14,0.9409976,0.78598726,"('antisocial', 'social')",-0.21860653,-0.28073198,0.3611955,0.2526276,0.1085679
85,-0.88664705,-1.1706467,"('insignificant', 'prestigious')",0.17147638,-0.086540125,-0.3575853,-0.6285934,0.2710081
4,-0.8266044,-0.5774331,"('disliked', 'liked')",-5.659047,-5.7628827,-3.2428257,-3.1701579,-0.0726678
70,0.7957473,0.9503265,"('lethargic', 'energetic')",1.0932139,1.2033025,0.9444806,1.0768145,-0.1323339
80,0.79385847,0.69520974,"('dominated', 'dominating')",-0.93961763,-0.9552792,-0.0728796,-0.1300347,0.0571551
67,0.7908145,0.60069114,"('doubtful', 'determined')",-0.24438356,-0.22688222,0.2732155,0.1869045,0.086311
19,-0.7876997,-0.63931715,"('inhospitable', 'hospitable')",-0.27078846,-0.14589228,-0.5292441,-0.3926047,-0.1366394
25,-0.7844889,-0.8639497,"('egoistic', 'altruistic')",0.79808086,0.7509124,0.006796,-0.0565186,0.0633146
71,-0.78215104,-0.8223617,"('diffident', 'self-confident')",0.21274132,0.14102507,-0.2847049,-0.3406683,0.0559634
43,0.77567077,0.9366067,"('irresponsible', 'responsible')",0.7234343,0.9078186,0.7495525,0.9222127,-0.1726602
57,-0.7619842,-0.7307743,"('unimaginative', 'imaginative')",-1.9624016,-2.1470318,-1.3621929,-1.4389031,0.0767102
33,0.7569089,0.82713926,"('wrong', 'right')",-0.64265734,-0.6730438,0.0571258,0.0770477,-0.0199219
86,-0.73262405,-0.7763795,"('uninfluential', 'influential')",0.13537812,0.08550251,-0.298623,-0.3454385,0.0468155
55,0.70926034,0.7023704,"('incompetent', 'clever')",0.417025,0.3153026,0.5631427,0.5088365,0.0543062
76,0.7028171,0.68642837,"('anxious', 'daring')",0.56979704,0.67507225,0.6363071,0.6807503,-0.0444432
13,0.6970919,0.82618284,"('impolite', 'polite')",0.18129855,0.2320973,0.4391952,0.5291401,-0.0899449
73,0.69633573,0.86419374,"('helpless', 'self-reliant')",-2.7134929,-2.7482364,-1.0085785,-0.9420214,-0.0665571
87,0.68945277,0.47929114,"('unsuccessful', 'successful')",1.0431089,0.8736233,0.8662809,0.6764572,0.1898237
7,0.66426057,0.6913109,"('insensitive', 'sensitive')",0.67095864,0.8573338,0.6676096,0.7743223,-0.1067127
9,-0.65864605,-0.6297352,"('unaffectionate', 'caring')",0.69399333,0.8346898,0.0176736,0.1024773,-0.0848037
21,0.64993167,0.70414495,"('immoral', 'moral')",-0.20956562,-0.19822103,0.220183,0.252962,-0.032779
15,-0.646995,-0.4773758,"('boring', 'funny')",0.2540093,0.267612,-0.1964929,-0.1048819,-0.091611
37,0.644056,0.7113133,"('fake', 'genuine')",0.43055168,0.50855887,0.5373039,0.6099361,-0.0726322
18,-0.6180248,-0.6240348,"('disagreeable', 'welcoming')",-0.4649661,-0.35944492,-0.5414954,-0.4917399,-0.0497555
39,0.61443895,0.40886012,"('exploitative', 'cooperative')",-0.1853574,-0.14693794,0.2145408,0.1309611,0.0835797
2,0.60996294,0.49818096,"('unlikable', 'likable')",0.43010676,0.36580533,0.5200348,0.4319931,0.0880417
84,0.60381943,0.55909824,"('inferior', 'superior')",1.1841427,1.1822737,0.8939811,0.870686,0.0232951
72,-0.6012938,-0.5128849,"('unambitious', 'ambitious')",-1.0316911,-0.8719591,-0.8164924,-0.692422,-0.1240704
26,-0.5772064,-0.57071304,"('hardhearted', 'benevolent')",1.2942849,1.2957363,0.3585393,0.3625116,-0.0039723
35,-0.57484066,-0.5247831,"('corrupt', 'incorrupt')",-0.7188943,-0.7729934,-0.6468675,-0.6488882,0.0020207
74,0.5693715,0.5694226,"('undedicated', 'dedicated')",0.04357622,0.02920534,0.3064739,0.299314,0.0071599
27,-0.5538941,-0.3588896,"('hardhearted', 'softhearted')",1.4062773,1.3792361,0.4261916,0.5101733,-0.0839817
83,-0.5471074,-0.57608294,"('powerless', 'powerful')",-0.7109321,-0.7917303,-0.6290197,-0.6839066,0.0548869
11,0.5272054,0.54991645,"('unhelpful', 'helpful')",1.9204444,2.0590541,1.2238249,1.3044853,-0.0806604
52,-0.50726306,-0.70468384,"('irrational', 'rational')",-0.4033037,-0.5846907,-0.4552834,-0.6446873,0.1894039
44,-0.43861628,-0.5099132,"('prejudiced', 'unprejudiced')",-1.527569,-1.6289167,-0.9830927,-1.069415,0.0863223
49,-0.42426682,-0.364854,"('unable', 'able')",-0.17896691,-0.11624292,-0.3016168,-0.2405485,-0.0610683
66,-0.41433942,-0.65282226,"('inactive', 'active')",0.77644515,0.6463854,0.1810529,-0.0032184,0.1842713
16,-0.40233666,-0.43105587,"('unpopular', 'popular')",0.42014366,0.30323413,0.0089035,-0.0639109,0.0728144
32,-0.3923212,-0.3139132,"('unkind', 'kind')",0.77253807,0.89926934,0.1901084,0.2926781,-0.1025697
23,0.3809274,0.41430426,"('insincere', 'sincere')",5.1517534,5.454507,2.7663405,2.9344056,-0.1680651
40,-0.3689588,-0.24409874,"('stingy', 'generous')",-1.2169203,-1.2763554,-0.7929395,-0.7602271,-0.0327124
28,-0.3679709,-0.46747074,"('disloyal', 'loyal')",0.5173904,0.61900294,0.0747097,0.0757661,-0.0010564
46,0.3559886,0.38871175,"('uncompetitive', 'competitive')",0.08945041,-0.027317157,0.2227195,0.1806973,0.0420222
47,0.35358864,0.39384025,"('stupid', 'smart')",4.6268635,4.817832,2.490226,2.6058362,-0.1156102
59,0.34662208,0.42404294,"('foolish', 'wise')",0.12730747,0.14874068,0.2369648,0.2863918,-0.049427
42,0.33223918,0.5474868,"('unreliable', 'reliable')",-2.5695183,-2.5908835,-1.1186396,-1.0216984,-0.0969412
58,0.31579554,0.30434522,"('undiscriminating', 'discriminating')",0.2346083,0.1897566,0.2752019,0.2470509,0.028151
22,0.30138755,0.46078983,"('untrustworthy', 'trustworthy')",-0.8810083,-0.80261636,-0.2898104,-0.1709133,-0.1188971
12,0.29472718,0.49518493,"('unsupportive', 'supportive')",-1.2410579,-1.2549822,-0.4731653,-0.3798987,-0.0932666
10,0.2657016,0.35768518,"('unsympathetic', 'sympathetic')",0.32719558,0.29531837,0.2964486,0.3265018,-0.0300532
75,-0.25033078,-0.11469815,"('meek', 'impulsive')",-0.528093,-0.4818858,-0.3892119,-0.298292,-0.0909199
78,-0.23347966,-0.23154046,"('nonresilient', 'resilient')",0.76977855,0.68758297,0.2681494,0.2280213,0.0401281
45,0.22448966,0.5635636,"('incompetent', 'competent')",0.141166,0.24526717,0.1828278,0.4044154,-0.2215876
77,-0.22189596,-0.4296776,"('unmotivated', 'motivated')",-0.7155271,-0.72673845,-0.4687116,-0.578208,0.1094964
34,-0.20582575,-0.24262676,"('mean', 'honorable')",5.606956,5.741064,2.7005651,2.7492187,-0.0486536
48,-0.19192377,-0.17755345,"('unintelligent', 'intelligent')",1.0694495,1.0920274,0.4387629,0.457237,-0.0184741
64,-0.18217814,-0.3358899,"('shy', 'confident')",-5.485991,-5.720805,-2.8340845,-3.0283475,0.194263
68,-0.13510899,-0.2373733,"('dependent', 'independent')",-0.06442283,-0.13738684,-0.0997659,-0.1873801,0.0876142
65,0.13008657,0.09518314,"('insecure', 'secure')",-0.21079554,-0.16115677,-0.0403545,-0.0329868,-0.0073677
50,0.124833,0.072046734,"('clumsy', 'skillful')",0.22275299,0.17424814,0.173793,0.1231474,0.0506456
17,-0.118499264,-0.18189135,"('nasty', 'nice')",-0.5620535,-0.54520214,-0.3402764,-0.3635467,0.0232703
41,0.1131112,0.41570085,"('unforgiving', 'forgiving')",0.07998622,0.10916805,0.0965487,0.2624345,-0.1658858
3,0.11066779,0.015725955,"('repellent', 'pleasant')",0.02426301,0.0057033487,0.0674654,0.0107147,0.0567507
0,0.10959718,-0.14625995,"('unsociable', 'sociable')",-0.089546695,-0.11808709,0.0100252,-0.1321735,0.1421987
82,0.10671949,0.34205714,"('poor', 'rich')",5.3501296,5.6886563,2.7284245,3.0153568,-0.2869323
61,-0.09863721,-0.27824032,"('illogical', 'logical')",0.23358706,0.1435085,0.0674749,-0.0673659,0.1348408
63,0.04619834,0.28100353,"('unperceptive', 'insightful')",1.5000144,1.5463917,0.7731064,0.9136976,-0.1405912
20,-0.039943956,-0.021942552,"('rough', 'thoughtful')",1.1123526,1.1164899,0.5362043,0.5472737,-0.0110694
69,-0.03854795,-0.3389222,"('lazy', 'industrious')",-0.350272,-0.54779565,-0.19441,-0.4433589,0.2489489
54,-0.037784394,-0.168919,"('incapable', 'capable')",0.8130918,0.8528478,0.3876537,0.3419644,0.0456893
38,-0.03410779,0.25084078,"('untruthful', 'truthful')",0.089138255,0.26233363,0.0275152,0.2565872,-0.229072
29,-0.025276609,-0.008118823,"('unfair', 'fair')",-0.61410654,-0.54968387,-0.3196916,-0.2789013,-0.0407903
51,0.016340759,-0.016299158,"('uneducated', 'educated')",0.8887126,0.8459836,0.4525267,0.4148422,0.0376845
24,-0.012878805,0.13984504,"('dishonest', 'honest')",0.5347969,0.7665973,0.260959,0.4532211,-0.1922621
