,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
8,-2.6199942,-2.2613447,"('unaffectionate', 'affectionate')",-1.7958657,-1.6312311,-3.421264,-3.208102,-0.3352078,-0.14719304,-2.043083,-1.8119676,-0.2311154
1,-2.4576056,-2.14693,"('unfriendly', 'friendly')",-1.5644023,-1.1748958,-1.0131763,-0.74427646,0.9116053,1.1052909,-1.0308948,-0.7402028,-0.290692
9,-2.0239778,-1.699397,"('unaffectionate', 'caring')",-0.6920137,-0.4899612,-1.041599,-0.9235549,0.61346334,0.8008272,-0.7860318,-0.5780215,-0.2080103
56,1.9010967,1.8085941,"('impractical', 'practical')",1.6854349,1.9279054,2.8008075,2.998367,0.52663547,0.5006212,1.7284937,1.808872,-0.0803783
53,-1.8973874,-1.8470048,"('uncreative', 'creative')",-0.5832754,-0.34429565,-0.620981,-0.25957352,0.98130715,0.8937544,-0.5300841,-0.3892798,-0.1408043
67,1.6288557,1.7154795,"('doubtful', 'determined')",0.27399012,0.41955382,0.0362749,0.0870824,-0.32902858,-0.29840636,0.402523,0.4809273,-0.0784043
64,1.5820051,1.4270897,"('shy', 'confident')",0.6584716,0.69235337,-0.28195235,-0.20785439,-6.003847,-6.192862,-1.0113307,-1.0703183,0.0589876
44,1.5745673,1.5525494,"('prejudiced', 'unprejudiced')",0.79277843,0.7762521,-0.4024496,-0.6463564,-0.9815348,-0.9681845,0.2458404,0.1785651,0.0672753
69,1.5662453,1.7728336,"('lazy', 'industrious')",1.3017797,1.3873607,-1.1040097,-1.0441464,-0.6811873,-0.34723538,0.270707,0.4422031,-0.1714961
86,-1.5418622,-1.4877491,"('uninfluential', 'influential')",-0.21450165,0.11344509,0.9894468,1.3077515,-0.35204333,-0.37093288,-0.2797401,-0.1093713,-0.1703688
60,1.521672,1.477977,"('inefficient', 'efficient')",1.4095097,1.6010338,3.3266215,3.5318122,0.6228402,0.6538982,1.7201608,1.8161803,-0.0960195
31,-1.5161783,-1.3585925,"('evil', 'good')",-1.4346286,-1.4996481,-2.4856138,-2.5263653,-1.5691267,-1.4628689,-1.7513868,-1.7118688,-0.039518
73,1.510146,1.5652088,"('helpless', 'self-reliant')",0.0118003525,0.20043047,-0.9861378,-1.064978,-3.729408,-3.7143664,-0.7983999,-0.7534263,-0.0449736
81,1.4632217,1.2820895,"('submissive', 'aggressive')",1.2063421,1.2212257,1.948238,2.0254025,-0.4627755,-0.5360897,1.0387565,0.9981571,0.0405994
48,-1.3583524,-1.3427409,"('unintelligent', 'intelligent')",-0.69018036,-0.5041747,0.0747509,0.1488868,0.28396165,0.260146,-0.422455,-0.3594707,-0.0629843
28,-1.3479887,-1.1949748,"('disloyal', 'loyal')",-0.664873,-0.3643829,0.21809971,0.41675404,1.1699898,1.0631528,-0.156193,-0.0198627,-0.1363303
75,1.2623522,1.1692351,"('meek', 'impulsive')",0.018126406,-0.120838314,-2.2293425,-2.3541582,-0.8244217,-0.8574971,-0.4433214,-0.5408146,0.0974932
40,-1.2351165,-1.1647264,"('stingy', 'generous')",-0.31529394,-0.26691613,-0.4711863,-0.3787958,-1.9837471,-1.8640896,-1.001336,-0.918632,-0.082704
25,-1.1574636,-1.0072405,"('egoistic', 'altruistic')",-0.15017368,-0.3531106,-1.4820446,-1.3543782,0.7160668,0.8696525,-0.5184038,-0.4612692,-0.0571346
