,bed_male,bed_female,tuple,bath_male,bath_female,&_male,&_female,beyond_male,beyond_female,inc_male,inc_female,average_male,average_female,male-female
77,-1.8159133,-1.504216,"('unmotivated', 'motivated')",-1.6247782,-1.4105046,-1.8243629,-1.9156187,-1.5300258,-1.6333064,-1.1157931,-1.1142246,-1.5821747,-1.5155741,-0.0666006
81,-1.7924204,-1.2503543,"('submissive', 'aggressive')",-1.7118342,-1.2334706,-1.8163316,-1.7602947,-1.6401807,-1.586015,-1.1256808,-1.127094,-1.6172895,-1.3914457,-0.2258438
56,1.4632483,1.893286,"('impractical', 'practical')",1.1030519,1.3786416,-0.8295157,-0.77131367,0.09107077,0.005359981,0.043517455,0.059165023,0.3742745,0.5130278,-0.1387533
71,1.4445378,1.3976462,"('diffident', 'self-confident')",2.252742,2.2106953,0.66397387,0.7063645,1.9288579,1.9608176,0.8925211,0.8753428,1.4365265,1.4301732,0.0063533
3,-1.4382333,-1.1620876,"('repellent', 'pleasant')",-1.7598625,-1.6171924,-0.93088835,-1.1782799,-1.190796,-1.2156813,-0.22760355,-0.29203293,-1.1094767,-1.0930548,-0.0164219
12,1.384583,1.4420459,"('unsupportive', 'supportive')",0.8318133,1.0306354,0.7957335,0.79525924,0.87316173,0.6500839,-0.8842388,-0.98949176,0.6002106,0.5857066,0.014504
10,-1.2627052,-0.8071243,"('unsympathetic', 'sympathetic')",-1.4926385,-1.1681156,-2.8584719,-2.947555,-2.7277913,-2.732791,-0.53220737,-0.4946726,-1.7747627,-1.6300518,-0.1447109
73,1.2466387,0.9624296,"('helpless', 'self-reliant')",0.6801182,0.44893038,1.6553273,1.5363822,1.7386785,1.6701106,-2.5446024,-2.6369367,0.555232,0.3961832,0.1590488
86,-1.2265722,-1.0555054,"('uninfluential', 'influential')",-0.34690297,-0.15277587,-1.5130591,-1.8394647,-2.323575,-2.5394914,-0.1704885,-0.24839546,-1.1161196,-1.1671266,0.051007
68,-1.1832948,-1.0700244,"('dependent', 'independent')",-0.920941,-0.93472695,-0.5400164,-0.58821046,-0.044945024,-0.07125008,-0.40522125,-0.59173226,-0.6188837,-0.6511888,0.0323051
53,-1.1423731,-1.2049035,"('uncreative', 'creative')",-0.14241044,-0.15092973,0.17326179,0.034286946,-1.132202,-1.2584805,0.9676472,0.7770992,-0.2552153,-0.3605855,0.1053702
20,-1.1234382,-0.8254827,"('rough', 'thoughtful')",-1.6864424,-1.6184343,-0.9416866,-1.0436885,-1.5050162,-1.5213628,0.93460643,0.8099386,-0.8643954,-0.839806,-0.0245894
29,1.0511993,0.9312953,"('unfair', 'fair')",1.1052047,1.0818297,-0.013680972,-0.071939185,0.12996535,0.066671506,-0.41188857,-0.5826375,0.37216,0.285044,0.087116
