,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.0212135,-2.5225797,"('unsympathetic', 'sympathetic')",0.062822334,0.23213184,-0.9791956,-1.1452239,0.1660283
86,-2.018734,-1.964505,"('uninfluential', 'influential')",-0.14519669,0.14718279,-1.0819653,-0.9086611,-0.1733042
48,-1.9344399,-1.829633,"('unintelligent', 'intelligent')",0.2125639,0.5027624,-0.860938,-0.6634353,-0.1975027
0,-1.6243424,-1.9493387,"('unsociable', 'sociable')",-0.6674995,-0.5664305,-1.145921,-1.2578846,0.1119636
73,1.6004881,1.4854857,"('helpless', 'self-reliant')",-2.220321,-2.3624399,-0.3099164,-0.4384771,0.1285607
21,-1.50157,-1.587791,"('immoral', 'moral')",-0.97447896,-0.6963786,-1.2380245,-1.1420848,-0.0959397
23,-1.4795567,-1.7533256,"('insincere', 'sincere')",5.686292,5.372623,2.1033678,1.8096488,0.293719
63,-1.3494043,-1.479245,"('unperceptive', 'insightful')",1.3890421,1.4848714,0.0198189,0.0028132,0.0170057
75,1.335234,1.1987588,"('meek', 'impulsive')",0.096564695,-0.14400706,0.7158993,0.5273759,0.1885234
69,1.3231409,1.9963692,"('lazy', 'industrious')",-0.7816472,-0.5410619,0.2707468,0.7276537,-0.4569069
1,-1.2512308,-1.0920533,"('unfriendly', 'friendly')",1.7224284,1.4366565,0.2355988,0.1723016,0.0632972
43,-1.2428157,-1.7152543,"('irresponsible', 'responsible')",0.80246687,0.633725,-0.2201744,-0.5407647,0.3205903
65,-1.2330822,-1.6843765,"('insecure', 'secure')",-0.68302506,-0.5116818,-0.9580536,-1.0980291,0.1399755
72,-1.2146263,-1.1485455,"('unambitious', 'ambitious')",-0.5469974,-0.46423063,-0.8808119,-0.8063881,-0.0744238
11,-1.2143584,-1.4789332,"('unhelpful', 'helpful')",2.055283,1.83436,0.4204623,0.1777134,0.2427489
85,1.2055874,1.8943048,"('insignificant', 'prestigious')",0.5263793,0.5635958,0.8659834,1.2289503,-0.3629669
81,-1.1863737,-1.517801,"('submissive', 'aggressive')",-0.96968997,-0.6830418,-1.0780318,-1.1004214,0.0223896
44,1.1265846,0.8279909,"('prejudiced', 'unprejudiced')",-1.5635322,-1.7262177,-0.2184738,-0.4491134,0.2306396
35,1.1168386,1.4559747,"('corrupt', 'incorrupt')",-0.21534167,-0.32371002,0.4507484,0.5661323,-0.1153839
3,-1.0947976,-1.0888945,"('repellent', 'pleasant')",0.06702182,0.19455819,-0.5138879,-0.4471681,-0.0667198
4,1.0856967,0.96893877,"('disliked', 'liked')",-5.9419575,-5.9938054,-2.4281304,-2.5124333,0.0843029
12,-1.0440525,-1.1196102,"('unsupportive', 'supportive')",-1.3337924,-1.0664452,-1.1889224,-1.0930277,-0.0958947
14,-1.0397544,-1.4982898,"('antisocial', 'social')",-0.5205322,-0.51053375,-0.7801433,-1.0044118,0.2242685
47,-0.9980578,-1.2216713,"('stupid', 'smart')",4.4148197,4.36729,1.7083809,1.5728093,0.1355716
5,0.9717334,1.3819985,"('distant', 'outgoing')",-0.020585328,-0.11610037,0.475574,0.6329491,-0.1573751
79,0.9711762,1.0614904,"('wavering', 'unwavering')",0.47458127,0.3481716,0.7228788,0.704831,0.0180478
50,0.96435255,1.2058977,"('clumsy', 'skillful')",0.34769285,0.6388783,0.6560227,0.922388,-0.2663653
46,-0.94473624,-1.5761017,"('uncompetitive', 'competitive')",-0.22390437,-0.0746877,-0.5843203,-0.8253947,0.2410744
87,0.9248076,0.91512555,"('unsuccessful', 'successful')",1.2597842,1.5807419,1.0922959,1.2479337,-0.1556378
55,-0.90803945,-1.2842168,"('incompetent', 'clever')",-0.017183358,0.2700682,-0.4626114,-0.5070743,0.0444629
30,-0.90021384,-1.1447453,"('intolerant', 'tolerant')",0.72430533,0.86209905,-0.0879543,-0.1413231,0.0533688
34,-0.89442134,-0.9049751,"('mean', 'honorable')",5.856867,5.587364,2.4812226,2.3411946,0.140028
83,-0.8903285,-0.9277172,"('powerless', 'powerful')",-0.6652682,-0.82643074,-0.7777984,-0.877074,0.0992756
60,-0.8710243,-1.2832172,"('inefficient', 'efficient')",-0.16394648,0.102665275,-0.5174854,-0.5902759,0.0727905
57,-0.8704782,-1.4860467,"('unimaginative', 'imaginative')",-1.8101336,-2.0302613,-1.3403059,-1.7581539,0.417848
61,-0.83307236,-0.85036886,"('illogical', 'logical')",0.19791068,0.19944748,-0.3175808,-0.3254607,0.0078799
88,-0.8297024,-0.49265453,"('low', 'eminent')",0.16431083,0.4217866,-0.3326958,-0.035434,-0.2972618
68,-0.80781245,-0.6217184,"('dependent', 'independent')",-0.65450454,-0.43395907,-0.7311585,-0.5278387,-0.2033198
32,-0.7980923,-0.82811576,"('unkind', 'kind')",0.72369957,0.78185403,-0.0371964,-0.0231309,-0.0140655
