,rockwell_male,rockwell_female,tuple,collins_male,collins_female,inc_male,inc_female,average_male,average_female,male-female
71,1.889373,2.0440607,"('diffident', 'self-confident')",1.7420198,1.9344578,0.28068325,0.55013114,1.3040253,1.5095499,-0.2055246
81,-1.7336996,-1.7172915,"('submissive', 'aggressive')",-0.05998029,-0.32839793,-0.3535616,-0.66701514,-0.7157471,-0.9042348,0.1884877
57,-1.5161831,-1.6159978,"('unimaginative', 'imaginative')",-0.54136664,-0.6766946,-2.4660957,-2.5058503,-1.5078818,-1.5995143,0.0916325
69,1.5136805,1.6973628,"('lazy', 'industrious')",1.234068,1.4914414,-0.539039,-0.21588534,0.7362364,0.9909729,-0.2547365
1,1.5008844,1.4637438,"('unfriendly', 'friendly')",0.9595112,1.0930326,1.0735179,1.3688523,1.1779712,1.3085429,-0.1305717
33,1.4717085,1.5656329,"('wrong', 'right')",0.60846853,0.6675642,-1.1380775,-0.7952583,0.3140332,0.479313,-0.1652798
70,-1.4379777,-1.4363797,"('lethargic', 'energetic')",-0.4683228,-0.5730714,1.1755677,0.75410324,-0.2435776,-0.4184493,0.1748717
10,-1.42632,-1.6445806,"('unsympathetic', 'sympathetic')",-0.14293583,-0.40740123,0.3509354,0.059325755,-0.4061068,-0.6642187,0.2581119
3,-1.4258955,-1.515334,"('repellent', 'pleasant')",0.14481102,-0.17434414,0.09873513,-0.19608834,-0.3941164,-0.6285888,0.2344724
77,-1.3827856,-1.3613857,"('unmotivated', 'motivated')",0.357908,0.05926166,-0.50215346,-0.74786794,-0.5090103,-0.6833307,0.1743204
58,1.1759237,0.7214403,"('undiscriminating', 'discriminating')",1.3733165,1.3005705,0.2523637,0.211414,0.9338679,0.744475,0.1893929
26,1.1242228,1.1767414,"('hardhearted', 'benevolent')",1.1294458,1.2190063,0.7852876,1.3078855,1.0129854,1.2345444,-0.221559
9,1.0742581,1.054443,"('unaffectionate', 'caring')",0.4551395,0.58378077,0.41210473,0.7516172,0.6471674,0.7966137,-0.1494463
65,-1.0733624,-1.272331,"('insecure', 'secure')",-0.4724977,-0.52029943,-0.32873648,-0.49276808,-0.6248655,-0.7617995,0.136934
16,-1.0283175,-0.98380613,"('unpopular', 'popular')",-0.9766907,-0.826862,0.57382214,0.56755173,-0.477062,-0.4143721,-0.0626899
17,-0.99739844,-0.9691117,"('nasty', 'nice')",0.886368,0.81142366,-0.42538092,-0.41194594,-0.1788038,-0.189878,0.0110742
87,0.957729,0.6877768,"('unsuccessful', 'successful')",1.7028207,1.4853449,0.914289,1.0174682,1.1916129,1.06353,0.1280829
30,-0.93372273,-0.9137367,"('intolerant', 'tolerant')",-0.96857333,-1.0169059,0.8730187,0.9007866,-0.3430924,-0.3432853,0.0001929
25,0.872547,0.9082531,"('egoistic', 'altruistic')",0.3961864,0.5123076,0.9178365,1.1229018,0.7288566,0.8478208,-0.1189642
53,0.8661839,0.7530445,"('uncreative', 'creative')",-0.062415525,-0.14852418,0.8747641,0.9002537,0.5595108,0.5015914,0.0579194
42,-0.8503608,-0.78086144,"('unreliable', 'reliable')",-0.16306598,-0.25051165,-2.9697263,-2.8123665,-1.3277177,-1.2812465,-0.0464712
64,-0.8456367,-0.61610013,"('shy', 'confident')",-0.4648428,-0.38763574,-6.2465234,-5.900752,-2.519001,-2.301496,-0.217505
82,-0.8190813,-1.0130658,"('poor', 'rich')",-0.9795266,-1.2282788,6.3185177,5.838189,1.5066366,1.1989482,0.3076884
85,0.79324865,1.0045291,"('insignificant', 'prestigious')",0.07616291,0.4449424,0.22771767,0.7237532,0.3657097,0.7244082,-0.3586985
28,-0.784601,-0.8522726,"('disloyal', 'loyal')",-0.47092327,-0.4198886,0.39581844,0.4621477,-0.2865686,-0.2700045,-0.0165641
61,0.7828156,0.51928866,"('illogical', 'logical')",1.1245351,0.8691168,0.09899316,0.17609131,0.6687813,0.5214989,0.1472824
50,-0.7592706,-0.79491025,"('clumsy', 'skillful')",-0.38425854,-0.3643272,0.50317574,0.47230586,-0.2134511,-0.2289772,0.0155261
18,-0.7540144,-0.546652,"('disagreeable', 'welcoming')",-1.2661264,-1.0679003,-1.0340891,-0.8385747,-1.0180766,-0.817709,-0.2003676
14,-0.7538857,-0.8153132,"('antisocial', 'social')",0.5940647,0.46271437,-1.1445626,-1.060009,-0.4347945,-0.4708693,0.0360748
75,-0.7474532,-0.6077474,"('meek', 'impulsive')",-0.47314334,-0.30879655,-0.16788188,-0.17576976,-0.4628261,-0.3641046,-0.0987215
45,-0.7261537,-1.1300668,"('incompetent', 'competent')",0.8658086,0.50604635,-0.33963895,-0.39045548,-0.0666613,-0.3381586,0.2714973
55,-0.7248422,-0.94586,"('incompetent', 'clever')",0.06295535,-0.22438067,0.043905787,-0.031578712,-0.2059937,-0.4006064,0.1946127
72,-0.7118114,-0.6465771,"('unambitious', 'ambitious')",-0.35788992,-0.14831395,-1.6563035,-1.4594064,-0.9086683,-0.7514325,-0.1572358
51,-0.70143974,-0.6729837,"('uneducated', 'educated')",0.32980153,0.25820732,0.9899829,0.995036,0.2061149,0.1934199,0.012695
84,0.6802345,0.6320054,"('inferior', 'superior')",0.4693402,0.49072063,1.2413204,1.383961,0.796965,0.8355623,-0.0385973
12,0.6737525,0.7529608,"('unsupportive', 'supportive')",0.87491316,0.80671656,-1.7748758,-1.4636722,-0.0754034,0.0320017,-0.1074051
39,0.6665491,0.7361807,"('exploitative', 'cooperative')",1.336234,1.5214642,-0.25003815,0.036357,0.5842483,0.7646673,-0.180419
21,-0.6223224,-0.70160913,"('immoral', 'moral')",0.7829458,0.47646698,-0.61517024,-0.88390464,-0.1515156,-0.3696823,0.2181667
27,-0.57631755,-0.46719345,"('hardhearted', 'softhearted')",-0.7610296,-0.59380406,1.048106,1.1553227,-0.0964137,0.0314417,-0.1278554
60,-0.5609836,-0.62439406,"('inefficient', 'efficient')",1.1638652,0.93956375,0.503658,0.3228808,0.3688465,0.2126835,0.156163
0,-0.5342875,-0.7018811,"('unsociable', 'sociable')",0.55232656,0.31994143,-0.5403718,-0.5737686,-0.1741109,-0.3185694,0.1444585
74,0.5333859,0.3672171,"('undedicated', 'dedicated')",1.2316539,1.1601902,0.08152996,0.22718742,0.6155233,0.5848649,0.0306584
5,0.5145144,0.7986829,"('distant', 'outgoing')",0.15346804,0.41722026,-0.38087973,-0.14475854,0.0957009,0.3570482,-0.2613473
35,0.49809146,0.72553134,"('corrupt', 'incorrupt')",-0.03575913,0.27478474,-0.5178983,-0.12186231,-0.018522,0.292818,-0.31134
36,0.49321377,0.46241528,"('hostile', 'amicable')",0.05139181,0.29011098,-0.28881884,-0.08627908,0.0852623,0.2220824,-0.1368201
24,0.4854016,0.36746418,"('dishonest', 'honest')",-0.08353136,0.048117597,0.4095212,0.5654962,0.2704638,0.327026,-0.0565622
4,-0.4830924,-0.41380098,"('disliked', 'liked')",0.38339585,0.4413047,-6.4168344,-6.051313,-2.172177,-2.0079365,-0.1642405
73,0.4762471,0.6432488,"('helpless', 'self-reliant')",-0.53413475,-0.2710262,-3.3719575,-3.2488108,-1.1432817,-0.9588627,-0.184419
