,huntington_male,huntington_female,tuple,bancshares_male,bancshares_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.5035315,-1.8428972,"('evil', 'good')",-0.4130346,-0.21805833,-0.93187106,-0.85903716,-1.2828124,-0.9733309,-0.3094815
4,-2.2867413,-1.5520455,"('disliked', 'liked')",0.29164568,0.381728,-6.4985414,-6.172294,-2.8312124,-2.4475371,-0.3836753
60,2.2094798,1.568717,"('inefficient', 'efficient')",0.119544476,-0.09337503,0.10269406,0.08016013,0.8105728,0.5185007,0.2920721
7,2.1131778,2.1314757,"('insensitive', 'sensitive')",-0.4988515,-0.47967964,0.81220067,1.0006487,0.8088423,0.8841483,-0.075306
23,2.0734253,1.738716,"('insincere', 'sincere')",-1.6840625,-1.7420393,5.497318,5.180358,1.9622269,1.7256781,0.2365488
35,-2.0717976,-1.7522117,"('corrupt', 'incorrupt')",0.3727799,0.50976425,-0.3361591,-0.2687945,-0.6783923,-0.5037473,-0.174645
69,-2.0360456,-1.7303385,"('lazy', 'industrious')",1.6848247,1.8742605,-0.58388245,-0.4471826,-0.3117011,-0.1010868,-0.2106143
10,2.0005302,1.8817261,"('unsympathetic', 'sympathetic')",-1.3059175,-1.405332,0.07025348,0.13284305,0.2549554,0.2030791,0.0518763
6,-1.7812762,-1.3624916,"('distant', 'open')",-0.9475377,-0.7978515,0.5040465,0.5027223,-0.7415891,-0.5525403,-0.1890488
70,1.6936829,1.6516019,"('lethargic', 'energetic')",-0.77879333,-0.7564362,0.6842663,0.84551775,0.533052,0.5802278,-0.0471758
46,1.6586515,1.3988502,"('uncompetitive', 'competitive')",-0.028624333,-0.16723144,-0.56063765,-0.54599273,0.3564632,0.228542,0.1279212
79,-1.6542585,-1.4853028,"('wavering', 'unwavering')",-0.9630611,-0.83738554,-0.08160852,-0.119580925,-0.8996427,-0.8140898,-0.0855529
5,-1.6039082,-1.4044143,"('distant', 'outgoing')",-1.1095542,-1.0059,-0.4184283,-0.38311344,-1.0439636,-0.9311426,-0.112821
39,1.6006432,1.2847264,"('exploitative', 'cooperative')",0.954097,0.8971985,0.041434303,0.09404916,0.8653915,0.758658,0.1067335
