,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.4734805,-2.404658,"('unfriendly', 'friendly')",1.288051,1.5778536,-0.5927147,-0.4134023,-0.1793124
53,-2.189241,-2.1959386,"('uncreative', 'creative')",0.58879906,0.5410849,-0.800221,-0.8274269,0.0272059
86,-1.8542001,-1.6496103,"('uninfluential', 'influential')",0.38997814,0.25647146,-0.732111,-0.6965694,-0.0355416
10,-1.6134806,-1.4196328,"('unsympathetic', 'sympathetic')",-0.38037097,-0.6708802,-0.9969258,-1.0452565,0.0483307
44,1.5865818,1.1865679,"('prejudiced', 'unprejudiced')",-1.2522553,-1.5394158,0.1671633,-0.176424,0.3435873
19,-1.5011897,-1.3932235,"('inhospitable', 'hospitable')",-1.1290458,-0.794254,-1.3151178,-1.0937388,-0.221379
63,-1.3112444,-1.1035044,"('unperceptive', 'insightful')",1.1378195,1.0792016,-0.0867124,-0.0121514,-0.074561
85,-1.1964644,-1.2272077,"('insignificant', 'prestigious')",-0.68869185,-0.75887686,-0.9425781,-0.9930422,0.0504641
51,-1.1924132,-0.69257927,"('uneducated', 'educated')",-0.22484238,-0.053528998,-0.7086278,-0.3730541,-0.3355737
77,-1.1895792,-1.0904074,"('unmotivated', 'motivated')",-0.87623537,-0.89242214,-1.0329072,-0.9914148,-0.0414924
23,-1.1316086,-1.0787568,"('insincere', 'sincere')",3.383785,3.9695764,1.1260881,1.4454098,-0.3193217
80,1.1106853,1.1812829,"('dominated', 'dominating')",0.7597937,0.3529428,0.9352396,0.7671129,0.1681267
48,-1.0910997,-0.7117044,"('unintelligent', 'intelligent')",-0.042080395,-0.021599445,-0.5665901,-0.3666519,-0.1999382
82,-1.0864669,-0.6197192,"('poor', 'rich')",3.2003224,4.409461,1.0569277,1.8948709,-0.8379432
21,-1.079107,-0.75998545,"('immoral', 'moral')",-1.0158321,-1.0906972,-1.0474696,-0.9253413,-0.1221283
27,-1.0690559,-1.0722558,"('hardhearted', 'softhearted')",-0.15913093,-0.03389407,-0.6140934,-0.553075,-0.0610184
0,-1.0651784,-1.0302005,"('unsociable', 'sociable')",-0.20145562,-0.34688208,-0.633317,-0.6885413,0.0552243
36,-1.0396419,-1.1188647,"('hostile', 'amicable')",0.4323462,0.4862645,-0.3036478,-0.3163001,0.0126523
20,-1.0314106,-0.75056374,"('rough', 'thoughtful')",1.0165997,1.0209769,-0.0074055,0.1352066,-0.1426121
78,-1.017574,-0.82823384,"('nonresilient', 'resilient')",0.63475007,0.4151707,-0.1914119,-0.2065316,0.0151197
9,-1.015029,-0.978099,"('unaffectionate', 'caring')",1.0124121,1.1408055,-0.0013084,0.0813532,-0.0826616
58,-0.98635674,-0.82700324,"('undiscriminating', 'discriminating')",1.0631104,0.81797874,0.0383768,-0.0045123,0.0428891
57,-0.9839178,-1.072514,"('unimaginative', 'imaginative')",-0.5353327,-1.275213,-0.7596252,-1.1738635,0.4142383
73,0.9750946,0.9024984,"('helpless', 'self-reliant')",-1.3011456,-1.8542132,-0.1630255,-0.4758574,0.3128319
16,-0.95706797,-0.814819,"('unpopular', 'popular')",-0.5763549,-0.43339348,-0.7667115,-0.6241062,-0.1426053
64,0.951123,0.5693803,"('shy', 'confident')",-2.9926755,-4.1563315,-1.0207763,-1.7934756,0.7726993
61,-0.9378301,-0.94573593,"('illogical', 'logical')",1.0135231,0.76829827,0.0378465,-0.0887188,0.1265653
37,0.91161186,0.7684648,"('fake', 'genuine')",0.6778343,0.46975824,0.794723,0.6191115,0.1756115
88,-0.9076934,-0.8891366,"('low', 'eminent')",-0.10276667,-0.09690222,-0.50523,-0.4930194,-0.0122106
24,-0.9038487,-0.75440377,"('dishonest', 'honest')",0.6156237,0.63962615,-0.1441125,-0.0573888,-0.0867237
8,-0.8735883,-0.89431506,"('unaffectionate', 'affectionate')",0.37120488,0.4051542,-0.2511917,-0.2445804,-0.0066113
69,0.86637056,0.5860269,"('lazy', 'industrious')",0.10633293,-0.00571879,0.4863517,0.2901541,0.1961976
28,-0.8371469,-0.49306878,"('disloyal', 'loyal')",0.49450785,0.5387676,-0.1713195,0.0228494,-0.1941689
11,-0.79918957,-0.578548,"('unhelpful', 'helpful')",1.0865097,1.0849289,0.1436601,0.2531904,-0.1095303
54,-0.74223316,-0.9579443,"('incapable', 'capable')",0.22929122,0.4303357,-0.256471,-0.2638043,0.0073333
41,-0.7249735,-0.33578682,"('unforgiving', 'forgiving')",0.5035053,0.57417136,-0.1107341,0.1191923,-0.2299264
31,-0.6554695,-0.703456,"('evil', 'good')",-0.5946151,-0.40319538,-0.6250423,-0.5533257,-0.0717166
29,-0.6480103,-0.47149017,"('unfair', 'fair')",-0.62456864,-0.39731252,-0.6362895,-0.4344013,-0.2018882
46,-0.63705826,-0.4183759,"('uncompetitive', 'competitive')",-0.07228938,-0.5146191,-0.3546738,-0.4664975,0.1118237
52,-0.6213642,-0.59654707,"('irrational', 'rational')",-0.44020316,-0.2706267,-0.5307837,-0.4335869,-0.0971968
