,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,male-female
36,-2.4920118,-2.5281992,"('hostile', 'amicable')",-0.7521244,-0.77594066,-0.09863265,-0.04806629,-1.1142563,-1.1174021,0.0031458
39,2.345126,2.1996753,"('exploitative', 'cooperative')",-0.24341802,-0.22372063,0.3289651,0.34431612,0.8102244,0.7734236,0.0368008
16,-2.2534456,-2.4310124,"('unpopular', 'popular')",-1.5149081,-1.5061537,-0.17435268,-0.15102324,-1.3142354,-1.3627299,0.0484945
56,2.2509925,2.4194336,"('impractical', 'practical')",0.7734888,0.7986035,-0.11582303,-0.09498352,0.9695528,1.0410179,-0.0714651
62,2.0513937,2.2894948,"('incompetent', 'brilliant')",0.77853817,0.9007172,-0.14098212,-0.14065331,0.8963166,1.0165195,-0.1202029
70,2.0297472,2.0777702,"('lethargic', 'energetic')",1.3316203,1.3766552,0.61038923,0.612119,1.323919,1.3555148,-0.0315958
24,1.842651,1.8324882,"('dishonest', 'honest')",-0.27885726,-0.22963539,0.6240082,0.7149541,0.7292673,0.7726023,-0.043335
35,-1.7151059,-1.6861632,"('corrupt', 'incorrupt')",-1.1815338,-1.1057402,-0.5646392,-0.48745516,-1.1537596,-1.0931195,-0.0606401
23,1.7097759,1.682558,"('insincere', 'sincere')",-0.1578857,-0.11274547,5.3067174,5.4329658,2.2862026,2.3342594,-0.0480568
4,-1.6794063,-1.7717501,"('disliked', 'liked')",0.51275796,0.30440056,-6.4872165,-6.689383,-2.5512883,-2.7189109,0.1676226
76,1.6413902,1.8355384,"('anxious', 'daring')",0.26131782,0.4178775,-0.03706898,0.007298356,0.6218797,0.7535714,-0.1316917
60,1.6302236,1.6456311,"('inefficient', 'efficient')",0.16303566,0.2455046,-0.04671772,-0.08419188,0.5821805,0.6023146,-0.0201341
31,-1.6277072,-1.6132097,"('evil', 'good')",-0.60875624,-0.68458927,-1.0209286,-0.9390797,-1.0857974,-1.0789596,-0.0068378
43,1.6062889,1.8273971,"('irresponsible', 'responsible')",0.5439112,0.6143039,0.6780961,0.719476,0.9427654,1.0537256,-0.1109602
52,-1.6051148,-1.7264905,"('irrational', 'rational')",-0.96287155,-1.072753,-0.5270114,-0.41214916,-1.031666,-1.0704642,0.0387982
30,1.5918158,1.81949,"('intolerant', 'tolerant')",1.2349114,1.2032876,0.29210192,0.27401537,1.0396098,1.098931,-0.0593212
85,-1.5576138,-1.755198,"('insignificant', 'prestigious')",0.08643023,0.1212218,-0.7313087,-0.6330539,-0.7341641,-0.7556767,0.0215126
46,1.5069263,1.5853045,"('uncompetitive', 'competitive')",1.133172,1.1650329,-0.28245863,-0.20446888,0.7858799,0.8486228,-0.0627429
