,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,corp_male,corp_female,average_male,average_female,male-female
71,1.8613031,1.8201622,"('diffident', 'self-confident')",-0.008127976,-0.08413237,0.42689657,0.43826073,0.69286156,0.68558073,2.1076128,2.0994031,0.22786888,0.13700771,0.8847359,0.8493803,0.0353556
34,1.7654397,1.7754731,"('mean', 'honorable')",0.7222253,0.6911198,-0.8790633,-0.8729228,0.06781422,0.036040913,0.74119616,0.78901595,5.5737743,5.651482,1.3318977,1.3450349,-0.0131372
83,1.6987504,1.783869,"('powerless', 'powerful')",0.706627,0.59954196,-0.09276904,-0.1465298,0.27558604,0.19003837,0.99934995,0.9217699,-0.65220356,-0.7204072,0.4892235,0.4380471,0.0511764
2,1.6684719,1.6732892,"('unlikable', 'likable')",0.8695462,0.94604725,0.6494976,0.69946223,1.7129068,1.825753,1.7204696,1.730632,0.4111102,0.37372744,1.1720004,1.2081517,-0.0361513
9,1.4383333,1.3338364,"('unaffectionate', 'caring')",-1.0183728,-1.1055499,-0.25690675,-0.37181827,0.085434645,0.0732654,3.6140912,3.57632,1.5319568,1.4114871,0.8990894,0.8195901,0.0794993
68,-1.3623555,-1.3477513,"('dependent', 'independent')",0.31255946,0.31808046,-0.88429165,-0.8870592,-0.74255496,-0.7772149,-1.8863657,-1.9399954,-1.2734041,-1.2573242,-0.9727354,-0.9818774,0.009142
87,1.2514496,1.3018534,"('unsuccessful', 'successful')",-0.08297342,-0.08294374,-0.24863783,-0.14263341,0.017027203,0.12376873,0.19932985,0.16525763,0.56184334,0.52132124,0.2830065,0.3144373,-0.0314308
63,1.2317336,1.3788425,"('unperceptive', 'insightful')",-0.018792138,0.14819123,-1.5274746,-1.4601749,0.17923138,0.08735724,-0.14347145,-0.14688583,0.6680602,0.563454,0.0648811,0.0951307,-0.0302496
15,1.2229835,1.1984092,"('boring', 'funny')",0.7812813,0.77023894,1.0574963,0.9347436,0.4568628,0.39209318,1.4510154,1.4612283,0.023940131,0.011851814,0.8322632,0.7947609,0.0375023
41,1.2093724,1.2650849,"('unforgiving', 'forgiving')",0.07815789,0.1974735,-0.14196575,-0.13281241,-0.111372866,-0.14446187,0.7540152,0.7889421,-0.11321297,-0.15941176,0.2791657,0.3024691,-0.0233034
37,-1.1059133,-1.1645501,"('fake', 'genuine')",0.08047285,-0.0013485998,-1.8053558,-1.8922335,-0.8117695,-0.95409507,-0.21660662,-0.20614552,0.67136157,0.5817938,-0.5313018,-0.6060964,0.0747946
66,1.1035624,0.92353517,"('inactive', 'active')",0.8817508,0.75177526,1.2804983,1.271663,1.4108045,1.4246116,2.4052894,2.3681898,0.4794122,0.5073428,1.2602196,1.2078529,0.0523667
1,1.0842599,0.94354165,"('unfriendly', 'friendly')",-1.1305666,-1.2166203,-0.59587806,-0.78758353,-0.756707,-0.92462224,2.8397167,2.697271,1.9051416,1.5829626,0.5576611,0.3824915,0.1751696
61,1.0824885,1.1269553,"('illogical', 'logical')",-0.8723292,-0.7888317,-0.40289223,-0.43451107,-0.27166954,-0.38044965,1.1745011,1.1813074,0.5477812,0.54291624,0.2096466,0.2078977,0.0017489
12,1.0430135,1.0817444,"('unsupportive', 'supportive')",-0.047080256,-0.0030779317,0.0128713325,0.033092633,0.6583878,0.6628135,0.92490345,0.8758871,-1.553414,-1.7238202,0.1731136,0.1544399,0.0186737
56,1.0191227,1.2305946,"('impractical', 'practical')",-0.965223,-0.6855328,-1.6998355,-1.6527917,-1.2992423,-1.3345083,-2.0673163,-2.0088673,-0.7340167,-0.69867,-0.9577518,-0.8582959,-0.0994559
26,1.0111578,0.85824,"('hardhearted', 'benevolent')",0.4820358,0.23397295,0.7635502,0.61333895,0.7064617,0.53604484,2.7489624,2.6004844,2.0077367,1.7965032,1.2866507,1.1064307,0.18022
48,-1.0018806,-0.8841629,"('unintelligent', 'intelligent')",-1.1866757,-1.1599032,-2.4982374,-2.5133276,-1.7358975,-1.7804061,-0.98713416,-1.0050607,0.76428545,0.6410896,-1.1075899,-1.1169618,0.0093719
62,0.98707545,1.0950996,"('incompetent', 'brilliant')",-1.0289462,-0.9214981,-1.4750378,-1.4889828,-0.5907087,-0.69117033,-1.2529907,-1.2516763,0.2571305,0.21091408,-0.5172462,-0.5078857,-0.0093605
54,0.97450256,0.91185915,"('incapable', 'capable')",-0.07930599,-0.14057697,0.23638703,0.1839132,-0.012438237,0.031592727,1.337063,1.3647919,0.90418875,1.0054336,0.5600661,0.5595023,0.0005638
38,0.9523684,1.0567641,"('untruthful', 'truthful')",-0.37630546,-0.17089653,-0.41297746,-0.40604046,0.3372234,0.36598063,0.57904196,0.56083304,0.13008218,0.09776321,0.2015722,0.250734,-0.0491618
23,0.9222134,1.0333534,"('insincere', 'sincere')",-0.9924189,-0.91734403,-1.8803991,-1.844236,-0.82865787,-0.90172505,-0.17797823,-0.08429918,6.7280188,6.82356,0.628463,0.6848849,-0.0564219
35,-0.87214047,-1.0085846,"('corrupt', 'incorrupt')",-0.97317874,-1.0428263,1.1951569,1.0599447,0.090374224,0.10367016,1.7106314,1.690542,-1.1547968,-1.0654072,-0.0006589,-0.0437769,0.043118
40,0.8699846,0.8143003,"('stingy', 'generous')",1.1749579,1.2378095,1.5100276,1.5391241,0.83161575,0.79983324,1.3714796,1.3038273,-1.8603315,-2.0956936,0.6496223,0.5998668,0.0497555
8,0.86486584,0.70510733,"('unaffectionate', 'affectionate')",-0.3907819,-0.5154784,-0.040109005,-0.18261766,-0.07883303,-0.09404801,3.4403896,3.3669896,1.0413071,0.84513164,0.8061398,0.6875141,0.1186257
14,0.8411003,0.91763765,"('antisocial', 'social')",0.39577386,0.2928755,-0.54789853,-0.59377897,-0.22060299,-0.37929273,-0.9191291,-0.9320909,-0.34706628,-0.25415996,-0.1329705,-0.1581349,0.0251644
50,-0.8013134,-0.7316997,"('clumsy', 'skillful')",0.3035391,0.344588,-0.54973394,-0.50344056,0.13490845,0.14778642,0.386031,0.37736416,0.22408192,0.22019319,-0.0504145,-0.0242014,-0.0262131
73,0.7886092,0.7640213,"('helpless', 'self-reliant')",1.151856,1.1402396,1.5959502,1.5041703,0.63601154,0.6743452,0.600528,0.50839317,-3.7477913,-3.8422024,0.1708606,0.1248278,0.0460328
10,-0.7329351,-0.65326655,"('unsympathetic', 'sympathetic')",-1.3637322,-1.3738524,-2.403851,-2.386837,-1.4605892,-1.6199971,-2.565165,-2.6562238,0.34398314,0.19984536,-1.3637149,-1.4150551,0.0513402
82,-0.7307011,-0.6891788,"('poor', 'rich')",-0.906549,-0.8157648,-1.3671173,-1.204033,-0.13152733,-0.12080646,-1.3363203,-1.3058057,6.5337806,6.5724387,0.3435942,0.4061417,-0.0625475
33,0.7285894,0.660893,"('wrong', 'right')",0.5161267,0.5437217,1.3079181,1.191378,0.6531951,0.67172277,2.0780876,2.038107,-0.74089146,-0.7797135,0.7571709,0.7210182,0.0361527
42,0.7191237,0.8260496,"('unreliable', 'reliable')",0.84535605,0.9918513,0.6108661,0.6074183,0.3608343,0.33737826,-1.2541227,-1.3130226,-3.3369224,-3.4487095,-0.3424775,-0.3331724,-0.0093051
88,-0.655944,-0.66466594,"('low', 'eminent')",-0.05856675,-0.08897647,-0.83513236,-0.8808916,-0.57417,-0.5815196,-0.15681443,-0.27592275,0.33624497,0.22480358,-0.3240638,-0.3778621,0.0537983
58,0.6507728,0.62422055,"('undiscriminating', 'discriminating')",0.58355284,0.59895223,-0.0340698,-0.066833586,0.44442555,0.26387942,1.609603,1.5084667,0.44331935,0.31281048,0.6162673,0.5402493,0.076018
32,0.64993453,0.71742314,"('unkind', 'kind')",0.5302097,0.6070053,-1.4386319,-1.3157753,-0.7475635,-0.74313205,0.08487293,0.12890291,1.5277675,1.4655675,0.1010982,0.1433319,-0.0422337
44,-0.6337408,-0.6755416,"('prejudiced', 'unprejudiced')",0.6920886,0.64872414,0.8673495,0.893607,0.11084613,0.2372353,-1.7573688,-1.7471555,-1.8644884,-1.7025123,-0.4308856,-0.3909405,-0.0399451
5,0.62785554,0.513254,"('distant', 'outgoing')",-1.0538206,-1.147879,1.460571,1.4043952,0.4838211,0.50699747,2.9150085,2.8853195,-0.7897889,-0.89859056,0.6072744,0.5439161,0.0633583
