,merck_male,merck_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.0110254,2.18042,"('lazy', 'industrious')",0.7204697,0.7659854,2.029846,1.9611869,-0.6080148,-0.63763267,1.0383315,1.0674899,-0.0291584
35,1.91948,1.9431447,"('corrupt', 'incorrupt')",-0.047667887,-0.06636687,0.49090123,0.3045881,0.14697266,0.021252044,0.6274215,0.5506545,0.076767
85,1.6688142,1.7769883,"('insignificant', 'prestigious')",1.836673,1.6325719,1.1025698,0.93316,0.5414744,0.6342434,1.2873828,1.2442409,0.0431419
3,-1.5969324,-1.6174932,"('repellent', 'pleasant')",-0.7624024,-0.8336621,0.51525694,0.48686102,0.0569556,0.052456573,-0.4467806,-0.4779594,0.0311788
46,-1.5678545,-1.3781387,"('uncompetitive', 'competitive')",0.13446158,0.090287395,-0.31547755,-0.25421557,-0.7120905,-0.6867192,-0.6152403,-0.5571965,-0.0580438
33,1.5441293,1.6636969,"('wrong', 'right')",0.02432073,0.39838368,0.0559277,-0.02458845,-0.59986806,-0.54431707,0.2561274,0.3732938,-0.1171664
86,-1.5403982,-1.325496,"('uninfluential', 'influential')",-0.061504573,0.012820883,-1.2579404,-1.0925317,0.3974851,0.49300677,-0.6155896,-0.47805,-0.1375396
2,1.3625412,1.1176872,"('unlikable', 'likable')",1.7167675,1.5899193,1.7030087,1.4500599,0.90176386,0.84619045,1.4210203,1.2509642,0.1700561
59,1.3611547,1.5361296,"('foolish', 'wise')",1.2589188,1.1644084,-0.40305075,-0.37920603,0.63052356,0.6000898,0.7118865,0.7303555,-0.018469
73,1.3574567,1.3573506,"('helpless', 'self-reliant')",0.044090126,0.03590685,1.3889163,1.2649243,-3.5641143,-3.6714666,-0.1934128,-0.2533212,0.0599084
70,-1.2692478,-1.0266569,"('lethargic', 'energetic')",0.5781378,0.5309188,-1.3294176,-1.135932,0.6680925,0.7816105,-0.3381088,-0.2125149,-0.1255939
5,1.2333624,1.190312,"('distant', 'outgoing')",0.23423678,0.24759018,0.3249377,0.29247355,-0.023912743,0.07205723,0.442156,0.4506083,-0.0084523
6,1.166173,1.2662507,"('distant', 'open')",0.36568928,0.5248225,-0.25001842,-0.1452161,0.6444251,0.80897224,0.4815673,0.6137073,-0.13214
10,-1.0410832,-1.0762479,"('unsympathetic', 'sympathetic')",-0.18486392,-0.19654462,-1.1832066,-0.95360315,-0.20642057,-0.08903237,-0.6538936,-0.578857,-0.0750366
57,-0.9911769,-0.877232,"('unimaginative', 'imaginative')",-0.3070885,-0.3572373,-0.87334454,-0.8239733,-2.901466,-2.8139198,-1.2682689,-1.2180905,-0.0501784
51,-0.9602914,-0.8964557,"('uneducated', 'educated')",1.1026268,0.8948241,-0.50096524,-0.5967906,0.8561634,0.7785822,0.1243834,0.04504,0.0793434
23,-0.9401939,-0.89536077,"('insincere', 'sincere')",-0.23001844,-0.25375357,-1.4518733,-1.340716,6.208853,6.2314696,0.8966918,0.9354098,-0.038718
72,-0.93742096,-1.3119038,"('unambitious', 'ambitious')",-0.17227425,-0.37602958,0.0029616468,-0.29585183,-0.54717296,-0.660318,-0.4134766,-0.6610258,0.2475492
67,0.9184402,0.7640512,"('doubtful', 'determined')",0.41120267,0.3668927,0.09978725,0.12612289,-0.005335115,-0.102239676,0.3560238,0.2887067,0.0673171
84,0.9067864,0.8869833,"('inferior', 'superior')",1.5585147,1.3022702,0.9118576,0.74394727,0.8349934,0.76445186,1.053038,0.9244131,0.1286249
45,-0.9039327,-0.68400323,"('incompetent', 'competent')",0.058022514,0.27798408,-1.7135004,-1.5337988,-0.47973493,-0.44100848,-0.7597864,-0.5952066,-0.1645798
82,-0.8998516,-1.0467279,"('poor', 'rich')",0.3043589,0.16783941,-0.46885058,-0.53638184,6.663703,6.618355,1.3998399,1.3007711,0.0990688
63,-0.8974118,-0.745782,"('unperceptive', 'insightful')",1.0813222,1.0232847,-0.9542342,-0.87329096,1.4761713,1.5269231,0.1764619,0.2327837,-0.0563218
11,-0.8828432,-0.9801908,"('unhelpful', 'helpful')",-0.5926766,-0.7717205,-0.487543,-0.49551123,2.237723,2.349119,0.0686651,0.0254241,0.043241
15,0.8754651,1.1445214,"('boring', 'funny')",0.3315523,0.3940957,-0.5153137,-0.41731286,0.49929827,0.5762596,0.2977505,0.4243909,-0.1266404
54,0.867102,0.6328536,"('incapable', 'capable')",0.9655552,0.8258706,-0.095047645,-0.1530638,1.5036952,1.5149066,0.8103262,0.7051418,0.1051844
42,0.8590123,0.67510206,"('unreliable', 'reliable')",1.1485944,0.9121951,0.19963866,0.1017594,-3.0240483,-2.9749796,-0.2042007,-0.3214808,0.1172801
81,-0.8472529,-1.022891,"('submissive', 'aggressive')",0.8805692,0.43154433,-0.49820608,-0.56247437,-0.7629637,-0.8890657,-0.3069634,-0.5107217,0.2037583
21,-0.8297529,-0.8983711,"('immoral', 'moral')",0.2159189,0.14476328,-1.9052815,-1.9194628,-1.0631248,-1.081819,-0.89556,-0.9387224,0.0431624
66,0.8287263,0.78818136,"('inactive', 'active')",1.2902608,1.0475107,1.1189774,1.0441945,1.354625,1.3026618,1.1481473,1.0456371,0.1025102
13,-0.8012538,-0.6517008,"('impolite', 'polite')",-0.7743377,-0.3425936,-0.68573177,-0.4150346,-0.32671502,-0.32390893,-0.6470096,-0.4333095,-0.2137001
29,0.7528843,0.48670226,"('unfair', 'fair')",0.13317342,0.04843793,-0.9766534,-1.0049596,-0.6506954,-0.5726405,-0.1853228,-0.260615,0.0752922
7,-0.7508217,-0.61401707,"('insensitive', 'sensitive')",-0.49500856,-0.22022712,-1.5421736,-1.3188901,0.53896004,0.7056049,-0.562261,-0.3618824,-0.2003786
48,-0.72930574,-0.764535,"('unintelligent', 'intelligent')",0.3027444,0.14333968,-1.8364502,-1.9525512,0.6451629,0.64016944,-0.4044622,-0.4833943,0.0789321
