,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
26,1.9945929,2.07913,"('hardhearted', 'benevolent')",0.8699555,1.0288062,1.6362242,1.749612,1.5002575,1.6191827,-0.1189252
12,1.9385148,1.7729372,"('unsupportive', 'supportive')",-0.42269406,-0.47056288,-1.8124382,-1.7310059,-0.0988725,-0.1428772,0.0440047
74,1.9282751,1.8039765,"('undedicated', 'dedicated')",0.39221424,0.34691727,0.29205188,0.3123608,0.8708471,0.8210848,0.0497623
23,1.76565,1.5385357,"('insincere', 'sincere')",0.30140424,0.14702338,6.23636,5.9671144,2.7678048,2.5508912,0.2169136
16,-1.7052119,-1.6312785,"('unpopular', 'popular')",0.042861115,0.054954458,0.041360073,0.080361396,-0.5403303,-0.4986542,-0.0416761
9,1.6230845,1.645131,"('unaffectionate', 'caring')",0.59951675,0.630331,1.5216382,1.5746201,1.2480799,1.2833606,-0.0352807
73,1.6199907,1.8541883,"('helpless', 'self-reliant')",0.7887159,0.99505156,-3.188912,-3.026983,-0.2600684,-0.0592477,-0.2008207
39,1.5774522,1.5119134,"('exploitative', 'cooperative')",0.6059451,0.5636487,0.19594008,0.210094,0.7931124,0.7618853,0.0312271
75,-1.5334547,-1.4526496,"('meek', 'impulsive')",-0.029289346,0.15197459,-0.41463527,-0.38202494,-0.6591264,-0.5609,-0.0982264
63,1.5102577,1.3474047,"('unperceptive', 'insightful')",0.3644826,0.2687505,1.1673892,1.109042,1.0140432,0.9083991,0.1056441
30,1.3911617,1.1577959,"('intolerant', 'tolerant')",-0.64959246,-0.8370345,0.7548008,0.61676735,0.49879,0.3125096,0.1862804
54,1.3843327,1.4395423,"('incapable', 'capable')",1.2703463,1.2582731,1.4114991,1.4583853,1.3553926,1.3854003,-0.0300077
72,1.3837538,1.1039815,"('unambitious', 'ambitious')",-1.0148836,-1.0229893,-0.4388729,-0.6586513,-0.0233343,-0.192553,0.1692187
56,1.3263685,0.7908779,"('impractical', 'practical')",0.1929451,-0.1698425,-0.46753144,-0.6857705,0.350594,-0.0215784,0.3721724
43,1.3240286,1.1087779,"('irresponsible', 'responsible')",-1.0588238,-1.2288688,0.58565074,0.43970996,0.2836185,0.1065397,0.1770788
82,-1.3020515,-1.5650852,"('poor', 'rich')",-0.87209535,-0.98705775,6.607298,6.368817,1.4777171,1.2722247,0.2054924
31,-1.2542081,-0.9404232,"('evil', 'good')",0.39389685,0.5636277,-0.8398718,-0.6456067,-0.5667277,-0.3408007,-0.225927
44,-1.2332035,-1.2886026,"('prejudiced', 'unprejudiced')",-0.40782145,-0.42428392,-1.3340974,-1.3891325,-0.9917075,-1.0340064,0.0422989
84,1.2125877,1.2046435,"('inferior', 'superior')",-0.38729703,-0.34950063,0.40153027,0.5328579,0.4089403,0.4626669,-0.0537266
70,1.1878394,0.940495,"('lethargic', 'energetic')",-0.6985152,-0.88297325,1.1106223,0.9516323,0.5333155,0.3363847,0.1969308
7,1.1843371,1.018854,"('insensitive', 'sensitive')",0.048146717,-0.098909795,1.1620005,1.1712373,0.7981615,0.6970605,0.101101
80,1.1834085,1.096624,"('dominated', 'dominating')",-0.07666139,-0.15709166,-0.8014057,-0.85507727,0.1017805,0.0281517,0.0736288
71,1.1820214,1.1589907,"('diffident', 'self-confident')",0.6866971,0.7681366,0.5434025,0.62576497,0.8040404,0.8509641,-0.0469237
52,-1.1204711,-0.7824237,"('irrational', 'rational')",-0.20151412,0.009500995,-0.19244967,0.0065566953,-0.5048116,-0.2554553,-0.2493563
24,1.0484874,0.92764986,"('dishonest', 'honest')",-1.5856037,-1.6891997,0.73070574,0.63691485,0.0645298,-0.041545,0.1060748
83,1.0121448,0.84799325,"('powerless', 'powerful')",0.7212089,0.7346939,-0.9173785,-0.9612533,0.2719917,0.2071446,0.0648471
62,0.9819644,0.5498748,"('incompetent', 'brilliant')",-0.057548083,-0.34168214,0.19336206,-0.08740146,0.3725928,0.0402637,0.3323291
25,-0.9515397,-0.7174652,"('egoistic', 'altruistic')",0.8484183,1.0044843,1.715827,1.8135487,0.5375685,0.7001893,-0.1626208
76,0.94894457,0.599559,"('anxious', 'daring')",0.3095207,0.13242412,0.27135485,0.04352795,0.5099401,0.2585037,0.2514364
13,0.9356702,0.3751021,"('impolite', 'polite')",-0.15969984,-0.37433952,-0.34536034,-0.536396,0.1435367,-0.1785445,0.3220812
79,0.9082827,1.1643391,"('wavering', 'unwavering')",0.7251896,0.893326,0.012543742,0.19148226,0.548672,0.7497158,-0.2010438
42,0.8454995,0.9109113,"('unreliable', 'reliable')",0.6804339,0.6077878,-2.8091915,-2.7532172,-0.4277527,-0.411506,-0.0162467
27,0.815748,0.8814998,"('hardhearted', 'softhearted')",-0.002228802,0.071433246,1.444537,1.5996022,0.7526854,0.8508451,-0.0981597
2,0.81195116,0.58110183,"('unlikable', 'likable')",1.2792063,1.2579677,0.5376901,0.5318046,0.8762825,0.7902914,0.0859911
68,-0.7790165,-0.72705686,"('dependent', 'independent')",-1.6791471,-1.7505066,-0.7231755,-0.6031595,-1.0604464,-1.0269076,-0.0335388
10,0.7394913,0.6357652,"('unsympathetic', 'sympathetic')",-1.788914,-2.005093,-0.16871408,-0.3349175,-0.4060456,-0.5680818,0.1620362
37,0.7243888,0.8640873,"('fake', 'genuine')",-1.0144567,-1.0558205,0.74724644,0.7378369,0.1523928,0.1820346,-0.0296418
38,0.69429785,0.5290739,"('untruthful', 'truthful')",-0.034927208,-0.053028308,-0.26932463,-0.36678156,0.1300153,0.0364213,0.093594
87,0.6844782,0.28037286,"('unsuccessful', 'successful')",1.1576895,1.0555663,0.8404806,0.8506528,0.8942161,0.728864,0.1653521
66,0.6770479,0.66680384,"('inactive', 'active')",1.1984332,1.3086977,0.88041717,1.1599797,0.9186327,1.0451605,-0.1265278
28,0.66930103,0.85557693,"('disloyal', 'loyal')",-0.9368945,-0.93623835,0.7232583,0.69248223,0.1518883,0.2039403,-0.052052
65,0.664705,0.32952043,"('insecure', 'secure')",-0.20648825,-0.41387087,-0.21406642,-0.45427647,0.0813834,-0.1795423,0.2609257
