,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.0909204,-2.9086099,"('unsympathetic', 'sympathetic')",1.1359127,0.94797665,-0.9775039,-0.9803166,0.0028127
35,2.9405284,2.837501,"('corrupt', 'incorrupt')",-1.5652671,-1.4632372,0.6876307,0.6871319,0.0004988
69,2.8625517,2.5826795,"('lazy', 'industrious')",-1.0996493,-0.9900104,0.8814512,0.7963346,0.0851166
46,-2.6692262,-2.47287,"('uncompetitive', 'competitive')",0.5635166,0.76381606,-1.0528548,-0.854527,-0.1983278
86,-2.6469944,-2.7763767,"('uninfluential', 'influential')",0.56622434,0.32138258,-1.040385,-1.2274971,0.1871121
60,-2.593572,-2.3957918,"('inefficient', 'efficient')",0.80812156,1.0273798,-0.8927252,-0.684206,-0.2085192
43,-2.2703216,-2.030415,"('irresponsible', 'responsible')",1.3304808,1.6051054,-0.4699204,-0.2126548,-0.2572656
21,-2.2057943,-2.2396605,"('immoral', 'moral')",0.1840186,0.2690624,-1.0108879,-0.9852991,-0.0255888
55,-2.0988984,-2.00622,"('incompetent', 'clever')",1.1298828,1.1284136,-0.4845078,-0.4389033,-0.0456045
81,-2.0769904,-2.2116911,"('submissive', 'aggressive')",0.38403696,0.3416117,-0.8464767,-0.9350397,0.088563
48,-2.0555813,-2.094473,"('unintelligent', 'intelligent')",0.8159133,0.74279904,-0.619834,-0.6758369,0.0560029
23,-2.0373814,-1.6036392,"('insincere', 'sincere')",5.699322,5.4582095,1.8309704,1.9272852,-0.0963148
11,-2.0030162,-1.9956963,"('unhelpful', 'helpful')",2.3506937,2.3838484,0.1738387,0.1940761,-0.0202374
62,-1.9720854,-1.7599232,"('incompetent', 'brilliant')",1.2118323,1.346988,-0.3801265,-0.2064676,-0.1736589
57,-1.8581799,-1.4179571,"('unimaginative', 'imaginative')",-2.255058,-1.7533817,-2.0566189,-1.5856694,-0.4709495
65,-1.8305776,-1.5657518,"('insecure', 'secure')",0.2256791,0.3616246,-0.8024492,-0.6020636,-0.2003856
85,1.7974359,1.7703986,"('insignificant', 'prestigious')",-1.3633895,-1.2437401,0.2170232,0.2633293,-0.0463061
5,1.7522861,1.8986402,"('distant', 'outgoing')",-1.1647147,-1.1251986,0.2937857,0.3867208,-0.0929351
0,-1.6896298,-1.7381788,"('unsociable', 'sociable')",0.6240765,0.700202,-0.5327767,-0.5189884,-0.0137883
70,-1.6795266,-1.5419124,"('lethargic', 'energetic')",1.0951536,1.1878005,-0.2921865,-0.177056,-0.1151305
79,1.6472068,1.6216687,"('wavering', 'unwavering')",-0.78235483,-0.95040447,0.432426,0.3356321,0.0967939
6,1.6226611,1.7835578,"('distant', 'open')",-0.7338952,-0.7062724,0.444383,0.5386426,-0.0942596
76,-1.584517,-1.4490149,"('anxious', 'daring')",0.22169401,0.30145672,-0.6814115,-0.5737791,-0.1076324
77,-1.5487548,-1.4659373,"('unmotivated', 'motivated')",-0.70507884,-0.6899735,-1.1269169,-1.0779554,-0.0489615
13,-1.5387031,-1.3943632,"('impolite', 'polite')",0.35663855,0.32186866,-0.5910323,-0.5362473,-0.054785
75,1.5090418,1.5389081,"('meek', 'impulsive')",-0.8946088,-0.7479727,0.3072165,0.3954677,-0.0882512
24,-1.4735714,-1.1376307,"('dishonest', 'honest')",0.7463197,1.0647849,-0.3636259,-0.0364229,-0.327203
28,-1.4361483,-1.047873,"('disloyal', 'loyal')",0.89032656,1.2450405,-0.2729109,0.0985838,-0.3714947
80,-1.4155293,-1.6577176,"('dominated', 'dominating')",0.17636696,-0.05199431,-0.6195812,-0.854856,0.2352748
3,-1.3849847,-1.2211666,"('repellent', 'pleasant')",0.036709882,-0.008102199,-0.6741374,-0.6146344,-0.059503
32,-1.3588742,-1.2127107,"('unkind', 'kind')",1.0800356,1.1906053,-0.1394193,-0.0110527,-0.1283666
63,-1.3563218,-1.2584579,"('unperceptive', 'insightful')",1.118924,1.014059,-0.1186989,-0.1221995,0.0035006
73,1.344974,1.2698926,"('helpless', 'self-reliant')",-3.205319,-2.8664064,-0.9301724,-0.7982569,-0.1319155
36,1.3092963,1.4777203,"('hostile', 'amicable')",-1.544827,-1.4692509,-0.1177654,0.0042347,-0.1220001
30,-1.2981217,-1.1797949,"('intolerant', 'tolerant')",0.88648903,1.0077038,-0.2058163,-0.0860456,-0.1197707
